* Measurement data measured by REW V5.20.13
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -33.7 dBFS, measurement signal peak level -22.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06-Apr-2023 23:25:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL Key L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.888	-100.4059
20.600000	71.950	-100.7801
20.900000	72.100	-101.5529
21.200001	72.263	-102.3460
21.400000	72.369	-102.8437
21.799999	72.568	-103.7699
22.000000	72.657	-104.2077
22.400000	72.811	-105.0634
22.700001	72.908	-105.6962
23.000000	72.995	-106.3253
23.299999	73.078	-106.9580
23.600000	73.161	-107.6051
24.000000	73.277	-108.5064
24.299999	73.367	-109.2167
24.700001	73.486	-110.1987
25.000000	73.571	-110.9426
25.400000	73.674	-111.9175
25.799999	73.768	-112.8559
26.200001	73.856	-113.7641
26.500000	73.921	-114.4401
26.900000	74.010	-115.3540
27.200001	74.081	-116.0577
27.600000	74.183	-117.0228
28.000000	74.292	-118.0100
28.500000	74.435	-119.2504
29.000000	74.574	-120.4616
29.500000	74.703	-121.6104
30.000000	74.820	-122.6839
30.400000	74.907	-123.5032
30.700001	74.971	-124.1098
31.100000	75.056	-124.9300
31.500000	75.140	-125.7766
32.000000	75.246	-126.8702
32.500000	75.350	-127.9739
33.000000	75.452	-129.0481
33.500000	75.552	-130.0702
34.000000	75.650	-131.0400
34.500000	75.748	-131.9750
35.000000	75.845	-132.8968
35.500000	75.941	-133.8211
36.000000	76.036	-134.7486
36.500000	76.131	-135.6676
37.000000	76.228	-136.5652
37.500000	76.325	-137.4393
38.200001	76.463	-138.6431
38.700001	76.561	-139.5032
39.500000	76.714	-140.8831
40.000000	76.808	-141.7411
40.599998	76.921	-142.7635
41.200001	77.037	-143.7803
41.799999	77.154	-144.7930
42.500000	77.293	-145.9734
43.099998	77.413	-146.9949
43.700001	77.532	-148.0340
44.400002	77.667	-149.2632
45.000000	77.778	-150.3179
45.500000	77.866	-151.1938
46.200001	77.987	-152.4254
46.799999	78.089	-153.5006
47.500000	78.209	-154.7884
48.200001	78.333	-156.1078
48.700001	78.425	-157.0627
49.400002	78.554	-158.4075
50.000000	78.662	-159.5625
50.799999	78.795	-161.1035
51.500000	78.905	-162.4515
52.200001	79.015	-163.7986
53.000000	79.142	-165.3457
53.799999	79.271	-166.9220
54.500000	79.383	-168.3365
55.200001	79.493	-169.7820
56.000000	79.615	-171.4630
57.000000	79.764	-173.5933
58.000000	79.910	-175.7391
59.000000	80.051	-177.8988
60.000000	80.188	179.9031
60.799999	80.293	178.1005
61.500000	80.382	176.4880
62.200001	80.466	174.8471
63.000000	80.559	172.9474
64.000000	80.667	170.5501
65.000000	80.764	168.1284
66.000000	80.849	165.6705
67.000000	80.922	163.1756
68.000000	80.985	160.6648
69.000000	81.038	158.1642
70.000000	81.081	155.6833
71.000000	81.115	153.2140
72.000000	81.143	150.7432
73.000000	81.164	148.2617
74.000000	81.175	145.7726
75.000000	81.174	143.2928
76.199997	81.156	140.3505
77.500000	81.116	137.2194
78.800003	81.059	134.1606
80.000000	80.996	131.4037
81.199997	80.921	128.7137
82.500000	80.827	125.8787
83.800003	80.718	123.1152
85.000000	80.605	120.6161
86.199997	80.481	118.1662
87.500000	80.338	115.5752
88.500000	80.223	113.6344
90.000000	80.043	110.8190
91.199997	79.891	108.6508
92.500000	79.719	106.3842
93.800003	79.540	104.2046
95.000000	79.367	102.2687
96.199997	79.188	100.3962
97.500000	78.990	98.4244
98.800003	78.788	96.4980
100.000000	78.601	94.7547
101.500000	78.366	92.6288
103.000000	78.133	90.5740
104.400002	77.915	88.7239
106.000000	77.662	86.6863
107.500000	77.419	84.8401
109.000000	77.170	83.0441
110.599998	76.900	81.1843
112.000000	76.661	79.6107
113.800003	76.353	77.6553
115.000000	76.148	76.3879
117.199997	75.776	74.1383
118.000000	75.643	73.3463
120.599998	75.216	70.8809
122.000000	74.989	69.6270
124.099998	74.649	67.8320
125.000000	74.503	67.0872
126.500000	74.258	65.8733
128.000000	74.011	64.6901
131.500000	73.422	62.0110
132.000000	73.337	61.6362
134.000000	72.995	60.1663
136.000000	72.652	58.7546
138.000000	72.306	57.4024
140.000000	71.959	56.1080
143.000000	71.441	54.2844
145.000000	71.098	53.1563
147.500000	70.670	51.8386
150.000000	70.240	50.6303
152.500000	69.807	49.5488
155.000000	69.367	48.5780
157.500000	68.918	47.6850
160.000000	68.463	46.8589
162.500000	68.002	46.1213
165.000000	67.534	45.4988
167.500000	67.058	44.9880
170.000000	66.574	44.5786
172.500000	66.082	44.2711
175.000000	65.583	44.0574
177.500000	65.073	43.9387
180.000000	64.545	43.9576
182.500000	63.997	44.1541
185.000000	63.426	44.5536
187.500000	62.835	45.1792
190.000000	62.232	46.0464
192.500000	61.629	47.1759
195.000000	61.042	48.5972
197.500000	60.477	50.3424
200.000000	59.937	52.4376
203.000000	59.327	55.4420
206.000000	58.768	58.9973
209.000000	58.269	63.0602
212.000000	57.842	67.5454
214.000000	57.603	70.7173
218.000000	57.250	77.3372
220.000000	57.141	80.6992
224.000000	57.057	87.3058
227.000000	57.104	92.0188
230.000000	57.231	96.4409
233.000000	57.420	100.5384
236.000000	57.653	104.2841
240.000000	58.002	108.6563
243.000000	58.281	111.4128
247.000000	58.665	114.4370
250.000000	58.954	116.3318
254.000000	59.330	118.4897
258.000000	59.691	120.2679
262.000000	60.034	121.7136
265.000000	60.279	122.6290
269.000000	60.589	123.6650
272.000000	60.807	124.3263
276.000000	61.078	125.0899
280.000000	61.328	125.7441
285.000000	61.617	126.4212
290.000000	61.878	126.9611
295.000000	62.110	127.4067
300.000000	62.321	127.8151
304.000000	62.475	128.1491
307.000000	62.584	128.4030
311.000000	62.720	128.7235
315.000000	62.851	129.0169
320.000000	63.005	129.3633
325.000000	63.146	129.6904
330.000000	63.275	129.9894
335.000000	63.395	130.2448
340.000000	63.507	130.4277
345.000000	63.614	130.5607
350.000000	63.712	130.7051
355.000000	63.801	130.8661
360.000000	63.884	130.9931
365.000000	63.963	131.0674
370.000000	64.038	131.1064
375.000000	64.106	131.1475
382.000000	64.191	131.2502
387.000000	64.246	131.3381
395.000000	64.332	131.4847
400.000000	64.383	131.5828
406.000000	64.433	131.7033
412.000000	64.467	131.8268
418.000000	64.486	132.0005
425.000000	64.502	132.3672
431.000000	64.531	132.8318
437.000000	64.590	133.3201
444.000000	64.683	133.7271
450.000000	64.760	133.8870
455.000000	64.813	133.9336
462.000000	64.870	133.9573
468.000000	64.908	133.9830
475.000000	64.943	134.0447
482.000000	64.969	134.1531
487.000000	64.981	134.2488
494.000000	64.992	134.3799
500.000000	65.000	134.4792
508.000000	65.011	134.5887
515.000000	65.018	134.6563
522.000000	65.015	134.6866
530.000000	65.003	134.6627
538.000000	64.986	134.5789
545.000000	64.969	134.4811
552.000000	64.952	134.3855
560.000000	64.930	134.2883
570.000000	64.895	134.1677
580.000000	64.852	134.0353
590.000000	64.798	133.9058
600.000000	64.734	133.8145
608.000000	64.682	133.7850
615.000000	64.637	133.7929
622.000000	64.591	133.8394
630.000000	64.536	133.9542
640.000000	64.461	134.1898
650.000000	64.386	134.5075
660.000000	64.316	134.8914
670.000000	64.247	135.3258
680.000000	64.175	135.8000
690.000000	64.098	136.3017
700.000000	64.017	136.8309
710.000000	63.935	137.4059
720.000000	63.852	138.0441
730.000000	63.770	138.7552
740.000000	63.692	139.5399
750.000000	63.618	140.4004
762.000000	63.532	141.5457
775.000000	63.443	142.9316
788.000000	63.361	144.4867
800.000000	63.290	146.0999
812.000000	63.222	147.8761
825.000000	63.153	149.9347
838.000000	63.097	152.0959
850.000000	63.058	154.1566
862.000000	63.030	156.2302
875.000000	63.005	158.4493
885.000000	62.987	160.1257
900.000000	62.966	162.5614
912.000000	62.953	164.4305
925.000000	62.944	166.4230
938.000000	62.943	168.4416
950.000000	62.953	170.3646
962.000000	62.976	172.3741
975.000000	63.013	174.6424
988.000000	63.055	176.9332
1000.000000	63.096	179.0035
1015.000000	63.150	-178.4899
1030.000000	63.207	-176.0479
1044.000000	63.265	-173.7909
1060.000000	63.339	-171.2084
1075.000000	63.416	-168.7819
1090.000000	63.497	-166.3598
1106.000000	63.583	-163.7965
1120.000000	63.656	-161.5618
1138.000000	63.751	-158.6483
1150.000000	63.817	-156.6706
1172.000000	63.943	-153.0307
1180.000000	63.990	-151.7198
1206.000000	64.139	-147.5556
1220.000000	64.218	-145.3681
1241.000000	64.339	-142.1260
1250.000000	64.393	-140.7503
1265.000000	64.488	-138.4719
1280.000000	64.586	-136.1928
1315.000000	64.796	-130.7955
1320.000000	64.818	-130.0161
1340.000000	64.875	-126.8940
1360.000000	64.874	-123.7953
1380.000000	64.832	-120.7128
1400.000000	64.770	-117.5890
1430.000000	64.694	-112.6878
1450.000000	64.673	-109.2500
1475.000000	64.674	-104.7866
