* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30-Oct-2024 20:31:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL Key Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.821	55.7593
20.600000	72.911	54.9894
20.900000	73.020	54.0582
21.200001	73.130	53.0972
21.400000	73.199	52.4607
21.799999	73.318	51.2047
22.000000	73.369	50.5837
22.400000	73.455	49.3504
22.700001	73.509	48.4294
23.000000	73.556	47.5073
23.299999	73.600	46.5790
23.600000	73.643	45.6386
24.000000	73.698	44.3572
24.299999	73.738	43.3728
24.700001	73.791	42.0327
25.000000	73.830	41.0147
25.400000	73.883	39.6568
25.799999	73.935	38.3187
26.200001	73.990	37.0198
26.500000	74.031	36.0793
26.900000	74.088	34.8749
27.200001	74.131	34.0078
27.600000	74.187	32.8926
28.000000	74.240	31.8095
28.500000	74.300	30.4715
29.000000	74.348	29.1226
29.500000	74.386	27.7559
30.000000	74.416	26.3932
30.400000	74.436	25.3277
30.700001	74.450	24.5511
31.100000	74.471	23.5478
31.500000	74.492	22.5772
32.000000	74.520	21.3994
32.500000	74.545	20.2531
33.000000	74.566	19.1350
33.500000	74.584	18.0396
34.000000	74.599	16.9570
34.500000	74.612	15.8801
35.000000	74.621	14.8111
35.500000	74.626	13.7567
36.000000	74.629	12.7187
36.500000	74.634	11.6923
37.000000	74.640	10.6740
37.500000	74.644	9.6682
38.200001	74.644	8.2995
38.700001	74.636	7.3577
39.500000	74.614	5.9058
40.000000	74.596	5.0212
40.599998	74.572	3.9673
41.200001	74.549	2.9119
41.799999	74.527	1.8655
42.500000	74.504	0.6932
43.099998	74.486	-0.2566
43.700001	74.471	-1.1799
44.400002	74.449	-2.2638
45.000000	74.422	-3.1975
45.500000	74.393	-3.9589
46.200001	74.347	-4.9807
46.799999	74.308	-5.8320
47.500000	74.263	-6.8291
48.200001	74.213	-7.8203
48.700001	74.175	-8.4957
49.400002	74.126	-9.3773
50.000000	74.092	-10.1009
50.799999	74.051	-11.0838
51.500000	74.007	-11.9538
52.200001	73.953	-12.7792
53.000000	73.885	-13.6516
53.799999	73.816	-14.5025
54.500000	73.754	-15.2577
55.200001	73.692	-16.0074
56.000000	73.623	-16.8350
57.000000	73.541	-17.8237
58.000000	73.458	-18.7607
59.000000	73.370	-19.6448
60.000000	73.283	-20.5006
60.799999	73.215	-21.1812
61.500000	73.156	-21.7759
62.200001	73.098	-22.3694
63.000000	73.030	-23.0529
64.000000	72.944	-23.9260
65.000000	72.853	-24.7914
66.000000	72.755	-25.5992
67.000000	72.652	-26.3485
68.000000	72.547	-27.0747
69.000000	72.443	-27.7939
70.000000	72.344	-28.5026
71.000000	72.251	-29.2002
72.000000	72.160	-29.8877
73.000000	72.066	-30.5629
74.000000	71.973	-31.2284
75.000000	71.884	-31.8753
76.199997	71.788	-32.5857
77.500000	71.688	-33.2557
78.800003	71.581	-33.8484
80.000000	71.481	-34.3480
81.199997	71.388	-34.8126
82.500000	71.297	-35.2938
83.800003	71.212	-35.7499
85.000000	71.131	-36.1318
86.199997	71.046	-36.4975
87.500000	70.951	-36.8893
88.500000	70.879	-37.1675
90.000000	70.780	-37.5455
91.199997	70.711	-37.8585
92.500000	70.642	-38.2224
93.800003	70.576	-38.5790
95.000000	70.515	-38.8871
96.199997	70.450	-39.1790
97.500000	70.377	-39.4761
98.800003	70.304	-39.7511
100.000000	70.236	-39.9876
101.500000	70.152	-40.2682
103.000000	70.072	-40.5634
104.400002	70.010	-40.8980
106.000000	69.955	-41.3222
107.500000	69.914	-41.6612
109.000000	69.877	-41.9257
110.599998	69.837	-42.1797
112.000000	69.802	-42.4283
113.800003	69.759	-42.8047
115.000000	69.731	-43.0597
117.199997	69.683	-43.5165
118.000000	69.668	-43.6906
120.599998	69.624	-44.3005
122.000000	69.601	-44.6554
124.099998	69.562	-45.1777
125.000000	69.543	-45.3795
126.500000	69.508	-45.6966
128.000000	69.475	-46.0208
131.500000	69.416	-46.7955
132.000000	69.408	-46.9024
134.000000	69.371	-47.3409
136.000000	69.332	-47.8226
138.000000	69.295	-48.3460
140.000000	69.262	-48.9014
143.000000	69.222	-49.7498
145.000000	69.196	-50.2980
147.500000	69.157	-50.9678
150.000000	69.116	-51.6404
152.500000	69.079	-52.3182
155.000000	69.044	-52.9968
157.500000	69.007	-53.6901
160.000000	68.965	-54.4195
162.500000	68.923	-55.1712
165.000000	68.887	-55.9074
167.500000	68.851	-56.5906
170.000000	68.813	-57.2438
172.500000	68.775	-57.9011
175.000000	68.740	-58.5746
177.500000	68.704	-59.2799
180.000000	68.657	-60.0114
182.500000	68.597	-60.7501
185.000000	68.525	-61.4922
187.500000	68.442	-62.2138
190.000000	68.350	-62.8983
192.500000	68.262	-63.5768
195.000000	68.186	-64.2613
197.500000	68.127	-64.9234
200.000000	68.082	-65.5465
203.000000	68.046	-66.2716
206.000000	68.023	-66.9970
209.000000	68.000	-67.7218
212.000000	67.970	-68.4389
214.000000	67.946	-68.9155
218.000000	67.890	-69.8473
220.000000	67.856	-70.2953
224.000000	67.777	-71.1737
227.000000	67.712	-71.7685
230.000000	67.647	-72.2806
233.000000	67.584	-72.7415
236.000000	67.526	-73.1909
240.000000	67.455	-73.7697
243.000000	67.406	-74.1312
247.000000	67.348	-74.4633
250.000000	67.318	-74.6139
254.000000	67.307	-74.7501
258.000000	67.328	-74.8814
262.000000	67.364	-75.0511
265.000000	67.390	-75.2025
269.000000	67.416	-75.3868
272.000000	67.423	-75.4866
276.000000	67.413	-75.5671
280.000000	67.386	-75.6113
285.000000	67.346	-75.6086
290.000000	67.309	-75.5188
295.000000	67.275	-75.3806
300.000000	67.241	-75.1889
304.000000	67.218	-74.9977
307.000000	67.200	-74.8480
311.000000	67.174	-74.6570
315.000000	67.144	-74.4775
320.000000	67.109	-74.2647
325.000000	67.083	-74.0677
330.000000	67.066	-73.8717
335.000000	67.056	-73.6605
340.000000	67.048	-73.4558
345.000000	67.036	-73.2828
350.000000	67.016	-73.1193
355.000000	66.991	-72.9348
360.000000	66.969	-72.7198
365.000000	66.957	-72.4812
370.000000	66.953	-72.2325
375.000000	66.953	-72.0065
382.000000	66.947	-71.7611
387.000000	66.937	-71.6064
395.000000	66.919	-71.3531
400.000000	66.909	-71.2063
406.000000	66.900	-71.0467
412.000000	66.888	-70.8836
418.000000	66.874	-70.6961
425.000000	66.862	-70.4370
431.000000	66.858	-70.1896
437.000000	66.862	-69.9231
444.000000	66.872	-69.6412
450.000000	66.878	-69.4400
455.000000	66.877	-69.2741
462.000000	66.874	-69.0058
468.000000	66.870	-68.7160
475.000000	66.865	-68.3422
482.000000	66.866	-67.9984
487.000000	66.869	-67.7894
494.000000	66.871	-67.5328
500.000000	66.867	-67.3192
508.000000	66.857	-67.0305
515.000000	66.847	-66.7484
522.000000	66.837	-66.4033
530.000000	66.826	-65.9327
538.000000	66.818	-65.3976
545.000000	66.808	-64.8815
552.000000	66.795	-64.3246
560.000000	66.780	-63.6424
570.000000	66.762	-62.7344
580.000000	66.740	-61.7568
590.000000	66.725	-60.6903
600.000000	66.724	-59.5141
608.000000	66.734	-58.6035
615.000000	66.746	-57.9613
622.000000	66.754	-57.5457
630.000000	66.745	-57.3823
640.000000	66.706	-57.6173
650.000000	66.653	-58.2649
660.000000	66.612	-59.1786
670.000000	66.591	-60.1330
680.000000	66.581	-61.0224
690.000000	66.571	-61.8602
700.000000	66.562	-62.6075
710.000000	66.556	-63.2431
720.000000	66.547	-63.7965
730.000000	66.531	-64.2958
740.000000	66.506	-64.7565
750.000000	66.480	-65.1888
762.000000	66.453	-65.6908
775.000000	66.437	-66.2856
788.000000	66.436	-66.9301
800.000000	66.437	-67.5532
812.000000	66.434	-68.2111
825.000000	66.431	-68.9671
838.000000	66.434	-69.7065
850.000000	66.442	-70.3011
862.000000	66.454	-70.7909
875.000000	66.467	-71.2383
