* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30-Oct-2024 20:35:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL Key Pro Open R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	40.724	98.6398
20.600000	40.812	98.7528
20.900000	40.921	98.7891
21.200001	41.025	98.6386
21.400000	41.080	98.4097
21.799999	41.146	97.6654
22.000000	41.158	97.1793
22.400000	41.161	96.0481
22.700001	41.163	95.0905
23.000000	41.179	94.0555
23.299999	41.211	92.9754
23.600000	41.256	91.9199
24.000000	41.326	90.7308
24.299999	41.386	90.1248
24.700001	41.487	89.7592
25.000000	41.587	89.7384
25.400000	41.751	89.8059
25.799999	41.925	89.7235
26.200001	42.078	89.3799
26.500000	42.167	89.0019
26.900000	42.256	88.4803
27.200001	42.314	88.1537
27.600000	42.395	87.8297
28.000000	42.488	87.5655
28.500000	42.601	87.1784
29.000000	42.690	86.6858
29.500000	42.773	86.1689
30.000000	42.906	85.6693
30.400000	43.069	85.2430
30.700001	43.214	84.8970
31.100000	43.403	84.4554
31.500000	43.544	84.1654
32.000000	43.612	84.2223
32.500000	43.568	84.7276
33.000000	43.467	85.2415
33.500000	43.373	85.1234
34.000000	43.342	84.0425
34.500000	43.426	82.2164
35.000000	43.647	80.1382
35.500000	43.938	78.1762
36.000000	44.163	76.5380
36.500000	44.204	75.4955
37.000000	44.049	75.3990
37.500000	43.827	76.3038
38.200001	43.737	77.9018
38.700001	43.888	78.0202
39.500000	44.208	76.6472
40.000000	44.345	76.0082
40.599998	44.480	76.0547
41.200001	44.621	76.3989
41.799999	44.736	76.3703
42.500000	44.793	75.9855
43.099998	44.799	75.8545
43.700001	44.798	76.0387
44.400002	44.784	76.3017
45.000000	44.753	76.1952
45.500000	44.724	75.7593
46.200001	44.710	74.7933
46.799999	44.734	74.0265
47.500000	44.767	73.7104
48.200001	44.751	74.2685
48.700001	44.709	75.1098
49.400002	44.660	76.3569
50.000000	44.662	76.8418
50.799999	44.702	76.2267
51.500000	44.729	75.0537
52.200001	44.740	74.0001
53.000000	44.745	73.2388
53.799999	44.751	72.8242
54.500000	44.759	72.6041
55.200001	44.762	72.4990
56.000000	44.748	72.6116
57.000000	44.719	72.9880
58.000000	44.684	73.1652
59.000000	44.648	73.1377
60.000000	44.646	73.1980
60.799999	44.669	73.3655
61.500000	44.699	73.5606
62.200001	44.736	73.7205
63.000000	44.779	73.7997
64.000000	44.815	73.9009
65.000000	44.812	74.3447
66.000000	44.775	75.1177
67.000000	44.720	75.8165
68.000000	44.673	76.1879
69.000000	44.645	76.3180
70.000000	44.619	76.4275
71.000000	44.577	76.6726
72.000000	44.539	77.0970
73.000000	44.531	77.5860
74.000000	44.545	77.9395
75.000000	44.548	78.1099
76.199997	44.532	78.3216
77.500000	44.527	78.8520
78.800003	44.539	79.4462
80.000000	44.521	79.8997
81.199997	44.488	80.6180
82.500000	44.497	81.7533
83.800003	44.532	82.6791
85.000000	44.535	83.3107
86.199997	44.538	83.9577
87.500000	44.567	84.9003
88.500000	44.600	85.7712
90.000000	44.628	86.8515
91.199997	44.655	87.4508
92.500000	44.709	88.0546
93.800003	44.746	88.8336
95.000000	44.754	89.6775
96.199997	44.757	90.4785
97.500000	44.770	91.1918
98.800003	44.809	91.7074
100.000000	44.872	92.0809
101.500000	44.935	92.8381
103.000000	44.956	94.1202
104.400002	44.967	95.4680
106.000000	44.987	96.8440
107.500000	45.023	97.8657
109.000000	45.099	98.8095
110.599998	45.212	99.9929
112.000000	45.315	101.0813
113.800003	45.432	102.1668
115.000000	45.478	102.6508
117.199997	45.516	103.5443
118.000000	45.539	103.9523
120.599998	45.674	105.4205
122.000000	45.755	106.1749
124.099998	45.852	107.1182
125.000000	45.884	107.4751
126.500000	45.934	108.1247
128.000000	45.990	108.9140
131.500000	46.200	110.8129
132.000000	46.236	111.0565
134.000000	46.376	111.9548
136.000000	46.492	112.8686
138.000000	46.590	113.9680
140.000000	46.691	115.1613
143.000000	46.853	116.8546
145.000000	46.949	117.8933
147.500000	47.078	118.9457
150.000000	47.221	119.9933
152.500000	47.359	121.4053
155.000000	47.494	122.9887
157.500000	47.628	124.2932
160.000000	47.763	125.2974
162.500000	47.893	126.3052
165.000000	48.009	127.4479
167.500000	48.113	128.7833
170.000000	48.224	130.1852
172.500000	48.350	131.5571
175.000000	48.482	132.8116
177.500000	48.608	133.9694
180.000000	48.718	135.1542
182.500000	48.813	136.3666
185.000000	48.902	137.5385
187.500000	48.990	138.6891
190.000000	49.082	139.8830
192.500000	49.174	141.0861
195.000000	49.256	142.2520
197.500000	49.333	143.4084
200.000000	49.424	144.5445
203.000000	49.564	145.9072
206.000000	49.722	147.3342
209.000000	49.891	148.7434
212.000000	50.056	150.1079
214.000000	50.156	150.9952
218.000000	50.343	152.7099
220.000000	50.435	153.5497
224.000000	50.620	155.2626
227.000000	50.762	156.6391
230.000000	50.898	158.0757
233.000000	51.024	159.4775
236.000000	51.151	160.7902
240.000000	51.326	162.5441
243.000000	51.453	163.9837
247.000000	51.610	166.0206
250.000000	51.728	167.4701
254.000000	51.900	169.2254
258.000000	52.079	170.9032
262.000000	52.249	172.6144
265.000000	52.369	173.9280
269.000000	52.530	175.7124
272.000000	52.658	177.0653
276.000000	52.838	178.8250
280.000000	53.020	-179.5158
285.000000	53.248	-177.5104
290.000000	53.480	-175.4807
295.000000	53.711	-173.4590
300.000000	53.938	-171.4950
304.000000	54.110	-169.8967
307.000000	54.234	-168.7003
311.000000	54.394	-167.1584
315.000000	54.547	-165.6738
320.000000	54.739	-163.7694
325.000000	54.936	-161.7193
330.000000	55.138	-159.5353
335.000000	55.358	-157.3194
340.000000	55.597	-155.1788
345.000000	55.843	-153.1099
350.000000	56.093	-151.0968
355.000000	56.341	-149.1701
360.000000	56.580	-147.3470
365.000000	56.811	-145.6179
370.000000	57.041	-143.9753
375.000000	57.271	-142.4033
382.000000	57.591	-140.2838
387.000000	57.821	-138.7961
395.000000	58.177	-136.5307
400.000000	58.390	-135.2333
406.000000	58.641	-133.7661
412.000000	58.880	-132.3369
418.000000	59.102	-130.9301
425.000000	59.351	-129.2427
431.000000	59.565	-127.7086
437.000000	59.781	-126.1030
444.000000	60.045	-124.1924
450.000000	60.288	-122.5988
455.000000	60.499	-121.3258
462.000000	60.804	-119.6483
468.000000	61.068	-118.3168
475.000000	61.374	-116.8322
482.000000	61.676	-115.3328
487.000000	61.888	-114.2476
494.000000	62.178	-112.7558
500.000000	62.420	-111.5450
508.000000	62.739	-110.0598
515.000000	63.016	-108.8780
522.000000	63.288	-107.8087
530.000000	63.590	-106.7147
538.000000	63.880	-105.7047
545.000000	64.129	-104.8450
552.000000	64.379	-104.0107
560.000000	64.664	-103.1239
570.000000	65.014	-102.1440
580.000000	65.348	-101.2625
590.000000	65.654	-100.5049
600.000000	65.937	-99.9120
608.000000	66.158	-99.5264
615.000000	66.351	-99.2160
622.000000	66.538	-98.9168
630.000000	66.737	-98.5771
640.000000	66.968	-98.1801
650.000000	67.187	-97.9064
660.000000	67.394	-97.7726
670.000000	67.583	-97.7139
680.000000	67.750	-97.6482
690.000000	67.900	-97.5004
700.000000	68.040	-97.2678
710.000000	68.172	-96.9924
720.000000	68.290	-96.6635
730.000000	68.400	-96.2819
740.000000	68.504	-95.9171
750.000000	68.605	-95.6173
762.000000	68.720	-95.3355
775.000000	68.827	-95.0711
788.000000	68.898	-94.7872
800.000000	68.939	-94.4127
812.000000	68.962	-93.8739
825.000000	68.974	-93.1127
838.000000	68.979	-92.1789
850.000000	68.982	-91.1704
862.000000	68.986	-90.0538
875.000000	68.993	-88.7759
885.000000	68.996	-87.7557
900.000000	68.993	-86.1472
912.000000	68.990	-84.8053
925.000000	68.996	-83.3598
938.000000	69.010	-81.9344
950.000000	69.026	-80.6201
962.000000	69.046	-79.3317
975.000000	69.077	-77.9750
988.000000	69.118	-76.6274
1000.000000	69.159	-75.3771
1015.000000	69.204	-73.8314
1030.000000	69.244	-72.3137
1044.000000	69.285	-70.8974
1060.000000	69.339	-69.2501
1075.000000	69.395	-67.6678
1090.000000	69.457	-66.0317
1106.000000	69.526	-64.2694
1120.000000	69.587	-62.7593
1138.000000	69.666	-60.8685
1150.000000	69.724	-59.6331
1172.000000	69.849	-57.4247
1180.000000	69.899	-56.6389
1206.000000	70.067	-54.1738
1220.000000	70.153	-52.8969
1241.000000	70.284	-50.9842
1250.000000	70.344	-50.1447
1265.000000	70.448	-48.7009
1280.000000	70.552	-47.2067
1315.000000	70.758	-43.6094
1320.000000	70.780	-43.0904
1340.000000	70.842	-41.0228
1360.000000	70.852	-38.9821
1380.000000	70.824	-36.9545
1400.000000	70.783	-34.8715
1430.000000	70.750	-31.3580
1450.000000	70.772	-28.6065
1475.000000	70.859	-24.7467
1500.000000	70.984	-20.6337
1525.000000	71.118	-16.3960
1550.000000	71.251	-12.1022
1575.000000	71.390	-7.7922
1600.000000	71.540	-3.4409
1625.000000	71.697	0.9484
1650.000000	71.860	5.3698
1675.000000	72.033	9.8611
1700.000000	72.211	14.3984
1725.000000	72.387	18.9399
1750.000000	72.564	23.5009
1775.000000	72.749	28.0449
1800.000000	72.937	32.4760
1825.000000	73.119	36.7145
1850.000000	73.292	40.7722
1875.000000	73.461	44.7218
1900.000000	73.628	48.6256
1925.000000	73.796	52.4965
1950.000000	73.959	56.3116
1975.000000	74.116	60.0098
2000.000000	74.265	63.5183
2030.000000	74.434	67.4855
2060.000000	74.599	71.3135
2090.000000	74.762	75.0828
2120.000000	74.924	78.8192
2140.000000	75.030	81.2870
2180.000000	75.228	86.1296
2200.000000	75.317	88.5222
2240.000000	75.492	93.3538
2270.000000	75.620	97.0422
2300.000000	75.738	100.7535
2330.000000	75.844	104.4777
2360.000000	75.941	108.2939
2400.000000	76.070	113.5785
2430.000000	76.168	117.6139
2470.000000	76.295	122.9736
2500.000000	76.388	126.9652
2540.000000	76.505	132.2319
2580.000000	76.610	137.4019
2620.000000	76.708	142.4719
2650.000000	76.778	146.2057
2690.000000	76.864	151.1089
2720.000000	76.923	154.7514
2760.000000	76.994	159.5742
2800.000000	77.056	164.3667
2850.000000	77.128	170.3369
2900.000000	77.196	176.3264
2950.000000	77.255	-177.6601
3000.000000	77.299	-171.5944
3040.000000	77.326	-166.6041
3070.000000	77.345	-162.7445
3110.000000	77.368	-157.4678
3150.000000	77.388	-152.1222
3200.000000	77.405	-145.4024
3250.000000	77.412	-138.5785
3300.000000	77.412	-131.6201
3350.000000	77.406	-124.6122
3400.000000	77.392	-117.7265
3450.000000	77.368	-111.1591
3500.000000	77.335	-105.0996
3550.000000	77.293	-99.7151
3600.000000	77.241	-95.0766
3650.000000	77.182	-91.0727
3700.000000	77.123	-87.4285
3750.000000	77.071	-83.8835
3820.000000	77.012	-78.9582
3870.000000	76.973	-75.4761
3950.000000	76.909	-69.9355
4000.000000	76.858	-66.4585
4060.000000	76.784	-62.2186
4120.000000	76.697	-57.9044
4180.000000	76.600	-53.6379
4250.000000	76.463	-48.8262
4310.000000	76.336	-44.7354
4370.000000	76.220	-40.6011
4440.000000	76.109	-35.9277
