* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30-Oct-2024 20:32:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL Key Pro R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.698	48.0769
20.600000	72.789	47.1827
20.900000	72.900	46.1125
21.200001	73.013	45.0298
21.400000	73.083	44.3284
21.799999	73.209	42.9817
22.000000	73.264	42.3296
22.400000	73.359	41.0449
22.700001	73.419	40.0802
23.000000	73.472	39.1005
23.299999	73.520	38.0982
23.600000	73.565	37.0701
24.000000	73.622	35.6612
24.299999	73.664	34.5811
24.700001	73.721	33.1207
25.000000	73.764	32.0177
25.400000	73.822	30.5489
25.799999	73.880	29.0969
26.200001	73.936	27.6787
26.500000	73.977	26.6466
26.900000	74.030	25.3204
27.200001	74.069	24.3631
27.600000	74.120	23.1278
28.000000	74.171	21.9215
28.500000	74.231	20.4222
29.000000	74.281	18.9080
29.500000	74.320	17.3784
30.000000	74.352	15.8539
30.400000	74.373	14.6540
30.700001	74.388	13.7711
31.100000	74.407	12.6186
31.500000	74.427	11.4930
32.000000	74.452	10.1187
32.500000	74.476	8.7744
33.000000	74.497	7.4552
33.500000	74.516	6.1579
34.000000	74.534	4.8803
34.500000	74.551	3.6206
35.000000	74.566	2.3766
35.500000	74.578	1.1462
36.000000	74.587	-0.0706
36.500000	74.593	-1.2711
37.000000	74.599	-2.4522
37.500000	74.603	-3.6136
38.200001	74.603	-5.2110
38.700001	74.598	-6.3343
39.500000	74.578	-8.0996
40.000000	74.559	-9.1848
40.599998	74.536	-10.4792
41.200001	74.514	-11.7750
41.799999	74.494	-13.0662
42.500000	74.475	-14.5367
43.099998	74.460	-15.7514
43.700001	74.446	-16.9402
44.400002	74.425	-18.3305
45.000000	74.395	-19.5288
45.500000	74.363	-20.5163
46.200001	74.317	-21.8656
46.799999	74.279	-22.9967
47.500000	74.236	-24.2798
48.200001	74.186	-25.4820
48.700001	74.152	-26.2893
49.400002	74.112	-27.4198
50.000000	74.083	-28.4661
50.799999	74.037	-29.9761
51.500000	73.985	-31.2940
52.200001	73.928	-32.5211
53.000000	73.861	-33.8243
53.799999	73.792	-35.0938
54.500000	73.732	-36.2147
55.200001	73.674	-37.3355
56.000000	73.609	-38.5741
57.000000	73.527	-40.0248
58.000000	73.440	-41.4079
59.000000	73.345	-42.7734
60.000000	73.251	-44.1346
60.799999	73.178	-45.2170
61.500000	73.114	-46.1518
62.200001	73.051	-47.0712
63.000000	72.978	-48.1092
64.000000	72.890	-49.4001
65.000000	72.801	-50.6666
66.000000	72.709	-51.8691
67.000000	72.612	-52.9976
68.000000	72.513	-54.0734
69.000000	72.418	-55.1241
70.000000	72.326	-56.1694
71.000000	72.239	-57.2102
72.000000	72.152	-58.2369
73.000000	72.063	-59.2451
74.000000	71.973	-60.2331
75.000000	71.885	-61.1873
76.199997	71.788	-62.2613
77.500000	71.685	-63.3511
78.800003	71.578	-64.4024
80.000000	71.481	-65.3403
81.199997	71.389	-66.2297
82.500000	71.294	-67.1452
83.800003	71.202	-68.0260
85.000000	71.118	-68.8010
86.199997	71.034	-69.5525
87.500000	70.941	-70.3613
88.500000	70.871	-70.9728
90.000000	70.772	-71.8546
91.199997	70.700	-72.5429
92.500000	70.628	-73.2786
93.800003	70.560	-73.9937
95.000000	70.499	-74.6421
96.199997	70.439	-75.2892
97.500000	70.372	-75.9786
98.800003	70.304	-76.6408
100.000000	70.239	-77.2286
101.500000	70.158	-77.9476
103.000000	70.082	-78.6790
104.400002	70.021	-79.4000
106.000000	69.963	-80.2743
107.500000	69.921	-81.1074
109.000000	69.883	-81.9193
110.599998	69.847	-82.7711
112.000000	69.816	-83.5125
113.800003	69.775	-84.4358
115.000000	69.746	-85.0351
117.199997	69.693	-86.1591
118.000000	69.676	-86.5873
120.599998	69.625	-88.0453
122.000000	69.596	-88.8522
124.099998	69.551	-90.0374
125.000000	69.531	-90.5238
