* Measurement data measured by REW V5.20.13
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -33.7 dBFS, measurement signal peak level -22.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06-Apr-2023 23:25:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL Key R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.390	-86.8863
20.600000	71.438	-87.2965
20.900000	71.557	-88.1453
21.200001	71.696	-89.0175
21.400000	71.795	-89.5554
21.799999	72.000	-90.5082
22.000000	72.103	-90.9249
22.400000	72.300	-91.6712
22.700001	72.437	-92.1788
23.000000	72.563	-92.6605
23.299999	72.681	-93.1280
23.600000	72.792	-93.5904
24.000000	72.937	-94.2135
24.299999	73.047	-94.6977
24.700001	73.197	-95.3786
25.000000	73.311	-95.9192
25.400000	73.457	-96.6741
25.799999	73.592	-97.4499
26.200001	73.710	-98.2263
26.500000	73.789	-98.8032
26.900000	73.882	-99.5679
27.200001	73.947	-100.1434
27.600000	74.032	-100.9181
28.000000	74.119	-101.6948
28.500000	74.233	-102.6388
29.000000	74.353	-103.5146
29.500000	74.477	-104.3077
30.000000	74.600	-105.0365
30.400000	74.695	-105.5983
30.700001	74.764	-106.0209
31.100000	74.855	-106.6032
31.500000	74.948	-107.2212
32.000000	75.070	-108.0527
32.500000	75.197	-108.9281
33.000000	75.324	-109.7906
33.500000	75.446	-110.5852
34.000000	75.563	-111.2908
34.500000	75.672	-111.9325
35.000000	75.773	-112.5519
35.500000	75.866	-113.1794
36.000000	75.955	-113.8218
36.500000	76.047	-114.4758
37.000000	76.143	-115.1368
37.500000	76.242	-115.7956
38.200001	76.379	-116.6783
38.700001	76.475	-117.2606
39.500000	76.634	-118.1419
40.000000	76.738	-118.7039
40.599998	76.861	-119.4033
41.200001	76.983	-120.0945
41.799999	77.104	-120.7434
42.500000	77.248	-121.4633
43.099998	77.373	-122.0989
43.700001	77.494	-122.7763
44.400002	77.629	-123.5985
45.000000	77.740	-124.2992
45.500000	77.832	-124.8704
46.200001	77.961	-125.6580
46.799999	78.072	-126.3366
47.500000	78.203	-127.1476
48.200001	78.338	-127.9888
48.700001	78.436	-128.6101
49.400002	78.574	-129.5028
50.000000	78.687	-130.2767
50.799999	78.826	-131.3083
51.500000	78.938	-132.2199
52.200001	79.046	-133.1546
53.000000	79.165	-134.2454
53.799999	79.284	-135.3385
54.500000	79.394	-136.2938
55.200001	79.507	-137.2571
56.000000	79.637	-138.3752
57.000000	79.795	-139.8063
58.000000	79.947	-141.2781
59.000000	80.095	-142.7702
60.000000	80.239	-144.2755
60.799999	80.349	-145.5045
61.500000	80.442	-146.6058
62.200001	80.531	-147.7343
63.000000	80.631	-149.0586
64.000000	80.748	-150.7606
65.000000	80.854	-152.5019
66.000000	80.946	-154.2777
67.000000	81.025	-156.0878
68.000000	81.092	-157.9237
69.000000	81.147	-159.7769
70.000000	81.192	-161.6453
71.000000	81.229	-163.5190
72.000000	81.258	-165.3801
73.000000	81.281	-167.2223
74.000000	81.293	-169.0533
75.000000	81.294	-170.8742
76.199997	81.279	-173.0333
77.500000	81.247	-175.3297
78.800003	81.198	-177.5748
80.000000	81.137	-179.5997
81.199997	81.063	178.4128
82.500000	80.968	176.3036
83.800003	80.859	174.2534
85.000000	80.747	172.4120
86.199997	80.626	170.6194
87.500000	80.484	168.7461
88.500000	80.368	167.3594
90.000000	80.184	165.3607
91.199997	80.031	163.8308
92.500000	79.858	162.2478
93.800003	79.679	160.7394
95.000000	79.507	159.4084
96.199997	79.328	158.1311
97.500000	79.131	156.8045
98.800003	78.931	155.5383
100.000000	78.745	154.4241
101.500000	78.515	153.1059
103.000000	78.283	151.8685
104.400002	78.064	150.7827
106.000000	77.805	149.6205
107.500000	77.555	148.5999
109.000000	77.301	147.6347
110.599998	77.032	146.6599
112.000000	76.799	145.8534
113.800003	76.501	144.8875
115.000000	76.304	144.2905
117.199997	75.942	143.2890
118.000000	75.810	142.9534
120.599998	75.381	141.9634
122.000000	75.151	141.4904
124.099998	74.809	140.8540
125.000000	74.662	140.6057
126.500000	74.414	140.2183
128.000000	74.164	139.8555
131.500000	73.572	139.0967
132.000000	73.488	139.0019
134.000000	73.151	138.6644
136.000000	72.815	138.3945
138.000000	72.478	138.1866
140.000000	72.141	138.0323
143.000000	71.630	137.8892
145.000000	71.286	137.8516
147.500000	70.853	137.8755
150.000000	70.419	137.9928
152.500000	69.984	138.2090
155.000000	69.543	138.5193
157.500000	69.093	138.9211
160.000000	68.634	139.4212
162.500000	68.173	140.0291
165.000000	67.711	140.7509
167.500000	67.248	141.5812
170.000000	66.778	142.4994
172.500000	66.299	143.4897
175.000000	65.808	144.5473
177.500000	65.302	145.6780
180.000000	64.778	146.8868
182.500000	64.233	148.1920
185.000000	63.662	149.6201
187.500000	63.067	151.1847
190.000000	62.459	152.9073
