* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 20:59:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FKP ANC off O L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.129	-167.1217
20.600000	77.154	-167.5169
20.900000	77.184	-168.0272
21.200001	77.213	-168.5980
21.400000	77.231	-169.0006
21.799999	77.256	-169.8371
22.000000	77.264	-170.2608
22.400000	77.274	-171.0949
22.700001	77.279	-171.6956
23.000000	77.285	-172.2704
23.299999	77.293	-172.8219
23.600000	77.304	-173.3559
24.000000	77.319	-174.0517
24.299999	77.330	-174.5676
24.700001	77.342	-175.2527
25.000000	77.348	-175.7656
25.400000	77.352	-176.4470
25.799999	77.352	-177.1226
26.200001	77.351	-177.7894
26.500000	77.349	-178.2833
26.900000	77.346	-178.9353
27.200001	77.344	-179.4207
27.600000	77.340	179.9369
28.000000	77.333	179.3029
28.500000	77.321	178.5282
29.000000	77.304	177.7745
29.500000	77.286	177.0350
30.000000	77.269	176.3040
30.400000	77.255	175.7256
30.700001	77.245	175.2964
31.100000	77.232	174.7297
31.500000	77.219	174.1671
32.000000	77.201	173.4658
32.500000	77.180	172.7679
33.000000	77.155	172.0799
33.500000	77.129	171.4076
34.000000	77.102	170.7538
34.500000	77.077	170.1172
35.000000	77.052	169.4911
35.500000	77.023	168.8656
36.000000	76.989	168.2396
36.500000	76.949	167.6284
37.000000	76.906	167.0487
37.500000	76.869	166.4947
38.200001	76.829	165.7035
38.700001	76.802	165.1078
39.500000	76.746	164.1963
40.000000	76.702	163.7114
40.599998	76.652	163.1870
41.200001	76.605	162.6313
41.799999	76.556	161.9974
42.500000	76.490	161.2283
43.099998	76.431	160.6260
43.700001	76.377	160.0817
44.400002	76.317	159.4509
45.000000	76.259	158.8846
45.500000	76.203	158.4209
46.200001	76.123	157.8387
46.799999	76.065	157.3915
47.500000	76.013	156.8563
48.200001	75.958	156.2778
48.700001	75.911	155.8671
49.400002	75.836	155.3352
50.000000	75.766	154.9181
50.799999	75.667	154.3878
51.500000	75.578	153.9341
52.200001	75.493	153.4782
53.000000	75.403	152.9461
53.799999	75.317	152.4261
54.500000	75.244	152.0043
55.200001	75.170	151.6079
56.000000	75.080	151.1637
57.000000	74.959	150.6114
58.000000	74.839	150.0863
59.000000	74.721	149.6163
60.000000	74.603	149.1939
60.799999	74.511	148.8594
61.500000	74.434	148.5627
62.200001	74.358	148.2856
63.000000	74.269	148.0245
64.000000	74.157	147.7847
65.000000	74.050	147.5889
66.000000	73.951	147.3879
67.000000	73.852	147.1707
68.000000	73.747	146.9515
69.000000	73.639	146.7359
70.000000	73.530	146.5274
71.000000	73.419	146.3563
72.000000	73.308	146.2539
73.000000	73.198	146.2159
74.000000	73.094	146.2030
75.000000	72.997	146.1826
76.199997	72.884	146.1696
77.500000	72.763	146.2156
78.800003	72.647	146.2713
80.000000	72.539	146.2899
81.199997	72.430	146.3223
82.500000	72.314	146.4443
83.800003	72.204	146.6458
85.000000	72.109	146.8258
86.199997	72.017	146.9592
87.500000	71.918	147.0805
88.500000	71.842	147.1953
90.000000	71.732	147.4193
91.199997	71.650	147.6144
92.500000	71.564	147.8114
93.800003	71.477	148.0053
95.000000	71.395	148.2083
96.199997	71.313	148.4304
97.500000	71.227	148.6732
98.800003	71.147	148.9208
100.000000	71.081	149.1649
101.500000	71.009	149.5121
103.000000	70.946	149.8915
104.400002	70.896	150.2302
106.000000	70.843	150.5974
107.500000	70.793	150.9329
109.000000	70.742	151.2465
110.599998	70.690	151.5270
112.000000	70.645	151.7126
113.800003	70.590	151.9102
115.000000	70.554	152.0656
117.199997	70.489	152.4247
118.000000	70.468	152.5612
120.599998	70.415	152.9674
122.000000	70.393	153.1601
124.099998	70.363	153.4595
125.000000	70.351	153.6091
126.500000	70.330	153.8895
128.000000	70.305	154.1722
131.500000	70.231	154.5851
132.000000	70.220	154.6214
134.000000	70.181	154.7740
136.000000	70.147	154.9704
138.000000	70.118	155.1991
140.000000	70.094	155.4501
143.000000	70.063	155.8337
145.000000	70.043	156.0809
147.500000	70.026	156.3139
150.000000	70.018	156.4042
152.500000	70.015	156.3975
155.000000	70.009	156.3604
157.500000	69.991	156.2740
160.000000	69.963	156.1180
162.500000	69.928	155.9704
165.000000	69.893	155.8866
167.500000	69.859	155.8459
170.000000	69.824	155.8003
172.500000	69.790	155.7216
