* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 20:59:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FKP ANC off O R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.093	-168.0089
20.600000	77.116	-168.4414
20.900000	77.146	-168.9771
21.200001	77.177	-169.5471
21.400000	77.196	-169.9340
21.799999	77.226	-170.7106
22.000000	77.236	-171.0949
22.400000	77.250	-171.8438
22.700001	77.256	-172.3847
23.000000	77.262	-172.9131
23.299999	77.269	-173.4394
23.600000	77.278	-173.9752
24.000000	77.290	-174.7162
24.299999	77.297	-175.2909
24.700001	77.302	-176.0676
25.000000	77.303	-176.6447
25.400000	77.300	-177.3909
25.799999	77.297	-178.1029
26.200001	77.293	-178.7823
26.500000	77.291	-179.2747
26.900000	77.290	-179.9147
27.200001	77.288	179.6143
27.600000	77.286	178.9953
28.000000	77.284	178.3851
28.500000	77.278	177.6338
29.000000	77.271	176.8903
29.500000	77.262	176.1418
30.000000	77.253	175.3752
30.400000	77.244	174.7479
30.700001	77.235	174.2738
31.100000	77.221	173.6461
31.500000	77.205	173.0340
32.000000	77.183	172.3031
32.500000	77.160	171.6156
33.000000	77.135	170.9684
33.500000	77.109	170.3476
34.000000	77.082	169.7283
34.500000	77.057	169.0837
35.000000	77.032	168.4033
35.500000	77.004	167.7035
36.000000	76.973	167.0193
36.500000	76.941	166.3788
37.000000	76.909	165.7819
37.500000	76.876	165.2021
38.200001	76.825	164.3715
38.700001	76.782	163.7676
39.500000	76.710	162.8445
40.000000	76.667	162.3096
40.599998	76.615	161.6934
41.200001	76.559	161.0880
41.799999	76.499	160.4850
42.500000	76.434	159.7658
43.099998	76.387	159.1293
43.700001	76.345	158.5060
44.400002	76.299	157.8510
45.000000	76.254	157.3549
45.500000	76.210	156.9634
46.200001	76.140	156.4182
46.799999	76.079	155.9467
47.500000	76.015	155.3934
48.200001	75.959	154.8512
48.700001	75.920	154.4870
49.400002	75.862	154.0149
50.000000	75.805	153.6221
50.799999	75.715	153.0726
51.500000	75.625	152.5740
52.200001	75.532	152.0917
53.000000	75.430	151.5755
53.799999	75.337	151.0770
54.500000	75.260	150.6445
55.200001	75.183	150.2297
56.000000	75.093	149.7996
57.000000	74.981	149.3152
58.000000	74.874	148.8489
59.000000	74.767	148.4020
60.000000	74.651	147.9876
60.799999	74.554	147.6729
61.500000	74.469	147.4048
62.200001	74.387	147.1502
63.000000	74.294	146.8901
64.000000	74.182	146.6088
65.000000	74.073	146.3382
66.000000	73.968	146.0641
67.000000	73.864	145.8220
68.000000	73.756	145.6326
69.000000	73.643	145.4614
70.000000	73.527	145.2738
71.000000	73.412	145.0762
72.000000	73.302	144.8904
73.000000	73.200	144.7297
74.000000	73.102	144.6091
75.000000	73.007	144.5472
76.199997	72.890	144.5449
77.500000	72.762	144.5857
78.800003	72.638	144.6312
80.000000	72.526	144.6836
81.199997	72.419	144.7628
82.500000	72.310	144.8499
83.800003	72.207	144.9112
85.000000	72.113	144.9604
86.199997	72.017	145.0280
87.500000	71.914	145.1479
