* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 20:57:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FKP ANC on O L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.206	19.7077
20.600000	80.242	19.0002
20.900000	80.284	18.1056
21.200001	80.324	17.1366
21.400000	80.348	16.4727
21.799999	80.387	15.1290
22.000000	80.404	14.4576
22.400000	80.433	13.1301
22.700001	80.453	12.1541
23.000000	80.473	11.1954
23.299999	80.495	10.2503
23.600000	80.517	9.3142
24.000000	80.544	8.0740
24.299999	80.562	7.1485
24.700001	80.582	5.9226
25.000000	80.594	5.0109
25.400000	80.607	3.8072
25.799999	80.616	2.6181
26.200001	80.621	1.4456
26.500000	80.621	0.5799
26.900000	80.617	-0.5523
27.200001	80.611	-1.3837
27.600000	80.603	-2.4704
28.000000	80.593	-3.5375
28.500000	80.579	-4.8529
29.000000	80.562	-6.1501
29.500000	80.543	-7.4227
30.000000	80.522	-8.6665
30.400000	80.505	-9.6449
30.700001	80.491	-10.3735
31.100000	80.472	-11.3417
31.500000	80.452	-12.3056
32.000000	80.424	-13.4943
32.500000	80.394	-14.6522
33.000000	80.364	-15.7778
33.500000	80.334	-16.8832
34.000000	80.302	-17.9790
34.500000	80.266	-19.0607
35.000000	80.226	-20.1142
35.500000	80.183	-21.1320
36.000000	80.141	-22.1218
36.500000	80.101	-23.0981
37.000000	80.059	-24.0683
37.500000	80.014	-25.0309
38.200001	79.945	-26.3622
38.700001	79.891	-27.3025
39.500000	79.801	-28.7789
40.000000	79.743	-29.6741
40.599998	79.676	-30.7237
41.200001	79.611	-31.7615
41.799999	79.546	-32.7878
42.500000	79.466	-33.9414
43.099998	79.397	-34.8780
43.700001	79.330	-35.7823
44.400002	79.255	-36.8280
45.000000	79.189	-37.7240
45.500000	79.133	-38.4648
46.200001	79.049	-39.4853
46.799999	78.973	-40.3432
47.500000	78.882	-41.3228
48.200001	78.791	-42.2759
48.700001	78.730	-42.9376
49.400002	78.648	-43.8326
50.000000	78.577	-44.5660
50.799999	78.473	-45.5015
51.500000	78.374	-46.3031
52.200001	78.271	-47.1117
53.000000	78.157	-48.0475
53.799999	78.047	-48.9707
54.500000	77.954	-49.7372
55.200001	77.860	-50.4478
56.000000	77.752	-51.2056
57.000000	77.621	-52.1214
58.000000	77.494	-53.0215
59.000000	77.367	-53.8837
60.000000	77.237	-54.6825
60.799999	77.134	-55.2885
61.500000	77.047	-55.8200
62.200001	76.963	-56.3628
63.000000	76.866	-56.9882
64.000000	76.740	-57.7487
65.000000	76.610	-58.4582
66.000000	76.479	-59.1029
67.000000	76.353	-59.7032
68.000000	76.228	-60.2919
69.000000	76.102	-60.8582
70.000000	75.979	-61.3814
71.000000	75.860	-61.8684
72.000000	75.742	-62.3306
73.000000	75.624	-62.7617
74.000000	75.513	-63.1507
75.000000	75.409	-63.5148
76.199997	75.291	-63.9629
77.500000	75.159	-64.4723
78.800003	75.019	-64.9557
80.000000	74.889	-65.3368
81.199997	74.767	-65.6595
82.500000	74.642	-65.9717
83.800003	74.524	-66.2777
85.000000	74.419	-66.5712
86.199997	74.316	-66.8643
87.500000	74.214	-67.1691
88.500000	74.139	-67.3931
90.000000	74.030	-67.7162
91.199997	73.942	-67.9432
92.500000	73.848	-68.1311
93.800003	73.761	-68.2951
95.000000	73.683	-68.4535
96.199997	73.608	-68.6026
97.500000	73.531	-68.7354
98.800003	73.458	-68.8455
100.000000	73.392	-68.9501
101.500000	73.315	-69.1297
103.000000	73.241	-69.3656
104.400002	73.179	-69.5822
106.000000	73.120	-69.7938
107.500000	73.071	-69.9765
109.000000	73.023	-70.1572
110.599998	72.972	-70.3633
112.000000	72.929	-70.5532
113.800003	72.881	-70.7894
115.000000	72.853	-70.9480
117.199997	72.797	-71.2745
118.000000	72.774	-71.4045
