* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 21:02:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FKP SIE L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.389	-139.9426
20.600000	79.434	-140.2245
20.900000	79.487	-140.5792
21.200001	79.541	-140.9578
21.400000	79.575	-141.2117
21.799999	79.639	-141.7065
22.000000	79.670	-141.9428
22.400000	79.731	-142.3900
22.700001	79.778	-142.7071
23.000000	79.827	-143.0171
23.299999	79.877	-143.3290
23.600000	79.927	-143.6496
24.000000	79.990	-144.0944
24.299999	80.034	-144.4372
24.700001	80.089	-144.8949
25.000000	80.128	-145.2305
25.400000	80.180	-145.6595
25.799999	80.231	-146.0648
26.200001	80.282	-146.4497
26.500000	80.319	-146.7295
26.900000	80.366	-147.0988
27.200001	80.400	-147.3778
27.600000	80.442	-147.7576
28.000000	80.481	-148.1461
28.500000	80.526	-148.6352
29.000000	80.568	-149.1141
29.500000	80.612	-149.5755
30.000000	80.658	-150.0217
30.400000	80.695	-150.3685
30.700001	80.722	-150.6210
31.100000	80.757	-150.9441
31.500000	80.791	-151.2506
32.000000	80.835	-151.6179
32.500000	80.879	-151.9843
33.000000	80.922	-152.3632
33.500000	80.963	-152.7523
34.000000	81.003	-153.1390
34.500000	81.041	-153.5138
35.000000	81.080	-153.8754
35.500000	81.118	-154.2269
36.000000	81.153	-154.5695
36.500000	81.186	-154.9032
37.000000	81.217	-155.2300
37.500000	81.245	-155.5528
38.200001	81.278	-155.9989
38.700001	81.301	-156.3127
39.500000	81.342	-156.8220
40.000000	81.371	-157.1611
40.599998	81.405	-157.5922
41.200001	81.439	-158.0284
41.799999	81.471	-158.4405
42.500000	81.506	-158.8689
43.099998	81.533	-159.1894
43.700001	81.559	-159.4769
44.400002	81.592	-159.8005
45.000000	81.626	-160.0963
45.500000	81.655	-160.3613
46.200001	81.695	-160.7394
46.799999	81.726	-161.0473
47.500000	81.760	-161.3841
48.200001	81.795	-161.7183
48.700001	81.821	-161.9658
49.400002	81.857	-162.3234
50.000000	81.884	-162.6299
50.799999	81.909	-163.0214
51.500000	81.920	-163.3452
52.200001	81.927	-163.6604
53.000000	81.935	-164.0179
53.799999	81.950	-164.3714
54.500000	81.970	-164.6743
55.200001	81.993	-164.9656
56.000000	82.017	-165.2755
57.000000	82.041	-165.6315
58.000000	82.064	-165.9776
59.000000	82.089	-166.3342
60.000000	82.113	-166.7136
60.799999	82.132	-167.0257
61.500000	82.148	-167.2915
62.200001	82.165	-167.5451
63.000000	82.188	-167.8250
64.000000	82.217	-168.1733
65.000000	82.244	-168.5169
66.000000	82.270	-168.8573
67.000000	82.290	-169.2066
68.000000	82.303	-169.5513
69.000000	82.315	-169.8738
70.000000	82.333	-170.1714
71.000000	82.357	-170.4538
72.000000	82.381	-170.7390
73.000000	82.401	-171.0303
74.000000	82.421	-171.3242
75.000000	82.443	-171.6294
76.199997	82.467	-172.0103
77.500000	82.488	-172.4214
78.800003	82.507	-172.8470
80.000000	82.528	-173.2619
81.199997	82.548	-173.6810
82.500000	82.563	-174.1240
83.800003	82.572	-174.5350
85.000000	82.584	-174.8746
86.199997	82.599	-175.1971
87.500000	82.615	-175.5737
88.500000	82.625	-175.8875
90.000000	82.636	-176.3334
91.199997	82.643	-176.6516
92.500000	82.652	-176.9967
93.800003	82.663	-177.3581
95.000000	82.674	-177.6838
96.199997	82.686	-178.0002
97.500000	82.702	-178.3555
98.800003	82.719	-178.7341
100.000000	82.735	-179.0922
101.500000	82.755	-179.5123
103.000000	82.776	-179.8852
104.400002	82.792	179.7621
106.000000	82.804	179.3124
107.500000	82.815	178.8668
109.000000	82.826	178.4233
110.599998	82.840	177.9831
112.000000	82.849	177.6358
113.800003	82.854	177.2131
115.000000	82.855	176.9323
117.199997	82.858	176.4178
118.000000	82.862	176.2310
120.599998	82.890	175.6241
122.000000	82.911	175.2981
124.099998	82.940	174.7970
125.000000	82.948	174.5735
126.500000	82.954	174.1887
128.000000	82.956	173.7902
131.500000	82.966	172.8474
132.000000	82.968	172.7224
134.000000	82.979	172.2682
136.000000	82.990	171.8520
138.000000	82.997	171.3951
140.000000	83.004	170.8951
143.000000	83.019	170.1725
145.000000	83.026	169.7061
147.500000	83.031	169.1322
150.000000	83.039	168.5660
152.500000	83.052	167.9793
155.000000	83.064	167.4166
157.500000	83.074	166.9135
160.000000	83.087	166.4099
162.500000	83.113	165.8852
165.000000	83.144	165.3539
167.500000	83.170	164.8027
170.000000	83.187	164.2615
172.500000	83.202	163.7565
175.000000	83.218	163.2300
177.500000	83.232	162.6441
180.000000	83.239	162.0352
182.500000	83.235	161.4550
185.000000	83.217	160.9038
187.500000	83.187	160.3543
190.000000	83.155	159.8105
192.500000	83.134	159.2796
195.000000	83.128	158.7543
197.500000	83.136	158.2325
200.000000	83.150	157.7015
203.000000	83.173	157.0358
206.000000	83.204	156.3513
209.000000	83.241	155.6871
212.000000	83.277	155.0300
214.000000	83.297	154.5721
218.000000	83.325	153.6177
220.000000	83.333	153.1535
224.000000	83.340	152.2854
227.000000	83.339	151.6424
230.000000	83.336	150.9630
233.000000	83.339	150.2750
236.000000	83.345	149.6141
240.000000	83.348	148.7574
243.000000	83.344	148.1015
247.000000	83.339	147.1865
250.000000	83.337	146.4814
254.000000	83.339	145.5648
258.000000	83.341	144.6907
262.000000	83.342	143.8205
265.000000	83.338	143.1493
269.000000	83.328	142.2290
272.000000	83.318	141.5246
276.000000	83.303	140.5815
280.000000	83.289	139.6433
285.000000	83.271	138.4840
290.000000	83.249	137.3829
295.000000	83.220	136.3250
300.000000	83.185	135.2760
304.000000	83.152	134.4756
307.000000	83.124	133.9292
311.000000	83.084	133.3010
315.000000	83.044	132.7815
320.000000	82.997	132.2292
325.000000	82.959	131.7248
330.000000	82.934	131.2285
335.000000	82.926	130.7003
340.000000	82.933	130.1023
345.000000	82.947	129.4018
350.000000	82.951	128.6192
355.000000	82.937	127.8188
360.000000	82.914	127.0178
365.000000	82.889	126.1962
370.000000	82.863	125.3593
375.000000	82.832	124.5306
382.000000	82.780	123.4283
387.000000	82.738	122.6771
395.000000	82.668	121.4973
400.000000	82.621	120.7990
406.000000	82.564	119.9862
412.000000	82.504	119.1681
418.000000	82.441	118.3823
425.000000	82.366	117.5081
431.000000	82.307	116.7551
437.000000	82.256	115.9955
444.000000	82.198	115.1238
450.000000	82.144	114.3866
455.000000	82.097	113.7680
462.000000	82.030	112.8855
468.000000	81.971	112.1046
475.000000	81.898	111.1799
482.000000	81.817	110.2675
487.000000	81.752	109.6239
494.000000	81.654	108.7330
500.000000	81.567	107.9921
508.000000	81.452	107.0305
515.000000	81.347	106.1997
522.000000	81.239	105.4076
530.000000	81.111	104.5688
538.000000	80.979	103.7703
545.000000	80.862	103.0788
552.000000	80.741	102.3714
560.000000	80.599	101.5382
570.000000	80.418	100.4950
580.000000	80.234	99.4983
590.000000	80.046	98.5904
600.000000	79.852	97.7429
608.000000	79.689	97.0772
615.000000	79.541	96.5135
622.000000	79.391	95.9751
630.000000	79.218	95.3957
640.000000	78.999	94.7336
650.000000	78.773	94.1331
660.000000	78.539	93.5558
670.000000	78.297	92.9815
680.000000	78.049	92.4629
690.000000	77.797	92.0463
700.000000	77.539	91.7037
710.000000	77.276	91.3759
720.000000	77.010	91.0276
730.000000	76.737	90.6769
740.000000	76.452	90.3332
750.000000	76.152	89.9857
762.000000	75.782	89.5574
775.000000	75.375	89.1486
788.000000	74.970	88.9458
800.000000	74.603	88.9955
812.000000	74.245	89.2443
825.000000	73.879	89.7049
838.000000	73.540	90.3636
850.000000	73.254	91.1022
862.000000	72.994	91.9070
875.000000	72.740	92.7983
885.000000	72.562	93.4748
900.000000	72.321	94.4778
912.000000	72.150	95.2679
925.000000	71.984	96.0993
938.000000	71.830	96.8786
950.000000	71.696	97.5305
962.000000	71.574	98.1154
975.000000	71.457	98.6664
988.000000	71.351	99.1259
1000.000000	71.256	99.4949
1015.000000	71.132	99.9186
1030.000000	71.005	100.3089
1044.000000	70.892	100.6560
1060.000000	70.766	101.0315
1075.000000	70.646	101.3641
1090.000000	70.527	101.6610
1106.000000	70.403	101.9497
1120.000000	70.297	102.1849
1138.000000	70.163	102.4561
1150.000000	70.075	102.6295
1172.000000	69.917	102.9456
1180.000000	69.861	103.0567
1206.000000	69.694	103.4031
1220.000000	69.611	103.5795
1241.000000	69.491	103.8595
1250.000000	69.443	103.9941
1265.000000	69.368	104.2429
1280.000000	69.298	104.5224
1315.000000	69.126	105.3141
1320.000000	69.097	105.4453
1340.000000	68.956	106.0175
1360.000000	68.775	106.6717
1380.000000	68.567	107.4030
1400.000000	68.355	108.1764
1430.000000	68.073	109.3523
1450.000000	67.932	110.1748
1475.000000	67.813	111.2532
1500.000000	67.743	112.3098
1525.000000	67.700	113.3501
1550.000000	67.681	114.4472
1575.000000	67.690	115.5768
1600.000000	67.721	116.6932
1625.000000	67.766	117.7722
1650.000000	67.823	118.7879
1675.000000	67.897	119.7148
1700.000000	67.997	120.5422
1725.000000	68.119	121.2969
1750.000000	68.254	121.9954
1775.000000	68.397	122.6193
1800.000000	68.546	123.1473
1825.000000	68.704	123.5726
1850.000000	68.867	123.9084
1875.000000	69.034	124.1626
1900.000000	69.207	124.3389
1925.000000	69.390	124.4314
1950.000000	69.582	124.4178
1975.000000	69.779	124.2675
2000.000000	69.978	123.9869
2030.000000	70.214	123.5307
2060.000000	70.446	122.9748
2090.000000	70.673	122.3160
2120.000000	70.894	121.5659
2140.000000	71.041	121.0117
2180.000000	71.331	119.7719
2200.000000	71.470	119.0912
2240.000000	71.737	117.5978
2270.000000	71.933	116.3992
2300.000000	72.128	115.1708
2330.000000	72.321	113.9241
2360.000000	72.505	112.6461
2400.000000	72.736	110.8673
2430.000000	72.902	109.4731
2470.000000	73.116	107.5305
2500.000000	73.272	106.0250
2540.000000	73.472	103.9794
2580.000000	73.661	101.8918
2620.000000	73.841	99.7649
2650.000000	73.973	98.1436
2690.000000	74.144	95.9566
2720.000000	74.270	94.3008
2760.000000	74.433	92.0570
2800.000000	74.595	89.7855
2850.000000	74.788	87.0525
2900.000000	74.963	84.7829
2950.000000	75.135	83.3688
