* Measurement data measured by REW V5.40 beta 112
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Jan 14, 2026, 11:06:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Geekfly GF01 Jan 14
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.214	-147.6598
20.600000	80.205	-148.3820
20.900000	80.191	-149.1952
21.200001	80.177	-150.0195
21.400000	80.168	-150.5731
21.799999	80.148	-151.6877
22.000000	80.139	-152.2436
22.400000	80.125	-153.3342
22.700001	80.116	-154.1194
23.000000	80.107	-154.8683
23.299999	80.100	-155.5809
23.600000	80.094	-156.2632
24.000000	80.085	-157.1417
24.299999	80.075	-157.7886
24.700001	80.060	-158.6456
25.000000	80.047	-159.2870
25.400000	80.028	-160.1401
25.799999	80.009	-160.9884
26.200001	79.989	-161.8281
26.500000	79.974	-162.4487
26.900000	79.952	-163.2574
27.200001	79.934	-163.8457
27.600000	79.910	-164.6038
28.000000	79.887	-165.3358
28.500000	79.861	-166.2305
29.000000	79.832	-167.1209
29.500000	79.803	-168.0088
30.000000	79.775	-168.8784
30.400000	79.750	-169.5507
30.700001	79.732	-170.0410
31.100000	79.708	-170.6816
31.500000	79.684	-171.3156
32.000000	79.654	-172.1036
32.500000	79.623	-172.8751
33.000000	79.588	-173.6097
33.500000	79.556	-174.3027
34.000000	79.529	-174.9749
34.500000	79.508	-175.6567
35.000000	79.485	-176.3573
35.500000	79.454	-177.0559
36.000000	79.418	-177.7229
36.500000	79.383	-178.3484
37.000000	79.352	-178.9517
37.500000	79.325	-179.5602
38.200001	79.282	179.5660
38.700001	79.248	178.9462
39.500000	79.193	178.0039
40.000000	79.158	177.4470
40.599998	79.117	176.8026
41.200001	79.078	176.1758
41.799999	79.044	175.5520
42.500000	79.006	174.8093
43.099998	78.968	174.1704
43.700001	78.926	173.5609
44.400002	78.880	172.8994
45.000000	78.844	172.3469
45.500000	78.813	171.8792
46.200001	78.764	171.2264
46.799999	78.721	170.6910
47.500000	78.674	170.0909
48.200001	78.636	169.4881
48.700001	78.613	169.0519
49.400002	78.584	168.4546
50.000000	78.554	167.9742
50.799999	78.496	167.3748
51.500000	78.440	166.8538
52.200001	78.387	166.3156
53.000000	78.327	165.6986
53.799999	78.273	165.0988
54.500000	78.231	164.5832
55.200001	78.191	164.0819
56.000000	78.142	163.5340
57.000000	78.079	162.8436
