* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 15:55:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP A R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.878	63.6587
20.600000	85.906	63.1958
20.900000	85.940	62.5535
21.200001	85.969	61.8000
21.400000	85.983	61.2646
21.799999	85.994	60.1889
22.000000	85.993	59.6785
22.400000	85.984	58.7655
22.700001	85.978	58.1956
23.000000	85.979	57.7225
23.299999	85.993	57.3271
23.600000	86.021	56.9783
24.000000	86.079	56.5218
24.299999	86.132	56.1447
24.700001	86.207	55.5648
25.000000	86.257	55.0786
25.400000	86.309	54.4039
25.799999	86.343	53.7567
26.200001	86.367	53.1771
26.500000	86.384	52.7866
26.900000	86.413	52.2989
27.200001	86.440	51.9361
27.600000	86.481	51.4359
28.000000	86.526	50.9158
28.500000	86.581	50.2614
29.000000	86.633	49.6309
29.500000	86.683	49.0312
30.000000	86.734	48.4465
30.400000	86.777	47.9773
30.700001	86.809	47.6230
31.100000	86.851	47.1523
31.500000	86.893	46.6929
32.000000	86.945	46.1454
32.500000	86.996	45.6211
33.000000	87.046	45.0982
33.500000	87.092	44.5596
34.000000	87.139	44.0039
34.500000	87.187	43.4359
35.000000	87.239	42.8584
35.500000	87.289	42.2805
36.000000	87.334	41.7221
36.500000	87.376	41.1943
37.000000	87.417	40.6785
37.500000	87.459	40.1414
38.200001	87.516	39.3535
38.700001	87.556	38.8264
39.500000	87.630	38.1305
40.000000	87.683	37.7482
40.599998	87.740	37.2744
41.200001	87.782	36.7741
41.799999	87.813	36.2664
42.500000	87.852	35.6531
43.099998	87.893	35.0866
43.700001	87.938	34.4971
44.400002	87.990	33.8266
45.000000	88.032	33.2761
45.500000	88.064	32.8180
46.200001	88.103	32.1528
46.799999	88.135	31.5626
47.500000	88.179	30.8706
48.200001	88.234	30.1904
48.700001	88.277	29.7220
49.400002	88.335	29.1161
50.000000	88.376	28.6568
50.799999	88.418	28.0924
51.500000	88.448	27.5750
