* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 15:55:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.972	63.5268
20.600000	80.099	63.4561
20.900000	80.265	63.2464
21.200001	80.436	62.8796
21.400000	80.539	62.5779
21.799999	80.701	61.9923
22.000000	80.760	61.7789
22.400000	80.855	61.6046
22.700001	80.926	61.6608
23.000000	81.012	61.7576
23.299999	81.116	61.7566
23.600000	81.229	61.5539
24.000000	81.368	60.9344
24.299999	81.452	60.2857
24.700001	81.536	59.3733
25.000000	81.589	58.7728
25.400000	81.666	58.1694
25.799999	81.762	57.7653
26.200001	81.875	57.4657
26.500000	81.963	57.2576
26.900000	82.074	56.9700
27.200001	82.150	56.7416
27.600000	82.242	56.4153
28.000000	82.330	56.0514
28.500000	82.436	55.5329
29.000000	82.536	54.9814
29.500000	82.631	54.4755
30.000000	82.728	54.0550
30.400000	82.811	53.7556
30.700001	82.876	53.5276
31.100000	82.964	53.1974
31.500000	83.051	52.8318
32.000000	83.158	52.3418
32.500000	83.262	51.8385
33.000000	83.364	51.3340
33.500000	83.458	50.8375
34.000000	83.544	50.3646
34.500000	83.622	49.9240
35.000000	83.699	49.5006
35.500000	83.780	49.0563
36.000000	83.864	48.5545
36.500000	83.948	47.9904
37.000000	84.024	47.4070
37.500000	84.094	46.8739
38.200001	84.191	46.2832
38.700001	84.266	45.9304
39.500000	84.373	45.3718
40.000000	84.418	45.0716
40.599998	84.462	44.8524
41.200001	84.527	44.7227
41.799999	84.628	44.4775
42.500000	84.760	43.9040
43.099998	84.860	43.2709
43.700001	84.950	42.6310
44.400002	85.056	41.8752
45.000000	85.144	41.1761
45.500000	85.207	40.5912
46.200001	85.275	39.8944
46.799999	85.326	39.4373
47.500000	85.386	38.9061
48.200001	85.433	38.2187
48.700001	85.456	37.6830
49.400002	85.500	37.0429
50.000000	85.571	36.6364
50.799999	85.701	36.1529
51.500000	85.799	35.7374
52.200001	85.862	35.3927
53.000000	85.915	35.0284
53.799999	85.969	34.5350
54.500000	86.016	33.9920
55.200001	86.063	33.4273
56.000000	86.118	32.8040
57.000000	86.184	32.0480
58.000000	86.250	31.3098
59.000000	86.315	30.5855
60.000000	86.373	29.8636
60.799999	86.413	29.2977
61.500000	86.447	28.8167
62.200001	86.481	28.3402
63.000000	86.522	27.7842
64.000000	86.573	27.0667
65.000000	86.622	26.3620
66.000000	86.671	25.7105
67.000000	86.718	25.1029
68.000000	86.761	24.4989
69.000000	86.798	23.8711
70.000000	86.832	23.2229
71.000000	86.864	22.5772
72.000000	86.894	21.9508
73.000000	86.923	21.3382
74.000000	86.952	20.7291
75.000000	86.980	20.1316
76.199997	87.009	19.4448
