* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:19:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 BB
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.373	-15.0307
20.600000	83.347	-14.8168
20.900000	83.316	-14.5462
21.200001	83.285	-14.2638
21.400000	83.267	-14.0828
21.799999	83.235	-13.7573
22.000000	83.222	-13.6154
22.400000	83.198	-13.3649
22.700001	83.182	-13.1933
23.000000	83.167	-13.0241
23.299999	83.156	-12.8523
23.600000	83.148	-12.6793
24.000000	83.141	-12.4566
24.299999	83.138	-12.3029
24.700001	83.137	-12.1200
25.000000	83.139	-11.9974
25.400000	83.144	-11.8486
25.799999	83.154	-11.7167
26.200001	83.167	-11.6074
26.500000	83.179	-11.5436
26.900000	83.194	-11.4823
27.200001	83.205	-11.4506
27.600000	83.219	-11.4215
28.000000	83.235	-11.4063
28.500000	83.257	-11.4154
29.000000	83.282	-11.4648
29.500000	83.308	-11.5457
30.000000	83.336	-11.6367
30.400000	83.359	-11.7106
30.700001	83.377	-11.7714
31.100000	83.403	-11.8708
31.500000	83.428	-12.0017
32.000000	83.457	-12.2137
32.500000	83.481	-12.4671
33.000000	83.504	-12.7471
33.500000	83.526	-13.0495
34.000000	83.551	-13.3789
34.500000	83.577	-13.7380
35.000000	83.601	-14.1229
35.500000	83.620	-14.5253
36.000000	83.633	-14.9373
36.500000	83.643	-15.3535
37.000000	83.650	-15.7741
37.500000	83.654	-16.2064
38.200001	83.657	-16.8509
38.700001	83.654	-17.3429
39.500000	83.641	-18.1535
40.000000	83.628	-18.6537
40.599998	83.612	-19.2452
41.200001	83.594	-19.8417
41.799999	83.571	-20.4475
42.500000	83.535	-21.1433
43.099998	83.497	-21.7097
43.700001	83.458	-22.2517
44.400002	83.414	-22.8797
45.000000	83.374	-23.4291
45.500000	83.336	-23.8909
46.200001	83.272	-24.5253
46.799999	83.211	-25.0472
47.500000	83.139	-25.6322
48.200001	83.069	-26.1996
48.700001	83.023	-26.5976
49.400002	82.958	-27.1485
50.000000	82.898	-27.6172
50.799999	82.806	-28.2276
51.500000	82.717	-28.7299
52.200001	82.627	-29.1921
53.000000	82.525	-29.6818
53.799999	82.423	-30.1543
54.500000	82.335	-30.5635
55.200001	82.248	-30.9630
56.000000	82.149	-31.4023
57.000000	82.022	-31.9339
58.000000	81.886	-32.4408
59.000000	81.748	-32.9100
60.000000	81.611	-33.3368
60.799999	81.502	-33.6371
61.500000	81.407	-33.8725
62.200001	81.312	-34.0917
63.000000	81.204	-34.3281
64.000000	81.071	-34.6060
65.000000	80.936	-34.8669
66.000000	80.797	-35.0924
67.000000	80.659	-35.2742
68.000000	80.525	-35.4337
69.000000	80.393	-35.5801
70.000000	80.258	-35.7059
71.000000	80.121	-35.8121
72.000000	79.987	-35.9025
73.000000	79.858	-35.9664
74.000000	79.735	-35.9911
75.000000	79.613	-35.9845
76.199997	79.467	-35.9589
77.500000	79.312	-35.9079
78.800003	79.155	-35.8254
80.000000	79.006	-35.7385
81.199997	78.858	-35.6411
82.500000	78.703	-35.5083
83.800003	78.555	-35.3334
85.000000	78.425	-35.1466
86.199997	78.302	-34.9664
