* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:19:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 BB
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.569	-15.1852
20.600000	83.558	-15.0339
20.900000	83.545	-14.8524
21.200001	83.532	-14.6656
21.400000	83.523	-14.5403
21.799999	83.507	-14.2833
22.000000	83.500	-14.1502
22.400000	83.493	-13.8781
22.700001	83.492	-13.6762
23.000000	83.494	-13.4841
23.299999	83.498	-13.3071
23.600000	83.503	-13.1478
24.000000	83.511	-12.9634
24.299999	83.517	-12.8454
24.700001	83.528	-12.7123
25.000000	83.538	-12.6272
25.400000	83.554	-12.5246
25.799999	83.574	-12.4229
26.200001	83.597	-12.3144
26.500000	83.617	-12.2307
26.900000	83.646	-12.1273
27.200001	83.669	-12.0659
27.600000	83.700	-12.0169
28.000000	83.730	-12.0099
28.500000	83.767	-12.0538
29.000000	83.803	-12.1414
29.500000	83.843	-12.2593
30.000000	83.887	-12.3980
30.400000	83.924	-12.5190
30.700001	83.952	-12.6145
31.100000	83.990	-12.7501
31.500000	84.026	-12.9002
32.000000	84.071	-13.1185
32.500000	84.115	-13.3778
33.000000	84.156	-13.6758
33.500000	84.196	-14.0033
34.000000	84.235	-14.3512
34.500000	84.274	-14.7144
35.000000	84.310	-15.0918
35.500000	84.341	-15.4845
36.000000	84.366	-15.8939
36.500000	84.386	-16.3203
37.000000	84.401	-16.7629
37.500000	84.414	-17.2209
38.200001	84.427	-17.8883
38.700001	84.435	-18.3829
39.500000	84.444	-19.1965
40.000000	84.447	-19.7111
40.599998	84.445	-20.3255
41.200001	84.438	-20.9278
41.799999	84.428	-21.5116
42.500000	84.412	-22.1730
43.099998	84.397	-22.7389
43.700001	84.380	-23.3184
44.400002	84.358	-24.0121
45.000000	84.335	-24.6050
45.500000	84.310	-25.0837
46.200001	84.267	-25.7189
46.799999	84.226	-26.2380
47.500000	84.179	-26.8371
48.200001	84.135	-27.4408
48.700001	84.106	-27.8651
49.400002	84.064	-28.4275
50.000000	84.022	-28.8712
50.799999	83.950	-29.4170
51.500000	83.874	-29.8683
52.200001	83.794	-30.3088
53.000000	83.702	-30.8075
53.799999	83.614	-31.2987
54.500000	83.539	-31.7155
55.200001	83.463	-32.1109
56.000000	83.373	-32.5259
57.000000	83.258	-33.0015
58.000000	83.144	-33.4625
59.000000	83.030	-33.9047
60.000000	82.916	-34.3200
60.799999	82.824	-34.6364
61.500000	82.741	-34.8945
62.200001	82.657	-35.1246
63.000000	82.560	-35.3464
64.000000	82.443	-35.5624
65.000000	82.329	-35.7132
66.000000	82.216	-35.8113
67.000000	82.101	-35.8947
68.000000	81.986	-36.0105
