* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:15:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 B
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.952	-21.9899
20.600000	81.918	-21.8506
20.900000	81.874	-21.6667
21.200001	81.828	-21.4609
21.400000	81.799	-21.3190
21.799999	81.746	-21.0410
22.000000	81.724	-20.9112
22.400000	81.686	-20.6782
22.700001	81.661	-20.5253
23.000000	81.639	-20.3843
23.299999	81.617	-20.2470
23.600000	81.596	-20.1079
24.000000	81.570	-19.9193
24.299999	81.553	-19.7819
24.700001	81.533	-19.6180
25.000000	81.521	-19.5160
25.400000	81.508	-19.4087
25.799999	81.499	-19.3270
26.200001	81.493	-19.2627
26.500000	81.491	-19.2252
26.900000	81.491	-19.1943
27.200001	81.493	-19.1889
27.600000	81.496	-19.2056
28.000000	81.497	-19.2420
28.500000	81.495	-19.2974
29.000000	81.493	-19.3548
29.500000	81.496	-19.4278
30.000000	81.503	-19.5395
30.400000	81.510	-19.6629
30.700001	81.515	-19.7717
31.100000	81.522	-19.9295
31.500000	81.528	-20.0930
32.000000	81.537	-20.3000
32.500000	81.549	-20.5165
33.000000	81.562	-20.7551
33.500000	81.574	-21.0264
34.000000	81.584	-21.3383
34.500000	81.592	-21.6959
35.000000	81.597	-22.0971
35.500000	81.596	-22.5255
36.000000	81.590	-22.9548
36.500000	81.582	-23.3641
37.000000	81.574	-23.7524
37.500000	81.564	-24.1350
38.200001	81.546	-24.6897
38.700001	81.526	-25.1013
39.500000	81.491	-25.7753
40.000000	81.470	-26.2137
40.599998	81.447	-26.7757
41.200001	81.423	-27.3795
41.799999	81.392	-28.0001
42.500000	81.346	-28.6946
43.099998	81.298	-29.2408
43.700001	81.248	-29.7537
44.400002	81.189	-30.3480
45.000000	81.136	-30.8727
45.500000	81.088	-31.3159
46.200001	81.019	-31.9237
46.799999	80.961	-32.4194
47.500000	80.896	-32.9723
48.200001	80.834	-33.5174
48.700001	80.788	-33.9119
49.400002	80.720	-34.4768
50.000000	80.653	-34.9728
50.799999	80.550	-35.6400
51.500000	80.452	-36.2084
52.200001	80.354	-36.7510
53.000000	80.245	-37.3556
53.799999	80.136	-37.9585
54.500000	80.041	-38.4756
55.200001	79.946	-38.9706
56.000000	79.834	-39.5045
57.000000	79.688	-40.1359
