* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:19:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 CL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.564	-21.6470
20.600000	79.525	-21.4918
20.900000	79.477	-21.3033
21.200001	79.426	-21.1128
21.400000	79.392	-20.9904
21.799999	79.328	-20.7557
22.000000	79.297	-20.6402
22.400000	79.241	-20.4052
22.700001	79.203	-20.2237
23.000000	79.169	-20.0410
23.299999	79.137	-19.8634
23.600000	79.107	-19.6971
24.000000	79.066	-19.4992
24.299999	79.033	-19.3684
24.700001	78.989	-19.2110
25.000000	78.955	-19.1003
25.400000	78.912	-18.9571
25.799999	78.874	-18.8189
26.200001	78.839	-18.6903
26.500000	78.816	-18.6037
26.900000	78.789	-18.5057
27.200001	78.772	-18.4478
27.600000	78.751	-18.3956
28.000000	78.733	-18.3759
28.500000	78.711	-18.3956
29.000000	78.685	-18.4459
29.500000	78.653	-18.4936
30.000000	78.619	-18.5185
30.400000	78.593	-18.5290
30.700001	78.575	-18.5424
31.100000	78.553	-18.5801
31.500000	78.533	-18.6458
32.000000	78.507	-18.7575
32.500000	78.482	-18.8824
33.000000	78.457	-19.0109
33.500000	78.431	-19.1493
34.000000	78.402	-19.3061
34.500000	78.368	-19.4816
35.000000	78.331	-19.6709
35.500000	78.291	-19.8706
36.000000	78.249	-20.0779
36.500000	78.207	-20.2863
37.000000	78.163	-20.4895
37.500000	78.117	-20.6893
38.200001	78.047	-20.9854
38.700001	77.993	-21.2173
39.500000	77.894	-21.5884
40.000000	77.827	-21.7883
40.599998	77.744	-21.9835
41.200001	77.659	-22.1455
41.799999	77.573	-22.2928
42.500000	77.472	-22.4551
43.099998	77.386	-22.5859
43.700001	77.300	-22.7044
44.400002	77.198	-22.8113
45.000000	77.106	-22.8637
45.500000	77.027	-22.8814
46.200001	76.912	-22.8841
46.799999	76.814	-22.8786
47.500000	76.704	-22.8572
48.200001	76.600	-22.7923
48.700001	76.530	-22.7079
49.400002	76.434	-22.5426
50.000000	76.348	-22.3728
50.799999	76.223	-22.1234
51.500000	76.109	-21.8885
52.200001	75.998	-21.6377
53.000000	75.879	-21.3115
53.799999	75.766	-20.9267
54.500000	75.673	-20.5700
55.200001	75.582	-20.2294
56.000000	75.478	-19.8511
57.000000	75.353	-19.3343
58.000000	75.242	-18.7481
59.000000	75.144	-18.1031
60.000000	75.052	-17.4025
60.799999	74.983	-16.8311
61.500000	74.926	-16.3529
62.200001	74.874	-15.9038
63.000000	74.820	-15.4176
64.000000	74.760	-14.8250
65.000000	74.702	-14.2199
66.000000	74.643	-13.6000
67.000000	74.585	-12.9956
68.000000	74.531	-12.4155
69.000000	74.487	-11.8517
70.000000	74.453	-11.3066
71.000000	74.427	-10.7592
72.000000	74.407	-10.1794
73.000000	74.391	-9.5787
74.000000	74.377	-8.9989
75.000000	74.361	-8.4881
76.199997	74.336	-7.9805
77.500000	74.308	-7.4540
78.800003	74.289	-6.8862
80.000000	74.279	-6.3666
81.199997	74.273	-5.8815
82.500000	74.271	-5.4044
83.800003	74.270	-4.9755
85.000000	74.266	-4.6023
