* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:23:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 H
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.555	-25.6234
20.600000	82.511	-25.5339
20.900000	82.455	-25.4129
21.200001	82.395	-25.2741
21.400000	82.356	-25.1764
21.799999	82.283	-24.9805
22.000000	82.250	-24.8869
22.400000	82.190	-24.7158
22.700001	82.149	-24.6021
23.000000	82.109	-24.4971
23.299999	82.070	-24.3957
23.600000	82.033	-24.2944
24.000000	81.984	-24.1607
24.299999	81.950	-24.0688
24.700001	81.910	-23.9729
25.000000	81.884	-23.9287
25.400000	81.852	-23.9068
25.799999	81.822	-23.9128
26.200001	81.791	-23.9248
26.500000	81.768	-23.9283
26.900000	81.739	-23.9253
27.200001	81.719	-23.9238
27.600000	81.693	-23.9362
28.000000	81.668	-23.9753
28.500000	81.634	-24.0612
29.000000	81.597	-24.1712
29.500000	81.561	-24.2892
30.000000	81.529	-24.4163
30.400000	81.506	-24.5343
30.700001	81.490	-24.6371
31.100000	81.468	-24.7957
31.500000	81.444	-24.9762
32.000000	81.413	-25.2227
32.500000	81.379	-25.4810
33.000000	81.343	-25.7461
33.500000	81.308	-26.0218
34.000000	81.271	-26.3121
34.500000	81.231	-26.6121
35.000000	81.188	-26.9097
35.500000	81.141	-27.1964
36.000000	81.094	-27.4767
36.500000	81.046	-27.7637
37.000000	80.996	-28.0663
37.500000	80.942	-28.3825
38.200001	80.857	-28.8358
38.700001	80.790	-29.1657
39.500000	80.675	-29.7057
40.000000	80.598	-30.0385
40.599998	80.501	-30.4126
41.200001	80.405	-30.7523
41.799999	80.311	-31.0613
42.500000	80.201	-31.3818
43.099998	80.104	-31.6163
43.700001	80.006	-31.8205
44.400002	79.890	-32.0437
45.000000	79.787	-32.2349
45.500000	79.698	-32.3930
46.200001	79.571	-32.6020
46.799999	79.460	-32.7558
47.500000	79.331	-32.8851
48.200001	79.206	-32.9492
48.700001	79.120	-32.9596
49.400002	79.000	-32.9384
50.000000	78.894	-32.8968
50.799999	78.745	-32.8210
51.500000	78.612	-32.7479
52.200001	78.481	-32.6707
53.000000	78.335	-32.5597
53.799999	78.193	-32.4016
54.500000	78.074	-32.2200
55.200001	77.961	-32.0074
56.000000	77.838	-31.7391
57.000000	77.689	-31.3680
58.000000	77.545	-30.9616
59.000000	77.407	-30.5342
60.000000	77.272	-30.0839
60.799999	77.167	-29.7099
61.500000	77.077	-29.3754
62.200001	76.990	-29.0324
63.000000	76.895	-28.6272
64.000000	76.788	-28.1041
65.000000	76.690	-27.5808
66.000000	76.597	-27.0739
67.000000	76.502	-26.5772
68.000000	76.408	-26.0713
69.000000	76.316	-25.5448
70.000000	76.228	-25.0135
71.000000	76.144	-24.4929
72.000000	76.067	-23.9675
73.000000	75.996	-23.4216
74.000000	75.930	-22.8772
75.000000	75.863	-22.3677
76.199997	75.785	-21.8006
77.500000	75.711	-21.2085
78.800003	75.647	-20.6354
80.000000	75.594	-20.1254
81.199997	75.541	-19.6239
82.500000	75.482	-19.0778
83.800003	75.421	-18.5424
85.000000	75.363	-18.0792
86.199997	75.304	-17.6331
87.500000	75.242	-17.1525
88.500000	75.196	-16.7878
90.000000	75.131	-16.2572
91.199997	75.082	-15.8337
92.500000	75.030	-15.3631
93.800003	74.980	-14.8761
95.000000	74.937	-14.4147
96.199997	74.893	-13.9664
97.500000	74.842	-13.5237
98.800003	74.789	-13.1224
100.000000	74.742	-12.7688
101.500000	74.689	-12.3295
103.000000	74.636	-11.8784
104.400002	74.583	-11.4480
106.000000	74.516	-10.9618
107.500000	74.452	-10.5067
109.000000	74.389	-10.0396
110.599998	74.323	-9.5172
112.000000	74.265	-9.0246
113.800003	74.193	-8.3509
115.000000	74.143	-7.9074
117.199997	74.051	-7.1571
118.000000	74.017	-6.8961
120.599998	73.916	-5.9947
122.000000	73.865	-5.4585
124.099998	73.793	-4.6332
125.000000	73.764	-4.2773
126.500000	73.717	-3.6711
128.000000	73.673	-3.0518
131.500000	73.585	-1.6276
132.000000	73.573	-1.4195
134.000000	73.526	-0.5577
136.000000	73.479	0.3343
138.000000	73.433	1.2251
140.000000	73.388	2.0808
143.000000	73.324	3.3478
145.000000	73.290	4.2473
147.500000	73.252	5.4330
150.000000	73.222	6.6347
152.500000	73.208	7.8322
155.000000	73.203	8.9741
157.500000	73.206	10.0443
160.000000	73.219	11.0985
162.500000	73.241	12.1432
165.000000	73.273	13.1610
167.500000	73.320	14.1433
170.000000	73.377	15.0858
172.500000	73.436	15.9878
175.000000	73.497	16.8279
177.500000	73.562	17.6024
180.000000	73.632	18.3448
182.500000	73.702	19.0691
185.000000	73.767	19.7473
187.500000	73.825	20.3619
190.000000	73.878	20.9266
192.500000	73.932	21.4509
195.000000	73.996	21.9460
197.500000	74.077	22.4320
200.000000	74.173	22.9026
203.000000	74.309	23.3936
206.000000	74.458	23.7711
209.000000	74.608	24.0658
212.000000	74.748	24.3063
214.000000	74.833	24.4428
218.000000	74.982	24.6826
220.000000	75.049	24.7976
224.000000	75.172	25.0190
227.000000	75.256	25.1562
230.000000	75.332	25.2494
233.000000	75.400	25.3033
236.000000	75.460	25.3441
240.000000	75.534	25.4124
243.000000	75.581	25.4733
247.000000	75.631	25.5584
250.000000	75.659	25.6180
254.000000	75.689	25.6901
258.000000	75.712	25.7618
262.000000	75.726	25.8462
265.000000	75.731	25.9291
269.000000	75.729	26.0721
272.000000	75.722	26.1977
276.000000	75.706	26.3721
280.000000	75.685	26.5529
285.000000	75.652	26.8309
290.000000	75.616	27.1861
295.000000	75.574	27.5836
300.000000	75.520	28.0054
304.000000	75.474	28.3685
307.000000	75.440	28.6601
311.000000	75.398	29.0694
315.000000	75.358	29.4879
320.000000	75.312	30.0275
325.000000	75.267	30.5792
330.000000	75.223	31.1134
335.000000	75.180	31.6420
340.000000	75.138	32.1928
345.000000	75.095	32.7671
350.000000	75.054	33.3685
355.000000	75.015	33.9889
360.000000	74.976	34.5909
365.000000	74.940	35.1685
370.000000	74.910	35.7501
375.000000	74.883	36.3450
382.000000	74.843	37.1788
387.000000	74.812	37.7402
395.000000	74.764	38.5499
400.000000	74.739	39.0250
406.000000	74.715	39.5679
412.000000	74.693	40.1041
418.000000	74.668	40.6290
425.000000	74.634	41.1521
431.000000	74.608	41.5129
437.000000	74.585	41.8210
444.000000	74.561	42.1469
450.000000	74.542	42.4154
455.000000	74.528	42.6348
462.000000	74.509	42.9301
468.000000	74.489	43.1555
475.000000	74.455	43.3786
482.000000	74.414	43.5787
487.000000	74.382	43.7285
494.000000	74.332	43.9471
500.000000	74.285	44.1144
508.000000	74.219	44.2881
515.000000	74.157	44.4091
522.000000	74.090	44.5190
