* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 15:21:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 A HiFi Live R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.965	-16.0315
20.600000	85.957	-16.0426
20.900000	85.947	-16.0601
21.200001	85.939	-16.0933
21.400000	85.935	-16.1310
21.799999	85.930	-16.2586
22.000000	85.930	-16.3517
22.400000	85.929	-16.5921
22.700001	85.930	-16.8081
23.000000	85.930	-17.0417
23.299999	85.931	-17.2842
23.600000	85.933	-17.5323
24.000000	85.936	-17.8762
24.299999	85.938	-18.1504
24.700001	85.940	-18.5433
25.000000	85.939	-18.8570
25.400000	85.934	-19.2933
25.799999	85.927	-19.7437
26.200001	85.919	-20.2082
26.500000	85.912	-20.5691
26.900000	85.902	-21.0697
27.200001	85.892	-21.4576
27.600000	85.878	-21.9841
28.000000	85.861	-22.5135
28.500000	85.836	-23.1778
29.000000	85.807	-23.8548
29.500000	85.771	-24.5504
30.000000	85.729	-25.2545
30.400000	85.692	-25.8142
30.700001	85.662	-26.2304
31.100000	85.622	-26.7834
31.500000	85.582	-27.3379
32.000000	85.529	-28.0321
32.500000	85.469	-28.7126
33.000000	85.400	-29.3584
33.500000	85.324	-29.9557
34.000000	85.244	-30.5036
34.500000	85.164	-31.0137
35.000000	85.085	-31.5060
35.500000	85.007	-32.0004
36.000000	84.926	-32.5037
36.500000	84.842	-33.0053
37.000000	84.753	-33.4851
37.500000	84.662	-33.9299
38.200001	84.536	-34.4968
38.700001	84.448	-34.8732
39.500000	84.308	-35.4325
40.000000	84.218	-35.7495
40.599998	84.107	-36.0941
41.200001	83.996	-36.4078
41.799999	83.889	-36.7034
42.500000	83.771	-37.0290
43.099998	83.673	-37.2795
43.700001	83.578	-37.4910
44.400002	83.466	-37.6828
45.000000	83.366	-37.8024
45.500000	83.281	-37.8812
46.200001	83.163	-37.9959
46.799999	83.065	-38.1245
47.500000	82.956	-38.2925
48.200001	82.853	-38.4206
48.700001	82.786	-38.4679
49.400002	82.697	-38.4824
50.000000	82.619	-38.4684
50.799999	82.507	-38.4475
51.500000	82.406	-38.4539
52.200001	82.307	-38.4850
53.000000	82.201	-38.5115
53.799999	82.100	-38.4828
54.500000	82.016	-38.4016
55.200001	81.932	-38.2832
56.000000	81.838	-38.1369
57.000000	81.729	-37.9917
58.000000	81.628	-37.9134
59.000000	81.529	-37.8518
60.000000	81.430	-37.7407
60.799999	81.356	-37.6231
61.500000	81.296	-37.5148
62.200001	81.239	-37.4019
63.000000	81.177	-37.2610
64.000000	81.106	-37.0690
65.000000	81.043	-36.8899
66.000000	80.985	-36.7525
67.000000	80.928	-36.6401
68.000000	80.873	-36.5167
69.000000	80.821	-36.3779
70.000000	80.773	-36.2405
71.000000	80.728	-36.1081
72.000000	80.687	-35.9824
73.000000	80.649	-35.8647
74.000000	80.607	-35.7510
75.000000	80.562	-35.6499
76.199997	80.511	-35.5656
77.500000	80.466	-35.5138
78.800003	80.427	-35.4842
80.000000	80.389	-35.4743
81.199997	80.353	-35.4774
82.500000	80.326	-35.4861
83.800003	80.308	-35.5012
85.000000	80.289	-35.5383
86.199997	80.260	-35.6004
87.500000	80.218	-35.6911
88.500000	80.184	-35.7857
90.000000	80.133	-35.9766
91.199997	80.095	-36.1502
92.500000	80.061	-36.3307
93.800003	80.032	-36.4904
95.000000	80.007	-36.6312
96.199997	79.978	-36.7986
97.500000	79.936	-37.0298
98.800003	79.883	-37.2879
100.000000	79.832	-37.5106
101.500000	79.771	-37.7375
103.000000	79.712	-37.9229
104.400002	79.654	-38.0866
106.000000	79.578	-38.3146
107.500000	79.502	-38.6069
109.000000	79.426	-38.9331
110.599998	79.343	-39.2359
112.000000	79.270	-39.4298
113.800003	79.176	-39.5997
115.000000	79.114	-39.7012
117.199997	78.997	-39.9078
118.000000	78.953	-39.9851
120.599998	78.806	-40.2007
122.000000	78.725	-40.2766
124.099998	78.601	-40.3521
125.000000	78.547	-40.3809
126.500000	78.453	-40.4246
128.000000	78.354	-40.4480
131.500000	78.112	-40.3775
132.000000	78.077	-40.3504
134.000000	77.943	-40.1794
136.000000	77.818	-39.9023
138.000000	77.707	-39.5326
140.000000	77.610	-39.1027
143.000000	77.482	-38.4918
145.000000	77.404	-38.1610
147.500000	77.310	-37.8210
150.000000	77.212	-37.4709
152.500000	77.119	-37.0647
155.000000	77.041	-36.6163
157.500000	76.970	-36.1775
160.000000	76.901	-35.7532
162.500000	76.839	-35.3191
165.000000	76.787	-34.8775
167.500000	76.741	-34.4100
170.000000	76.702	-33.9104
172.500000	76.670	-33.3959
175.000000	76.640	-32.9008
177.500000	76.609	-32.4383
180.000000	76.576	-31.9922
182.500000	76.542	-31.5665
185.000000	76.504	-31.1781
187.500000	76.461	-30.8285
190.000000	76.421	-30.5037
192.500000	76.391	-30.1987
195.000000	76.375	-29.9090
197.500000	76.369	-29.6272
200.000000	76.374	-29.3574
203.000000	76.402	-29.0516
206.000000	76.447	-28.7634
209.000000	76.498	-28.5145
212.000000	76.547	-28.3299
214.000000	76.574	-28.2357
218.000000	76.612	-28.0802
220.000000	76.623	-28.0197
224.000000	76.641	-27.9435
227.000000	76.654	-27.8995
230.000000	76.665	-27.8535
233.000000	76.675	-27.8313
236.000000	76.686	-27.8527
240.000000	76.699	-27.9247
243.000000	76.706	-27.9811
247.000000	76.707	-28.0491
250.000000	76.703	-28.1074
254.000000	76.702	-28.2131
258.000000	76.702	-28.3436
262.000000	76.699	-28.4874
265.000000	76.694	-28.6051
269.000000	76.685	-28.7652
272.000000	76.677	-28.8961
276.000000	76.663	-29.0908
280.000000	76.649	-29.2733
285.000000	76.631	-29.4458
290.000000	76.611	-29.5810
295.000000	76.588	-29.7174
300.000000	76.567	-29.8919
304.000000	76.551	-30.0471
307.000000	76.538	-30.1534
311.000000	76.522	-30.2764
315.000000	76.506	-30.3963
320.000000	76.482	-30.5616
325.000000	76.455	-30.7526
330.000000	76.430	-30.9738
335.000000	76.407	-31.2023
340.000000	76.389	-31.3927
345.000000	76.372	-31.5503
350.000000	76.351	-31.7197
355.000000	76.322	-31.9191
360.000000	76.296	-32.1349
365.000000	76.278	-32.3560
370.000000	76.264	-32.5667
375.000000	76.248	-32.7599
382.000000	76.220	-33.0605
387.000000	76.198	-33.3155
395.000000	76.161	-33.7603
400.000000	76.139	-34.0477
406.000000	76.111	-34.3974
412.000000	76.077	-34.7668
418.000000	76.039	-35.1652
425.000000	75.995	-35.6583
431.000000	75.954	-36.1189
437.000000	75.910	-36.5940
444.000000	75.852	-37.1417
450.000000	75.796	-37.6027
455.000000	75.744	-37.9767
462.000000	75.666	-38.4627
468.000000	75.594	-38.8442
475.000000	75.501	-39.2765
482.000000	75.407	-39.7046
487.000000	75.340	-39.9908
494.000000	75.247	-40.3603
500.000000	75.167	-40.6631
508.000000	75.059	-41.0445
515.000000	74.960	-41.3626
522.000000	74.856	-41.6675
530.000000	74.727	-42.0110
538.000000	74.586	-42.3510
545.000000	74.456	-42.6220
552.000000	74.329	-42.8448
560.000000	74.189	-43.0304
570.000000	74.019	-43.1904
580.000000	73.849	-43.3400
590.000000	73.678	-43.4868
600.000000	73.506	-43.5554
608.000000	73.368	-43.5249
615.000000	73.248	-43.4719
622.000000	73.126	-43.4195
630.000000	72.986	-43.3376
640.000000	72.815	-43.1872
650.000000	72.650	-43.0075
660.000000	72.491	-42.7778
670.000000	72.328	-42.4629
680.000000	72.158	-42.0698
690.000000	71.985	-41.6345
700.000000	71.814	-41.1885
710.000000	71.645	-40.7424
720.000000	71.479	-40.2642
730.000000	71.312	-39.7221
740.000000	71.147	-39.1355
750.000000	70.988	-38.5087
762.000000	70.804	-37.6587
775.000000	70.609	-36.6277
788.000000	70.424	-35.4935
800.000000	70.270	-34.3412
812.000000	70.133	-33.1095
825.000000	70.000	-31.7403
838.000000	69.874	-30.3638
850.000000	69.764	-29.0942
862.000000	69.659	-27.8306
875.000000	69.555	-26.4587
885.000000	69.489	-25.3733
900.000000	69.415	-23.6975
912.000000	69.370	-22.3623
925.000000	69.328	-20.9083
938.000000	69.288	-19.4287
950.000000	69.255	-18.0517
962.000000	69.230	-16.6659
975.000000	69.218	-15.1698
988.000000	69.227	-13.7052
1000.000000	69.254	-12.3871
1015.000000	69.305	-10.8029
1030.000000	69.368	-9.3080
1044.000000	69.436	-8.0030
1060.000000	69.530	-6.6372
1075.000000	69.628	-5.4620
1090.000000	69.728	-4.3544
1106.000000	69.838	-3.2238
1120.000000	69.941	-2.2929
1138.000000	70.084	-1.2150
1150.000000	70.182	-0.5685
1172.000000	70.360	0.5053
1180.000000	70.426	0.8638
1206.000000	70.648	1.9185
1220.000000	70.775	2.4075
1241.000000	70.969	3.0342
1250.000000	71.054	3.2714
1265.000000	71.195	3.6340
1280.000000	71.333	3.9703
1315.000000	71.609	4.8042
1320.000000	71.640	4.9350
1340.000000	71.734	5.4808
1360.000000	71.783	6.0727
1380.000000	71.802	6.7041
1400.000000	71.812	7.3323
1430.000000	71.850	8.2129
1450.000000	71.916	8.7647
1475.000000	72.045	9.4180
1500.000000	72.204	10.0751
1525.000000	72.375	10.8081
1550.000000	72.566	11.5729
1575.000000	72.775	12.2547
1600.000000	72.995	12.7875
1625.000000	73.219	13.1997
1650.000000	73.442	13.5606
1675.000000	73.663	13.8575
1700.000000	73.886	14.0581
1725.000000	74.106	14.1641
1750.000000	74.320	14.2002
1775.000000	74.529	14.1742
1800.000000	74.737	14.0718
1825.000000	74.945	13.8885
1850.000000	75.150	13.6162
1875.000000	75.352	13.2627
1900.000000	75.547	12.8460
1925.000000	75.733	12.3755
1950.000000	75.913	11.8586
1975.000000	76.084	11.3076
2000.000000	76.239	10.7376
2030.000000	76.406	10.0314
2060.000000	76.559	9.2960
2090.000000	76.706	8.5118
2120.000000	76.847	7.6864
2140.000000	76.937	7.1255
2180.000000	77.109	5.9883
2200.000000	77.190	5.4165
2240.000000	77.338	4.2817
2270.000000	77.438	3.4416
2300.000000	77.529	2.6123
2330.000000	77.615	1.7954
2360.000000	77.693	0.9867
2400.000000	77.788	-0.0784
2430.000000	77.854	-0.8702
2470.000000	77.937	-1.9424
2500.000000	77.993	-2.7604
2540.000000	78.056	-3.8498
2580.000000	78.115	-4.9139
2620.000000	78.166	-5.9365
2650.000000	78.197	-6.7074
2690.000000	78.233	-7.7845
2720.000000	78.256	-8.6066
2760.000000	78.275	-9.6855
2800.000000	78.273	-10.7457
2850.000000	78.243	-11.9788
2900.000000	78.204	-12.9212
2950.000000	78.191	-13.7451
3000.000000	78.185	-14.6367
3040.000000	78.190	-15.3418
3070.000000	78.195	-15.9399
3110.000000	78.187	-16.8315
3150.000000	78.152	-17.7282
3200.000000	78.080	-18.7584
3250.000000	77.992	-19.6617
3300.000000	77.892	-20.4161
3350.000000	77.783	-21.0241
3400.000000	77.665	-21.5359
3450.000000	77.546	-21.9756
3500.000000	77.428	-22.3098
3550.000000	77.310	-22.5173
3600.000000	77.192	-22.6054
3650.000000	77.082	-22.6039
3700.000000	76.993	-22.5360
3750.000000	76.929	-22.4085
3820.000000	76.875	-22.1746
3870.000000	76.856	-21.9937
3950.000000	76.847	-21.6981
4000.000000	76.850	-21.4919
4060.000000	76.855	-21.2195
4120.000000	76.859	-20.9150
4180.000000	76.864	-20.5961
4250.000000	76.877	-20.2681
4310.000000	76.902	-20.0581
4370.000000	76.950	-19.9608
4440.000000	77.039	-20.0735
4500.000000	77.142	-20.4082
4550.000000	77.240	-20.8510
4620.000000	77.378	-21.6985
4680.000000	77.486	-22.6347
4750.000000	77.586	-23.9374
4820.000000	77.641	-25.4011
4870.000000	77.648	-26.5163
4940.000000	77.610	-28.1142
5000.000000	77.533	-29.4297
5080.000000	77.373	-30.9577
