* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:22:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 Sy
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.859	-21.6107
20.600000	82.826	-21.4842
20.900000	82.786	-21.3239
21.200001	82.744	-21.1549
21.400000	82.716	-21.0443
21.799999	82.664	-20.8351
22.000000	82.639	-20.7366
22.400000	82.591	-20.5479
22.700001	82.557	-20.4105
23.000000	82.525	-20.2764
23.299999	82.497	-20.1483
23.600000	82.471	-20.0309
24.000000	82.442	-19.8987
24.299999	82.422	-19.8204
24.700001	82.398	-19.7405
25.000000	82.383	-19.6938
25.400000	82.366	-19.6407
25.799999	82.351	-19.5941
26.200001	82.338	-19.5566
26.500000	82.330	-19.5382
26.900000	82.317	-19.5307
27.200001	82.307	-19.5379
27.600000	82.294	-19.5626
28.000000	82.282	-19.6033
28.500000	82.271	-19.6813
29.000000	82.266	-19.8003
29.500000	82.263	-19.9616
30.000000	82.260	-20.1489
30.400000	82.257	-20.3038
30.700001	82.254	-20.4199
31.100000	82.249	-20.5770
31.500000	82.245	-20.7428
32.000000	82.239	-20.9681
32.500000	82.231	-21.2112
33.000000	82.222	-21.4701
33.500000	82.213	-21.7536
34.000000	82.203	-22.0761
34.500000	82.190	-22.4402
35.000000	82.171	-22.8294
35.500000	82.147	-23.2213
36.000000	82.120	-23.6041
36.500000	82.094	-23.9802
37.000000	82.068	-24.3578
37.500000	82.040	-24.7429
38.200001	81.994	-25.3035
38.700001	81.956	-25.7227
39.500000	81.883	-26.4105
40.000000	81.831	-26.8324
40.599998	81.766	-27.3208
41.200001	81.702	-27.7996
41.799999	81.640	-28.2799
42.500000	81.564	-28.8396
43.099998	81.495	-29.3105
43.700001	81.422	-29.7696
44.400002	81.332	-30.2842
45.000000	81.250	-30.6956
45.500000	81.179	-31.0103
46.200001	81.074	-31.4054
46.799999	80.982	-31.7079
47.500000	80.876	-32.0345
48.200001	80.774	-32.3498
48.700001	80.704	-32.5703
49.400002	80.606	-32.8611
50.000000	80.518	-33.0804
50.799999	80.391	-33.3242
51.500000	80.276	-33.5078
52.200001	80.160	-33.6814
53.000000	80.028	-33.8665
53.799999	79.895	-34.0229
54.500000	79.782	-34.1418
55.200001	79.674	-34.2598
56.000000	79.553	-34.3896
57.000000	79.401	-34.5045
58.000000	79.250	-34.5585
59.000000	79.100	-34.5836
60.000000	78.956	-34.5768
60.799999	78.844	-34.5291
61.500000	78.749	-34.4621
62.200001	78.656	-34.3934
63.000000	78.550	-34.3277
64.000000	78.418	-34.2400
65.000000	78.289	-34.1102
66.000000	78.164	-33.9493
67.000000	78.043	-33.7860
68.000000	77.920	-33.6259
69.000000	77.797	-33.4483
70.000000	77.678	-33.2427
71.000000	77.568	-33.0237
72.000000	77.465	-32.7901
73.000000	77.365	-32.5281
74.000000	77.268	-32.2525
75.000000	77.172	-31.9952
76.199997	77.054	-31.7264
77.500000	76.925	-31.4368
78.800003	76.801	-31.0845
80.000000	76.689	-30.7305
81.199997	76.578	-30.4125
82.500000	76.461	-30.1140
83.800003	76.351	-29.8132
85.000000	76.252	-29.5168
86.199997	76.153	-29.2066
87.500000	76.044	-28.8659
88.500000	75.960	-28.6044
90.000000	75.834	-28.2014
91.199997	75.734	-27.8625
92.500000	75.625	-27.4933
93.800003	75.517	-27.1433
95.000000	75.423	-26.8377
96.199997	75.334	-26.5371
97.500000	75.238	-26.1957
98.800003	75.137	-25.8258
100.000000	75.040	-25.4719
101.500000	74.923	-25.0262
103.000000	74.813	-24.5748
104.400002	74.715	-24.1422
106.000000	74.601	-23.6213
107.500000	74.490	-23.1215
109.000000	74.381	-22.6337
110.599998	74.267	-22.1265
112.000000	74.171	-21.6783
113.800003	74.048	-21.0649
115.000000	73.966	-20.6220
117.199997	73.814	-19.7465
118.000000	73.757	-19.4175
120.599998	73.577	-18.3788
122.000000	73.489	-17.8281
124.099998	73.369	-16.9425
125.000000	73.321	-16.5355
126.500000	73.241	-15.8376
128.000000	73.163	-15.1291
131.500000	72.980	-13.4158
132.000000	72.953	-13.1698
134.000000	72.849	-12.2053
136.000000	72.755	-11.2560
138.000000	72.672	-10.2905
140.000000	72.598	-9.3188
143.000000	72.510	-7.8796
145.000000	72.468	-6.9448
147.500000	72.432	-5.8093
150.000000	72.412	-4.6584
152.500000	72.402	-3.4851
155.000000	72.400	-2.3263
157.500000	72.411	-1.2025
160.000000	72.439	-0.1201
162.500000	72.490	0.9493
165.000000	72.563	2.0106
167.500000	72.652	3.0262
170.000000	72.750	4.0011
172.500000	72.857	4.9692
175.000000	72.972	5.9404
177.500000	73.091	6.8986
180.000000	73.210	7.8220
182.500000	73.325	8.6957
185.000000	73.432	9.5257
187.500000	73.533	10.3399
190.000000	73.634	11.1494
192.500000	73.744	11.9388
195.000000	73.866	12.6862
197.500000	74.001	13.3974
200.000000	74.149	14.0933
203.000000	74.342	14.9110
206.000000	74.545	15.6884
209.000000	74.747	16.4189
212.000000	74.936	17.1056
214.000000	75.051	17.5520
218.000000	75.255	18.4568
