* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:20:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 TB
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.584	-27.7224
20.600000	82.548	-27.6682
20.900000	82.501	-27.5960
21.200001	82.450	-27.5141
21.400000	82.415	-27.4556
21.799999	82.347	-27.3291
22.000000	82.313	-27.2607
22.400000	82.250	-27.1143
22.700001	82.206	-27.0003
23.000000	82.167	-26.8899
23.299999	82.131	-26.7906
23.600000	82.098	-26.7095
24.000000	82.057	-26.6360
24.299999	82.027	-26.6066
24.700001	81.989	-26.5960
25.000000	81.961	-26.6051
25.400000	81.928	-26.6360
25.799999	81.897	-26.6875
26.200001	81.868	-26.7586
26.500000	81.847	-26.8218
26.900000	81.818	-26.9112
27.200001	81.796	-26.9765
27.600000	81.769	-27.0580
28.000000	81.745	-27.1392
28.500000	81.720	-27.2622
29.000000	81.698	-27.4317
29.500000	81.673	-27.6485
30.000000	81.643	-27.8932
30.400000	81.617	-28.0978
30.700001	81.597	-28.2561
31.100000	81.570	-28.4772
31.500000	81.543	-28.7129
32.000000	81.509	-29.0258
32.500000	81.476	-29.3506
33.000000	81.445	-29.6859
33.500000	81.414	-30.0426
34.000000	81.382	-30.4287
34.500000	81.346	-30.8369
35.000000	81.304	-31.2500
35.500000	81.257	-31.6581
36.000000	81.210	-32.0662
36.500000	81.162	-32.4838
37.000000	81.113	-32.9129
37.500000	81.060	-33.3475
38.200001	80.977	-33.9548
38.700001	80.910	-34.3873
39.500000	80.795	-35.0816
40.000000	80.720	-35.5172
40.599998	80.631	-36.0409
41.200001	80.545	-36.5595
41.799999	80.459	-37.0574
42.500000	80.354	-37.5924
43.099998	80.255	-38.0128
43.700001	80.148	-38.4122
44.400002	80.016	-38.8635
45.000000	79.901	-39.2328
45.500000	79.807	-39.5196
46.200001	79.675	-39.8767
46.799999	79.562	-40.1375
47.500000	79.431	-40.4032
48.200001	79.303	-40.6625
48.700001	79.214	-40.8567
49.400002	79.089	-41.1221
50.000000	78.978	-41.3086
50.799999	78.824	-41.4700
51.500000	78.683	-41.5487
52.200001	78.540	-41.5941
53.000000	78.379	-41.6246
53.799999	78.224	-41.6640
54.500000	78.092	-41.7170
55.200001	77.962	-41.7595
56.000000	77.814	-41.7603
57.000000	77.635	-41.7044
58.000000	77.460	-41.6280
59.000000	77.290	-41.5259
60.000000	77.125	-41.3723
60.799999	76.999	-41.2064
61.500000	76.892	-41.0371
62.200001	76.788	-40.8541
63.000000	76.669	-40.6370
64.000000	76.520	-40.3684
65.000000	76.369	-40.1013
66.000000	76.220	-39.8111
67.000000	76.082	-39.4904
68.000000	75.951	-39.1514
69.000000	75.822	-38.8077
70.000000	75.692	-38.4648
71.000000	75.563	-38.1239
72.000000	75.438	-37.7945
73.000000	75.318	-37.4818
74.000000	75.205	-37.1758
75.000000	75.097	-36.8593
76.199997	74.970	-36.4666
77.500000	74.834	-36.0613
78.800003	74.698	-35.6621
80.000000	74.574	-35.2513
81.199997	74.451	-34.7955
82.500000	74.316	-34.2991
83.800003	74.182	-33.8410
85.000000	74.063	-33.4442
86.199997	73.953	-33.0517
87.500000	73.839	-32.6173
88.500000	73.749	-32.2715
90.000000	73.608	-31.7321
91.199997	73.493	-31.2965
92.500000	73.368	-30.8315
93.800003	73.249	-30.3615
95.000000	73.142	-29.9138
96.199997	73.031	-29.4574
