* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 15:23:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 A TB R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.040	-18.0197
20.600000	86.031	-18.0780
20.900000	86.020	-18.1570
21.200001	86.012	-18.2565
21.400000	86.008	-18.3374
21.799999	86.004	-18.5427
22.000000	86.005	-18.6685
22.400000	86.009	-18.9623
22.700001	86.014	-19.2124
23.000000	86.019	-19.4811
23.299999	86.024	-19.7644
23.600000	86.030	-20.0607
24.000000	86.036	-20.4772
24.299999	86.039	-20.8067
24.700001	86.042	-21.2692
25.000000	86.044	-21.6321
25.400000	86.047	-22.1349
25.799999	86.048	-22.6577
26.200001	86.048	-23.2004
26.500000	86.045	-23.6198
26.900000	86.038	-24.1928
27.200001	86.029	-24.6296
27.600000	86.014	-25.2169
28.000000	85.996	-25.8076
28.500000	85.970	-26.5545
29.000000	85.942	-27.3177
29.500000	85.909	-28.0959
30.000000	85.871	-28.8750
30.400000	85.836	-29.4884
30.700001	85.806	-29.9407
31.100000	85.764	-30.5358
31.500000	85.720	-31.1274
32.000000	85.660	-31.8696
32.500000	85.597	-32.6164
33.000000	85.530	-33.3608
33.500000	85.459	-34.0916
34.000000	85.387	-34.7982
34.500000	85.312	-35.4743
35.000000	85.235	-36.1173
35.500000	85.154	-36.7271
36.000000	85.072	-37.3048
36.500000	84.990	-37.8552
37.000000	84.911	-38.3890
37.500000	84.832	-38.9189
38.200001	84.719	-39.6605
38.700001	84.632	-40.1734
39.500000	84.484	-40.9209
40.000000	84.391	-41.3398
40.599998	84.282	-41.8151
41.200001	84.176	-42.2791
41.799999	84.070	-42.7271
42.500000	83.943	-43.2010
43.099998	83.833	-43.5576
43.700001	83.727	-43.8909
44.400002	83.610	-44.2880
45.000000	83.512	-44.6367
45.500000	83.431	-44.9144
46.200001	83.317	-45.2581
46.799999	83.221	-45.5147
47.500000	83.111	-45.7995
48.200001	83.003	-46.0922
48.700001	82.926	-46.3036
49.400002	82.818	-46.5848
50.000000	82.726	-46.8043
50.799999	82.600	-47.0822
