* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 15:09:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 A Default L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.787	-18.9806
20.600000	86.778	-19.0528
20.900000	86.766	-19.1479
21.200001	86.755	-19.2594
21.400000	86.749	-19.3442
21.799999	86.742	-19.5481
22.000000	86.742	-19.6704
22.400000	86.746	-19.9554
22.700001	86.751	-20.1974
23.000000	86.755	-20.4535
23.299999	86.760	-20.7166
23.600000	86.765	-20.9845
24.000000	86.771	-21.3565
24.299999	86.774	-21.6569
24.700001	86.777	-22.0994
25.000000	86.778	-22.4655
25.400000	86.775	-22.9914
25.799999	86.768	-23.5429
26.200001	86.758	-24.1003
26.500000	86.748	-24.5155
26.900000	86.736	-25.0647
27.200001	86.726	-25.4776
27.600000	86.712	-26.0373
28.000000	86.697	-26.6139
28.500000	86.673	-27.3589
29.000000	86.641	-28.1230
29.500000	86.605	-28.8994
30.000000	86.565	-29.6892
30.400000	86.531	-30.3313
30.700001	86.503	-30.8161
31.100000	86.463	-31.4597
31.500000	86.420	-32.0925
32.000000	86.367	-32.8641
32.500000	86.312	-33.6238
33.000000	86.255	-34.3850
33.500000	86.190	-35.1460
34.000000	86.114	-35.8855
34.500000	86.030	-36.5768
35.000000	85.940	-37.2057
35.500000	85.851	-37.7788
36.000000	85.766	-38.3197
36.500000	85.686	-38.8544
37.000000	85.606	-39.3952
37.500000	85.522	-39.9320
38.200001	85.393	-40.6357
38.700001	85.298	-41.0932
39.500000	85.148	-41.7879
40.000000	85.055	-42.2177
40.599998	84.942	-42.7137
41.200001	84.830	-43.1665
41.799999	84.725	-43.5864
42.500000	84.606	-44.0709
43.099998	84.502	-44.4834
43.700001	84.396	-44.8703
44.400002	84.274	-45.2753
45.000000	84.173	-45.5924
45.500000	84.091	-45.8430
46.200001	83.977	-46.1734
46.799999	83.879	-46.4315
47.500000	83.765	-46.6938
48.200001	83.654	-46.9158
48.700001	83.577	-47.0624
49.400002	83.473	-47.2775
