* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:15:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 D
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.563	-28.8388
20.600000	82.525	-28.7612
20.900000	82.476	-28.6633
21.200001	82.422	-28.5578
21.400000	82.385	-28.4863
21.799999	82.313	-28.3448
22.000000	82.279	-28.2765
22.400000	82.218	-28.1493
22.700001	82.176	-28.0659
23.000000	82.139	-27.9957
23.299999	82.105	-27.9401
23.600000	82.073	-27.8997
24.000000	82.031	-27.8678
24.299999	82.000	-27.8578
24.700001	81.959	-27.8580
25.000000	81.930	-27.8650
25.400000	81.893	-27.8805
25.799999	81.859	-27.9022
26.200001	81.827	-27.9320
26.500000	81.804	-27.9616
26.900000	81.774	-28.0146
27.200001	81.753	-28.0672
27.600000	81.725	-28.1591
28.000000	81.699	-28.2792
28.500000	81.667	-28.4678
29.000000	81.635	-28.6857
29.500000	81.602	-28.9121
30.000000	81.570	-29.1368
30.400000	81.545	-29.3207
30.700001	81.527	-29.4677
31.100000	81.502	-29.6818
31.500000	81.477	-29.9183
32.000000	81.445	-30.2363
32.500000	81.413	-30.5623
33.000000	81.382	-30.8839
33.500000	81.351	-31.2007
34.000000	81.319	-31.5218
34.500000	81.284	-31.8593
35.000000	81.244	-32.2245
35.500000	81.197	-32.6243
36.000000	81.146	-33.0575
36.500000	81.092	-33.5143
37.000000	81.035	-33.9797
37.500000	80.976	-34.4383
38.200001	80.888	-35.0482
38.700001	80.820	-35.4561
39.500000	80.705	-36.0787
40.000000	80.630	-36.4688
40.599998	80.537	-36.9498
41.200001	80.439	-37.4357
41.799999	80.340	-37.9075
42.500000	80.224	-38.4270
43.099998	80.125	-38.8502
43.700001	80.025	-39.2598
44.400002	79.904	-39.7145
45.000000	79.795	-40.0646
45.500000	79.700	-40.3162
46.200001	79.564	-40.6124
46.799999	79.449	-40.8423
47.500000	79.317	-41.1146
48.200001	79.187	-41.3857
48.700001	79.095	-41.5604
49.400002	78.966	-41.7590
50.000000	78.851	-41.8834
50.799999	78.688	-42.0000
51.500000	78.541	-42.0809
52.200001	78.398	-42.1593
53.000000	78.240	-42.2364
53.799999	78.086	-42.2716
54.500000	77.955	-42.2607
55.200001	77.826	-42.2250
56.000000	77.684	-42.1706
57.000000	77.512	-42.0758
58.000000	77.342	-41.9255
59.000000	77.173	-41.7279
60.000000	77.005	-41.5270
60.799999	76.876	-41.3762
61.500000	76.768	-41.2414
62.200001	76.664	-41.0904
63.000000	76.547	-40.8839
64.000000	76.403	-40.5755
65.000000	76.265	-40.2508
66.000000	76.133	-39.9468
67.000000	76.004	-39.6603
68.000000	75.877	-39.3614
69.000000	75.751	-39.0242
70.000000	75.630	-38.6566
71.000000	75.511	-38.2834
72.000000	75.393	-37.9232
73.000000	75.276	-37.5920
74.000000	75.161	-37.2806
75.000000	75.055	-36.9578
76.199997	74.939	-36.5301
77.500000	74.815	-36.0363
78.800003	74.685	-35.5560
80.000000	74.565	-35.1407
81.199997	74.448	-34.7343
82.500000	74.324	-34.2879
83.800003	74.201	-33.8505
85.000000	74.088	-33.4546
86.199997	73.977	-33.0474
87.500000	73.861	-32.5940
88.500000	73.770	-32.2478
90.000000	73.629	-31.7232
91.199997	73.519	-31.2878
92.500000	73.405	-30.8215
93.800003	73.296	-30.3734
95.000000	73.196	-29.9614
96.199997	73.095	-29.5469
97.500000	72.981	-29.0961
98.800003	72.866	-28.6405
100.000000	72.763	-28.2107
101.500000	72.644	-27.6426
103.000000	72.531	-27.0395
104.400002	72.428	-26.4612
106.000000	72.305	-25.7853
107.500000	72.185	-25.1275
109.000000	72.065	-24.4562
110.599998	71.942	-23.7314
112.000000	71.838	-23.0771
113.800003	71.710	-22.1976
115.000000	71.630	-21.5812
117.199997	71.490	-20.4190
118.000000	71.439	-20.0009
120.599998	71.269	-18.6552
122.000000	71.178	-17.9295
124.099998	71.051	-16.8484
125.000000	71.001	-16.3860
126.500000	70.919	-15.6067
128.000000	70.840	-14.8028
131.500000	70.661	-12.8220
132.000000	70.638	-12.5348
134.000000	70.553	-11.3627
136.000000	70.477	-10.1383
138.000000	70.403	-8.8995
140.000000	70.335	-7.6794
143.000000	70.248	-5.9351
145.000000	70.197	-4.7927
147.500000	70.140	-3.3983
150.000000	70.093	-2.0352
152.500000	70.060	-0.6503
155.000000	70.041	0.7085
157.500000	70.029	2.0583
160.000000	70.026	3.3729
162.500000	70.035	4.6316
165.000000	70.057	5.8543
167.500000	70.091	7.0150
170.000000	70.134	8.1240
172.500000	70.186	9.1910
175.000000	70.243	10.2207
177.500000	70.298	11.2434
180.000000	70.348	12.2666
182.500000	70.391	13.2652
185.000000	70.426	14.2144
187.500000	70.458	15.1013
190.000000	70.495	15.9215
192.500000	70.545	16.6971
195.000000	70.611	17.4448
