* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 15:10:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 Default L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.431	24.0120
20.600000	85.473	23.6173
20.900000	85.527	23.1156
21.200001	85.585	22.5500
21.400000	85.623	22.1377
21.799999	85.693	21.2193
22.000000	85.723	20.7145
22.400000	85.770	19.6376
22.700001	85.796	18.8026
23.000000	85.817	17.9744
23.299999	85.838	17.1728
23.600000	85.863	16.4067
24.000000	85.906	15.4356
24.299999	85.945	14.7350
24.700001	85.999	13.8263
25.000000	86.036	13.1642
25.400000	86.077	12.3159
25.799999	86.106	11.5120
26.200001	86.126	10.7395
26.500000	86.139	10.1613
26.900000	86.158	9.3613
27.200001	86.174	8.7254
27.600000	86.198	7.8284
28.000000	86.222	6.8970
28.500000	86.251	5.7425
29.000000	86.271	4.6630
29.500000	86.282	3.6956
30.000000	86.284	2.8357
30.400000	86.283	2.2000
30.700001	86.280	1.7354
31.100000	86.277	1.1104
31.500000	86.274	0.4603
32.000000	86.272	-0.4043
32.500000	86.273	-1.3329
33.000000	86.277	-2.3246
33.500000	86.284	-3.3693
34.000000	86.296	-4.4428
34.500000	86.311	-5.5093
35.000000	86.326	-6.5330
35.500000	86.334	-7.4846
36.000000	86.331	-8.3418
36.500000	86.314	-9.0941
37.000000	86.286	-9.7551
37.500000	86.253	-10.3641
38.200001	86.204	-11.2198
38.700001	86.171	-11.8779
39.500000	86.128	-13.0474
40.000000	86.103	-13.8454
40.599998	86.068	-14.8204
41.200001	86.028	-15.7359
41.799999	85.987	-16.5542
42.500000	85.943	-17.4557
43.099998	85.902	-18.2636
43.700001	85.856	-19.1120
44.400002	85.800	-20.1068
45.000000	85.755	-20.9516
45.500000	85.714	-21.6586
46.200001	85.641	-22.6536
46.799999	85.569	-23.5073
47.500000	85.487	-24.4937
48.200001	85.415	-25.3685
48.700001	85.371	-25.8199
49.400002	85.322	-26.1759
50.000000	85.284	-26.4029
50.799999	85.215	-27.0397
51.500000	85.126	-28.0524
52.200001	85.031	-29.2839
53.000000	84.944	-30.5681
53.799999	84.863	-31.4877
54.500000	84.772	-32.0602
55.200001	84.660	-32.6478
56.000000	84.529	-33.5208
57.000000	84.410	-34.6814
58.000000	84.348	-35.4878
59.000000	84.275	-36.0833
60.000000	84.149	-36.8318
60.799999	84.036	-37.5698
61.500000	83.949	-38.2187
62.200001	83.869	-38.7807
63.000000	83.774	-39.2872
64.000000	83.637	-39.8255
65.000000	83.489	-40.4165
66.000000	83.346	-41.0919
67.000000	83.217	-41.7708
68.000000	83.098	-42.3684
69.000000	82.976	-42.8752
70.000000	82.849	-43.3650
71.000000	82.725	-43.9001
72.000000	82.608	-44.4258
73.000000	82.490	-44.8455
74.000000	82.360	-45.1657
75.000000	82.220	-45.4689
76.199997	82.057	-45.8508
77.500000	81.887	-46.1991
78.800003	81.692	-46.5036
80.000000	81.503	-46.8706
81.199997	81.360	-47.3526
82.500000	81.264	-47.8322
83.800003	81.171	-48.0804
