* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2025 19:21:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HFBP4 V
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.422	-26.9300
20.600000	82.383	-26.8734
20.900000	82.331	-26.8068
21.200001	82.273	-26.7392
21.400000	82.233	-26.6933
21.799999	82.152	-26.5927
22.000000	82.114	-26.5354
22.400000	82.044	-26.4081
22.700001	81.999	-26.3094
23.000000	81.961	-26.2186
23.299999	81.928	-26.1437
23.600000	81.898	-26.0873
24.000000	81.858	-26.0343
24.299999	81.826	-26.0026
24.700001	81.782	-25.9626
25.000000	81.752	-25.9358
25.400000	81.714	-25.9151
25.799999	81.680	-25.9222
26.200001	81.648	-25.9555
26.500000	81.623	-25.9884
26.900000	81.592	-26.0279
27.200001	81.569	-26.0500
27.600000	81.544	-26.0755
28.000000	81.523	-26.1143
28.500000	81.499	-26.2071
29.000000	81.472	-26.3520
29.500000	81.441	-26.5263
30.000000	81.410	-26.7105
30.400000	81.386	-26.8654
30.700001	81.369	-26.9895
31.100000	81.347	-27.1674
31.500000	81.326	-27.3569
32.000000	81.298	-27.6027
32.500000	81.272	-27.8595
33.000000	81.247	-28.1403
33.500000	81.220	-28.4535
34.000000	81.189	-28.7856
34.500000	81.154	-29.1107
35.000000	81.117	-29.4160
35.500000	81.080	-29.7148
36.000000	81.043	-30.0307
36.500000	81.003	-30.3730
37.000000	80.959	-30.7287
37.500000	80.910	-31.0778
38.200001	80.833	-31.5373
38.700001	80.774	-31.8489
39.500000	80.673	-32.3342
40.000000	80.609	-32.6364
40.599998	80.535	-33.0051
41.200001	80.463	-33.3800
41.799999	80.392	-33.7438
42.500000	80.306	-34.1195
43.099998	80.226	-34.3855
43.700001	80.140	-34.6092
44.400002	80.038	-34.8426
45.000000	79.951	-35.0328
45.500000	79.878	-35.1825
46.200001	79.775	-35.3609
46.799999	79.685	-35.4694
47.500000	79.581	-35.5434
48.200001	79.481	-35.5840
48.700001	79.413	-35.6032
49.400002	79.322	-35.6058
50.000000	79.244	-35.5619
50.799999	79.133	-35.4225
51.500000	79.031	-35.2497
52.200001	78.928	-35.0559
53.000000	78.814	-34.8202
53.799999	78.711	-34.5842
54.500000	78.628	-34.3846
55.200001	78.546	-34.1747
56.000000	78.454	-33.9021
57.000000	78.343	-33.5191
58.000000	78.241	-33.1026
59.000000	78.152	-32.6528
60.000000	78.076	-32.1655
60.799999	78.022	-31.7443
61.500000	77.980	-31.3592
62.200001	77.938	-30.9655
63.000000	77.890	-30.5083
64.000000	77.830	-29.9274
65.000000	77.773	-29.3287
66.000000	77.725	-28.7049
67.000000	77.688	-28.0712
68.000000	77.656	-27.4443
69.000000	77.627	-26.8253
70.000000	77.603	-26.2200
71.000000	77.584	-25.6452
72.000000	77.569	-25.0999
73.000000	77.557	-24.5614
74.000000	77.549	-24.0196
75.000000	77.546	-23.4802
76.199997	77.549	-22.8451
77.500000	77.555	-22.1723
78.800003	77.562	-21.5047
80.000000	77.568	-20.8687
81.199997	77.576	-20.2126
82.500000	77.589	-19.5202
83.800003	77.606	-18.8745
85.000000	77.629	-18.3176
86.199997	77.658	-17.7836
87.500000	77.692	-17.2131
88.500000	77.713	-16.7703
90.000000	77.734	-16.0862
91.199997	77.745	-15.5221
92.500000	77.761	-14.9137
93.800003	77.782	-14.3314
95.000000	77.804	-13.8207
96.199997	77.822	-13.3293
97.500000	77.836	-12.8147
98.800003	77.850	-12.3152
100.000000	77.863	-11.8609
101.500000	77.877	-11.2973
103.000000	77.888	-10.7315
104.400002	77.895	-10.1776
106.000000	77.895	-9.4942
107.500000	77.883	-8.8049
109.000000	77.865	-8.0690
110.599998	77.842	-7.2361
112.000000	77.815	-6.4673
113.800003	77.769	-5.4467
115.000000	77.735	-4.7692
117.199997	77.676	-3.5595
118.000000	77.657	-3.1291
120.599998	77.596	-1.7606
122.000000	77.562	-1.0444
124.099998	77.516	0.0468
125.000000	77.498	0.5384
126.500000	77.471	1.3932
128.000000	77.444	2.2716
131.500000	77.375	4.2740
132.000000	77.366	4.5501
134.000000	77.337	5.6521
136.000000	77.319	6.7803
138.000000	77.308	7.9358
140.000000	77.300	9.1019
143.000000	77.296	10.8251
145.000000	77.300	11.9471
147.500000	77.319	13.3369
150.000000	77.347	14.7107
152.500000	77.380	16.0712
155.000000	77.418	17.4292
157.500000	77.463	18.7332
160.000000	77.517	19.9423
162.500000	77.584	21.1009
165.000000	77.661	22.2812
167.500000	77.746	23.4863
170.000000	77.841	24.6604
172.500000	77.943	25.7377
175.000000	78.045	26.7107
177.500000	78.143	27.6078
180.000000	78.240	28.4472
182.500000	78.333	29.2482
185.000000	78.415	30.0237
187.500000	78.487	30.7605
190.000000	78.553	31.4487
192.500000	78.627	32.0862
195.000000	78.715	32.6861
197.500000	78.817	33.2561
200.000000	78.932	33.7954
203.000000	79.084	34.3892
206.000000	79.242	34.8942
209.000000	79.400	35.3140
212.000000	79.545	35.6879
214.000000	79.631	35.9276
218.000000	79.778	36.3770
220.000000	79.843	36.5806
224.000000	79.961	36.9444
227.000000	80.040	37.1957
230.000000	80.109	37.4500
233.000000	80.169	37.7010
236.000000	80.221	37.9272
240.000000	80.276	38.1769
243.000000	80.304	38.3445
247.000000	80.323	38.5829
250.000000	80.328	38.7807
254.000000	80.326	39.0628
258.000000	80.314	39.3390
262.000000	80.287	39.6078
265.000000	80.259	39.8263
269.000000	80.216	40.1485
272.000000	80.179	40.4008
276.000000	80.122	40.7299
280.000000	80.051	41.0455
285.000000	79.943	41.4459
290.000000	79.814	41.9115
295.000000	79.668	42.4740
300.000000	79.510	43.1017
304.000000	79.380	43.6097
307.000000	79.281	43.9773
311.000000	79.151	44.4429
315.000000	79.023	44.8973
320.000000	78.873	45.4771
325.000000	78.732	46.0784
330.000000	78.600	46.7231
335.000000	78.479	47.4073
340.000000	78.371	48.1171
345.000000	78.273	48.8274
350.000000	78.179	49.4994
355.000000	78.087	50.1503
360.000000	77.999	50.8219
365.000000	77.923	51.5311
370.000000	77.860	52.2628
375.000000	77.808	52.9719
382.000000	77.755	53.8936
387.000000	77.731	54.5108
395.000000	77.718	55.4165
400.000000	77.723	55.9415
406.000000	77.741	56.5342
412.000000	77.766	57.0443
418.000000	77.796	57.4358
425.000000	77.838	57.8154
431.000000	77.880	58.1081
437.000000	77.930	58.3515
444.000000	78.001	58.5781
450.000000	78.072	58.7397
455.000000	78.138	58.8549
462.000000	78.238	58.9841
468.000000	78.327	59.0667
475.000000	78.430	59.1452
482.000000	78.527	59.2311
487.000000	78.591	59.3016
494.000000	78.673	59.4081
500.000000	78.739	59.4907
508.000000	78.820	59.5940
515.000000	78.882	59.7106
522.000000	78.931	59.8572
530.000000	78.967	60.0480
538.000000	78.981	60.2599
545.000000	78.977	60.4484
552.000000	78.960	60.6418
560.000000	78.924	60.8922
570.000000	78.848	61.3003
580.000000	78.743	61.8229
590.000000	78.620	62.4313
600.000000	78.482	63.0881
608.000000	78.362	63.6309
615.000000	78.253	64.1189
622.000000	78.140	64.6214
630.000000	78.008	65.2279
640.000000	77.840	66.0659
650.000000	77.674	66.9980
660.000000	77.515	68.0017
670.000000	77.363	69.0749
680.000000	77.216	70.1778
690.000000	77.077	71.2824
700.000000	76.948	72.3712
710.000000	76.832	73.4701
720.000000	76.724	74.6218
730.000000	76.621	75.8349
740.000000	76.520	77.0888
750.000000	76.419	78.3563
762.000000	76.297	79.8924
775.000000	76.159	81.6128
788.000000	76.012	83.4074
800.000000	75.868	85.1263
812.000000	75.716	86.9029
825.000000	75.550	88.8273
838.000000	75.383	90.6661
850.000000	75.227	92.2803
862.000000	75.077	93.8241
875.000000	74.926	95.4197
885.000000	74.824	96.6063
900.000000	74.702	98.3618
912.000000	74.631	99.7628
925.000000	74.576	101.2957
938.000000	74.547	102.8591
950.000000	74.540	104.3245
962.000000	74.553	105.8068
975.000000	74.587	107.4206
988.000000	74.637	109.0155
1000.000000	74.693	110.4533
1015.000000	74.763	112.1590
1030.000000	74.833	113.6887
1044.000000	74.898	114.9492
1060.000000	74.966	116.2711
1075.000000	75.018	117.4658
1090.000000	75.061	118.6182
1106.000000	75.101	119.7927
1120.000000	75.133	120.7981
1138.000000	75.178	122.0889
1150.000000	75.213	122.9547
1172.000000	75.282	124.5646
1180.000000	75.307	125.1565
1206.000000	75.394	127.0642
1220.000000	75.448	128.0544
1241.000000	75.536	129.4734
1250.000000	75.575	130.0593
1265.000000	75.638	131.0140
1280.000000	75.692	131.9575
1315.000000	75.744	134.1856
1320.000000	75.738	134.5088
1340.000000	75.674	135.8218
1360.000000	75.548	137.2210
1380.000000	75.382	138.7718
1400.000000	75.212	140.4727
1430.000000	75.024	143.2367
1450.000000	74.972	145.1716
1475.000000	74.992	147.6010
1500.000000	75.097	149.9167
1525.000000	75.266	152.0667
1550.000000	75.464	154.0620
1575.000000	75.663	155.9219
1600.000000	75.856	157.7293
1625.000000	76.049	159.5325
1650.000000	76.253	161.3116
1675.000000	76.472	163.0402
1700.000000	76.707	164.6735
1725.000000	76.958	166.1589
1750.000000	77.214	167.4483
1775.000000	77.466	168.5100
1800.000000	77.704	169.3539
1825.000000	77.921	170.0553
1850.000000	78.119	170.6974
1875.000000	78.305	171.3217
1900.000000	78.485	171.9317
1925.000000	78.664	172.5032
1950.000000	78.843	173.0177
1975.000000	79.019	173.4826
2000.000000	79.189	173.9279
2030.000000	79.388	174.4808
2060.000000	79.577	175.0752
2090.000000	79.763	175.6985
2120.000000	79.954	176.3132
2140.000000	80.083	176.7207
2180.000000	80.333	177.5342
2200.000000	80.451	177.9226
2240.000000	80.669	178.6532
2270.000000	80.816	179.1940
2300.000000	80.949	179.7447
2330.000000	81.071	-179.7108
2360.000000	81.185	-179.1922
2400.000000	81.328	-178.5480
2430.000000	81.434	-178.0986
2470.000000	81.572	-177.5591
2500.000000	81.671	-177.2001
2540.000000	81.797	-176.7488
2580.000000	81.925	-176.3287
2620.000000	82.057	-176.0110
2650.000000	82.154	-175.8825
2690.000000	82.272	-175.8634
2720.000000	82.346	-175.9348
2760.000000	82.418	-176.0847
2800.000000	82.460	-176.2355
2850.000000	82.478	-176.2924
2900.000000	82.490	-176.0906
2950.000000	82.520	-175.8630
3000.000000	82.533	-175.7378
3040.000000	82.539	-175.6028
3070.000000	82.544	-175.5660
3110.000000	82.537	-175.6323
3150.000000	82.506	-175.7233
3200.000000	82.438	-175.7303
3250.000000	82.350	-175.5668
3300.000000	82.255	-175.2431
3350.000000	82.157	-174.8130
3400.000000	82.053	-174.3030
3450.000000	81.942	-173.7006
3500.000000	81.825	-173.0145
3550.000000	81.709	-172.2665
3600.000000	81.600	-171.4763
3650.000000	81.498	-170.6460
3700.000000	81.405	-169.7437
3750.000000	81.330	-168.7620
3820.000000	81.262	-167.3093
3870.000000	81.231	-166.2539
3950.000000	81.200	-164.5239
4000.000000	81.190	-163.3987
4060.000000	81.181	-162.0352
4120.000000	81.171	-160.6913
4180.000000	81.160	-159.3425
