* Measurement data measured by REW V5.30 beta 3
* Source: D:\Graphs\Harman in-ear 2019.csv
* Format: Comma/Tab/Space delimited data
* Dated: 05-Dec-2023 12:14:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Graphs\Harman in-ear 2019.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: Harman in-ear 2019
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	7.620
20.299999	7.627
20.600000	7.637
20.900000	7.647
21.200001	7.657
21.400000	7.664
21.799999	7.675
22.000000	7.680
22.400000	7.689
22.700001	7.695
23.000000	7.700
23.299999	7.704
23.600000	7.708
24.000000	7.712
24.299999	7.715
24.700001	7.718
25.000000	7.719
25.400000	7.720
25.799999	7.720
26.200001	7.720
26.500000	7.720
26.900000	7.720
27.200001	7.720
27.600000	7.720
28.000000	7.720
28.500000	7.720
29.000000	7.720
29.500000	7.719
30.000000	7.716
30.400000	7.712
30.700001	7.709
31.100000	7.704
31.500000	7.699
32.000000	7.691
32.500000	7.683
33.000000	7.675
33.500000	7.666
34.000000	7.655
34.500000	7.642
35.000000	7.629
35.500000	7.614
36.000000	7.597
36.500000	7.578
37.000000	7.558
37.500000	7.536
38.200001	7.505
38.700001	7.481
39.500000	7.441
40.000000	7.415
40.599998	7.381
41.200001	7.346
41.799999	7.309
42.500000	7.264
43.099998	7.224
43.700001	7.183
44.400002	7.134
45.000000	7.090
45.500000	7.052
46.200001	6.995
46.799999	6.946
47.500000	6.886
48.200001	6.824
48.700001	6.778
49.400002	6.715
50.000000	6.662
50.799999	6.594
51.500000	6.535
52.200001	6.475
53.000000	6.407
53.799999	6.337
54.500000	6.274
55.200001	6.213
56.000000	6.146
57.000000	6.068
58.000000	5.992
59.000000	5.916
60.000000	5.834
60.799999	5.761
61.500000	5.694
62.200001	5.625
63.000000	5.550
64.000000	5.462
65.000000	5.379
66.000000	5.299
67.000000	5.217
68.000000	5.133
69.000000	5.049
70.000000	4.965
71.000000	4.880
72.000000	4.795
73.000000	4.709
74.000000	4.626
75.000000	4.547
76.199997	4.457
77.500000	4.363
78.800003	4.271
80.000000	4.188
81.199997	4.104
82.500000	4.013
83.800003	3.923
85.000000	3.839
86.199997	3.758
87.500000	3.670
88.500000	3.602
90.000000	3.500
91.199997	3.417
92.500000	3.328
93.800003	3.240
95.000000	3.158
96.199997	3.075
97.500000	2.986
98.800003	2.898
100.000000	2.820
101.500000	2.727
103.000000	2.639
104.400002	2.558
106.000000	2.468
107.500000	2.382
109.000000	2.298
110.599998	2.207
112.000000	2.128
113.800003	2.025
115.000000	1.956
117.199997	1.832
118.000000	1.789
120.599998	1.655
122.000000	1.586
124.099998	1.484
125.000000	1.440
126.500000	1.367
128.000000	1.294
131.500000	1.128
132.000000	1.105
134.000000	1.015
136.000000	0.930
138.000000	0.848
140.000000	0.769
143.000000	0.661
145.000000	0.594
147.500000	0.511
150.000000	0.429
152.500000	0.350
155.000000	0.270
157.500000	0.191
160.000000	0.112
162.500000	0.034
165.000000	-0.042
167.500000	-0.118
170.000000	-0.192
172.500000	-0.266
175.000000	-0.338
177.500000	-0.409
180.000000	-0.478
182.500000	-0.544
185.000000	-0.609
187.500000	-0.673
190.000000	-0.735
192.500000	-0.796
195.000000	-0.854
197.500000	-0.909
200.000000	-0.962
203.000000	-1.020
206.000000	-1.075
209.000000	-1.127
212.000000	-1.175
214.000000	-1.205
218.000000	-1.264
220.000000	-1.293
224.000000	-1.346
227.000000	-1.381
230.000000	-1.413
233.000000	-1.444
236.000000	-1.473
240.000000	-1.507
243.000000	-1.529
247.000000	-1.557
250.000000	-1.576
254.000000	-1.598
258.000000	-1.617
262.000000	-1.635
265.000000	-1.646
269.000000	-1.661
272.000000	-1.672
276.000000	-1.684
280.000000	-1.693
285.000000	-1.700
290.000000	-1.705
295.000000	-1.708
300.000000	-1.710
304.000000	-1.710
307.000000	-1.710
311.000000	-1.710
315.000000	-1.709
320.000000	-1.708
325.000000	-1.705
330.000000	-1.702
335.000000	-1.698
340.000000	-1.692
345.000000	-1.686
350.000000	-1.679
355.000000	-1.671
360.000000	-1.663
365.000000	-1.655
370.000000	-1.647
375.000000	-1.639
382.000000	-1.629
387.000000	-1.621
395.000000	-1.608
400.000000	-1.599
406.000000	-1.589
412.000000	-1.580
418.000000	-1.570
425.000000	-1.557
431.000000	-1.547
437.000000	-1.536
444.000000	-1.523
450.000000	-1.510
455.000000	-1.500
462.000000	-1.484
468.000000	-1.471
475.000000	-1.457
482.000000	-1.442
487.000000	-1.431
494.000000	-1.416
500.000000	-1.402
508.000000	-1.383
515.000000	-1.367
522.000000	-1.352
530.000000	-1.335
538.000000	-1.317
545.000000	-1.300
552.000000	-1.282
560.000000	-1.264
570.000000	-1.244
580.000000	-1.226
590.000000	-1.207
600.000000	-1.185
608.000000	-1.164
615.000000	-1.144
622.000000	-1.124
630.000000	-1.102
640.000000	-1.075
650.000000	-1.050
660.000000	-1.025
670.000000	-0.999
680.000000	-0.971
690.000000	-0.942
700.000000	-0.914
710.000000	-0.885
720.000000	-0.857
730.000000	-0.829
740.000000	-0.802
750.000000	-0.775
762.000000	-0.743
775.000000	-0.707
788.000000	-0.671
800.000000	-0.637
812.000000	-0.605
825.000000	-0.569
838.000000	-0.533
850.000000	-0.498
862.000000	-0.463
875.000000	-0.424
885.000000	-0.394
900.000000	-0.347
912.000000	-0.307
925.000000	-0.262
938.000000	-0.218
950.000000	-0.177
962.000000	-0.136
975.000000	-0.089
988.000000	-0.043
1000.000000	0.001
1015.000000	0.057
1030.000000	0.113
1044.000000	0.165
1060.000000	0.228
1075.000000	0.291
1090.000000	0.355
1106.000000	0.426
1120.000000	0.490
1138.000000	0.576
1150.000000	0.635
1172.000000	0.744
1180.000000	0.784
1206.000000	0.918
1220.000000	0.992
1241.000000	1.103
1250.000000	1.153
1265.000000	1.238
1280.000000	1.324
1315.000000	1.527
1320.000000	1.556
1340.000000	1.672
1360.000000	1.789
1380.000000	1.905
1400.000000	2.019
1430.000000	2.184
1450.000000	2.292
1475.000000	2.427
1500.000000	2.565
1525.000000	2.708
