* Measurement data measured by REW V5.30.8
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of IKKO Activebuds Pop, IKKO Activebuds Pop
* Dated: 16-Feb-2024 12:00:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Haylou S30 ANC off
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	93.417
20.600000	93.743
20.900000	94.340
21.200001	95.051
21.400000	95.491
21.799999	96.117
22.000000	96.277
22.400000	96.317
22.700001	96.188
23.000000	96.039
23.299999	95.971
23.600000	96.033
24.000000	96.262
24.299999	96.453
24.700001	96.619
25.000000	96.640
25.400000	96.518
25.799999	96.237
26.200001	95.857
26.500000	95.572
26.900000	95.307
27.200001	95.261
27.600000	95.448
28.000000	95.853
28.500000	96.428
29.000000	96.815
29.500000	96.880
30.000000	96.646
30.400000	96.355
30.700001	96.159
31.100000	95.995
31.500000	95.932
32.000000	95.859
32.500000	95.679
33.000000	95.471
33.500000	95.464
34.000000	95.741
34.500000	96.109
35.000000	96.370
35.500000	96.521
36.000000	96.719
36.500000	97.075
37.000000	97.490
37.500000	97.754
38.200001	97.657
38.700001	97.321
39.500000	96.729
40.000000	96.540
40.599998	96.587
41.200001	96.836
41.799999	97.091
42.500000	97.210
43.099998	97.163
43.700001	97.085
44.400002	97.076
45.000000	97.117
45.500000	97.109
46.200001	96.945
46.799999	96.696
47.500000	96.437
48.200001	96.344
48.700001	96.360
49.400002	96.419
50.000000	96.465
50.799999	96.503
51.500000	96.541
52.200001	96.655
53.000000	96.899
53.799999	97.131
54.500000	97.266
55.200001	97.377
56.000000	97.484
57.000000	97.478
58.000000	97.306
59.000000	97.075
60.000000	96.835
60.799999	96.691
61.500000	96.636
62.200001	96.637
63.000000	96.684
64.000000	96.835
65.000000	97.084
66.000000	97.271
67.000000	97.275
68.000000	97.175
69.000000	97.136
70.000000	97.169
71.000000	97.155
72.000000	97.039
73.000000	96.860
74.000000	96.676
75.000000	96.533
76.199997	96.443
77.500000	96.390
78.800003	96.344
80.000000	96.314
81.199997	96.267
82.500000	96.201
83.800003	96.161
85.000000	96.146
86.199997	96.079
87.500000	95.887
88.500000	95.697
90.000000	95.439
91.199997	95.271
92.500000	95.109
93.800003	94.924
95.000000	94.716
96.199997	94.523
97.500000	94.382
98.800003	94.287
100.000000	94.209
101.500000	94.127
103.000000	94.047
104.400002	93.954
106.000000	93.837
107.500000	93.731
109.000000	93.611
110.599998	93.457
112.000000	93.320
113.800003	93.165
115.000000	93.074
117.199997	92.914
118.000000	92.855
120.599998	92.665
122.000000	92.561
124.099998	92.387
125.000000	92.306
126.500000	92.170
128.000000	92.034
131.500000	91.726
132.000000	91.687
134.000000	91.537
136.000000	91.372
138.000000	91.179
140.000000	90.959
143.000000	90.609
145.000000	90.365
147.500000	90.040
150.000000	89.707
152.500000	89.364
155.000000	89.015
157.500000	88.701
160.000000	88.432
162.500000	88.175
165.000000	87.878
167.500000	87.523
170.000000	87.148
172.500000	86.811
175.000000	86.529
177.500000	86.282
180.000000	86.029
182.500000	85.769
185.000000	85.544
187.500000	85.391
190.000000	85.308
192.500000	85.267
195.000000	85.242
197.500000	85.217
200.000000	85.178
203.000000	85.099
206.000000	84.968
209.000000	84.760
212.000000	84.467
214.000000	84.240
218.000000	83.800
220.000000	83.616
224.000000	83.346
227.000000	83.203
230.000000	83.085
233.000000	82.990
236.000000	82.925
240.000000	82.870
243.000000	82.830
247.000000	82.759
250.000000	82.699
254.000000	82.614
258.000000	82.500
262.000000	82.339
265.000000	82.201
269.000000	82.024
272.000000	81.911
276.000000	81.787
280.000000	81.683
285.000000	81.599
290.000000	81.560
295.000000	81.536
300.000000	81.513
304.000000	81.484
307.000000	81.452
311.000000	81.406
315.000000	81.383
320.000000	81.396
325.000000	81.429
330.000000	81.475
335.000000	81.524
340.000000	81.581
345.000000	81.659
350.000000	81.767
355.000000	81.918
360.000000	82.114
365.000000	82.336
370.000000	82.564
375.000000	82.783
382.000000	83.065
387.000000	83.247
395.000000	83.502
400.000000	83.644
406.000000	83.810
412.000000	83.972
418.000000	84.121
425.000000	84.279
431.000000	84.398
437.000000	84.505
444.000000	84.617
450.000000	84.706
455.000000	84.776
462.000000	84.867
468.000000	84.933
475.000000	84.987
482.000000	85.025
487.000000	85.055
494.000000	85.111
500.000000	85.170
508.000000	85.254
515.000000	85.324
522.000000	85.387
530.000000	85.451
538.000000	85.507
545.000000	85.555
552.000000	85.615
560.000000	85.709
570.000000	85.863
580.000000	86.033
590.000000	86.200
600.000000	86.363
608.000000	86.485
615.000000	86.582
622.000000	86.675
630.000000	86.779
640.000000	86.903
650.000000	87.015
660.000000	87.120
670.000000	87.228
680.000000	87.344
690.000000	87.465
700.000000	87.585
710.000000	87.701
720.000000	87.816
730.000000	87.927
740.000000	88.026
750.000000	88.107
762.000000	88.189
775.000000	88.273
788.000000	88.344
800.000000	88.385
812.000000	88.411
825.000000	88.436
838.000000	88.458
850.000000	88.469
862.000000	88.466
875.000000	88.441
885.000000	88.404
900.000000	88.327
912.000000	88.251
925.000000	88.155
938.000000	88.041
950.000000	87.917
962.000000	87.778
975.000000	87.611
988.000000	87.433
1000.000000	87.269
1015.000000	87.090
1030.000000	86.992
1044.000000	87.023
1060.000000	87.231
1075.000000	87.550
1090.000000	87.895
1106.000000	88.188
1120.000000	88.342
1138.000000	88.404
1150.000000	88.384
1172.000000	88.283
1180.000000	88.241
1206.000000	88.135
1220.000000	88.108
1241.000000	88.105
1250.000000	88.114
1265.000000	88.132
1280.000000	88.147
1315.000000	88.149
1320.000000	88.146
1340.000000	88.135
1360.000000	88.136
1380.000000	88.162
1400.000000	88.212
1430.000000	88.321
1450.000000	88.418
1475.000000	88.572
1500.000000	88.760
1525.000000	88.982
1550.000000	89.230
1575.000000	89.481
1600.000000	89.727
1625.000000	89.966
1650.000000	90.190
1675.000000	90.394
1700.000000	90.584
1725.000000	90.763
1750.000000	90.927
1775.000000	91.066
1800.000000	91.180
1825.000000	91.275
1850.000000	91.357
1875.000000	91.432
1900.000000	91.506
1925.000000	91.580
1950.000000	91.655
1975.000000	91.738
2000.000000	91.825
2030.000000	91.920
2060.000000	91.992
2090.000000	92.051
2120.000000	92.104
2140.000000	92.136
2180.000000	92.193
2200.000000	92.213
2240.000000	92.229
2270.000000	92.232
2300.000000	92.234
2330.000000	92.231
2360.000000	92.217
2400.000000	92.179
2430.000000	92.138
2470.000000	92.076
2500.000000	92.025
2540.000000	91.953
2580.000000	91.870
2620.000000	91.768
2650.000000	91.674
2690.000000	91.523
2720.000000	91.393
2760.000000	91.197
2800.000000	90.960
2850.000000	90.576
2900.000000	90.090
2950.000000	89.497
3000.000000	88.826
3040.000000	88.323
3070.000000	88.038
3110.000000	87.830
3150.000000	87.788
3200.000000	87.832
3250.000000	87.867
3300.000000	87.858
3350.000000	87.827
3400.000000	87.813
3450.000000	87.843
3500.000000	87.929
3550.000000	88.072
3600.000000	88.275
3650.000000	88.537
3700.000000	88.856
3750.000000	89.215
3820.000000	89.765
3870.000000	90.195
3950.000000	90.956
4000.000000	91.476
4060.000000	92.140
4120.000000	92.820
4180.000000	93.477
4250.000000	94.180
4310.000000	94.741
4370.000000	95.277
4440.000000	95.858
4500.000000	96.301
4550.000000	96.619
4620.000000	96.980
4680.000000	97.216
4750.000000	97.419
4820.000000	97.554
4870.000000	97.613
4940.000000	97.651
5000.000000	97.647
5080.000000	97.586
5150.000000	97.482
5220.000000	97.331
5300.000000	97.099
5380.000000	96.811
5450.000000	96.538
5520.000000	96.285
5600.000000	96.040
5700.000000	95.741
5800.000000	95.402
5900.000000	95.077
6000.000000	94.852
6080.000000	94.761
6150.000000	94.718
6220.000000	94.667
6300.000000	94.550
6400.000000	94.297
6500.000000	93.973
6600.000000	93.649
6700.000000	93.373
6800.000000	93.177
6900.000000	93.110
7000.000000	93.240
7100.000000	93.616
