* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-May-2025 13:49:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Haylou S30 ANC on R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.196	-19.7248
20.600000	63.763	-22.3155
20.900000	64.340	-25.6005
21.200001	64.817	-28.5241
21.400000	65.086	-29.8407
21.799999	65.623	-30.5808
22.000000	65.938	-30.2379
22.400000	66.676	-29.4369
22.700001	67.236	-29.8246
23.000000	67.692	-31.5983
23.299999	67.981	-34.7397
23.600000	68.086	-38.9495
24.000000	68.007	-45.4166
24.299999	67.879	-50.1969
24.700001	67.787	-55.4331
25.000000	67.859	-58.0431
25.400000	68.166	-59.6874
25.799999	68.636	-59.7936
26.200001	69.153	-59.2899
26.500000	69.515	-59.0891
26.900000	69.908	-59.7106
27.200001	70.106	-61.1357
27.600000	70.212	-64.4282
28.000000	70.129	-69.0039
28.500000	69.813	-75.3257
29.000000	69.425	-80.4873
29.500000	69.205	-83.2617
30.000000	69.296	-84.2558
30.400000	69.529	-84.9284
30.700001	69.722	-85.8173
31.100000	69.930	-87.6445
31.500000	70.053	-90.0451
32.000000	70.113	-93.3912
32.500000	70.136	-96.6812
33.000000	70.158	-99.6860
33.500000	70.162	-102.3542
34.000000	70.125	-104.6828
34.500000	70.062	-106.6681
35.000000	70.032	-108.3033
35.500000	70.113	-109.5873
36.000000	70.357	-110.5991
36.500000	70.747	-111.5914
37.000000	71.183	-112.9163
37.500000	71.530	-114.7746
38.200001	71.677	-117.9871
38.700001	71.541	-120.2087
39.500000	71.222	-123.1485
40.000000	71.171	-125.0900
40.599998	71.275	-128.2088
41.200001	71.378	-131.9179
41.799999	71.341	-135.2301
42.500000	71.156	-137.7454
43.099998	70.998	-139.1066
43.700001	70.889	-140.5007
44.400002	70.807	-142.4796
45.000000	70.770	-144.2269
45.500000	70.762	-145.6439
46.200001	70.750	-147.7466
46.799999	70.695	-149.7393
47.500000	70.595	-152.0955
48.200001	70.542	-154.2371
48.700001	70.562	-155.6179
49.400002	70.635	-157.4846
50.000000	70.669	-159.1468
50.799999	70.602	-161.4109
51.500000	70.475	-163.1832
52.200001	70.370	-164.5572
53.000000	70.309	-165.6267
53.799999	70.259	-166.3109
54.500000	70.197	-166.8901
55.200001	70.124	-167.7849
56.000000	70.056	-169.2214
57.000000	70.045	-171.0145
58.000000	70.078	-172.2693
59.000000	70.037	-173.1982
60.000000	69.920	-174.6189
60.799999	69.815	-176.5517
61.500000	69.718	-178.6137
62.200001	69.607	179.4499
63.000000	69.464	177.7569
64.000000	69.275	176.2373
65.000000	69.076	174.7743
66.000000	68.874	173.2070
67.000000	68.699	171.6779
68.000000	68.559	170.2397
69.000000	68.435	169.0375
70.000000	68.311	168.1781
71.000000	68.174	167.5387
72.000000	68.033	166.9993
73.000000	67.901	166.4921
74.000000	67.754	165.9955
75.000000	67.576	165.5448
76.199997	67.347	165.0393
77.500000	67.121	164.4245
78.800003	66.916	163.6248
80.000000	66.748	162.8961
81.199997	66.619	162.3835
82.500000	66.486	161.9969
83.800003	66.309	161.5752
85.000000	66.128	161.0678
86.199997	65.957	160.5598
87.500000	65.799	160.2214
88.500000	65.697	160.1027
90.000000	65.548	159.9827
91.199997	65.415	159.8263
92.500000	65.267	159.6247
93.800003	65.136	159.5651
95.000000	65.030	159.6603
96.199997	64.940	159.8177
97.500000	64.872	160.0097
98.800003	64.814	160.1531
100.000000	64.735	160.2064
101.500000	64.615	160.2414
103.000000	64.515	160.2539
104.400002	64.441	160.1919
106.000000	64.359	160.0938
107.500000	64.287	160.0840
109.000000	64.215	160.1434
110.599998	64.112	160.2142
112.000000	64.007	160.2453
113.800003	63.889	160.2885
115.000000	63.827	160.3956
117.199997	63.750	160.7172
118.000000	63.730	160.8022
120.599998	63.663	160.7363
122.000000	63.623	160.5054
124.099998	63.567	160.1959
125.000000	63.546	160.1559
126.500000	63.520	160.2315
128.000000	63.501	160.4268
131.500000	63.469	160.9784
132.000000	63.464	161.0307
134.000000	63.441	161.1268
