* Measurement data measured by REW V5.30 beta 1
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05-Nov-2023 22:59:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Haylou W1 ANC L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.233	-70.3799
20.600000	91.383	-71.3460
20.900000	91.577	-72.5489
21.200001	91.792	-73.8705
21.400000	91.942	-74.8140
21.799999	92.243	-76.8759
22.000000	92.390	-77.9934
22.400000	92.666	-80.3500
22.700001	92.855	-82.1537
23.000000	93.031	-83.9215
23.299999	93.200	-85.6142
23.600000	93.365	-87.2225
24.000000	93.587	-89.2710
24.299999	93.750	-90.7776
24.700001	93.958	-92.7928
25.000000	94.100	-94.3126
25.400000	94.267	-96.3181
25.799999	94.414	-98.2510
26.200001	94.552	-100.0806
26.500000	94.657	-101.3901
26.900000	94.804	-103.0828
27.200001	94.920	-104.3360
27.600000	95.079	-106.0092
28.000000	95.238	-107.6947
28.500000	95.429	-109.8161
29.000000	95.608	-111.9488
29.500000	95.776	-114.0937
30.000000	95.933	-116.2462
30.400000	96.050	-117.9607
30.700001	96.133	-119.2325
31.100000	96.238	-120.9007
31.500000	96.339	-122.5364
32.000000	96.463	-124.5540
32.500000	96.584	-126.5796
33.000000	96.695	-128.6467
33.500000	96.792	-130.7579
34.000000	96.869	-132.8856
34.500000	96.924	-134.9928
35.000000	96.958	-137.0559
35.500000	96.973	-139.0717
36.000000	96.975	-141.0526
36.500000	96.968	-143.0177
37.000000	96.954	-144.9829
37.500000	96.935	-146.9522
38.200001	96.897	-149.6891
38.700001	96.864	-151.6012
39.500000	96.804	-154.5700
40.000000	96.765	-156.3869
40.599998	96.714	-158.5415
41.200001	96.656	-160.6525
41.799999	96.592	-162.6929
42.500000	96.510	-164.9694
43.099998	96.433	-166.8383
43.700001	96.354	-168.6402
44.400002	96.264	-170.6646
45.000000	96.192	-172.3319
45.500000	96.134	-173.6659
46.200001	96.050	-175.4365
46.799999	95.976	-176.8732
47.500000	95.889	-178.4967
48.200001	95.804	179.8989
48.700001	95.748	178.7663
49.400002	95.677	177.2275
50.000000	95.617	175.9745
50.799999	95.531	174.3997
51.500000	95.446	173.0851
52.200001	95.357	171.8062
53.000000	95.255	170.3846
53.799999	95.161	169.0138
54.500000	95.084	167.8642
55.200001	95.011	166.7708
56.000000	94.935	165.5836
57.000000	94.847	164.1417
58.000000	94.752	162.7339
59.000000	94.643	161.3978
60.000000	94.525	160.0951
60.799999	94.432	159.0501
61.500000	94.354	158.1431
62.200001	94.283	157.2505
63.000000	94.205	156.2511
64.000000	94.107	155.0370
65.000000	94.007	153.8517
66.000000	93.909	152.6829
67.000000	93.814	151.5441
68.000000	93.721	150.4597
69.000000	93.627	149.4434
70.000000	93.525	148.4804
71.000000	93.412	147.5462
72.000000	93.294	146.6221
73.000000	93.186	145.6808
74.000000	93.087	144.7121
75.000000	92.991	143.7393
76.199997	92.867	142.6209
77.500000	92.730	141.5047
78.800003	92.597	140.4135
80.000000	92.476	139.4015
81.199997	92.356	138.4181
82.500000	92.230	137.3848
83.800003	92.111	136.3684
85.000000	92.008	135.4514
86.199997	91.905	134.5570
87.500000	91.789	133.6425
88.500000	91.695	132.9945
90.000000	91.552	132.0454
91.199997	91.439	131.2705
92.500000	91.314	130.4563
93.800003	91.183	129.7059
95.000000	91.064	129.0760
