* Measurement data measured by REW V5.30 beta 1
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05-Nov-2023 23:00:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Haylou W1 ANC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.144	-64.9338
20.600000	90.314	-65.7801
20.900000	90.540	-66.8162
21.200001	90.797	-67.9515
21.400000	90.975	-68.7696
21.799999	91.329	-70.5865
22.000000	91.499	-71.5842
22.400000	91.812	-73.7074
22.700001	92.023	-75.3476
23.000000	92.218	-76.9711
23.299999	92.402	-78.5443
23.600000	92.583	-80.0572
24.000000	92.826	-82.0041
24.299999	93.010	-83.4434
24.700001	93.254	-85.3784
25.000000	93.430	-86.8546
25.400000	93.649	-88.8480
25.799999	93.846	-90.8395
26.200001	94.025	-92.7955
26.500000	94.152	-94.2291
26.900000	94.316	-96.0999
27.200001	94.439	-97.4823
27.600000	94.602	-99.3114
28.000000	94.765	-101.1286
28.500000	94.962	-103.3709
29.000000	95.152	-105.5651
29.500000	95.340	-107.7261
30.000000	95.527	-109.8998
30.400000	95.674	-111.6734
30.700001	95.781	-113.0249
31.100000	95.916	-114.8426
31.500000	96.042	-116.6588
32.000000	96.189	-118.9046
32.500000	96.322	-121.1186
33.000000	96.438	-123.3081
33.500000	96.533	-125.4745
34.000000	96.610	-127.6114
34.500000	96.671	-129.7151
35.000000	96.719	-131.7891
35.500000	96.755	-133.8386
36.000000	96.779	-135.8673
36.500000	96.791	-137.8787
37.000000	96.789	-139.8762
37.500000	96.776	-141.8586
38.200001	96.740	-144.5956
38.700001	96.710	-146.5219
39.500000	96.660	-149.5843
40.000000	96.626	-151.4930
40.599998	96.577	-153.7483
41.200001	96.522	-155.9178
41.799999	96.463	-157.9707
42.500000	96.390	-160.2163
43.099998	96.322	-162.0367
43.700001	96.249	-163.8002
44.400002	96.157	-165.8318
45.000000	96.074	-167.5517
45.500000	96.003	-168.9457
46.200001	95.907	-170.8050
46.799999	95.831	-172.3144
47.500000	95.746	-174.0018
48.200001	95.667	-175.6339
48.700001	95.615	-176.7751
49.400002	95.549	-178.3375
50.000000	95.496	-179.6276
50.799999	95.421	178.7475
51.500000	95.350	177.4029
52.200001	95.275	176.1040
53.000000	95.188	174.6714
53.799999	95.102	173.3070
54.500000	95.028	172.1750
55.200001	94.950	171.1046
56.000000	94.858	169.9428
57.000000	94.745	168.5156
58.000000	94.636	167.0803
59.000000	94.525	165.6685
60.000000	94.410	164.2886
60.799999	94.320	163.2167
61.500000	94.247	162.3152
62.200001	94.180	161.4559
63.000000	94.105	160.5283
64.000000	94.012	159.4162
65.000000	93.915	158.2833
66.000000	93.809	157.1293
67.000000	93.694	156.0219
68.000000	93.584	154.9540
69.000000	93.483	153.8676
70.000000	93.387	152.7714
71.000000	93.290	151.7274
72.000000	93.190	150.7770
73.000000	93.090	149.9083
74.000000	92.991	149.0613
75.000000	92.889	148.1714
76.199997	92.763	147.0273
77.500000	92.627	145.8057
78.800003	92.496	144.7241
80.000000	92.387	143.8132
81.199997	92.284	142.9008
82.500000	92.161	141.9132
83.800003	92.026	140.9410
85.000000	91.900	140.0754
86.199997	91.779	139.2726
87.500000	91.649	138.4534
88.500000	91.550	137.8274
90.000000	91.409	136.8840
91.199997	91.306	136.1568
92.500000	91.199	135.4091
93.800003	91.090	134.6664
95.000000	90.987	133.9698
96.199997	90.880	133.2850
97.500000	90.752	132.5829
98.800003	90.614	131.9461
100.000000	90.489	131.4275
101.500000	90.350	130.8472
103.000000	90.229	130.2900
104.400002	90.114	129.7853
106.000000	89.975	129.2041
107.500000	89.841	128.6394
109.000000	89.707	128.0875
110.599998	89.562	127.5092
112.000000	89.432	126.9895
