* Measurement data measured by REW V5.30
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-Dec-2023 10:52:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hidizs MS3 Red L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.086	-99.2853
20.600000	74.152	-99.9510
20.900000	74.235	-100.7916
21.200001	74.323	-101.6977
21.400000	74.384	-102.3146
21.799999	74.506	-103.5498
22.000000	74.567	-104.1599
22.400000	74.690	-105.3526
22.700001	74.780	-106.2190
23.000000	74.867	-107.0637
23.299999	74.951	-107.8929
23.600000	75.031	-108.7149
24.000000	75.133	-109.8123
24.299999	75.207	-110.6408
24.700001	75.303	-111.7499
25.000000	75.375	-112.5775
25.400000	75.470	-113.6602
25.799999	75.566	-114.7038
26.200001	75.658	-115.6992
26.500000	75.724	-116.4149
26.900000	75.806	-117.3367
27.200001	75.862	-118.0121
27.600000	75.931	-118.9048
28.000000	75.993	-119.8002
28.500000	76.066	-120.9318
29.000000	76.136	-122.0712
29.500000	76.204	-123.2012
30.000000	76.272	-124.3061
30.400000	76.324	-125.1682
30.700001	76.362	-125.8036
31.100000	76.411	-126.6392
31.500000	76.458	-127.4639
32.000000	76.515	-128.4774
32.500000	76.569	-129.4646
33.000000	76.623	-130.4188
33.500000	76.675	-131.3403
34.000000	76.724	-132.2362
34.500000	76.769	-133.1144
35.000000	76.811	-133.9799
35.500000	76.850	-134.8335
36.000000	76.889	-135.6729
36.500000	76.926	-136.4945
37.000000	76.963	-137.2944
37.500000	76.998	-138.0712
38.200001	77.044	-139.1243
38.700001	77.074	-139.8585
39.500000	77.122	-141.0120
40.000000	77.150	-141.7199
40.599998	77.182	-142.5527
41.200001	77.213	-143.3643
41.799999	77.242	-144.1556
42.500000	77.275	-145.0594
43.099998	77.302	-145.8225
43.700001	77.328	-146.5764
44.400002	77.357	-147.4424
45.000000	77.379	-148.1720
45.500000	77.397	-148.7708
46.200001	77.420	-149.5976
46.799999	77.437	-150.2993
47.500000	77.453	-151.1112
48.200001	77.466	-151.9081
48.700001	77.474	-152.4628
49.400002	77.486	-153.2198
50.000000	77.496	-153.8555
50.799999	77.507	-154.6893
51.500000	77.514	-155.4069
52.200001	77.518	-156.1170
53.000000	77.522	-156.9233
53.799999	77.523	-157.7197
54.500000	77.522	-158.4026
55.200001	77.519	-159.0703
56.000000	77.515	-159.8148
57.000000	77.509	-160.7211
58.000000	77.502	-161.6065
59.000000	77.493	-162.4733
60.000000	77.483	-163.3212
60.799999	77.475	-163.9857
61.500000	77.466	-164.5560
62.200001	77.456	-165.1156
63.000000	77.445	-165.7431
64.000000	77.430	-166.5115
65.000000	77.414	-167.2616
66.000000	77.396	-167.9930
67.000000	77.377	-168.7081
68.000000	77.357	-169.4082
69.000000	77.335	-170.0915
70.000000	77.312	-170.7557
71.000000	77.287	-171.4013
72.000000	77.260	-172.0300
73.000000	77.233	-172.6427
74.000000	77.206	-173.2404
75.000000	77.179	-173.8239
76.199997	77.146	-174.5060
77.500000	77.108	-175.2215
78.800003	77.070	-175.9127
80.000000	77.034	-176.5311
81.199997	76.998	-177.1314
82.500000	76.958	-177.7632
83.800003	76.918	-178.3751
85.000000	76.881	-178.9185
86.199997	76.845	-179.4414
87.500000	76.806	-179.9897
88.500000	76.777	179.5977
90.000000	76.733	178.9926
91.199997	76.698	178.5212
92.500000	76.660	178.0244
93.800003	76.623	177.5417
95.000000	76.589	177.1078
96.199997	76.554	176.6838
97.500000	76.516	176.2351
98.800003	76.477	175.7974
100.000000	76.442	175.4034
101.500000	76.397	174.9245
103.000000	76.354	174.4587
104.400002	76.314	174.0333
106.000000	76.268	173.5512
107.500000	76.225	173.1008
109.000000	76.182	172.6569
110.599998	76.135	172.1965
112.000000	76.093	171.8038
113.800003	76.040	171.3084
115.000000	76.005	170.9844
117.199997	75.939	170.4062
118.000000	75.916	170.2004
120.599998	75.839	169.5440
122.000000	75.798	169.1976
124.099998	75.735	168.6894
125.000000	75.709	168.4760
126.500000	75.663	168.1261
128.000000	75.618	167.7835
131.500000	75.512	167.0133
132.000000	75.497	166.9057
134.000000	75.434	166.4762
136.000000	75.372	166.0462
138.000000	75.310	165.6180
140.000000	75.248	165.1980
143.000000	75.155	164.5896
145.000000	75.093	164.1968
147.500000	75.013	163.7171
150.000000	74.933	163.2491
152.500000	74.852	162.7951
155.000000	74.771	162.3597
157.500000	74.689	161.9474
160.000000	74.607	161.5634
162.500000	74.526	161.2063
165.000000	74.444	160.8737
167.500000	74.361	160.5626
170.000000	74.278	160.2705
172.500000	74.192	159.9980
175.000000	74.105	159.7452
177.500000	74.018	159.5121
180.000000	73.930	159.2986
182.500000	73.843	159.1034
185.000000	73.757	158.9200
187.500000	73.674	158.7396
190.000000	73.594	158.5590
192.500000	73.518	158.3803
195.000000	73.444	158.2092
197.500000	73.373	158.0483
200.000000	73.302	157.8950
203.000000	73.219	157.7123
206.000000	73.137	157.5267
209.000000	73.056	157.3457
212.000000	72.976	157.1786
214.000000	72.924	157.0756
218.000000	72.824	156.8922
220.000000	72.775	156.8119
224.000000	72.681	156.6619
227.000000	72.611	156.5515
230.000000	72.542	156.4428
233.000000	72.472	156.3389
236.000000	72.403	156.2423
240.000000	72.306	156.1224
243.000000	72.230	156.0346
247.000000	72.127	155.9259
250.000000	72.050	155.8608
254.000000	71.951	155.8078
258.000000	71.853	155.8036
262.000000	71.760	155.8522
265.000000	71.692	155.9171
269.000000	71.604	156.0245
272.000000	71.540	156.1122
276.000000	71.453	156.2345
280.000000	71.366	156.3626
285.000000	71.257	156.5264
290.000000	71.152	156.6801
295.000000	71.051	156.8076
300.000000	70.949	156.9073
304.000000	70.866	156.9873
307.000000	70.804	157.0615
311.000000	70.720	157.1815
315.000000	70.637	157.3189
320.000000	70.539	157.5157
325.000000	70.448	157.7522
330.000000	70.362	158.0417
335.000000	70.278	158.3837
340.000000	70.195	158.7562
345.000000	70.115	159.1403
350.000000	70.038	159.5312
355.000000	69.965	159.9307
360.000000	69.895	160.3416
365.000000	69.827	160.7658
370.000000	69.760	161.2005
375.000000	69.694	161.6406
382.000000	69.601	162.2596
387.000000	69.535	162.6963
395.000000	69.429	163.3553
400.000000	69.362	163.7352
406.000000	69.280	164.1848
412.000000	69.199	164.6548
418.000000	69.119	165.1556
425.000000	69.032	165.7829
431.000000	68.964	166.3633
437.000000	68.900	166.9865
444.000000	68.828	167.7433
450.000000	68.768	168.3925
455.000000	68.716	168.9219
462.000000	68.643	169.6359
468.000000	68.579	170.2304
475.000000	68.504	170.9252
482.000000	68.433	171.6349
487.000000	68.387	172.1511
494.000000	68.326	172.8845
500.000000	68.275	173.5243
508.000000	68.207	174.3826
515.000000	68.149	175.1112
522.000000	68.092	175.7855
530.000000	68.028	176.4786
538.000000	67.961	177.1243
545.000000	67.899	177.6815
552.000000	67.838	178.2473
560.000000	67.775	178.9257
570.000000	67.710	179.8624
580.000000	67.651	-179.1168
590.000000	67.587	-178.0654
600.000000	67.520	-176.9854
608.000000	67.468	-176.0736
615.000000	67.427	-175.2263
622.000000	67.391	-174.3367
630.000000	67.354	-173.2884
640.000000	67.310	-171.9746
650.000000	67.265	-170.6948
