* Measurement data measured by REW V5.30
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-Dec-2023 10:54:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hidizs MS3 Silver L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.117	-105.8879
20.600000	74.185	-106.5955
20.900000	74.271	-107.4928
21.200001	74.362	-108.4682
21.400000	74.424	-109.1379
21.799999	74.550	-110.4917
22.000000	74.613	-111.1651
22.400000	74.739	-112.4842
22.700001	74.832	-113.4408
23.000000	74.924	-114.3701
23.299999	75.013	-115.2791
23.600000	75.099	-116.1778
24.000000	75.207	-117.3745
24.299999	75.285	-118.2752
24.700001	75.384	-119.4763
25.000000	75.456	-120.3691
25.400000	75.552	-121.5348
25.799999	75.648	-122.6614
26.200001	75.742	-123.7446
26.500000	75.810	-124.5308
26.900000	75.894	-125.5520
27.200001	75.953	-126.3046
27.600000	76.025	-127.3013
28.000000	76.092	-128.3000
28.500000	76.170	-129.5594
29.000000	76.245	-130.8267
29.500000	76.319	-132.0876
30.000000	76.391	-133.3286
30.400000	76.448	-134.3031
30.700001	76.488	-135.0230
31.100000	76.541	-135.9688
31.500000	76.591	-136.8978
32.000000	76.651	-138.0315
32.500000	76.709	-139.1297
33.000000	76.766	-140.1893
33.500000	76.821	-141.2131
34.000000	76.873	-142.2083
34.500000	76.922	-143.1851
35.000000	76.968	-144.1522
35.500000	77.012	-145.1124
36.000000	77.055	-146.0612
36.500000	77.098	-146.9901
37.000000	77.141	-147.8931
37.500000	77.182	-148.7713
38.200001	77.237	-149.9746
38.700001	77.274	-150.8270
39.500000	77.330	-152.1809
40.000000	77.362	-153.0110
40.599998	77.398	-153.9793
41.200001	77.433	-154.9144
41.799999	77.466	-155.8217
42.500000	77.503	-156.8579
43.099998	77.534	-157.7360
43.700001	77.565	-158.6079
44.400002	77.599	-159.6139
45.000000	77.627	-160.4634
45.500000	77.650	-161.1636
46.200001	77.680	-162.1371
46.799999	77.704	-162.9671
47.500000	77.731	-163.9264
48.200001	77.757	-164.8693
48.700001	77.773	-165.5297
49.400002	77.793	-166.4338
50.000000	77.806	-167.1911
50.799999	77.821	-168.1828
51.500000	77.833	-169.0418
52.200001	77.843	-169.8959
53.000000	77.854	-170.8638
53.799999	77.864	-171.8186
54.500000	77.870	-172.6426
55.200001	77.875	-173.4580
56.000000	77.878	-174.3813
57.000000	77.879	-175.5215
58.000000	77.879	-176.6458
59.000000	77.879	-177.7552
60.000000	77.879	-178.8450
60.799999	77.878	-179.6973
61.500000	77.876	179.5721
62.200001	77.873	178.8533
63.000000	77.868	178.0427
64.000000	77.860	177.0444
65.000000	77.851	176.0652
66.000000	77.840	175.1069
67.000000	77.829	174.1718
68.000000	77.816	173.2591
69.000000	77.804	172.3655
70.000000	77.791	171.4898
71.000000	77.778	170.6321
72.000000	77.764	169.7932
73.000000	77.749	168.9747
74.000000	77.732	168.1763
75.000000	77.714	167.3947
76.199997	77.691	166.4752
77.500000	77.665	165.5011
78.800003	77.638	164.5491
80.000000	77.614	163.6865
81.199997	77.590	162.8379
82.500000	77.564	161.9349
83.800003	77.539	161.0487
85.000000	77.515	160.2449
86.199997	77.492	159.4554
87.500000	77.467	158.6160
88.500000	77.447	157.9809
90.000000	77.415	157.0462
91.199997	77.390	156.3150
92.500000	77.361	155.5399
93.800003	77.333	154.7813
95.000000	77.308	154.0925
96.199997	77.281	153.4151
97.500000	77.253	152.6955
98.800003	77.223	151.9896
100.000000	77.196	151.3495
101.500000	77.164	150.5650
103.000000	77.133	149.7994
104.400002	77.105	149.1017
106.000000	77.073	148.3186
107.500000	77.041	147.5934
109.000000	77.009	146.8774
110.599998	76.975	146.1289
112.000000	76.944	145.4872
113.800003	76.904	144.6763
115.000000	76.878	144.1429
117.199997	76.829	143.1752
118.000000	76.811	142.8253
120.599998	76.752	141.6979
122.000000	76.719	141.0981
124.099998	76.668	140.2069
125.000000	76.646	139.8286
126.500000	76.608	139.2043
128.000000	76.571	138.5882
131.500000	76.483	137.1797
132.000000	76.470	136.9819
