* Measurement data measured by REW V5.40 beta 120
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 28, 2026, 8:34:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei FBP5 HSB L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.223	-110.9637
20.600000	75.316	-112.8974
20.900000	75.426	-115.0229
21.200001	75.538	-117.1031
21.400000	75.610	-118.4529
21.799999	75.745	-121.0612
22.000000	75.807	-122.3184
22.400000	75.923	-124.7387
22.700001	75.999	-126.4773
23.000000	76.065	-128.1623
23.299999	76.123	-129.8091
23.600000	76.173	-131.4324
24.000000	76.228	-133.5758
24.299999	76.260	-135.1688
24.700001	76.298	-137.2620
25.000000	76.327	-138.7980
25.400000	76.368	-140.7904
25.799999	76.412	-142.7170
26.200001	76.455	-144.5810
26.500000	76.485	-145.9383
26.900000	76.515	-147.6905
27.200001	76.531	-148.9591
27.600000	76.544	-150.5923
28.000000	76.552	-152.1714
28.500000	76.559	-154.0972
29.000000	76.559	-155.9858
29.500000	76.556	-157.8192
30.000000	76.551	-159.5642
30.400000	76.545	-160.8922
30.700001	76.542	-161.8598
31.100000	76.536	-163.1315
31.500000	76.526	-164.3978
32.000000	76.506	-165.9654
32.500000	76.477	-167.4748
33.000000	76.444	-168.8884
33.500000	76.414	-170.2138
34.000000	76.391	-171.4908
34.500000	76.369	-172.7449
35.000000	76.341	-173.9658
35.500000	76.304	-175.1324
36.000000	76.264	-176.2464
36.500000	76.225	-177.3245
37.000000	76.183	-178.3664
37.500000	76.138	-179.3489
38.200001	76.076	179.3904
38.700001	76.037	178.5311
39.500000	75.978	177.1546
40.000000	75.934	176.3252
40.599998	75.879	175.4063
41.200001	75.829	174.5442
41.799999	75.782	173.6917
42.500000	75.724	172.7273
43.099998	75.672	171.9625
43.700001	75.625	171.2297
44.400002	75.573	170.3777
45.000000	75.518	169.7040
45.500000	75.466	169.2329
46.200001	75.403	168.6835
46.799999	75.364	168.2181
47.500000	75.332	167.6107
48.200001	75.304	166.9711
48.700001	75.286	166.5325
49.400002	75.261	165.9744
50.000000	75.230	165.5530
50.799999	75.170	165.0399
51.500000	75.112	164.5971
52.200001	75.057	164.1789
53.000000	74.999	163.7780
53.799999	74.953	163.4123
54.500000	74.917	163.0693
55.200001	74.884	162.7288
56.000000	74.852	162.3731
57.000000	74.815	161.9410
58.000000	74.769	161.5341
59.000000	74.723	161.1537
60.000000	74.681	160.7857
60.799999	74.647	160.5445
61.500000	74.619	160.3573
62.200001	74.591	160.1691
63.000000	74.560	159.9600
64.000000	74.530	159.7031
65.000000	74.500	159.4017
