* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08-Mar-2025 19:53:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei FreeArc Elev R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	35.813	-130.1748
20.600000	36.615	-140.8056
20.900000	37.026	-152.4561
21.200001	36.786	-163.6668
21.400000	36.232	-170.5675
21.799999	34.183	178.5734
22.000000	32.756	176.1599
22.400000	29.985	-176.3564
22.700001	29.578	-164.6297
23.000000	30.780	-162.6538
23.299999	32.279	-170.1262
23.600000	33.359	178.8921
24.000000	33.871	164.5788
24.299999	33.513	156.0481
24.700001	32.042	149.7394
25.000000	30.293	151.0024
25.400000	27.591	165.1746
25.799999	25.266	-172.1206
26.200001	23.338	-159.0834
26.500000	21.801	-157.7608
26.900000	20.238	157.0535
27.200001	20.417	69.3441
27.600000	22.405	74.0745
28.000000	25.105	85.6826
28.500000	28.050	91.6793
29.000000	29.848	90.1014
29.500000	30.620	87.4359
30.000000	31.107	88.5054
30.400000	31.896	92.2456
30.700001	32.773	94.9652
31.100000	34.028	96.5957
31.500000	35.054	95.9032
32.000000	35.804	93.7222
32.500000	36.108	92.2316
33.000000	36.392	92.0181
33.500000	37.002	91.2929
34.000000	37.835	88.1258
34.500000	38.586	83.0283
35.000000	39.161	78.1966
35.500000	39.749	75.3167
36.000000	40.584	74.0086
36.500000	41.642	72.2842
37.000000	42.689	68.8260
37.500000	43.563	63.9585
38.200001	44.500	56.8601
38.700001	45.042	52.6284
39.500000	45.717	47.1485
40.000000	45.998	43.6052
40.599998	46.280	38.2186
41.200001	46.749	31.4692
41.799999	47.641	24.5147
42.500000	49.086	17.8573
43.099998	50.275	13.3795
43.700001	51.168	9.3353
44.400002	51.853	4.5245
45.000000	52.300	0.0351
45.500000	52.643	-3.9137
46.200001	53.062	-9.3838
46.799999	53.348	-14.2638
47.500000	53.621	-21.9617
48.200001	53.833	-33.2312
48.700001	53.994	-42.1257
49.400002	54.453	-51.4308
50.000000	55.231	-54.6876
50.799999	56.546	-56.0748
51.500000	57.475	-58.3666
52.200001	58.071	-62.2417
53.000000	58.601	-67.7231
53.799999	59.164	-73.7066
54.500000	59.647	-79.0692
55.200001	60.073	-84.4539
56.000000	60.515	-90.7339
57.000000	61.064	-98.7904
58.000000	61.608	-106.7653
59.000000	62.119	-114.4336
60.000000	62.618	-121.7747
60.799999	63.019	-127.4797
61.500000	63.362	-132.4026
62.200001	63.696	-137.3086
63.000000	64.067	-142.9612
