* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08-Mar-2025 19:52:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei FreeArc R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	32.213	-95.4699
20.600000	33.808	-93.1802
20.900000	35.009	-93.5098
21.200001	35.671	-97.8571
21.400000	35.931	-104.0695
21.799999	36.670	-129.4657
22.000000	37.422	-149.2104
22.400000	39.578	172.5227
22.700001	41.195	152.7895
23.000000	42.417	137.6909
23.299999	43.121	123.9725
23.600000	43.307	109.5836
24.000000	42.896	86.7940
24.299999	42.261	66.0475
24.700001	41.217	36.4404
25.000000	40.325	17.5223
25.400000	38.862	0.9355
25.799999	36.990	-5.5117
26.200001	34.931	-3.1202
26.500000	33.593	1.6208
26.900000	32.451	4.9979
27.200001	32.149	2.4611
27.600000	32.525	-6.2020
28.000000	33.663	-15.2262
28.500000	35.543	-20.8530
29.000000	37.405	-20.5292
29.500000	39.189	-17.7709
30.000000	40.880	-16.6067
30.400000	42.017	-18.3729
30.700001	42.654	-21.2077
31.100000	43.162	-26.3134
31.500000	43.290	-32.0355
32.000000	43.087	-38.9433
32.500000	42.829	-45.3053
33.000000	42.873	-51.7958
33.500000	43.299	-58.7189
34.000000	43.964	-65.1586
34.500000	44.739	-70.1744
35.000000	45.525	-73.9709
35.500000	46.205	-77.4518
36.000000	46.707	-81.1587
36.500000	47.104	-84.9980
37.000000	47.582	-88.7578
37.500000	48.253	-92.5123
38.200001	49.301	-97.7860
38.700001	49.888	-100.9119
39.500000	50.492	-103.5565
40.000000	50.811	-104.4051
40.599998	51.212	-106.4944
41.200001	51.561	-110.6510
41.799999	51.851	-116.0881
42.500000	52.267	-122.2615
43.099998	52.765	-126.8862
43.700001	53.319	-131.3730
44.400002	53.913	-136.9850
45.000000	54.370	-141.8569
45.500000	54.752	-145.4299
46.200001	55.308	-149.1440
46.799999	55.695	-151.4407
47.500000	55.787	-153.8103
48.200001	55.401	-155.8971
48.700001	55.064	-157.3124
49.400002	55.122	-160.8044
50.000000	55.835	-166.6632
50.799999	57.051	-176.6249
51.500000	57.872	175.8415
52.200001	58.415	170.2982
53.000000	58.820	165.2259
53.799999	59.111	160.2266
54.500000	59.351	155.5474
55.200001	59.606	150.5635
56.000000	59.897	144.6752
57.000000	60.269	137.5176
58.000000	60.669	130.7947
59.000000	61.063	124.3200
60.000000	61.440	117.9689
60.799999	61.741	112.9713
61.500000	62.001	108.6152
62.200001	62.250	104.2035
63.000000	62.521	99.0675
64.000000	62.848	92.6418
65.000000	63.173	86.3825
66.000000	63.484	80.2255
67.000000	63.765	74.0126
68.000000	64.011	67.7854
69.000000	64.228	61.6395
70.000000	64.421	55.5760
71.000000	64.591	49.6543
72.000000	64.748	43.9877
73.000000	64.911	38.5585
74.000000	65.100	33.2316
75.000000	65.317	27.9518
76.199997	65.592	21.7367
77.500000	65.887	15.0575
78.800003	66.186	8.2036
80.000000	66.464	1.7462
81.199997	66.731	-4.7012
82.500000	67.002	-11.6196
83.800003	67.268	-18.5160
85.000000	67.519	-24.9024
86.199997	67.771	-31.2859
87.500000	68.038	-38.2169
88.500000	68.234	-43.5906
90.000000	68.506	-51.6713
91.199997	68.711	-58.0904
92.500000	68.926	-64.9556
93.800003	69.138	-71.7532
95.000000	69.330	-78.0735
96.199997	69.516	-84.4544
97.500000	69.709	-91.3787
98.800003	69.884	-98.3589
100.000000	70.027	-104.8917
101.500000	70.176	-113.0886
103.000000	70.288	-121.1808
104.400002	70.368	-128.5562
106.000000	70.443	-136.7830
107.500000	70.502	-144.3774
109.000000	70.551	-151.9084
110.599998	70.594	-159.9248
112.000000	70.617	-166.9351
113.800003	70.629	-175.8960
115.000000	70.629	178.2307
117.199997	70.614	167.7561
118.000000	70.600	164.0162
120.599998	70.514	152.0679
122.000000	70.440	145.8136
124.099998	70.304	136.7183
125.000000	70.244	132.9282
126.500000	70.152	126.7866
128.000000	70.078	120.8638
131.500000	69.977	107.4421
132.000000	69.968	105.5356
134.000000	69.935	97.9143
136.000000	69.896	90.2385
138.000000	69.847	82.4803
140.000000	69.775	74.8199
143.000000	69.619	63.8230
145.000000	69.504	56.9509
147.500000	69.393	48.9783
150.000000	69.356	41.4589
152.500000	69.391	34.0981
155.000000	69.479	26.6703
157.500000	69.591	18.9308
160.000000	69.717	10.9712
162.500000	69.927	2.8875
165.000000	70.216	-5.4899
167.500000	70.515	-14.0212
170.000000	70.788	-22.5674
172.500000	71.033	-31.1768
175.000000	71.252	-39.8474
177.500000	71.443	-48.4963
180.000000	71.607	-57.1021
182.500000	71.757	-65.7317
185.000000	71.907	-74.3965
187.500000	72.063	-83.0302
190.000000	72.220	-91.6270
192.500000	72.374	-100.2568
195.000000	72.526	-108.9557
197.500000	72.679	-117.6979
200.000000	72.832	-126.4277
203.000000	73.020	-136.8062
206.000000	73.210	-147.0245
209.000000	73.396	-157.0895
212.000000	73.574	-167.1042
214.000000	73.688	-173.7795
218.000000	73.905	172.8966
220.000000	74.007	166.2424
224.000000	74.204	152.9240
227.000000	74.346	142.9312
230.000000	74.484	132.9526
233.000000	74.615	122.9998
236.000000	74.738	113.0692
240.000000	74.888	99.8806
243.000000	74.987	90.0410
247.000000	75.103	77.0416
250.000000	75.184	67.4042
254.000000	75.288	54.6592
258.000000	75.392	41.9957
262.000000	75.497	29.4233
265.000000	75.572	20.0491
269.000000	75.670	7.5833
272.000000	75.741	-1.7197
276.000000	75.828	-14.0327
280.000000	75.904	-26.2601
285.000000	75.988	-41.4440
290.000000	76.064	-56.4924
295.000000	76.135	-71.3834
300.000000	76.202	-86.1289
304.000000	76.250	-97.8333
307.000000	76.280	-106.5537
311.000000	76.308	-118.1042
315.000000	76.322	-129.5823
320.000000	76.331	-143.8378
325.000000	76.332	-157.9867
330.000000	76.332	-172.0115
335.000000	76.338	174.1379
340.000000	76.346	160.4639
345.000000	76.343	146.9082
350.000000	76.320	133.4529
355.000000	76.283	120.1305
360.000000	76.246	106.9757
365.000000	76.218	93.9889
370.000000	76.195	81.1355
375.000000	76.166	68.3979
382.000000	76.108	50.8208
387.000000	76.055	38.4531
395.000000	75.968	18.8856
400.000000	75.919	6.7661
406.000000	75.864	-7.6283
412.000000	75.805	-21.8290
418.000000	75.743	-35.8784
425.000000	75.667	-52.0836
431.000000	75.602	-65.8560
437.000000	75.538	-79.5400
444.000000	75.462	-95.2756
450.000000	75.394	-108.4609
455.000000	75.339	-119.2600
462.000000	75.271	-134.2329
468.000000	75.227	-147.0029
475.000000	75.190	-161.7905
482.000000	75.165	-176.3813
487.000000	75.152	173.3066
494.000000	75.140	158.9619
500.000000	75.139	146.7373
508.000000	75.151	130.5337
515.000000	75.175	116.4319
522.000000	75.210	102.4292
530.000000	75.254	86.5181
538.000000	75.307	70.6919
545.000000	75.360	56.9307
552.000000	75.420	43.2273
560.000000	75.495	27.6282
570.000000	75.590	8.2427
580.000000	75.676	-11.0044
590.000000	75.749	-30.0964
600.000000	75.818	-48.9717
608.000000	75.874	-63.9521
615.000000	75.927	-77.0232
622.000000	75.986	-90.0647
630.000000	76.058	-104.9153
640.000000	76.147	-123.3879
650.000000	76.229	-141.7727
660.000000	76.309	-160.0393
670.000000	76.390	-178.1150
680.000000	76.466	164.0029
690.000000	76.537	146.2336
700.000000	76.613	128.5547
710.000000	76.702	111.0225
720.000000	76.802	93.6243
730.000000	76.904	76.3430
740.000000	76.995	59.1816
750.000000	77.070	42.0854
762.000000	77.155	21.5605
775.000000	77.253	-0.6040
788.000000	77.355	-22.5249
800.000000	77.449	-42.5889
812.000000	77.541	-62.4956
825.000000	77.636	-83.9026
838.000000	77.725	-105.1907
850.000000	77.802	-124.7119
862.000000	77.872	-144.1003
875.000000	77.938	-164.9561
885.000000	77.981	179.1018
900.000000	78.034	155.3823
912.000000	78.064	136.6152
925.000000	78.090	116.5654
938.000000	78.132	96.8279
950.000000	78.215	78.7742
962.000000	78.333	60.6929
975.000000	78.456	41.0225
988.000000	78.547	21.4167
1000.000000	78.610	3.4739
1015.000000	78.681	-18.7644
1030.000000	78.750	-40.8538
1044.000000	78.816	-61.3398
1060.000000	78.898	-84.5730
1075.000000	78.978	-106.1338
1090.000000	79.055	-127.4568
1106.000000	79.135	-150.0205
1120.000000	79.210	-169.6538
1138.000000	79.318	165.2979
1150.000000	79.394	148.7217
1172.000000	79.543	118.5857
1180.000000	79.599	107.7031
1206.000000	79.790	72.5637
1220.000000	79.904	53.8252
1241.000000	80.106	26.0508
1250.000000	80.213	14.2539
1265.000000	80.427	-5.3298
1280.000000	80.671	-24.9065
1315.000000	81.166	-70.6877
1320.000000	81.221	-77.2021
1340.000000	81.407	-103.1082
1360.000000	81.544	-128.7747
1380.000000	81.647	-154.2422
1400.000000	81.739	-179.5562
1430.000000	81.907	142.7532
1450.000000	82.056	117.8152
1475.000000	82.276	86.9209
1500.000000	82.516	56.3252
1525.000000	82.762	25.8877
1550.000000	83.012	-4.4038
1575.000000	83.264	-34.4397
1600.000000	83.511	-64.1819
1625.000000	83.754	-93.6636
1650.000000	83.995	-122.9373
1675.000000	84.232	-152.0420
1700.000000	84.459	179.0352
1725.000000	84.678	150.2896
1750.000000	84.892	121.7979
1775.000000	85.102	93.5769
1800.000000	85.307	65.5557
1825.000000	85.505	37.6831
1850.000000	85.699	9.9941
1875.000000	85.888	-17.4678
1900.000000	86.072	-44.7021
1925.000000	86.251	-71.7285
1950.000000	86.430	-98.5684
1975.000000	86.610	-125.2441
2000.000000	86.789	-151.7930
2030.000000	87.007	176.5249
2060.000000	87.232	145.0991
2090.000000	87.455	113.8477
2120.000000	87.671	82.7261
2140.000000	87.807	62.1421
2180.000000	88.045	21.3408
2200.000000	88.147	1.0420
