* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08-Mar-2025 19:54:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei FreeArc TB L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	39.366	2.4796
20.600000	41.925	15.6807
20.900000	43.953	17.7648
21.200001	45.015	15.2413
21.400000	45.166	12.2422
21.799999	44.210	4.1227
22.000000	43.143	-0.9373
22.400000	39.981	-13.6090
22.700001	36.979	-25.3532
23.000000	34.117	-30.0783
23.299999	32.855	-11.5066
23.600000	33.912	0.6409
24.000000	36.192	1.8488
24.299999	37.315	2.2107
24.700001	37.868	5.4038
25.000000	37.772	9.5298
25.400000	37.226	14.4760
25.799999	36.298	14.3137
26.200001	35.102	5.4919
26.500000	34.356	-5.9020
26.900000	34.316	-17.6224
27.200001	35.238	-17.7541
27.600000	37.206	-10.2441
28.000000	39.113	-3.3535
28.500000	40.499	-0.4698
29.000000	40.448	-2.1307
29.500000	39.145	-7.0449
30.000000	37.606	-15.8279
30.400000	37.619	-24.0187
30.700001	38.635	-27.8650
31.100000	40.601	-28.0373
31.500000	42.646	-23.2111
32.000000	45.109	-13.3839
32.500000	47.388	-4.9459
33.000000	49.190	-1.7075
33.500000	50.243	-3.3238
34.000000	50.473	-8.2587
34.500000	50.013	-15.6917
35.000000	49.232	-25.8418
35.500000	48.705	-38.8125
36.000000	48.830	-52.2490
36.500000	49.417	-62.4969
37.000000	50.038	-68.2744
37.500000	50.470	-70.6192
38.200001	50.696	-71.7941
38.700001	50.620	-73.3929
39.500000	50.361	-77.9556
40.000000	50.418	-80.4891
40.599998	50.857	-82.0163
41.200001	51.441	-82.9429
41.799999	51.863	-85.1442
42.500000	52.147	-90.8499
43.099998	52.515	-97.9115
43.700001	53.171	-104.7369
44.400002	53.961	-110.0586
45.000000	54.227	-111.8220
45.500000	54.093	-111.0587
46.200001	53.834	-107.2384
46.799999	54.096	-105.2112
47.500000	54.822	-108.0754
48.200001	55.440	-113.4726
48.700001	55.795	-116.8460
49.400002	56.371	-121.6969
50.000000	56.931	-127.9732
50.799999	57.546	-138.9259
51.500000	57.972	-147.3380
52.200001	58.408	-152.9522
53.000000	58.854	-157.8835
53.799999	59.128	-163.3481
54.500000	59.323	-168.6806
55.200001	59.603	-173.9513
56.000000	60.007	-179.4451
57.000000	60.486	174.4690
58.000000	60.908	168.8105
59.000000	61.314	163.2989
60.000000	61.690	157.8303
60.799999	61.956	153.4325
61.500000	62.175	149.5663
62.200001	62.392	145.6856
63.000000	62.646	141.2024
64.000000	62.966	135.4982
65.000000	63.275	129.8187
66.000000	63.574	124.3081
67.000000	63.859	118.8927
68.000000	64.123	113.4415
69.000000	64.355	107.9272
70.000000	64.549	102.4072
71.000000	64.717	96.9931
72.000000	64.887	91.8230
73.000000	65.075	86.9845
74.000000	65.283	82.4129
75.000000	65.505	77.9429
76.199997	65.788	72.5837
77.500000	66.113	66.7143
78.800003	66.428	60.7457
80.000000	66.705	55.2263
81.199997	66.979	49.7411
82.500000	67.263	43.7763
83.800003	67.541	37.7167
85.000000	67.800	32.0750
86.199997	68.050	26.4532
87.500000	68.315	20.3483
88.500000	68.526	15.6174
90.000000	68.864	8.4476
91.199997	69.175	2.5469
92.500000	69.541	-3.7508
93.800003	69.832	-9.5467
95.000000	69.967	-14.6316
96.199997	70.046	-19.8878
97.500000	70.170	-25.8844
98.800003	70.339	-32.0266
100.000000	70.492	-37.7538
101.500000	70.654	-44.9108
103.000000	70.783	-51.9268
104.400002	70.885	-58.3206
106.000000	70.997	-65.4875
107.500000	71.100	-72.1183
109.000000	71.190	-78.7166
110.599998	71.264	-85.7692
112.000000	71.313	-91.9161
113.800003	71.358	-99.6537
115.000000	71.381	-104.6564
117.199997	71.410	-113.5671
118.000000	71.415	-116.7876
120.599998	71.386	-127.3070
122.000000	71.345	-132.8714
124.099998	71.261	-140.8074
125.000000	71.224	-144.0367
126.500000	71.173	-149.2368
128.000000	71.140	-154.2530
131.500000	71.135	-165.4852
132.000000	71.141	-167.0770
134.000000	71.177	-173.5104
136.000000	71.222	179.9651
138.000000	71.266	173.4097
140.000000	71.291	166.8270
143.000000	71.254	157.2910
145.000000	71.195	151.4658
147.500000	71.153	144.7918
150.000000	71.194	138.4020
152.500000	71.321	131.9766
155.000000	71.522	125.3945
157.500000	71.768	118.6304
160.000000	72.031	111.6516
162.500000	72.304	104.4385
165.000000	72.595	97.0428
167.500000	72.890	89.4927
170.000000	73.164	81.7635
172.500000	73.407	73.8853
175.000000	73.620	65.8743
177.500000	73.806	57.8051
180.000000	73.965	49.7857
182.500000	74.097	41.8260
185.000000	74.209	33.9072
187.500000	74.310	26.0309
190.000000	74.403	18.1984
192.500000	74.488	10.4115
195.000000	74.569	2.6738
197.500000	74.645	-5.0246
200.000000	74.716	-12.6926
203.000000	74.796	-21.8112
206.000000	74.871	-30.7657
209.000000	74.941	-39.5432
212.000000	75.007	-48.1635
214.000000	75.048	-53.8333
218.000000	75.121	-65.0800
220.000000	75.155	-70.6775
224.000000	75.222	-81.7646
227.000000	75.269	-89.9482
230.000000	75.310	-98.0356
233.000000	75.343	-106.0564
236.000000	75.366	-114.0333
240.000000	75.386	-124.6438
243.000000	75.397	-132.5444
247.000000	75.404	-142.9380
250.000000	75.405	-150.6030
254.000000	75.406	-160.6061
258.000000	75.410	-170.4290
262.000000	75.424	179.8323
265.000000	75.443	172.5901
269.000000	75.472	163.0350
272.000000	75.489	155.9393
276.000000	75.504	146.5470
280.000000	75.515	137.2212
285.000000	75.533	125.6917
290.000000	75.557	114.3268
295.000000	75.582	103.1274
300.000000	75.603	92.1211
304.000000	75.621	83.4137
307.000000	75.636	76.9060
311.000000	75.660	68.2732
315.000000	75.685	59.7236
320.000000	75.710	49.1917
325.000000	75.721	38.8521
330.000000	75.734	28.6492
335.000000	75.759	18.5105
340.000000	75.793	8.4650
345.000000	75.824	-1.4348
350.000000	75.846	-11.2087
355.000000	75.862	-20.8740
360.000000	75.882	-30.4243
365.000000	75.909	-39.8840
370.000000	75.937	-49.3098
375.000000	75.964	-58.7284
382.000000	76.004	-71.8193
387.000000	76.035	-81.0168
395.000000	76.071	-95.4613
400.000000	76.085	-104.3801
406.000000	76.102	-115.0183
412.000000	76.129	-125.5555
418.000000	76.169	-135.9349
425.000000	76.213	-147.8636
431.000000	76.238	-157.9664
437.000000	76.249	-167.9709
444.000000	76.253	-179.5449
450.000000	76.256	170.6199
455.000000	76.261	162.5085
462.000000	76.269	151.3204
468.000000	76.282	141.8870
475.000000	76.307	130.9965
482.000000	76.343	120.1958
487.000000	76.371	112.5710
494.000000	76.409	102.0292
500.000000	76.440	93.0682
508.000000	76.483	81.2106
515.000000	76.522	70.9576
522.000000	76.559	60.7992
530.000000	76.605	49.2811
538.000000	76.651	37.8999
545.000000	76.688	28.0342
552.000000	76.724	18.2344
560.000000	76.767	7.1177
570.000000	76.819	-6.6367
580.000000	76.861	-20.1945
590.000000	76.894	-33.5382
600.000000	76.923	-46.6444
608.000000	76.945	-57.0027
615.000000	76.966	-65.9972
622.000000	76.994	-74.9146
630.000000	77.039	-85.0070
640.000000	77.101	-97.5142
650.000000	77.152	-109.9354
660.000000	77.186	-122.2144
670.000000	77.210	-134.2622
680.000000	77.231	-146.0916
690.000000	77.260	-157.7607
700.000000	77.300	-169.3396
710.000000	77.348	179.1602
720.000000	77.403	167.7565
730.000000	77.466	156.4835
740.000000	77.536	145.3326
750.000000	77.609	134.2772
762.000000	77.690	121.1338
775.000000	77.760	107.0649
788.000000	77.822	93.1927
800.000000	77.884	80.5564
812.000000	77.953	68.0375
825.000000	78.031	54.6036
838.000000	78.105	41.3175
850.000000	78.169	29.1538
862.000000	78.226	17.1094
875.000000	78.277	4.2285
885.000000	78.305	-5.5503
900.000000	78.333	-19.9901
912.000000	78.343	-31.3422
925.000000	78.349	-43.4122
938.000000	78.377	-55.2026
950.000000	78.450	-65.8997
962.000000	78.564	-76.5969
975.000000	78.684	-88.2495
988.000000	78.767	-99.8535
1000.000000	78.819	-110.4409
1015.000000	78.872	-123.4739
1030.000000	78.931	-136.3008
1044.000000	78.998	-148.1260
1060.000000	79.082	-161.4746
1075.000000	79.159	-173.7822
1090.000000	79.231	174.1282
1106.000000	79.308	161.4097
1120.000000	79.380	150.3965
1138.000000	79.481	136.4185
1150.000000	79.554	127.2266
1172.000000	79.696	110.6155
1180.000000	79.751	104.6450
1206.000000	79.949	85.5300
1220.000000	80.065	75.4543
1241.000000	80.262	60.6516
1250.000000	80.365	54.4138
1265.000000	80.572	44.1001
1280.000000	80.812	33.7786
1315.000000	81.309	9.5481
1320.000000	81.365	6.1157
1340.000000	81.551	-7.4783
1360.000000	81.692	-20.8491
1380.000000	81.801	-34.0081
1400.000000	81.900	-46.9819
1430.000000	82.075	-66.1624
1450.000000	82.221	-78.7576
1475.000000	82.434	-94.2825
1500.000000	82.668	-109.6106
1525.000000	82.921	-124.7397
1550.000000	83.188	-139.6069
1575.000000	83.457	-154.1658
1600.000000	83.717	-168.4514
1625.000000	83.969	177.4673
1650.000000	84.215	163.5884
1675.000000	84.459	149.9390
1700.000000	84.700	136.4863
1725.000000	84.934	123.1841
1750.000000	85.161	110.0349
1775.000000	85.386	97.0669
1800.000000	85.607	84.3093
1825.000000	85.823	71.7996
1850.000000	86.034	59.5315
1875.000000	86.242	47.4688
1900.000000	86.445	35.5991
1925.000000	86.646	23.9146
1950.000000	86.848	12.4182
1975.000000	87.054	1.1245
2000.000000	87.261	-9.9749
2030.000000	87.511	-23.0991
2060.000000	87.763	-36.0610
2090.000000	88.018	-48.8579
2120.000000	88.267	-61.4895
2140.000000	88.423	-69.8225
2180.000000	88.714	-86.2354
2200.000000	88.850	-94.2952
2240.000000	89.101	-110.1523
2270.000000	89.271	-121.8459
2300.000000	89.429	-133.3347
2330.000000	89.575	-144.6050
2360.000000	89.698	-155.6929
2400.000000	89.806	-170.1707
2430.000000	89.847	179.2739
2470.000000	89.861	165.6880
2500.000000	89.845	155.8792
2540.000000	89.797	143.2866
2580.000000	89.726	131.2429
2620.000000	89.631	119.7852
2650.000000	89.544	111.6033
2690.000000	89.411	101.2715
2720.000000	89.311	93.9302
2760.000000	89.184	84.6086
2800.000000	89.062	75.8088
2850.000000	88.915	65.6106
2900.000000	88.791	56.2544
2950.000000	88.685	47.5706
3000.000000	88.576	39.6174
3040.000000	88.497	33.8159
3070.000000	88.449	29.7600
3110.000000	88.407	24.7183
3150.000000	88.392	20.0908
3200.000000	88.412	14.9170
3250.000000	88.480	10.3965
3300.000000	88.608	6.4299
3350.000000	88.795	2.8120
3400.000000	89.023	-0.6213
3450.000000	89.271	-3.9219
3500.000000	89.520	-7.0540
3550.000000	89.759	-9.9409
3600.000000	89.995	-12.5137
3650.000000	90.250	-14.7834
3700.000000	90.536	-16.8708
3750.000000	90.838	-18.8909
3820.000000	91.243	-21.5952
3870.000000	91.503	-23.2996
3950.000000	91.867	-25.5103
4000.000000	92.062	-26.6255
4060.000000	92.248	-27.7610
4120.000000	92.357	-28.6423
4180.000000	92.372	-29.1072
4250.000000	92.282	-28.9839
4310.000000	92.128	-28.2583
4370.000000	91.920	-26.9050
4440.000000	91.629	-24.5107
4500.000000	91.350	-21.7925
4550.000000	91.097	-19.0850
4620.000000	90.704	-14.6016
4680.000000	90.323	-10.0601
4750.000000	89.832	-3.8457
4820.000000	89.306	3.3696
4870.000000	88.913	9.0525
4940.000000	88.332	17.6287
5000.000000	87.792	25.5581
5080.000000	87.004	37.1643
5150.000000	86.259	48.3850
5220.000000	85.468	60.5508
5300.000000	84.501	75.7649
5380.000000	83.482	92.9194
5450.000000	82.594	109.6316
5520.000000	81.742	127.5874
5600.000000	80.823	149.4761
5700.000000	79.781	178.9443
5800.000000	78.881	-149.7017
5900.000000	78.124	-116.9575
6000.000000	77.494	-82.9473
6080.000000	77.061	-54.9629
6150.000000	76.723	-29.9272
6220.000000	76.419	-4.2981
6300.000000	76.114	25.6807
6400.000000	75.792	63.9067
6500.000000	75.526	102.7927
6600.000000	75.305	142.4268
6700.000000	75.132	-176.8337
6800.000000	75.013	-135.0032
6900.000000	74.956	-92.1406
7000.000000	74.972	-47.9023
7100.000000	75.081	-2.2539
7200.000000	75.304	44.7581
7300.000000	75.645	92.6533
7400.000000	76.076	139.8340
7500.000000	76.547	-173.6763
7620.000000	77.096	-118.4919
7750.000000	77.538	-61.8273
7880.000000	77.683	-9.7373
8000.000000	77.617	34.3359
8120.000000	77.772	74.9296
8250.000000	78.813	-80.7623
8380.000000	80.492	-42.3085
8500.000000	81.885	-4.8721
8620.000000	82.863	37.5391
8750.000000	83.501	89.7238
8850.000000	83.776	134.6116
9000.000000	83.979	-151.7482
9120.000000	84.040	-86.9656
9250.000000	84.047	-13.2065
9380.000000	83.970	56.8292
9500.000000	83.779	117.8726
9620.000000	83.441	176.8414
9750.000000	82.921	-119.1925
9880.000000	82.328	-54.1506
10000.000000	81.878	9.4442
10150.000000	81.717	-178.7190
10300.000000	82.088	-72.0753
10440.000000	82.743	1.1580
10600.000000	83.633	115.8764
10750.000000	84.468	-146.8450
10900.000000	85.183	-60.6733
11060.000000	85.707	47.4711
11200.000000	85.870	126.2669
11380.000000	85.528	-154.7878
11500.000000	84.914	-105.2856
11720.000000	83.086	-5.1060
11800.000000	82.258	45.8904
12060.000000	79.286	-66.3782
12200.000000	77.651	22.4539
12410.000000	75.336	-156.6372
12500.000000	74.445	-86.6892
12650.000000	73.205	24.0020
12800.000000	72.454	118.6630
13150.000000	73.415	61.1144
13200.000000	73.769	63.3666
13400.000000	75.150	94.3068
13600.000000	75.921	155.1693
13800.000000	75.826	-146.7397
14000.000000	75.051	-124.2063
14300.000000	73.511	-34.0509
14500.000000	72.848	85.5430
14750.000000	72.868	-128.2788
15000.000000	73.592	-75.7731
15250.000000	74.471	17.3074
15500.000000	75.238	12.5918
15750.000000	75.745	37.4055
16000.000000	75.782	63.2402
16250.000000	75.229	104.1582
16500.000000	74.201	101.9861
16750.000000	72.879	37.3959
17000.000000	71.373	67.5742
17250.000000	69.772	85.2517
17500.000000	68.153	85.0137
17750.000000	66.568	84.4526
18000.000000	65.069	-48.1292
18250.000000	63.722	-42.6107
