* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08-Mar-2025 19:54:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei FreeArc TB R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	27.246	-92.4022
20.600000	26.560	-119.1997
20.900000	27.134	157.3809
21.200001	28.890	128.9447
21.400000	30.051	122.7290
21.799999	31.539	117.2818
22.000000	31.828	116.1330
22.400000	31.641	115.4194
22.700001	30.994	114.9966
23.000000	30.098	112.4788
23.299999	29.237	104.1638
23.600000	28.916	84.0929
24.000000	30.037	40.7808
24.299999	31.602	17.2797
24.700001	33.551	1.4487
25.000000	34.598	-4.5427
25.400000	35.434	-8.0870
25.799999	35.842	-7.8590
26.200001	36.105	-5.2693
26.500000	36.317	-3.0146
26.900000	36.627	-1.1052
27.200001	36.846	-0.9260
27.600000	37.111	-2.1431
28.000000	37.420	-4.3115
28.500000	38.026	-7.2173
29.000000	38.908	-9.6099
29.500000	39.894	-11.4550
30.000000	40.766	-13.1736
30.400000	41.286	-14.8245
30.700001	41.548	-16.3831
31.100000	41.736	-18.9929
31.500000	41.793	-22.2220
32.000000	41.857	-26.9713
32.500000	42.153	-32.1348
33.000000	42.778	-37.1422
33.500000	43.592	-41.3864
34.000000	44.402	-44.4601
34.500000	45.124	-46.4015
35.000000	45.771	-47.8065
35.500000	46.356	-49.5449
36.000000	46.858	-52.1302
36.500000	47.255	-55.3544
37.000000	47.577	-58.5577
37.500000	47.908	-61.2596
38.200001	48.533	-64.6560
38.700001	49.088	-67.7359
39.500000	50.003	-74.3699
40.000000	50.559	-78.7791
40.599998	51.241	-83.3517
41.200001	51.912	-87.0970
41.799999	52.453	-90.5834
42.500000	52.822	-94.7740
43.099998	53.019	-98.4357
43.700001	53.284	-102.1516
44.400002	53.741	-106.5815
45.000000	54.173	-110.3263
45.500000	54.527	-113.4247
46.200001	55.050	-118.0598
46.799999	55.584	-122.2367
47.500000	56.392	-126.3807
48.200001	57.389	-129.3611
48.700001	58.070	-131.4567
49.400002	58.697	-135.2733
50.000000	58.810	-139.3628
50.799999	58.552	-145.2112
51.500000	58.380	-150.3360
52.200001	58.506	-155.4992
53.000000	58.851	-161.1443
53.799999	59.201	-166.1915
54.500000	59.493	-170.3521
55.200001	59.786	-174.5420
56.000000	60.116	-179.3140
57.000000	60.498	174.9158
58.000000	60.859	169.1575
59.000000	61.225	163.2546
60.000000	61.585	157.4180
60.799999	61.862	152.8894
61.500000	62.099	149.0002
62.200001	62.336	145.1516
63.000000	62.606	140.7726
64.000000	62.929	135.2515
65.000000	63.238	129.6736
66.000000	63.560	124.1542
67.000000	63.894	118.7277
68.000000	64.200	113.3009
69.000000	64.453	107.8132
70.000000	64.655	102.3412
71.000000	64.825	97.0282
72.000000	64.981	91.9579
73.000000	65.144	87.1184
74.000000	65.330	82.4218
75.000000	65.539	77.7957
76.199997	65.811	72.3377
77.500000	66.115	66.5068
78.800003	66.414	60.6339
