* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03-Aug-2024 12:20:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei Freebuds 5 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.029	-165.1038
20.600000	68.253	-165.1374
20.900000	68.567	-165.0957
21.200001	68.945	-165.0703
21.400000	69.217	-165.1368
21.799999	69.764	-165.5776
22.000000	70.021	-165.9340
22.400000	70.476	-166.7356
22.700001	70.771	-167.2360
23.000000	71.049	-167.5479
23.299999	71.338	-167.6968
23.600000	71.659	-167.8175
24.000000	72.138	-168.2568
24.299999	72.514	-168.9645
24.700001	72.991	-170.4266
25.000000	73.308	-171.7684
25.400000	73.670	-173.5652
25.799999	73.987	-175.0549
26.200001	74.298	-176.0718
26.500000	74.547	-176.5547
26.900000	74.905	-176.9806
27.200001	75.186	-177.2513
27.600000	75.559	-177.6614
28.000000	75.914	-178.1674
28.500000	76.328	-178.9038
29.000000	76.731	-179.6995
29.500000	77.150	179.4450
30.000000	77.601	178.4572
30.400000	77.976	177.5148
30.700001	78.255	176.7069
31.100000	78.610	175.5151
31.500000	78.934	174.2471
32.000000	79.290	172.6720
32.500000	79.604	171.2162
33.000000	79.902	169.9174
33.500000	80.201	168.7348
34.000000	80.504	167.5996
34.500000	80.805	166.4607
35.000000	81.092	165.3040
35.500000	81.360	164.1511
36.000000	81.612	163.0448
36.500000	81.863	162.0196
37.000000	82.126	161.0718
37.500000	82.406	160.1649
38.200001	82.811	158.9239
38.700001	83.098	158.0918
39.500000	83.561	156.8716
40.000000	83.865	156.0380
40.599998	84.231	154.7656
41.200001	84.565	153.2155
41.799999	84.854	151.6456
42.500000	85.176	150.0981
43.099998	85.478	148.9840
43.700001	85.802	147.8604
44.400002	86.166	146.3380
45.000000	86.428	144.8046
45.500000	86.595	143.4076
46.200001	86.758	141.4576
46.799999	86.878	139.9602
47.500000	87.070	138.3705
48.200001	87.334	136.6497
48.700001	87.530	135.2664
49.400002	87.771	133.2675
50.000000	87.944	131.6444
50.799999	88.158	129.5948
51.500000	88.342	127.7902
52.200001	88.523	125.9600
53.000000	88.725	123.8922
53.799999	88.921	121.8642
54.500000	89.083	120.1081
55.200001	89.240	118.3399
56.000000	89.411	116.2774
57.000000	89.604	113.6940
58.000000	89.778	111.2146
59.000000	89.947	108.8350
60.000000	90.113	106.4921
60.799999	90.242	104.6186
61.500000	90.350	102.9758
