* Measurement data measured by REW V5.30 beta 4
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Dec-2023 12:14:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: IKKO OH300 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.898	-69.9541
20.600000	75.015	-70.6570
20.900000	75.160	-71.4820
21.200001	75.308	-72.2995
21.400000	75.403	-72.8224
21.799999	75.581	-73.8250
22.000000	75.663	-74.3173
22.400000	75.817	-75.3171
22.700001	75.925	-76.1013
23.000000	76.030	-76.9267
23.299999	76.135	-77.7943
23.600000	76.242	-78.6967
24.000000	76.390	-79.9281
24.299999	76.507	-80.8490
24.700001	76.667	-82.0401
25.000000	76.788	-82.8905
25.400000	76.946	-83.9590
25.799999	77.097	-84.9610
26.200001	77.236	-85.9169
26.500000	77.333	-86.6181
26.900000	77.453	-87.5483
27.200001	77.537	-88.2494
27.600000	77.644	-89.1922
28.000000	77.748	-90.1407
28.500000	77.875	-91.3203
29.000000	77.998	-92.4757
29.500000	78.117	-93.5988
30.000000	78.228	-94.6981
30.400000	78.312	-95.5727
30.700001	78.372	-96.2317
31.100000	78.448	-97.1179
31.500000	78.520	-98.0110
32.000000	78.608	-99.1272
32.500000	78.693	-100.2269
33.000000	78.778	-101.2939
33.500000	78.860	-102.3182
34.000000	78.941	-103.2974
34.500000	79.018	-104.2360
35.000000	79.092	-105.1431
35.500000	79.163	-106.0277
36.000000	79.231	-106.8959
36.500000	79.298	-107.7501
37.000000	79.362	-108.5905
37.500000	79.425	-109.4158
38.200001	79.510	-110.5418
38.700001	79.567	-111.3241
39.500000	79.654	-112.5440
40.000000	79.706	-113.2920
40.599998	79.767	-114.1779
41.200001	79.827	-115.0498
41.799999	79.885	-115.9052
42.500000	79.948	-116.8799
43.099998	79.998	-117.6970
43.700001	80.046	-118.5028
44.400002	80.099	-119.4354
45.000000	80.142	-120.2252
45.500000	80.176	-120.8702
46.200001	80.222	-121.7478
46.799999	80.259	-122.4815
47.500000	80.296	-123.3253
48.200001	80.328	-124.1608
48.700001	80.349	-124.7544
49.400002	80.379	-125.5851
50.000000	80.405	-126.2966
50.799999	80.437	-127.2323
51.500000	80.462	-128.0247
52.200001	80.483	-128.7876
53.000000	80.502	-129.6321
53.799999	80.518	-130.4641
54.500000	80.532	-131.1896
55.200001	80.544	-131.9098
56.000000	80.557	-132.7167
57.000000	80.570	-133.6930
58.000000	80.580	-134.6379
59.000000	80.588	-135.5588
60.000000	80.595	-136.4572
60.799999	80.598	-137.1604
61.500000	80.600	-137.7657
62.200001	80.600	-138.3616
63.000000	80.599	-139.0293
64.000000	80.596	-139.8412
65.000000	80.591	-140.6297
66.000000	80.584	-141.3994
67.000000	80.576	-142.1487
68.000000	80.566	-142.8765
69.000000	80.554	-143.5868
70.000000	80.541	-144.2811
71.000000	80.525	-144.9562
72.000000	80.507	-145.6105
73.000000	80.487	-146.2465
74.000000	80.467	-146.8664
75.000000	80.446	-147.4691
76.199997	80.420	-148.1720
77.500000	80.390	-148.9128
78.800003	80.359	-149.6242
80.000000	80.331	-150.2479
81.199997	80.302	-150.8466
82.500000	80.270	-151.4749
83.800003	80.237	-152.0798
85.000000	80.208	-152.6190
86.199997	80.177	-153.1424
87.500000	80.143	-153.6935
88.500000	80.117	-154.1060
90.000000	80.077	-154.7072
91.199997	80.044	-155.1758
92.500000	80.007	-155.6716
93.800003	79.969	-156.1545
95.000000	79.934	-156.5912
96.199997	79.900	-157.0202
97.500000	79.862	-157.4752
98.800003	79.824	-157.9160
100.000000	79.788	-158.3049
101.500000	79.745	-158.7674
103.000000	79.703	-159.2133
104.400002	79.666	-159.6238
106.000000	79.625	-160.0960
107.500000	79.589	-160.5462
109.000000	79.552	-161.0013
110.599998	79.511	-161.4851
112.000000	79.474	-161.9007
113.800003	79.424	-162.4189
115.000000	79.390	-162.7535
117.199997	79.327	-163.3469
118.000000	79.303	-163.5574
120.599998	79.226	-164.2232
122.000000	79.183	-164.5743
124.099998	79.116	-165.1001
125.000000	79.088	-165.3252
126.500000	79.040	-165.6975
128.000000	78.992	-166.0653
131.500000	78.878	-166.9168
132.000000	78.861	-167.0387
134.000000	78.795	-167.5238
136.000000	78.728	-167.9991
138.000000	78.660	-168.4686
140.000000	78.592	-168.9347
143.000000	78.491	-169.6128
145.000000	78.423	-170.0493
147.500000	78.337	-170.5802
150.000000	78.250	-171.0849
152.500000	78.162	-171.5535
155.000000	78.075	-171.9879
157.500000	77.989	-172.4030
160.000000	77.905	-172.8045
162.500000	77.823	-173.1981
165.000000	77.740	-173.5875
167.500000	77.655	-173.9707
170.000000	77.567	-174.3463
172.500000	77.475	-174.7111
175.000000	77.380	-175.0636
177.500000	77.283	-175.4080
180.000000	77.186	-175.7467
182.500000	77.089	-176.0767
185.000000	76.992	-176.3893
187.500000	76.896	-176.6774
190.000000	76.801	-176.9449
192.500000	76.710	-177.1977
195.000000	76.622	-177.4377
197.500000	76.537	-177.6646
200.000000	76.453	-177.8737
203.000000	76.353	-178.0938
206.000000	76.254	-178.2838
209.000000	76.159	-178.4504
212.000000	76.065	-178.5935
214.000000	76.002	-178.6736
218.000000	75.878	-178.7892
220.000000	75.819	-178.8223
224.000000	75.708	-178.8459
227.000000	75.636	-178.8450
230.000000	75.574	-178.8548
233.000000	75.521	-178.9059
236.000000	75.474	-179.0185
240.000000	75.405	-179.2578
243.000000	75.345	-179.4811
247.000000	75.251	-179.7904
250.000000	75.174	179.9910
