* Measurement data measured by REW V5.30.8
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12-Feb-2024 17:03:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: IKKO Activebuds Electronica
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.451	166.0312
20.600000	67.655	165.2734
20.900000	67.911	164.2582
21.200001	68.184	163.0891
21.400000	68.369	162.2542
21.799999	68.745	160.5157
22.000000	68.936	159.6393
22.400000	69.328	157.9269
22.700001	69.629	156.7049
23.000000	69.935	155.5434
23.299999	70.241	154.4353
23.600000	70.540	153.3672
24.000000	70.923	151.9809
24.299999	71.192	150.9560
24.700001	71.525	149.5951
25.000000	71.760	148.5701
25.400000	72.056	147.1808
25.799999	72.342	145.7437
26.200001	72.622	144.2408
26.500000	72.829	143.0692
26.900000	73.099	141.4610
27.200001	73.297	140.2351
27.600000	73.554	138.5954
28.000000	73.806	136.9637
28.500000	74.113	134.9399
29.000000	74.409	132.9332
29.500000	74.691	130.9565
30.000000	74.959	129.0313
30.400000	75.165	127.5318
30.700001	75.315	126.4239
31.100000	75.508	124.9546
31.500000	75.693	123.4812
32.000000	75.910	121.6289
32.500000	76.112	119.7802
33.000000	76.303	117.9559
33.500000	76.487	116.1653
34.000000	76.666	114.4063
34.500000	76.837	112.6764
35.000000	76.998	110.9776
35.500000	77.151	109.3127
36.000000	77.294	107.6812
36.500000	77.431	106.0816
37.000000	77.561	104.5141
37.500000	77.685	102.9826
38.200001	77.848	100.9046
38.700001	77.957	99.4629
39.500000	78.123	97.1952
40.000000	78.221	95.7820
40.599998	78.330	94.0893
41.200001	78.432	92.4207
41.799999	78.530	90.7969
42.500000	78.642	88.9595
43.099998	78.736	87.4234
43.700001	78.825	85.9252
44.400002	78.924	84.2398
45.000000	79.004	82.8452
45.500000	79.067	81.6992
46.200001	79.148	80.0818
46.799999	79.206	78.6698
47.500000	79.261	77.0185
48.200001	79.309	75.4201
48.700001	79.345	74.3365
49.400002	79.398	72.9036
50.000000	79.444	71.7318
50.799999	79.498	70.2075
51.500000	79.535	68.8891
52.200001	79.569	67.5739
53.000000	79.607	66.0683
53.799999	79.639	64.5863
54.500000	79.659	63.3413
55.200001	79.675	62.1422
56.000000	79.689	60.7961
57.000000	79.702	59.1274
58.000000	79.712	57.4766
59.000000	79.722	55.8404
60.000000	79.728	54.2489
60.799999	79.727	53.0370
61.500000	79.723	52.0235
62.200001	79.716	51.0423
63.000000	79.706	49.9486
64.000000	79.692	48.6146
65.000000	79.672	47.3160
66.000000	79.645	46.0526
67.000000	79.613	44.8165
68.000000	79.579	43.6085
69.000000	79.544	42.4405
70.000000	79.506	41.3140
71.000000	79.465	40.2281
72.000000	79.424	39.1730
73.000000	79.385	38.1375
74.000000	79.344	37.1310
75.000000	79.297	36.1703
76.199997	79.229	35.0906
77.500000	79.141	33.9955
78.800003	79.052	32.9423
80.000000	78.977	32.0043
81.199997	78.904	31.1011
82.500000	78.818	30.1403
83.800003	78.719	29.2052
85.000000	78.623	28.3836
86.199997	78.528	27.6157
87.500000	78.429	26.8555
88.500000	78.354	26.3097
90.000000	78.243	25.5135
91.199997	78.157	24.8759
92.500000	78.065	24.2215
93.800003	77.972	23.6580
95.000000	77.889	23.2205
96.199997	77.811	22.8240
97.500000	77.728	22.4030
98.800003	77.641	21.9871
100.000000	77.557	21.6329
101.500000	77.449	21.2500
103.000000	77.341	20.9022
104.400002	77.240	20.5712
106.000000	77.121	20.1948
107.500000	77.010	19.8732
109.000000	76.902	19.5885
110.599998	76.791	19.3260
112.000000	76.698	19.1354
113.800003	76.580	18.9406
115.000000	76.498	18.8364
117.199997	76.339	18.6915
118.000000	76.279	18.6461
120.599998	76.085	18.5112
122.000000	75.982	18.4473
124.099998	75.832	18.3706
125.000000	75.769	18.3559
126.500000	75.668	18.3623
128.000000	75.569	18.4011
131.500000	75.337	18.5923
132.000000	75.303	18.6355
134.000000	75.173	18.8631
136.000000	75.048	19.1685
138.000000	74.924	19.5270
140.000000	74.798	19.9256
143.000000	74.612	20.5728
145.000000	74.494	21.0469
147.500000	74.352	21.6818
150.000000	74.208	22.3548
152.500000	74.063	23.0947
155.000000	73.918	23.8762
157.500000	73.775	24.6614
160.000000	73.641	25.4352
162.500000	73.508	26.2051
165.000000	73.369	26.9799
167.500000	73.224	27.7650
170.000000	73.083	28.6001
172.500000	72.946	29.5043
175.000000	72.815	30.4500
177.500000	72.684	31.4037
180.000000	72.556	32.3392
182.500000	72.435	33.2618
185.000000	72.321	34.2129
187.500000	72.212	35.2356
190.000000	72.105	36.3354
192.500000	71.996	37.4652
195.000000	71.886	38.5844
197.500000	71.778	39.7092
200.000000	71.676	40.8602
203.000000	71.562	42.2731
206.000000	71.456	43.7270
209.000000	71.356	45.2256
212.000000	71.258	46.7630
214.000000	71.195	47.7936
218.000000	71.074	49.8175
220.000000	71.017	50.8178
224.000000	70.910	52.8667
227.000000	70.831	54.4617
230.000000	70.752	56.1153
233.000000	70.679	57.8505
236.000000	70.622	59.6629
240.000000	70.580	62.1219
243.000000	70.574	63.9151
247.000000	70.587	66.1236
250.000000	70.598	67.6299
254.000000	70.598	69.5140
258.000000	70.579	71.3079
262.000000	70.552	73.0295
265.000000	70.532	74.3026
269.000000	70.503	76.0325
272.000000	70.479	77.3597
276.000000	70.444	79.1377
280.000000	70.410	80.9100
285.000000	70.372	83.1251
290.000000	70.342	85.3456
295.000000	70.317	87.5412
300.000000	70.292	89.6790
304.000000	70.269	91.3485
307.000000	70.252	92.5853
311.000000	70.232	94.2337
315.000000	70.215	95.9036
320.000000	70.197	98.0222
325.000000	70.179	100.1603
330.000000	70.161	102.3223
335.000000	70.148	104.4946
340.000000	70.146	106.6397
345.000000	70.152	108.7648
350.000000	70.161	110.8828
355.000000	70.167	112.9843
360.000000	70.173	115.0526
365.000000	70.180	117.0825
370.000000	70.185	119.0956
375.000000	70.188	121.1169
382.000000	70.201	123.9908
387.000000	70.215	126.0511
395.000000	70.233	129.2069
400.000000	70.238	131.0955
406.000000	70.239	133.3231
412.000000	70.237	135.5543
418.000000	70.234	137.8329
425.000000	70.228	140.5390
431.000000	70.220	142.8560
437.000000	70.211	145.1630
444.000000	70.203	147.8343
450.000000	70.197	150.1009
455.000000	70.190	151.9887
462.000000	70.181	154.6651
468.000000	70.177	157.0143
475.000000	70.178	159.8070
482.000000	70.185	162.6358
487.000000	70.191	164.6824
494.000000	70.196	167.5825
500.000000	70.190	170.0891
508.000000	70.168	173.4339
515.000000	70.142	176.3442
522.000000	70.116	179.2282
530.000000	70.085	-177.4801
538.000000	70.048	-174.1429
545.000000	70.014	-171.1866
552.000000	69.983	-168.2115
560.000000	69.949	-164.7970
570.000000	69.908	-160.5411
580.000000	69.870	-156.4563
590.000000	69.827	-152.7446
600.000000	69.763	-149.4449
608.000000	69.694	-147.0697
615.000000	69.628	-145.1600
622.000000	69.560	-143.3492
630.000000	69.486	-141.3015
640.000000	69.398	-138.7049
650.000000	69.308	-136.0581
660.000000	69.210	-133.3958
670.000000	69.094	-130.7908
680.000000	68.961	-128.2427
690.000000	68.806	-125.6850
700.000000	68.622	-122.9749
710.000000	68.409	-119.8375
720.000000	68.206	-115.9070
730.000000	68.101	-111.0750
740.000000	68.178	-105.9569
750.000000	68.406	-101.6704
762.000000	68.713	-98.2306
775.000000	68.935	-95.8649
788.000000	69.008	-93.8557
800.000000	68.981	-91.7377
812.000000	68.915	-89.2475
825.000000	68.833	-86.1844
838.000000	68.753	-82.8388
850.000000	68.687	-79.6376
862.000000	68.628	-76.4272
875.000000	68.570	-72.9416
885.000000	68.529	-70.2376
900.000000	68.477	-66.1487
912.000000	68.445	-62.8753
925.000000	68.417	-59.3602
938.000000	68.396	-55.8873
950.000000	68.383	-52.6849
962.000000	68.375	-49.4515
975.000000	68.371	-45.9232
988.000000	68.373	-42.3972
1000.000000	68.376	-39.1589
1015.000000	68.379	-35.1710
1030.000000	68.387	-31.3021
1044.000000	68.399	-27.7859
1060.000000	68.415	-23.8256
1075.000000	68.436	-20.1658
1090.000000	68.465	-16.5510
1106.000000	68.498	-12.7245
1120.000000	68.530	-9.3869
1138.000000	68.577	-5.1361
1150.000000	68.612	-2.3536
1172.000000	68.665	2.6126
1180.000000	68.681	4.3719
1206.000000	68.720	9.9518
1220.000000	68.734	12.8585
1241.000000	68.744	17.0726
1250.000000	68.746	18.8429
1265.000000	68.749	21.7907
1280.000000	68.757	24.7817
1315.000000	68.781	32.0786
1320.000000	68.784	33.1511
1340.000000	68.793	37.4810
1360.000000	68.797	41.8365
1380.000000	68.792	46.2195
1400.000000	68.789	50.6758
1430.000000	68.802	57.5297
1450.000000	68.815	62.1993
1475.000000	68.831	68.1835
1500.000000	68.858	74.4845
1525.000000	68.912	81.1248
1550.000000	68.997	87.9637
1575.000000	69.106	94.8109
1600.000000	69.234	101.5361
1625.000000	69.391	108.1698
1650.000000	69.583	114.7697
1675.000000	69.798	121.2470
1700.000000	70.024	127.4500
1725.000000	70.259	133.3241
1750.000000	70.501	138.8679
1775.000000	70.749	144.0985
1800.000000	71.001	149.1171
1825.000000	71.250	154.0226
1850.000000	71.495	158.8096
1875.000000	71.730	163.4620
1900.000000	71.951	167.9847
1925.000000	72.158	172.3597
1950.000000	72.345	176.5573
1975.000000	72.504	-179.4373
2000.000000	72.632	-175.5922
2030.000000	72.750	-171.0599
2060.000000	72.839	-166.4005
2090.000000	72.909	-161.5349
2120.000000	72.956	-156.5637
2140.000000	72.973	-153.2649
2180.000000	72.975	-146.7597
2200.000000	72.965	-143.5108
2240.000000	72.927	-136.8932
2270.000000	72.887	-131.7100
2300.000000	72.848	-126.2463
2330.000000	72.813	-120.5007
2360.000000	72.777	-114.5440
2400.000000	72.724	-106.4410
2430.000000	72.680	-100.3112
2470.000000	72.620	-92.0461
2500.000000	72.580	-85.7739
2540.000000	72.534	-77.4280
2580.000000	72.489	-69.2546
2620.000000	72.447	-61.2573
2650.000000	72.423	-55.3097
2690.000000	72.402	-47.4811
2720.000000	72.386	-41.7798
2760.000000	72.357	-34.5042
2800.000000	72.329	-27.5651
2850.000000	72.313	-19.0628
2900.000000	72.328	-10.3989
2950.000000	72.372	-1.5070
3000.000000	72.426	7.4824
3040.000000	72.471	14.7002
3070.000000	72.508	20.1193
3110.000000	72.567	27.3312
3150.000000	72.637	34.5166
3200.000000	72.738	43.3071
3250.000000	72.840	51.4965
3300.000000	72.939	58.8585
3350.000000	73.046	65.5033
3400.000000	73.161	71.6383
3450.000000	73.284	77.4563
3500.000000	73.415	83.1167
3550.000000	73.550	88.7170
3600.000000	73.689	94.3073
3650.000000	73.837	99.8527
3700.000000	73.991	105.2396
3750.000000	74.147	110.3642
3820.000000	74.361	116.9604
3870.000000	74.503	121.1514
3950.000000	74.717	127.0918
4000.000000	74.859	130.5754
4060.000000	75.038	134.5323
4120.000000	75.204	138.0120
4180.000000	75.348	140.9951
4250.000000	75.486	144.2598
4310.000000	75.583	147.1665
4370.000000	75.655	150.1583
4440.000000	75.692	153.6661
4500.000000	75.685	156.7325
4550.000000	75.654	159.3793
4620.000000	75.582	163.2181
4680.000000	75.495	166.5170
4750.000000	75.366	170.2435
4820.000000	75.222	173.8064
4870.000000	75.117	176.1721
4940.000000	74.967	179.0339
5000.000000	74.836	-179.0034
5080.000000	74.681	-176.8239
5150.000000	74.584	-174.9645
5220.000000	74.536	-172.9597
5300.000000	74.542	-170.4664
5380.000000	74.610	-167.8507
5450.000000	74.718	-165.5178
5520.000000	74.866	-163.2496
5600.000000	75.071	-161.0160
5700.000000	75.350	-159.0881
5800.000000	75.610	-158.1980
5900.000000	75.802	-158.2434
6000.000000	75.910	-158.6385
6080.000000	75.939	-158.6765
6150.000000	75.928	-158.2942
6220.000000	75.891	-157.4963
6300.000000	75.825	-156.1633
6400.000000	75.727	-154.1451
6500.000000	75.629	-152.1027
6600.000000	75.549	-150.2831
6700.000000	75.507	-148.8049
6800.000000	75.526	-147.8101
6900.000000	75.620	-147.5338
7000.000000	75.795	-148.2434
7100.000000	76.054	-150.1685
7200.000000	76.391	-153.3203
7300.000000	76.791	-157.4260
7400.000000	77.203	-162.2755
7500.000000	77.550	-167.8424
7620.000000	77.755	-175.2146
7750.000000	77.562	176.5168
7880.000000	76.824	168.7178
8000.000000	75.667	162.8464
8120.000000	74.151	159.1558
8250.000000	72.282	158.1803
8380.000000	70.432	160.1506
8500.000000	68.991	163.1826
8620.000000	67.893	165.3020
8750.000000	66.894	165.4834
8850.000000	66.101	164.6526
9000.000000	64.820	163.5569
9120.000000	63.810	163.4766
9250.000000	62.792	163.9470
9380.000000	61.808	164.6016
9500.000000	60.884	165.2133
9620.000000	59.946	165.8584
9750.000000	58.954	166.8643
9880.000000	58.034	168.3065
10000.000000	57.264	169.7018
10150.000000	56.398	170.9886
10300.000000	55.624	171.9014
10440.000000	54.983	173.1967
10600.000000	54.344	175.7208
10750.000000	53.822	178.7993
10900.000000	53.370	-177.5947
11060.000000	52.966	-172.9939
11200.000000	52.680	-168.4966
11380.000000	52.402	-163.1042
11500.000000	52.274	-160.4346
11720.000000	52.168	-157.8989
11800.000000	52.176	-157.4735
12060.000000	52.395	-156.7811
12200.000000	52.640	-156.7236
12410.000000	53.182	-156.8782
12500.000000	53.479	-157.1564
12650.000000	54.066	-158.3136
12800.000000	54.781	-160.7483
13150.000000	56.967	-172.2914
13200.000000	57.326	-174.5747
13400.000000	58.794	174.6318
13600.000000	60.122	160.6659
13800.000000	61.038	143.2458
14000.000000	61.331	123.5016
14300.000000	60.502	93.4567
14500.000000	59.296	75.4442
14750.000000	57.425	57.1055
15000.000000	55.485	43.4026
15250.000000	53.718	32.6019
15500.000000	52.265	21.6760
15750.000000	51.182	8.7233
16000.000000	50.426	-4.9683
16250.000000	49.926	-16.4568
16500.000000	49.654	-23.8956
16750.000000	49.603	-27.8425
17000.000000	49.755	-30.6104
17250.000000	50.070	-34.2646
17500.000000	50.452	-40.2082
17750.000000	50.803	-48.8314
18000.000000	51.082	-59.5898
18250.000000	51.243	-72.0723
18500.000000	51.211	-85.8905
18750.000000	50.940	-100.7464
19000.000000	50.457	-116.9544
19250.000000	49.829	-134.8923
19500.000000	49.146	-153.5889
19750.000000	48.544	-169.9999
20000.000000	48.198	-179.6299
