* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -37.5 dBFS, measurement signal peak level -37.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-May-2023 13:35:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KB Ear KS1 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.677	-57.5967
20.299999	66.186	-60.8333
20.600000	66.707	-63.2821
20.900000	67.216	-64.9775
21.200001	67.702	-66.0012
21.400000	68.010	-66.3907
21.799999	68.583	-66.6650
22.000000	68.841	-66.6574
22.400000	69.287	-66.5424
22.700001	69.549	-66.4337
23.000000	69.745	-66.3053
23.299999	69.884	-66.1368
23.600000	69.978	-65.9479
24.000000	70.054	-65.7664
24.299999	70.085	-65.8100
24.700001	70.095	-66.2573
25.000000	70.077	-66.9301
25.400000	70.020	-68.2433
25.799999	69.941	-69.9135
26.200001	69.867	-71.8104
26.500000	69.836	-73.3251
26.900000	69.846	-75.4265
27.200001	69.900	-77.0459
27.600000	70.036	-79.2405
28.000000	70.229	-81.4329
28.500000	70.514	-84.0472
29.000000	70.808	-86.3176
29.500000	71.093	-88.0839
30.000000	71.365	-89.3428
30.400000	71.568	-90.0867
30.700001	71.708	-90.5544
31.100000	71.870	-91.1204
31.500000	72.001	-91.6561
32.000000	72.120	-92.3168
32.500000	72.200	-93.0138
33.000000	72.253	-93.8197
33.500000	72.291	-94.7974
34.000000	72.321	-95.9751
34.500000	72.351	-97.3332
35.000000	72.388	-98.8204
35.500000	72.440	-100.3707
36.000000	72.509	-101.9257
36.500000	72.595	-103.4337
37.000000	72.694	-104.8420
37.500000	72.802	-106.1124
38.200001	72.958	-107.6535
38.700001	73.067	-108.6232
39.500000	73.223	-110.0493
40.000000	73.302	-110.9072
40.599998	73.377	-111.9409
41.200001	73.430	-112.9937
41.799999	73.465	-114.0493
42.500000	73.498	-115.2644
43.099998	73.530	-116.3095
43.700001	73.569	-117.3839
44.400002	73.623	-118.6683
45.000000	73.673	-119.7628
45.500000	73.717	-120.6490
46.200001	73.782	-121.8423
46.799999	73.840	-122.8300
47.500000	73.910	-123.9588
48.200001	73.979	-125.0720
48.700001	74.027	-125.8576
49.400002	74.089	-126.9421
50.000000	74.133	-127.8555
50.799999	74.176	-129.0360
51.500000	74.204	-130.0137
52.200001	74.232	-130.9461
53.000000	74.264	-131.9998
53.799999	74.291	-133.0591
54.500000	74.308	-133.9648
55.200001	74.321	-134.8383
56.000000	74.339	-135.8168
57.000000	74.370	-137.0467
58.000000	74.409	-138.3036
59.000000	74.450	-139.5623
60.000000	74.485	-140.7452
60.799999	74.509	-141.6137
61.500000	74.526	-142.3298
62.200001	74.539	-143.0214
63.000000	74.549	-143.8052
64.000000	74.554	-144.8070
65.000000	74.555	-145.8282
66.000000	74.561	-146.8548
67.000000	74.576	-147.8934
68.000000	74.593	-148.9208
69.000000	74.608	-149.8879
70.000000	74.618	-150.7751
71.000000	74.625	-151.6075
72.000000	74.627	-152.4186
73.000000	74.625	-153.2280
74.000000	74.621	-154.0505
75.000000	74.617	-154.8861
76.199997	74.615	-155.8926
77.500000	74.615	-156.9752
78.800003	74.613	-158.0240
80.000000	74.607	-158.9297
81.199997	74.599	-159.7639
82.500000	74.593	-160.6251
83.800003	74.587	-161.4863
85.000000	74.575	-162.2736
86.199997	74.558	-163.0330
87.500000	74.538	-163.8277
88.500000	74.523	-164.4317
90.000000	74.501	-165.3365
91.199997	74.482	-166.0500
92.500000	74.459	-166.7948
93.800003	74.432	-167.5062
95.000000	74.407	-168.1531
96.199997	74.383	-168.8046
97.500000	74.357	-169.5142
98.800003	74.335	-170.2313
100.000000	74.315	-170.8902
101.500000	74.288	-171.6755
103.000000	74.258	-172.4099
104.400002	74.227	-173.0654
106.000000	74.191	-173.7922
107.500000	74.160	-174.4639
109.000000	74.130	-175.1187
110.599998	74.103	-175.7851
112.000000	74.081	-176.3616
113.800003	74.052	-177.1328
115.000000	74.028	-177.6547
117.199997	73.972	-178.5663
118.000000	73.950	-178.8728
120.599998	73.880	-179.7630
122.000000	73.849	179.7888
124.099998	73.810	179.0628
125.000000	73.792	178.7263
126.500000	73.758	178.1602
128.000000	73.719	177.6226
131.500000	73.622	176.4868
132.000000	73.608	176.3282
134.000000	73.550	175.6818
136.000000	73.496	175.0204
138.000000	73.445	174.3878
140.000000	73.399	173.8369
143.000000	73.337	173.1259
145.000000	73.291	172.6671
147.500000	73.222	172.0728
150.000000	73.140	171.4437
152.500000	73.057	170.8163
155.000000	72.986	170.2330
157.500000	72.927	169.7130
160.000000	72.874	169.2232
162.500000	72.817	168.7313
165.000000	72.755	168.2499
167.500000	72.692	167.7864
170.000000	72.628	167.3350
172.500000	72.564	166.9001
175.000000	72.503	166.4916
177.500000	72.442	166.1075
180.000000	72.379	165.7272
182.500000	72.304	165.3340
185.000000	72.214	164.9484
187.500000	72.112	164.5935
190.000000	72.008	164.2625
192.500000	71.913	163.9425
195.000000	71.832	163.6265
197.500000	71.766	163.3107
200.000000	71.712	162.9895
203.000000	71.660	162.5973
206.000000	71.619	162.2406
209.000000	71.585	161.9432
212.000000	71.547	161.6754
214.000000	71.514	161.4949
218.000000	71.433	161.1298
220.000000	71.388	160.9644
224.000000	71.294	160.6645
227.000000	71.224	160.4273
230.000000	71.154	160.1963
233.000000	71.084	160.0231
