* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -40.2 dBFS, measurement signal peak level -40.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-May-2023 13:49:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KB Ear Lark L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.888	-84.0585
20.299999	65.277	-89.4616
20.600000	66.499	-91.1367
20.900000	67.562	-90.1816
21.200001	68.519	-87.5739
21.400000	69.122	-85.3572
21.799999	70.241	-80.5112
22.000000	70.745	-78.2302
22.400000	71.591	-74.4142
22.700001	72.055	-72.1714
23.000000	72.369	-70.1899
23.299999	72.565	-68.2094
23.600000	72.683	-66.1802
24.000000	72.776	-63.6234
24.299999	72.813	-62.1815
24.700001	72.792	-61.2898
25.000000	72.692	-61.4317
25.400000	72.425	-62.4275
25.799999	72.041	-63.8754
26.200001	71.646	-65.5171
26.500000	71.424	-66.9515
26.900000	71.300	-69.3824
27.200001	71.343	-71.7340
27.600000	71.542	-75.5500
28.000000	71.822	-79.7805
28.500000	72.194	-84.7503
29.000000	72.564	-88.4199
29.500000	72.955	-90.4791
30.000000	73.371	-91.3351
30.400000	73.688	-91.6007
30.700001	73.892	-91.7081
31.100000	74.095	-91.7723
31.500000	74.215	-91.6943
32.000000	74.271	-91.3241
32.500000	74.271	-90.7568
33.000000	74.261	-90.3251
33.500000	74.253	-90.3722
34.000000	74.238	-91.0798
34.500000	74.204	-92.3675
35.000000	74.159	-93.9908
35.500000	74.135	-95.7036
36.000000	74.166	-97.4155
36.500000	74.258	-99.1516
37.000000	74.388	-100.9032
37.500000	74.527	-102.5658
38.200001	74.709	-104.5143
38.700001	74.828	-105.5900
39.500000	74.999	-106.9085
40.000000	75.098	-107.6313
40.599998	75.209	-108.6326
41.200001	75.281	-109.9689
41.799999	75.277	-111.4964
42.500000	75.185	-112.9277
43.099998	75.112	-113.5184
43.700001	75.127	-113.7624
44.400002	75.258	-114.2053
45.000000	75.405	-114.9554
45.500000	75.516	-115.7518
46.200001	75.643	-116.9448
46.799999	75.730	-117.9899
47.500000	75.801	-119.2418
48.200001	75.842	-120.4669
48.700001	75.860	-121.2750
49.400002	75.888	-122.2877
50.000000	75.924	-123.0753
50.799999	75.993	-124.0959
51.500000	76.061	-124.9903
52.200001	76.125	-125.8130
53.000000	76.192	-126.5675
53.799999	76.257	-127.1737
54.500000	76.302	-127.6865
55.200001	76.332	-128.2207
56.000000	76.353	-128.8900
57.000000	76.384	-129.9893
58.000000	76.412	-131.5005
59.000000	76.426	-133.1616
60.000000	76.448	-134.5790
60.799999	76.496	-135.4922
61.500000	76.555	-136.2288
62.200001	76.608	-136.9551
63.000000	76.644	-137.7178
64.000000	76.656	-138.4634
65.000000	76.663	-139.0867
66.000000	76.674	-139.7997
67.000000	76.686	-140.6264
68.000000	76.704	-141.4949
69.000000	76.733	-142.3532
70.000000	76.770	-143.1910
71.000000	76.806	-144.0294
72.000000	76.825	-144.8406
73.000000	76.829	-145.5792
74.000000	76.824	-146.2566
75.000000	76.817	-146.9219
76.199997	76.804	-147.7217
77.500000	76.795	-148.5492
78.800003	76.804	-149.3712
80.000000	76.822	-150.1251
81.199997	76.855	-150.8635
82.500000	76.904	-151.7226
83.800003	76.945	-152.6768
85.000000	76.960	-153.5931
86.199997	76.947	-154.4561
87.500000	76.919	-155.2610
88.500000	76.903	-155.8089
90.000000	76.898	-156.6091
91.199997	76.907	-157.2431
92.500000	76.923	-157.8882
93.800003	76.943	-158.5137
95.000000	76.953	-159.1084
96.199997	76.947	-159.7101
97.500000	76.926	-160.3398
98.800003	76.897	-160.9327
100.000000	76.869	-161.4357
101.500000	76.846	-161.9944
103.000000	76.839	-162.5277
104.400002	76.841	-163.0518
106.000000	76.845	-163.7004
107.500000	76.844	-164.3892
109.000000	76.830	-165.1458
110.599998	76.807	-165.9534
112.000000	76.789	-166.6296
113.800003	76.775	-167.4386
115.000000	76.764	-167.9124
117.199997	76.736	-168.5848
118.000000	76.725	-168.7916
120.599998	76.690	-169.5283
122.000000	76.674	-169.9779
124.099998	76.663	-170.6227
125.000000	76.662	-170.8785
126.500000	76.656	-171.2915
128.000000	76.636	-171.6931
131.500000	76.559	-172.5400
132.000000	76.550	-172.6492
134.000000	76.529	-173.0826
136.000000	76.518	-173.5198
138.000000	76.502	-174.0085
140.000000	76.477	-174.6437
143.000000	76.440	-175.7686
145.000000	76.437	-176.4257
147.500000	76.444	-177.0803
150.000000	76.412	-177.6240
152.500000	76.350	-178.1082
155.000000	76.298	-178.6539
157.500000	76.259	-179.2379
160.000000	76.216	-179.7411
162.500000	76.171	179.8426
165.000000	76.141	179.3929
167.500000	76.123	178.8499
170.000000	76.106	178.2961
172.500000	76.084	177.8383
175.000000	76.051	177.4711
177.500000	76.009	177.1003
180.000000	75.963	176.6721
182.500000	75.915	176.2116
185.000000	75.856	175.7802
187.500000	75.780	175.4214
190.000000	75.694	175.1438
192.500000	75.614	174.8965
195.000000	75.547	174.6099
197.500000	75.496	174.2944
200.000000	75.464	174.0031
203.000000	75.452	173.7021
206.000000	75.460	173.3710
209.000000	75.466	172.9308
212.000000	75.459	172.4141
214.000000	75.444	172.0845
218.000000	75.398	171.5460
220.000000	75.368	171.3158
224.000000	75.306	170.8804
227.000000	75.263	170.5780
230.000000	75.215	170.3023
233.000000	75.150	170.0567
236.000000	75.074	169.8729
240.000000	74.984	169.7306
243.000000	74.940	169.6279
247.000000	74.893	169.4048
250.000000	74.857	169.1711
254.000000	74.805	168.8831
258.000000	74.748	168.7067
262.000000	74.691	168.5222
265.000000	74.658	168.3032
269.000000	74.613	167.9422
272.000000	74.568	167.6707
276.000000	74.498	167.3525
280.000000	74.421	167.0854
285.000000	74.317	166.8030
290.000000	74.222	166.5401
295.000000	74.160	166.2804
300.000000	74.120	166.0762
304.000000	74.085	165.9607
307.000000	74.056	165.8942
311.000000	74.018	165.7975
315.000000	73.970	165.6635
320.000000	73.885	165.4570
325.000000	73.788	165.2039
330.000000	73.705	164.9410
335.000000	73.642	164.7385
340.000000	73.592	164.6158
345.000000	73.529	164.5544
350.000000	73.452	164.5546
355.000000	73.387	164.6179
360.000000	73.332	164.6325
365.000000	73.274	164.5621
370.000000	73.209	164.5481
375.000000	73.143	164.6157
382.000000	73.062	164.7177
387.000000	73.017	164.7955
395.000000	72.932	164.8369
400.000000	72.859	164.7263
406.000000	72.762	164.5106
412.000000	72.677	164.3328
418.000000	72.623	164.2484
425.000000	72.564	164.2219
431.000000	72.495	164.2970
437.000000	72.412	164.4651
444.000000	72.317	164.6909
450.000000	72.256	164.8184
455.000000	72.221	164.8785
462.000000	72.180	164.9860
468.000000	72.129	165.1395
475.000000	72.043	165.4115
482.000000	71.947	165.7402
487.000000	71.881	165.9552
494.000000	71.795	166.1682
500.000000	71.736	166.2793
508.000000	71.669	166.4697
515.000000	71.603	166.7458
522.000000	71.533	167.0559
530.000000	71.466	167.4548
538.000000	71.405	167.9818
545.000000	71.341	168.4761
552.000000	71.268	168.8450
560.000000	71.186	169.0715
570.000000	71.107	169.3001
580.000000	71.060	169.6055
590.000000	71.019	169.9057
600.000000	70.969	170.3172
608.000000	70.920	170.7916
615.000000	70.868	171.2792
622.000000	70.814	171.7655
630.000000	70.755	172.2521
640.000000	70.694	172.7222
650.000000	70.656	173.0941
660.000000	70.628	173.5019
670.000000	70.609	174.0136
680.000000	70.598	174.6475
690.000000	70.578	175.3484
700.000000	70.538	175.9644
710.000000	70.486	176.4705
720.000000	70.452	176.9675
730.000000	70.442	177.4722
740.000000	70.427	177.9734
750.000000	70.388	178.5773
762.000000	70.330	179.5380
775.000000	70.292	-179.3654
788.000000	70.281	-178.5311
800.000000	70.286	-177.8981
812.000000	70.291	-177.1826
825.000000	70.295	-176.2097
838.000000	70.302	-175.1233
850.000000	70.316	-174.1710
862.000000	70.336	-173.3196
875.000000	70.359	-172.4570
885.000000	70.379	-171.7980
900.000000	70.421	-170.8552
912.000000	70.465	-170.1403
925.000000	70.517	-169.3481
938.000000	70.571	-168.5154
950.000000	70.625	-167.7043
962.000000	70.682	-166.8746
975.000000	70.748	-166.0820
988.000000	70.823	-165.5052
1000.000000	70.907	-165.1163
1015.000000	71.020	-164.6869
1030.000000	71.127	-164.2059
1044.000000	71.228	-163.6695
1060.000000	71.351	-162.9755
1075.000000	71.460	-162.3056
1090.000000	71.566	-161.7253
1106.000000	71.692	-161.3456
1120.000000	71.809	-161.1454
1138.000000	71.953	-160.8865
1150.000000	72.045	-160.7042
1172.000000	72.213	-160.4755
1180.000000	72.277	-160.4481
1206.000000	72.506	-160.5044
1220.000000	72.632	-160.5682
1241.000000	72.810	-160.6311
1250.000000	72.885	-160.6426
1265.000000	73.012	-160.6445
1280.000000	73.142	-160.6082
1315.000000	73.434	-160.4633
1320.000000	73.467	-160.4590
1340.000000	73.567	-160.5145
1360.000000	73.608	-160.6799
1380.000000	73.599	-160.8899
1400.000000	73.571	-161.0775
1430.000000	73.576	-161.3328
1450.000000	73.616	-161.4939
1475.000000	73.698	-161.6969
1500.000000	73.804	-161.9594
1525.000000	73.913	-162.1879
1550.000000	74.010	-162.3839
1575.000000	74.096	-162.5354
1600.000000	74.183	-162.5775
1625.000000	74.284	-162.5707
1650.000000	74.393	-162.5958
1675.000000	74.496	-162.7098
1700.000000	74.586	-162.9223
1725.000000	74.665	-163.0588
1750.000000	74.743	-163.1081
1775.000000	74.825	-163.2191
1800.000000	74.907	-163.4202
1825.000000	74.991	-163.6339
1850.000000	75.083	-163.8153
1875.000000	75.178	-163.9990
1900.000000	75.268	-164.2238
1925.000000	75.351	-164.4537
1950.000000	75.427	-164.6191
1975.000000	75.502	-164.7415
2000.000000	75.578	-164.9119
2030.000000	75.662	-165.2401
2060.000000	75.731	-165.6843
2090.000000	75.799	-166.1581
2120.000000	75.874	-166.5503
2140.000000	75.928	-166.7644
2180.000000	76.034	-167.1742
2200.000000	76.086	-167.4030
2240.000000	76.182	-167.9477
2270.000000	76.246	-168.4203
2300.000000	76.306	-168.8908
2330.000000	76.360	-169.3286
2360.000000	76.398	-169.7443
2400.000000	76.433	-170.2845
2430.000000	76.464	-170.7326
2470.000000	76.513	-171.4357
2500.000000	76.550	-171.9474
2540.000000	76.595	-172.5043
2580.000000	76.632	-172.9731
2620.000000	76.657	-173.4836
2650.000000	76.664	-173.9023
2690.000000	76.658	-174.4291
2720.000000	76.643	-174.7731
2760.000000	76.619	-175.1979
2800.000000	76.601	-175.6019
2850.000000	76.592	-176.0466
2900.000000	76.600	-176.4472
2950.000000	76.611	-176.7743
3000.000000	76.607	-176.9907
3040.000000	76.593	-177.0481
3070.000000	76.581	-177.0291
3110.000000	76.570	-176.9747
3150.000000	76.563	-176.9296
3200.000000	76.563	-176.9040
3250.000000	76.566	-176.8651
3300.000000	76.569	-176.7724
3350.000000	76.571	-176.6716
3400.000000	76.577	-176.5719
3450.000000	76.593	-176.4371
3500.000000	76.617	-176.2742
3550.000000	76.639	-176.1472
3600.000000	76.664	-176.0494
3650.000000	76.705	-175.9290
3700.000000	76.762	-175.7408
3750.000000	76.821	-175.5005
3820.000000	76.913	-175.2029
3870.000000	76.988	-175.0590
3950.000000	77.108	-175.0021
4000.000000	77.185	-175.0210
4060.000000	77.292	-174.9825
4120.000000	77.414	-174.8837
4180.000000	77.534	-174.7725
4250.000000	77.663	-174.6769
4310.000000	77.775	-174.6717
4370.000000	77.912	-174.7672
4440.000000	78.120	-175.0919
4500.000000	78.343	-175.6641
4550.000000	78.555	-176.4283
4620.000000	78.872	-178.0214
4680.000000	79.128	-179.9446
4750.000000	79.360	177.1338
4820.000000	79.484	173.6541
4870.000000	79.489	170.9924
4940.000000	79.373	167.2693
5000.000000	79.165	164.3011
5080.000000	78.760	160.9197
5150.000000	78.318	158.6242
5220.000000	77.829	156.9818
5300.000000	77.242	155.8260
5380.000000	76.636	155.3412
5450.000000	76.110	155.4081
5520.000000	75.612	155.8483
5600.000000	75.096	156.6877
5700.000000	74.522	158.1672
5800.000000	74.008	160.1038
5900.000000	73.555	162.3633
6000.000000	73.180	164.8723
6080.000000	72.919	167.0236
6150.000000	72.703	168.9406
6220.000000	72.494	170.8627
6300.000000	72.273	173.0999
6400.000000	72.047	175.9977
6500.000000	71.877	179.0242
6600.000000	71.738	-177.8206
6700.000000	71.615	-174.6368
6800.000000	71.520	-171.5118
6900.000000	71.483	-168.4114
7000.000000	71.496	-165.2794
7100.000000	71.555	-162.0378
7200.000000	71.680	-158.6662
7300.000000	71.884	-155.2858
7400.000000	72.153	-152.0511
7500.000000	72.480	-148.9631
7620.000000	72.946	-145.3802
7750.000000	73.505	-141.6558
7880.000000	74.067	-138.1071
8000.000000	74.576	-135.0052
8120.000000	75.096	-132.1819
8250.000000	75.711	-129.5510
8380.000000	76.424	-127.4430
8500.000000	77.193	-126.1352
8620.000000	78.060	-125.6162
8750.000000	79.067	-126.1340
8850.000000	79.845	-127.4713
9000.000000	80.924	-131.2649
9120.000000	81.627	-135.8383
9250.000000	82.154	-141.9595
9380.000000	82.416	-148.5255
9500.000000	82.470	-154.3219
9620.000000	82.393	-159.6618
9750.000000	82.176	-164.8572
9880.000000	81.835	-169.1063
10000.000000	81.459	-171.9670
10150.000000	81.000	-174.2282
10300.000000	80.647	-175.4603
10440.000000	80.462	-176.1790
10600.000000	80.430	-177.1783
10750.000000	80.534	-178.9136
10900.000000	80.691	178.1459
11060.000000	80.808	173.5201
11200.000000	80.774	168.4298
11380.000000	80.461	161.2438
11500.000000	80.073	156.5986
11720.000000	79.059	149.4614
11800.000000	78.622	147.4459
12060.000000	77.073	143.0167
12200.000000	76.213	141.8356
12410.000000	74.942	141.3644
12500.000000	74.414	141.5721
12650.000000	73.568	142.3947
12800.000000	72.770	143.6954
13150.000000	71.068	147.4504
13200.000000	70.840	147.9373
13400.000000	69.968	149.2946
13600.000000	69.163	148.4666
13800.000000	68.436	141.4305
14000.000000	67.758	118.6754
14300.000000	66.702	25.9816
14500.000000	65.911	-66.0096
14750.000000	64.861	-153.9226
15000.000000	63.995	163.8739
15250.000000	63.574	118.9488
15500.000000	63.100	-18.0332
15750.000000	61.860	-28.2141
16000.000000	60.193	-5.1863
16250.000000	59.246	-124.8875
16500.000000	59.321	-104.0767
16750.000000	59.716	136.2593
17000.000000	60.037	141.3950
17250.000000	60.165	25.9912
17500.000000	60.039	150.1094
17750.000000	59.782	129.5488
18000.000000	59.585	31.9355
18250.000000	59.591	52.7598
18500.000000	59.844	175.1016
18750.000000	60.270	-92.5684
19000.000000	60.736	90.6172
19250.000000	61.137	-11.2031
19500.000000	61.388	6.4492
19750.000000	61.435	101.7188
