* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -38.3 dBFS, measurement signal peak level -38.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-May-2023 13:49:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KB Ear Lark R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.444	-91.1049
20.299999	68.484	-94.4302
20.600000	69.612	-93.6755
20.900000	70.817	-90.6815
21.200001	72.007	-87.3603
21.400000	72.721	-85.6523
21.799999	73.878	-83.7253
22.000000	74.288	-83.4348
22.400000	74.753	-83.4731
22.700001	74.817	-83.2846
23.000000	74.686	-82.3105
23.299999	74.427	-80.3356
23.600000	74.117	-77.4424
24.000000	73.755	-72.6825
24.299999	73.602	-69.1427
24.700001	73.590	-65.5166
25.000000	73.687	-64.2933
25.400000	73.860	-65.2258
25.799999	73.963	-69.1384
26.200001	73.909	-75.3776
26.500000	73.750	-80.8325
26.900000	73.411	-88.0476
27.200001	73.124	-92.7038
27.600000	72.817	-97.3385
28.000000	72.730	-100.1658
28.500000	72.975	-101.9085
29.000000	73.449	-102.5850
29.500000	73.965	-102.5092
30.000000	74.447	-101.7188
30.400000	74.800	-100.7534
30.700001	75.039	-99.9915
31.100000	75.305	-99.0971
31.500000	75.498	-98.4178
32.000000	75.631	-97.8660
32.500000	75.666	-97.6193
33.000000	75.643	-97.7693
33.500000	75.594	-98.5092
34.000000	75.526	-99.9927
34.500000	75.432	-102.1276
35.000000	75.315	-104.5663
35.500000	75.216	-106.9042
36.000000	75.189	-108.9961
36.500000	75.249	-110.9424
37.000000	75.355	-112.7946
37.500000	75.465	-114.3724
38.200001	75.624	-115.7117
38.700001	75.773	-116.1503
39.500000	76.039	-116.8524
40.000000	76.158	-117.4921
40.599998	76.228	-118.2294
41.200001	76.262	-118.7173
41.799999	76.315	-119.1154
42.500000	76.407	-119.8819
43.099998	76.464	-120.8689
43.700001	76.476	-121.8665
44.400002	76.462	-122.6750
45.000000	76.472	-123.0623
45.500000	76.505	-123.3647
46.200001	76.563	-124.0105
46.799999	76.587	-124.7946
47.500000	76.578	-125.8185
48.200001	76.551	-126.8655
48.700001	76.536	-127.6301
49.400002	76.532	-128.7138
50.000000	76.554	-129.6421
50.799999	76.622	-130.9225
51.500000	76.698	-132.0459
52.200001	76.779	-132.9938
53.000000	76.892	-133.8103
53.799999	77.007	-134.5851
54.500000	77.068	-135.2886
55.200001	77.086	-135.8903
56.000000	77.084	-136.4747
57.000000	77.070	-137.3251
58.000000	77.051	-138.3378
59.000000	77.051	-139.4538
60.000000	77.071	-140.5603
60.799999	77.106	-141.3518
61.500000	77.146	-142.0347
62.200001	77.177	-142.7399
63.000000	77.189	-143.5191
64.000000	77.175	-144.3883
65.000000	77.153	-145.1653
66.000000	77.148	-145.9022
67.000000	77.177	-146.6947
68.000000	77.228	-147.6160
69.000000	77.270	-148.5732
70.000000	77.293	-149.3788
71.000000	77.310	-149.9752
72.000000	77.334	-150.5100
73.000000	77.355	-151.1376
74.000000	77.361	-151.8613
75.000000	77.358	-152.6470
76.199997	77.343	-153.6393
77.500000	77.317	-154.6046
78.800003	77.314	-155.3759
80.000000	77.340	-156.0974
81.199997	77.372	-156.9297
82.500000	77.394	-157.8696
83.800003	77.410	-158.7446
85.000000	77.428	-159.5240
86.199997	77.441	-160.3060
87.500000	77.445	-160.9846
88.500000	77.461	-161.3063
90.000000	77.519	-161.7170
91.199997	77.551	-162.1416
92.500000	77.531	-162.6090
93.800003	77.458	-163.0283
95.000000	77.368	-163.4601
96.199997	77.281	-164.0505
97.500000	77.208	-164.9024
98.800003	77.165	-165.8594
100.000000	77.153	-166.6650
101.500000	77.167	-167.4159
103.000000	77.194	-167.9276
104.400002	77.208	-168.3312
106.000000	77.200	-168.8246
107.500000	77.183	-169.3622
109.000000	77.168	-169.9661
110.599998	77.154	-170.6219
