* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 16:22:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ AM16 BI L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.046	-160.8698
20.600000	71.034	-161.3408
20.900000	71.019	-161.9320
21.200001	71.003	-162.5674
21.400000	70.992	-163.0012
21.799999	70.971	-163.8799
22.000000	70.960	-164.3209
22.400000	70.941	-165.1966
22.700001	70.927	-165.8409
23.000000	70.913	-166.4706
23.299999	70.900	-167.0851
23.600000	70.887	-167.6863
24.000000	70.869	-168.4726
24.299999	70.854	-169.0543
24.700001	70.834	-169.8218
25.000000	70.818	-170.3911
25.400000	70.796	-171.1396
25.799999	70.774	-171.8730
26.200001	70.751	-172.5882
26.500000	70.733	-173.1116
26.900000	70.708	-173.7923
27.200001	70.689	-174.2909
27.600000	70.663	-174.9427
28.000000	70.637	-175.5833
28.500000	70.604	-176.3720
29.000000	70.572	-177.1476
29.500000	70.539	-177.9071
30.000000	70.507	-178.6483
30.400000	70.481	-179.2290
30.700001	70.462	-179.6587
31.100000	70.435	179.7749
31.500000	70.409	179.2147
32.000000	70.376	178.5228
32.500000	70.343	177.8406
33.000000	70.311	177.1674
33.500000	70.279	176.5014
34.000000	70.247	175.8407
34.500000	70.217	175.1861
35.000000	70.185	174.5404
35.500000	70.153	173.9069
36.000000	70.122	173.2863
36.500000	70.090	172.6766
37.000000	70.059	172.0751
37.500000	70.027	171.4803
38.200001	69.979	170.6603
38.700001	69.944	170.0854
39.500000	69.888	169.1867
40.000000	69.854	168.6389
40.599998	69.815	167.9971
41.200001	69.778	167.3733
41.799999	69.742	166.7669
42.500000	69.698	166.0760
43.099998	69.659	165.4909
43.700001	69.617	164.9080
44.400002	69.569	164.2279
45.000000	69.528	163.6454
45.500000	69.493	163.1623
46.200001	69.443	162.4942
46.799999	69.401	161.9331
47.500000	69.354	161.2945
48.200001	69.312	160.6753
48.700001	69.285	160.2449
49.400002	69.247	159.6552
50.000000	69.211	159.1568
50.799999	69.151	158.5010
51.500000	69.091	157.9384
52.200001	69.031	157.3859
53.000000	68.966	156.7625
53.799999	68.903	156.1469
54.500000	68.851	155.6163
55.200001	68.800	155.0937
56.000000	68.741	154.5067
57.000000	68.667	153.7913
58.000000	68.591	153.0939
59.000000	68.515	152.4066
60.000000	68.439	151.7260
60.799999	68.379	151.1902
61.500000	68.326	150.7312
62.200001	68.275	150.2831
63.000000	68.217	149.7842
64.000000	68.145	149.1771
65.000000	68.072	148.5830
66.000000	67.999	147.9984
67.000000	67.924	147.4258
68.000000	67.847	146.8688
69.000000	67.768	146.3270
70.000000	67.688	145.7986
71.000000	67.609	145.2821
72.000000	67.533	144.7747
73.000000	67.459	144.2732
74.000000	67.386	143.7775
75.000000	67.312	143.2910
76.199997	67.221	142.7249
77.500000	67.120	142.1350
78.800003	67.019	141.5693
80.000000	66.925	141.0689
81.199997	66.831	140.5884
82.500000	66.731	140.0879
83.800003	66.632	139.6074
85.000000	66.542	139.1818
86.199997	66.453	138.7719
87.500000	66.357	138.3419
88.500000	66.283	138.0189
90.000000	66.173	137.5426
91.199997	66.085	137.1663
92.500000	65.991	136.7661
93.800003	65.897	136.3737
95.000000	65.811	136.0131
96.199997	65.723	135.6506
97.500000	65.625	135.2571
98.800003	65.527	134.8672
100.000000	65.436	134.5159
101.500000	65.324	134.0948
103.000000	65.214	133.6975
104.400002	65.110	133.3480
106.000000	64.989	132.9725
107.500000	64.874	132.6414
109.000000	64.759	132.3309
110.599998	64.636	132.0258
112.000000	64.529	131.7798
113.800003	64.390	131.4832
115.000000	64.298	131.2942
117.199997	64.130	130.9688
118.000000	64.069	130.8576
120.599998	63.874	130.5182
122.000000	63.770	130.3520
124.099998	63.616	130.1332
125.000000	63.550	130.0500
126.500000	63.440	129.9223
128.000000	63.329	129.8068
131.500000	63.075	129.5932
132.000000	63.039	129.5694
134.000000	62.895	129.4886
136.000000	62.753	129.4290
138.000000	62.609	129.3868
140.000000	62.466	129.3641
143.000000	62.254	129.3715
145.000000	62.115	129.4046
147.500000	61.943	129.4754
150.000000	61.775	129.5702
152.500000	61.610	129.6814
155.000000	61.448	129.8142
157.500000	61.286	129.9787
160.000000	61.125	130.1774
162.500000	60.970	130.4075
165.000000	60.820	130.6668
167.500000	60.675	130.9504
170.000000	60.531	131.2518
172.500000	60.388	131.5699
175.000000	60.246	131.9009
177.500000	60.102	132.2472
180.000000	59.950	132.6201
182.500000	59.790	133.0395
185.000000	59.619	133.5223
187.500000	59.440	134.0684
190.000000	59.260	134.6761
192.500000	59.090	135.3501
195.000000	58.940	136.0952
197.500000	58.817	136.9086
200.000000	58.723	137.7704
203.000000	58.649	138.8194
206.000000	58.615	139.8209
209.000000	58.610	140.7164
212.000000	58.614	141.4728
214.000000	58.616	141.8942
218.000000	58.605	142.5459
220.000000	58.589	142.7924
224.000000	58.533	143.1995
227.000000	58.471	143.4883
230.000000	58.397	143.8010
233.000000	58.317	144.1504
236.000000	58.236	144.5358
240.000000	58.130	145.0953
243.000000	58.052	145.5468
247.000000	57.948	146.1876
250.000000	57.872	146.6919
254.000000	57.778	147.3885
258.000000	57.689	148.1085
262.000000	57.605	148.8506
265.000000	57.545	149.4196
269.000000	57.472	150.1852
272.000000	57.420	150.7595
276.000000	57.356	151.5223
280.000000	57.297	152.2803
285.000000	57.229	153.2196
290.000000	57.168	154.1558
295.000000	57.113	155.0914
300.000000	57.064	156.0219
304.000000	57.028	156.7568
307.000000	57.003	157.3018
311.000000	56.973	158.0195
315.000000	56.946	158.7241
320.000000	56.918	159.5849
325.000000	56.896	160.4245
330.000000	56.880	161.2448
335.000000	56.870	162.0486
340.000000	56.868	162.8337
345.000000	56.871	163.5955
350.000000	56.874	164.3250
355.000000	56.874	165.0136
360.000000	56.873	165.6631
365.000000	56.874	166.2799
370.000000	56.874	166.8730
375.000000	56.871	167.4547
382.000000	56.863	168.2733
387.000000	56.858	168.8733
395.000000	56.857	169.8691
400.000000	56.862	170.5095
406.000000	56.875	171.2836
412.000000	56.896	172.0410
