* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 16:22:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ AM16 BI L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.051	-160.7812
20.600000	71.040	-161.2583
20.900000	71.024	-161.8551
21.200001	71.008	-162.4947
21.400000	70.998	-162.9313
21.799999	70.977	-163.8181
22.000000	70.967	-164.2652
22.400000	70.949	-165.1566
22.700001	70.935	-165.8132
23.000000	70.921	-166.4530
23.299999	70.908	-167.0736
23.600000	70.895	-167.6768
24.000000	70.877	-168.4610
24.299999	70.863	-169.0392
24.700001	70.843	-169.8006
25.000000	70.827	-170.3638
25.400000	70.806	-171.1013
25.799999	70.785	-171.8204
26.200001	70.763	-172.5210
26.500000	70.747	-173.0358
26.900000	70.724	-173.7096
27.200001	70.706	-174.2065
27.600000	70.681	-174.8588
28.000000	70.655	-175.5012
28.500000	70.624	-176.2958
29.000000	70.593	-177.0861
29.500000	70.562	-177.8711
30.000000	70.532	-178.6420
30.400000	70.507	-179.2422
30.700001	70.488	-179.6815
31.100000	70.464	179.7462
31.500000	70.439	179.1854
32.000000	70.408	178.4946
32.500000	70.378	177.8112
33.000000	70.348	177.1348
33.500000	70.317	176.4669
34.000000	70.287	175.8093
34.500000	70.257	175.1639
35.000000	70.226	174.5328
35.500000	70.194	173.9166
36.000000	70.162	173.3126
36.500000	70.131	172.7165
37.000000	70.100	172.1249
37.500000	70.068	171.5375
38.200001	70.023	170.7250
38.700001	69.990	170.1538
39.500000	69.935	169.2576
40.000000	69.900	168.7097
40.599998	69.858	168.0650
41.200001	69.819	167.4332
41.799999	69.781	166.8125
42.500000	69.739	166.1021
43.099998	69.701	165.5052
43.700001	69.662	164.9185
44.400002	69.615	164.2440
45.000000	69.575	163.6724
45.500000	69.541	163.2003
46.200001	69.494	162.5472
46.799999	69.453	161.9972
47.500000	69.407	161.3690
48.200001	69.365	160.7539
48.700001	69.338	160.3206
49.400002	69.300	159.7204
50.000000	69.264	159.2127
50.799999	69.205	158.5475
51.500000	69.148	157.9769
52.200001	69.091	157.4156
53.000000	69.028	156.7855
53.799999	68.968	156.1696
54.500000	68.918	155.6423
55.200001	68.868	155.1238
56.000000	68.810	154.5417
57.000000	68.736	153.8309
58.000000	68.662	153.1345
59.000000	68.587	152.4452
60.000000	68.513	151.7668
60.799999	68.454	151.2373
61.500000	68.403	150.7847
62.200001	68.352	150.3404
63.000000	68.294	149.8402
64.000000	68.223	149.2246
65.000000	68.152	148.6213
66.000000	68.081	148.0320
67.000000	68.009	147.4566
68.000000	67.934	146.8945
69.000000	67.857	146.3470
70.000000	67.778	145.8143
71.000000	67.700	145.2947
72.000000	67.624	144.7865
73.000000	67.549	144.2892
74.000000	67.476	143.8047
75.000000	67.402	143.3344
76.199997	67.312	142.7859
77.500000	67.213	142.2065
78.800003	67.114	141.6428
80.000000	67.022	141.1402
81.199997	66.929	140.6577
82.500000	66.829	140.1584
83.800003	66.731	139.6814
85.000000	66.640	139.2552
86.199997	66.550	138.8376
87.500000	66.451	138.3932
88.500000	66.375	138.0573
90.000000	66.263	137.5589
91.199997	66.177	137.1604
92.500000	66.089	136.7300
93.800003	66.003	136.3126
95.000000	65.922	135.9474
96.199997	65.838	135.5991
97.500000	65.742	135.2344
98.800003	65.641	134.8707
100.000000	65.548	134.5293
101.500000	65.434	134.1101
103.000000	65.324	133.7194
104.400002	65.220	133.3783
106.000000	65.098	133.0065
107.500000	64.984	132.6772
109.000000	64.869	132.3737
110.599998	64.745	132.0713
112.000000	64.637	131.8151
113.800003	64.501	131.5027
115.000000	64.409	131.3093
117.199997	64.241	130.9852
118.000000	64.181	130.8766
120.599998	63.988	130.5394
122.000000	63.883	130.3704
124.099998	63.727	130.1539
125.000000	63.661	130.0753
126.500000	63.552	129.9559
128.000000	63.443	129.8431
131.500000	63.185	129.6078
132.000000	63.148	129.5825
134.000000	63.000	129.5115
136.000000	62.855	129.4803
138.000000	62.714	129.4670
140.000000	62.575	129.4564
143.000000	62.371	129.4521
145.000000	62.237	129.4679
147.500000	62.071	129.5079
150.000000	61.908	129.5660
152.500000	61.747	129.6496
155.000000	61.586	129.7789
157.500000	61.425	129.9653
160.000000	61.267	130.1954
162.500000	61.112	130.4494
165.000000	60.959	130.7200
167.500000	60.807	131.0015
170.000000	60.656	131.2855
172.500000	60.509	131.5698
175.000000	60.366	131.8759
177.500000	60.222	132.2308
180.000000	60.071	132.6379
182.500000	59.911	133.0936
185.000000	59.742	133.6000
187.500000	59.564	134.1633
190.000000	59.385	134.7955
192.500000	59.217	135.5040
195.000000	59.071	136.2847
197.500000	58.952	137.1284
200.000000	58.864	138.0105
203.000000	58.801	139.0570
206.000000	58.777	140.0217
209.000000	58.780	140.8517
212.000000	58.790	141.5237
214.000000	58.791	141.8858
218.000000	58.769	142.4385
220.000000	58.745	142.6557
224.000000	58.671	143.0471
227.000000	58.601	143.3505
230.000000	58.522	143.6839
233.000000	58.440	144.0522
236.000000	58.358	144.4534
240.000000	58.251	145.0292
243.000000	58.170	145.4879
247.000000	58.063	146.1352
250.000000	57.985	146.6438
254.000000	57.888	147.3455
258.000000	57.797	148.0696
262.000000	57.711	148.8131
265.000000	57.650	149.3806
269.000000	57.575	150.1447
272.000000	57.523	150.7198
276.000000	57.458	151.4857
280.000000	57.398	152.2496
285.000000	57.329	153.2027
290.000000	57.266	154.1510
295.000000	57.210	155.0911
300.000000	57.160	156.0195
304.000000	57.123	156.7501
307.000000	57.098	157.2900
311.000000	57.068	158.0004
315.000000	57.041	158.7010
320.000000	57.012	159.5642
325.000000	56.990	160.4105
330.000000	56.972	161.2366
335.000000	56.961	162.0476
340.000000	56.957	162.8433
345.000000	56.960	163.6128
350.000000	56.963	164.3448
355.000000	56.963	165.0340
360.000000	56.962	165.6793
365.000000	56.962	166.2879
370.000000	56.961	166.8744
375.000000	56.957	167.4541
382.000000	56.947	168.2763
387.000000	56.941	168.8803
395.000000	56.938	169.8809
400.000000	56.942	170.5258
406.000000	56.953	171.3046
412.000000	56.971	172.0644
418.000000	56.995	172.7812
425.000000	57.029	173.5479
431.000000	57.060	174.1476
437.000000	57.089	174.7060
444.000000	57.123	175.3159
450.000000	57.154	175.8043
455.000000	57.181	176.1859
462.000000	57.221	176.6837
468.000000	57.253	177.0856
475.000000	57.289	177.5386
482.000000	57.322	177.9813
487.000000	57.343	178.2898
494.000000	57.371	178.7062
500.000000	57.394	179.0473
508.000000	57.424	179.4802
515.000000	57.449	179.8419
522.000000	57.471	-179.8056
530.000000	57.492	-179.4079
538.000000	57.510	-179.0115
545.000000	57.524	-178.6647
552.000000	57.538	-178.3187
560.000000	57.555	-177.9250
570.000000	57.575	-177.4377
580.000000	57.595	-176.9590
590.000000	57.612	-176.4881
600.000000	57.626	-176.0227
608.000000	57.634	-175.6506
615.000000	57.640	-175.3232
622.000000	57.647	-174.9937
630.000000	57.653	-174.6153
640.000000	57.662	-174.1387
650.000000	57.671	-173.6555
660.000000	57.683	-173.1652
670.000000	57.697	-172.6674
680.000000	57.710	-172.1630
690.000000	57.722	-171.6565
700.000000	57.734	-171.1533
710.000000	57.748	-170.6585
720.000000	57.761	-170.1692
730.000000	57.775	-169.6771
740.000000	57.789	-169.1783
750.000000	57.803	-168.6733
762.000000	57.822	-168.0572
775.000000	57.843	-167.3791
788.000000	57.867	-166.6970
800.000000	57.894	-166.0704
812.000000	57.923	-165.4513
825.000000	57.956	-164.7902
838.000000	57.990	-164.1414
850.000000	58.024	-163.5552
862.000000	58.061	-162.9797
875.000000	58.104	-162.3685
885.000000	58.140	-161.9084
900.000000	58.194	-161.2354
912.000000	58.237	-160.7115
925.000000	58.285	-160.1598
938.000000	58.335	-159.6265
950.000000	58.382	-159.1503
962.000000	58.431	-158.6905
975.000000	58.485	-158.2129
988.000000	58.542	-157.7583
1000.000000	58.596	-157.3624
1015.000000	58.664	-156.9042
1030.000000	58.731	-156.4853
1044.000000	58.794	-156.1270
1060.000000	58.864	-155.7533
1075.000000	58.928	-155.4336
1090.000000	58.989	-155.1380
1106.000000	59.051	-154.8455
1120.000000	59.105	-154.6076
1138.000000	59.173	-154.3256
1150.000000	59.218	-154.1512
1172.000000	59.297	-153.8553
1180.000000	59.325	-153.7541
1206.000000	59.417	-153.4370
1220.000000	59.469	-153.2669
1241.000000	59.556	-153.0028
1250.000000	59.596	-152.8846
1265.000000	59.669	-152.6796
1280.000000	59.746	-152.4640
1315.000000	59.902	-151.9131
1320.000000	59.917	-151.8286
1340.000000	59.950	-151.4759
1360.000000	59.935	-151.1010
1380.000000	59.884	-150.7056
1400.000000	59.819	-150.2884
1430.000000	59.744	-149.6203
1450.000000	59.724	-149.1530
1475.000000	59.732	-148.5492
1500.000000	59.768	-147.9225
1525.000000	59.822	-147.2709
1550.000000	59.885	-146.5917
1575.000000	59.953	-145.8829
1600.000000	60.023	-145.1487
