* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05-Apr-2025 17:34:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Carol L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.835	-140.5509
20.600000	63.904	-141.0725
20.900000	63.989	-141.7688
21.200001	64.075	-142.5573
21.400000	64.130	-143.1064
21.799999	64.230	-144.1989
22.000000	64.277	-144.7204
22.400000	64.370	-145.6850
22.700001	64.444	-146.3434
23.000000	64.524	-146.9700
23.299999	64.608	-147.5950
23.600000	64.695	-148.2445
24.000000	64.804	-149.1682
24.299999	64.877	-149.8960
24.700001	64.963	-150.8773
25.000000	65.019	-151.5941
25.400000	65.091	-152.4980
25.799999	65.162	-153.3395
26.200001	65.237	-154.1365
26.500000	65.293	-154.7186
26.900000	65.365	-155.4852
27.200001	65.417	-156.0550
27.600000	65.482	-156.8082
28.000000	65.544	-157.5595
28.500000	65.623	-158.5176
29.000000	65.704	-159.5200
29.500000	65.784	-160.5639
30.000000	65.862	-161.6155
30.400000	65.923	-162.4385
30.700001	65.967	-163.0397
31.100000	66.026	-163.8225
31.500000	66.082	-164.5909
32.000000	66.146	-165.5398
32.500000	66.203	-166.4767
33.000000	66.253	-167.3989
33.500000	66.300	-168.3064
34.000000	66.348	-169.2036
34.500000	66.400	-170.0952
35.000000	66.453	-170.9821
35.500000	66.507	-171.8602
36.000000	66.558	-172.7224
36.500000	66.606	-173.5656
37.000000	66.653	-174.3986
37.500000	66.698	-175.2396
38.200001	66.758	-176.4557
38.700001	66.801	-177.3497
39.500000	66.868	-178.7930
40.000000	66.907	-179.6826
40.599998	66.947	179.2902
41.200001	66.981	178.3315
41.799999	67.015	177.4411
42.500000	67.058	176.4487
43.099998	67.096	175.6022
43.700001	67.133	174.7411
44.400002	67.172	173.6979
45.000000	67.202	172.7545
45.500000	67.226	171.9336
46.200001	67.262	170.7618
46.799999	67.298	169.7856
47.500000	67.348	168.7361
48.200001	67.406	167.7758
48.700001	67.448	167.1011
49.400002	67.492	166.1225
50.000000	67.510	165.2593
50.799999	67.512	164.1310
51.500000	67.512	163.1776
52.200001	67.516	162.2410
53.000000	67.520	161.2064
53.799999	67.523	160.2247
54.500000	67.532	159.3708
55.200001	67.550	158.4671
56.000000	67.579	157.3488
57.000000	67.611	155.8969
58.000000	67.635	154.5173
59.000000	67.655	153.2169
60.000000	67.672	151.9395
60.799999	67.683	150.9346
61.500000	67.693	150.0649
62.200001	67.703	149.1932
63.000000	67.714	148.1843
64.000000	67.722	146.9031
65.000000	67.728	145.6312
66.000000	67.739	144.3907
67.000000	67.757	143.1486
68.000000	67.769	141.9019
69.000000	67.767	140.7009
70.000000	67.759	139.5728
71.000000	67.760	138.4863
72.000000	67.772	137.3868
73.000000	67.784	136.2624
74.000000	67.788	135.1362
75.000000	67.784	134.0141
76.199997	67.772	132.6607
77.500000	67.748	131.2004
78.800003	67.717	129.7756
80.000000	67.694	128.5244
81.199997	67.681	127.3407
82.500000	67.671	126.0249
83.800003	67.661	124.6093
85.000000	67.655	123.2649
86.199997	67.644	121.9416
87.500000	67.625	120.5297
88.500000	67.613	119.4660
90.000000	67.605	117.9455
91.199997	67.597	116.7646
92.500000	67.581	115.4552
93.800003	67.559	114.1044
95.000000	67.535	112.8440
96.199997	67.511	111.5843
97.500000	67.483	110.2343
98.800003	67.448	108.9214
100.000000	67.410	107.7555
101.500000	67.361	106.3447
103.000000	67.314	104.9219
104.400002	67.275	103.5475
106.000000	67.235	101.9352
107.500000	67.195	100.4325
109.000000	67.145	98.9852
110.599998	67.079	97.4421
112.000000	67.018	96.0308
113.800003	66.950	94.1619
115.000000	66.911	92.9293
117.199997	66.841	90.7635
118.000000	66.815	90.0099
120.599998	66.726	87.6656
122.000000	66.665	86.4000
124.099998	66.548	84.4164
125.000000	66.493	83.5355
126.500000	66.405	82.0233
128.000000	66.329	80.4684
131.500000	66.151	76.8733
132.000000	66.122	76.3766
134.000000	65.986	74.4374
136.000000	65.829	72.5513
138.000000	65.660	70.7016
140.000000	65.492	68.8936
143.000000	65.229	66.1847
145.000000	65.030	64.3878
147.500000	64.749	62.1911
150.000000	64.454	60.0097
152.500000	64.143	57.8611
155.000000	63.798	55.9298
157.500000	63.413	54.3733
160.000000	62.991	53.1742
162.500000	62.550	52.2625
165.000000	62.094	51.6848
167.500000	61.638	51.5679
170.000000	61.201	52.0062
172.500000	60.802	53.0228
175.000000	60.456	54.5764
177.500000	60.201	56.5333
180.000000	60.060	58.6885
182.500000	60.022	60.8271
185.000000	60.059	62.7474
187.500000	60.153	64.2661
190.000000	60.297	65.2829
192.500000	60.478	65.8381
195.000000	60.683	66.0258
