* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Sep-2024 09:22:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Carol R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.088	21.4447
20.600000	85.207	19.6438
20.900000	85.362	17.4215
21.200001	85.535	15.1004
21.400000	85.657	13.5645
21.799999	85.907	10.5781
22.000000	86.033	9.1340
22.400000	86.283	6.3381
22.700001	86.462	4.3092
23.000000	86.633	2.3228
23.299999	86.793	0.3625
23.600000	86.942	-1.5879
24.000000	87.127	-4.1965
24.299999	87.256	-6.1697
24.700001	87.419	-8.8265
25.000000	87.537	-10.8344
25.400000	87.692	-13.5235
25.799999	87.845	-16.2202
26.200001	87.997	-18.9238
26.500000	88.107	-20.9551
26.900000	88.246	-23.6619
27.200001	88.343	-25.6820
27.600000	88.463	-28.3488
28.000000	88.577	-30.9791
28.500000	88.717	-34.2327
29.000000	88.860	-37.4903
29.500000	89.007	-40.7797
30.000000	89.150	-44.0768
30.400000	89.261	-46.6791
30.700001	89.343	-48.5908
31.100000	89.452	-51.0785
31.500000	89.562	-53.5069
32.000000	89.701	-56.5003
32.500000	89.834	-59.4940
33.000000	89.958	-62.5081
33.500000	90.071	-65.5254
34.000000	90.176	-68.5108
34.500000	90.280	-71.4377
35.000000	90.387	-74.3044
35.500000	90.495	-77.1319
36.000000	90.602	-79.9483
36.500000	90.703	-82.7702
37.000000	90.798	-85.5957
37.500000	90.889	-88.4123
38.200001	91.016	-92.3249
38.700001	91.106	-95.0988
39.500000	91.244	-99.5048
40.000000	91.323	-102.2323
40.599998	91.411	-105.4739
41.200001	91.494	-108.6884
41.799999	91.572	-111.8859
42.500000	91.655	-115.6007
43.099998	91.720	-118.7777
43.700001	91.786	-121.9601
