* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Sep-2024 13:04:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Carol ANC on
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.742	-21.7088
20.600000	72.775	-24.0945
20.900000	72.812	-27.1365
21.200001	72.846	-30.4398
21.400000	72.868	-32.6940
21.799999	72.915	-37.1961
22.000000	72.944	-39.4033
22.400000	73.019	-43.6585
22.700001	73.091	-46.6759
23.000000	73.173	-49.5309
23.299999	73.259	-52.2264
23.600000	73.344	-54.7747
24.000000	73.445	-57.9773
24.299999	73.511	-60.2662
24.700001	73.584	-63.2269
25.000000	73.634	-65.4209
25.400000	73.698	-68.3628
25.799999	73.765	-71.3516
26.200001	73.839	-74.3791
26.500000	73.901	-76.6531
26.900000	73.992	-79.6569
27.200001	74.065	-81.8747
27.600000	74.166	-84.7831
28.000000	74.267	-87.6486
28.500000	74.387	-91.1921
29.000000	74.498	-94.6950
29.500000	74.608	-98.1373
30.000000	74.731	-101.5076
30.400000	74.842	-104.1643
30.700001	74.933	-106.1473
31.100000	75.061	-108.7953
31.500000	75.191	-111.4593
32.000000	75.353	-114.8149
32.500000	75.511	-118.1900
33.000000	75.672	-121.5799
33.500000	75.839	-124.9941
34.000000	76.012	-128.4482
34.500000	76.185	-131.9455
35.000000	76.350	-135.4685
35.500000	76.508	-138.9892
36.000000	76.658	-142.4897
36.500000	76.806	-145.9742
37.000000	76.952	-149.4623
37.500000	77.094	-152.9724
38.200001	77.279	-157.9294
38.700001	77.403	-161.4845
39.500000	77.587	-167.1518
40.000000	77.698	-170.6646
40.599998	77.826	-174.8596
41.200001	77.948	-179.0714
41.799999	78.063	176.6528
42.500000	78.188	171.5624
43.099998	78.288	167.1448
43.700001	78.387	162.7328
44.400002	78.501	157.6595
45.000000	78.596	153.4046
45.500000	78.673	149.9199
46.200001	78.775	145.0930
46.799999	78.857	140.9642
47.500000	78.942	136.1331
48.200001	79.021	131.2792
48.700001	79.074	127.7949
49.400002	79.143	122.9036
50.000000	79.194	118.7327
50.799999	79.252	113.2631
51.500000	79.296	108.5699
52.200001	79.335	103.9244
53.000000	79.372	98.6185
53.799999	79.400	93.2907
54.500000	79.417	88.6351
55.200001	79.428	84.0355
56.000000	79.444	78.8766
57.000000	79.474	72.5114
58.000000	79.504	66.1426
59.000000	79.525	59.7853
60.000000	79.536	53.5078
60.799999	79.537	48.5715
61.500000	79.536	44.3130
62.200001	79.537	40.0822
63.000000	79.543	35.2380
64.000000	79.552	29.1590
65.000000	79.558	23.1211
66.000000	79.556	17.1741
67.000000	79.542	11.3183
68.000000	79.524	5.5360
69.000000	79.509	-0.1967
70.000000	79.497	-5.8944
71.000000	79.480	-11.5546
72.000000	79.458	-17.1758
73.000000	79.432	-22.7844
74.000000	79.402	-28.4069
75.000000	79.369	-34.0204
76.199997	79.337	-40.6808
77.500000	79.312	-47.8067
78.800003	79.284	-54.9123
80.000000	79.258	-61.4561
81.199997	79.240	-67.9604
82.500000	79.226	-74.9979
83.800003	79.210	-82.0560
85.000000	79.188	-88.5160
86.199997	79.158	-94.8700
87.500000	79.120	-101.6974
88.500000	79.092	-106.9658
90.000000	79.051	-114.8926
91.199997	79.014	-121.2192
92.500000	78.970	-128.0394
93.800003	78.926	-134.7897
95.000000	78.890	-140.9418
96.199997	78.855	-147.0396
97.500000	78.821	-153.6164
98.800003	78.793	-160.1622
100.000000	78.770	-166.1598
101.500000	78.736	-173.6432
103.000000	78.690	178.8053
104.400002	78.646	171.6992
106.000000	78.603	163.5972
107.500000	78.563	156.0855
109.000000	78.510	148.6620
110.599998	78.440	140.7866
112.000000	78.374	133.9136
113.800003	78.290	125.0523
115.000000	78.237	119.0933
117.199997	78.147	108.0925
118.000000	78.114	104.0844
120.599998	77.995	91.1125
122.000000	77.919	84.2007
124.099998	77.794	73.9537
125.000000	77.738	69.6077
126.500000	77.646	62.4056
128.000000	77.552	55.2258
131.500000	77.331	38.4978
132.000000	77.298	36.1140
134.000000	77.159	26.5881
136.000000	77.002	17.0463
138.000000	76.827	7.4956
140.000000	76.636	-1.9974
143.000000	76.330	-16.0397
145.000000	76.112	-25.2968
147.500000	75.819	-36.7020
150.000000	75.498	-47.9019
152.500000	75.141	-58.9601
155.000000	74.739	-69.9001
157.500000	74.309	-80.5940
160.000000	73.857	-90.7844
162.500000	73.380	-100.3667
165.000000	72.895	-109.4886
167.500000	72.429	-118.2405
170.000000	71.995	-126.5464
172.500000	71.609	-134.3959
175.000000	71.295	-141.8873
177.500000	71.072	-149.1824
180.000000	70.944	-156.4338
182.500000	70.909	-163.7007
185.000000	70.958	-171.0204
187.500000	71.080	-178.5023
190.000000	71.254	173.7030
192.500000	71.461	165.5266
195.000000	71.681	156.9634
197.500000	71.897	148.0129
200.000000	72.102	138.7172
203.000000	72.333	127.2388
206.000000	72.545	115.5171
209.000000	72.735	103.6338
212.000000	72.897	91.6973
214.000000	72.983	83.7385
218.000000	73.100	67.8091
220.000000	73.137	59.8380
224.000000	73.179	43.8885
227.000000	73.186	31.9479
230.000000	73.172	20.0371
233.000000	73.141	8.1517
236.000000	73.097	-3.6956
240.000000	73.025	-19.3760
243.000000	72.957	-31.0245
247.000000	72.848	-46.3713
250.000000	72.755	-57.7307
254.000000	72.620	-72.7661
258.000000	72.480	-87.6306
262.000000	72.326	-102.3328
265.000000	72.202	-113.3136
269.000000	72.036	-127.8682
272.000000	71.914	-138.6902
276.000000	71.758	-152.9602
280.000000	71.609	-167.0342
285.000000	71.420	175.5348
290.000000	71.233	158.2241
295.000000	71.060	141.1157
300.000000	70.903	124.2054
304.000000	70.787	110.7319
307.000000	70.706	100.6348
311.000000	70.610	87.2135
315.000000	70.527	73.8859
320.000000	70.439	57.3530
325.000000	70.362	40.9270
330.000000	70.309	24.6536
335.000000	70.280	8.5166
340.000000	70.263	-7.6013
345.000000	70.254	-23.7292
350.000000	70.256	-39.8228
355.000000	70.271	-55.8647
360.000000	70.294	-71.8953
365.000000	70.324	-87.9757
370.000000	70.358	-104.1301
375.000000	70.390	-120.3341
382.000000	70.433	-143.0547
387.000000	70.468	-159.3079
395.000000	70.525	174.6653
400.000000	70.561	158.4791
406.000000	70.609	139.1849
412.000000	70.657	119.9635
418.000000	70.695	100.7629
425.000000	70.722	78.3026
431.000000	70.739	59.0046
437.000000	70.755	39.7378
444.000000	70.779	17.3213
450.000000	70.804	-1.7400
455.000000	70.819	-17.4753
462.000000	70.821	-39.4363
468.000000	70.806	-58.3091
475.000000	70.787	-80.2881
482.000000	70.776	-102.0889
487.000000	70.775	-117.5725
494.000000	70.780	-139.1699
500.000000	70.782	-157.6157
508.000000	70.777	177.8308
515.000000	70.771	156.3560
522.000000	70.768	134.9053
530.000000	70.773	110.5359
538.000000	70.778	86.4319
545.000000	70.774	65.4670
552.000000	70.764	44.5315
560.000000	70.750	20.6265
570.000000	70.731	-9.1177
580.000000	70.709	-38.5398
590.000000	70.682	-67.6572
600.000000	70.640	-96.7180
608.000000	70.595	-119.9517
615.000000	70.555	-140.1423
622.000000	70.521	-160.1489
630.000000	70.502	177.2217
640.000000	70.507	149.4946
650.000000	70.523	122.5964
660.000000	70.532	96.1470
670.000000	70.528	69.5906
680.000000	70.518	42.8826
690.000000	70.501	16.3638
700.000000	70.471	-9.8562
710.000000	70.428	-36.0312
720.000000	70.390	-62.2202
730.000000	70.371	-88.2068
740.000000	70.370	-113.9724
750.000000	70.376	-139.6055
762.000000	70.390	-170.2986
775.000000	70.402	156.8623
788.000000	70.367	124.5339
800.000000	70.296	94.7607
812.000000	70.215	65.0127
825.000000	70.128	33.0608
838.000000	70.080	1.5286
850.000000	70.091	-27.4565
862.000000	70.133	-56.4424
875.000000	70.191	-87.7959
885.000000	70.236	-111.8079
900.000000	70.298	-147.5093
912.000000	70.339	-175.7673
925.000000	70.375	153.8530
938.000000	70.416	123.6238
950.000000	70.461	95.8218
962.000000	70.512	68.0071
975.000000	70.573	37.8174
988.000000	70.639	7.8291
1000.000000	70.704	-19.5615
1015.000000	70.796	-53.5476
1030.000000	70.906	-87.3062
1044.000000	71.012	-118.6174
1060.000000	71.120	-154.2524
1075.000000	71.207	172.4004
1090.000000	71.292	139.2122
1106.000000	71.381	104.1375
1120.000000	71.450	73.6553
1138.000000	71.530	34.7200
1150.000000	71.584	9.0439
1172.000000	71.684	-37.4731
1180.000000	71.720	-54.2422
1206.000000	71.815	-108.2522
1220.000000	71.851	-137.1978
1241.000000	71.890	179.4932
1250.000000	71.903	161.0315
1265.000000	71.926	130.3765
1280.000000	71.953	99.8796
1315.000000	72.012	29.6245
1320.000000	72.017	19.6631
1340.000000	72.027	-20.0811
1360.000000	72.036	-59.5615
1380.000000	72.049	-98.5967
1400.000000	72.064	-137.3301
1430.000000	72.093	164.6333
1450.000000	72.119	125.9565
1475.000000	72.155	77.8027
1500.000000	72.183	29.9683
1525.000000	72.209	-17.4902
1550.000000	72.252	-64.4136
1575.000000	72.319	-110.8638
1600.000000	72.407	-156.8813
1625.000000	72.495	157.7539
1650.000000	72.565	112.8013
1675.000000	72.620	67.7266
1700.000000	72.674	22.6504
1725.000000	72.728	-22.1021
1750.000000	72.792	-66.4116
1775.000000	72.871	-109.9043
1800.000000	72.961	-152.4482
1825.000000	73.055	165.7852
1850.000000	73.151	124.3735
1875.000000	73.248	82.9810
1900.000000	73.342	41.6113
1925.000000	73.439	0.3389
1950.000000	73.542	-40.8306
1975.000000	73.651	-81.9629
2000.000000	73.761	-123.0791
2030.000000	73.900	-172.0171
2060.000000	74.045	139.7358
2090.000000	74.191	91.5562
2120.000000	74.337	43.5244
2140.000000	74.438	11.9761
2180.000000	74.653	-50.9468
2200.000000	74.774	-82.4272
2240.000000	75.037	-144.2871
2270.000000	75.240	169.8013
2300.000000	75.451	123.7920
2330.000000	75.671	78.1343
2360.000000	75.896	32.9697
2400.000000	76.203	-26.7021
2430.000000	76.440	-70.8262
2470.000000	76.763	-128.5801
2500.000000	77.000	-171.4077
2540.000000	77.302	131.2935
2580.000000	77.594	74.0063
2620.000000	77.881	17.0776
2650.000000	78.099	-25.2354
2690.000000	78.393	-80.5767
2720.000000	78.607	-121.7666
2760.000000	78.875	-177.3823
2800.000000	79.132	126.8560
2850.000000	79.452	58.9141
2900.000000	79.775	-7.7227
2950.000000	80.100	-73.7925
3000.000000	80.418	-138.8052
3040.000000	80.656	168.4419
3070.000000	80.826	128.3721
3110.000000	81.037	75.6587
3150.000000	81.216	24.2354
3200.000000	81.387	-38.6182
3250.000000	81.498	-99.8667
3300.000000	81.555	-161.0562
3350.000000	81.567	137.2192
3400.000000	81.537	75.6362
3450.000000	81.474	15.1016
3500.000000	81.387	-43.8774
3550.000000	81.272	-101.9629
3600.000000	81.130	-159.6606
3650.000000	80.968	142.8555
3700.000000	80.793	85.7305
3750.000000	80.617	30.0894
3820.000000	80.381	-44.2173
3870.000000	80.216	-95.6445
3950.000000	79.959	-175.5835
4000.000000	79.805	134.8604
4060.000000	79.633	75.2568
4120.000000	79.476	16.2158
4180.000000	79.334	-41.1294
4250.000000	79.183	-105.3398
4310.000000	79.063	-159.2568
4370.000000	78.951	146.8379
4440.000000	78.843	84.6680
4500.000000	78.774	32.9639
4550.000000	78.729	-9.6836
4620.000000	78.681	-69.8242
4680.000000	78.654	-120.9971
4750.000000	78.636	-178.8359
4820.000000	78.629	125.3643
4870.000000	78.629	86.4316
4940.000000	78.632	32.6982
5000.000000	78.631	-13.2920
5080.000000	78.626	-74.7119
5150.000000	78.615	-128.0186
5220.000000	78.588	179.7051
5300.000000	78.529	121.2100
5380.000000	78.438	63.9961
5450.000000	78.336	15.0859
5520.000000	78.213	-33.1758
5600.000000	78.046	-88.2031
5700.000000	77.811	-156.1846
5800.000000	77.561	138.3555
5900.000000	77.306	76.2148
6000.000000	77.044	16.7676
6080.000000	76.824	-30.0020
6150.000000	76.630	-70.6562
6220.000000	76.442	-110.6768
6300.000000	76.246	-155.2119
6400.000000	76.040	149.9502
