* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05-Apr-2025 17:17:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Carol Pro ANC L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.766	46.8034
20.600000	71.800	44.3907
20.900000	71.838	41.3765
21.200001	71.875	38.1745
21.400000	71.895	36.0220
21.799999	71.927	31.7603
22.000000	71.939	29.6673
22.400000	71.965	25.5675
22.700001	71.986	22.5609
23.000000	72.012	19.5987
23.299999	72.040	16.6690
23.600000	72.069	13.7654
24.000000	72.102	9.9381
24.299999	72.122	7.1084
24.700001	72.143	3.3966
25.000000	72.158	0.6539
25.400000	72.180	-2.9680
25.799999	72.204	-6.5754
26.200001	72.227	-10.1842
26.500000	72.244	-12.8910
26.900000	72.264	-16.4919
27.200001	72.280	-19.1825
27.600000	72.305	-22.7582
28.000000	72.336	-26.3290
28.500000	72.382	-30.7907
29.000000	72.429	-35.2257
29.500000	72.474	-39.5850
30.000000	72.519	-43.8426
30.400000	72.558	-47.1934
30.700001	72.588	-49.6963
31.100000	72.628	-53.0463
31.500000	72.666	-56.4261
32.000000	72.710	-60.6803
32.500000	72.754	-64.9259
33.000000	72.805	-69.1337
33.500000	72.867	-73.3206
34.000000	72.938	-77.5293
34.500000	73.003	-81.7812
35.000000	73.055	-86.0514
35.500000	73.093	-90.2910
36.000000	73.127	-94.4715
36.500000	73.166	-98.6067
37.000000	73.211	-102.7350
37.500000	73.256	-106.8841
38.200001	73.306	-112.7189
38.700001	73.333	-116.8715
39.500000	73.371	-123.4368
40.000000	73.396	-127.4874
40.599998	73.427	-132.3144
41.200001	73.460	-137.1385
41.799999	73.492	-141.9904
42.500000	73.527	-147.6953
43.099998	73.555	-152.6010
43.700001	73.581	-157.4921
44.400002	73.605	-163.1472
45.000000	73.621	-167.9315
45.500000	73.634	-171.8712
46.200001	73.653	-177.3282
46.799999	73.670	178.0326
47.500000	73.688	172.6454
48.200001	73.705	167.2478
48.700001	73.719	163.3561
49.400002	73.741	157.8466
50.000000	73.755	153.1072
50.799999	73.764	146.8667
51.500000	73.766	141.5201
52.200001	73.765	136.2458
53.000000	73.757	130.2281
53.799999	73.745	124.1697
54.500000	73.730	118.8535
55.200001	73.715	113.5819
56.000000	73.703	107.6552
57.000000	73.700	100.3345
58.000000	73.702	92.9962
59.000000	73.697	85.6485
60.000000	73.685	78.3700
60.799999	73.672	72.6205
61.500000	73.660	67.6363
62.200001	73.652	62.6692
63.000000	73.649	56.9748
64.000000	73.650	49.8184
65.000000	73.652	42.6809
66.000000	73.650	35.6151
67.000000	73.636	28.6325
68.000000	73.615	21.7181
69.000000	73.596	14.8430
70.000000	73.581	7.9958
71.000000	73.567	1.1811
72.000000	73.552	-5.5994
73.000000	73.538	-12.3650
74.000000	73.524	-19.1440
75.000000	73.507	-25.9270
76.199997	73.494	-34.0111
77.500000	73.497	-42.6848
78.800003	73.503	-51.3320
80.000000	73.514	-59.3109
81.199997	73.535	-67.2761
82.500000	73.570	-75.9277
83.800003	73.611	-84.6473
85.000000	73.647	-92.6938
86.199997	73.677	-100.6877
87.500000	73.706	-109.3607
88.500000	73.728	-116.1046
90.000000	73.761	-126.3493
91.199997	73.777	-134.6243
92.500000	73.778	-143.6401
93.800003	73.763	-152.6534
95.000000	73.733	-160.9275
96.199997	73.688	-169.1490
97.500000	73.624	-177.9934
98.800003	73.550	173.2561
100.000000	73.475	165.2997
101.500000	73.373	155.4926
103.000000	73.259	145.7404
104.400002	73.151	136.6576
106.000000	73.040	126.3637
107.500000	72.945	116.8601
109.000000	72.847	107.5129
110.599998	72.737	97.6497
112.000000	72.640	89.0745
113.800003	72.523	78.0721
115.000000	72.452	70.6973
117.199997	72.336	57.0900
118.000000	72.298	52.1356
120.599998	72.169	36.1046
122.000000	72.093	27.5443
124.099998	71.975	14.8072
125.000000	71.927	9.3922
126.500000	71.848	0.4137
128.000000	71.770	-8.5386
131.500000	71.589	-29.4145
132.000000	71.563	-32.3905
134.000000	71.455	-44.2708
136.000000	71.335	-56.1520
138.000000	71.204	-68.0496
140.000000	71.065	-79.9192
143.000000	70.857	-97.5968
145.000000	70.718	-109.3334
147.500000	70.539	-123.8962
150.000000	70.348	-138.2905
152.500000	70.135	-152.6421
155.000000	69.891	-167.0693
157.500000	69.626	178.5061
160.000000	69.347	164.3381
162.500000	69.043	150.5010
165.000000	68.718	136.8173
167.500000	68.383	123.2263
170.000000	68.032	109.8757
172.500000	67.668	96.8304
175.000000	67.299	84.0382
177.500000	66.929	71.4608
180.000000	66.556	59.1252
182.500000	66.179	47.1351
185.000000	65.809	35.5740
187.500000	65.463	24.4597
190.000000	65.159	13.6849
192.500000	64.916	3.1202
195.000000	64.752	-7.3193
197.500000	64.667	-17.7520
200.000000	64.661	-28.2965
203.000000	64.752	-41.1630
206.000000	64.932	-54.3162
209.000000	65.167	-67.7932
212.000000	65.421	-81.5399
214.000000	65.584	-90.8318
218.000000	65.874	-109.7230
220.000000	66.001	-119.3136
224.000000	66.225	-138.7329
227.000000	66.364	-153.4883
230.000000	66.475	-168.3885
233.000000	66.560	176.5991
236.000000	66.626	161.5344
240.000000	66.687	141.4597
243.000000	66.713	126.4478
247.000000	66.718	106.5430
250.000000	66.706	91.7324
254.000000	66.675	72.0679
258.000000	66.629	52.5742
262.000000	66.560	33.2440
265.000000	66.494	18.7661
269.000000	66.398	-0.4735
272.000000	66.323	-14.8077
276.000000	66.223	-33.7692
280.000000	66.122	-52.5205
285.000000	65.989	-75.7469
290.000000	65.855	-98.7885
295.000000	65.726	-121.5642
300.000000	65.609	-144.0558
304.000000	65.525	-161.9259
307.000000	65.467	-175.2987
311.000000	65.397	166.9207
315.000000	65.338	149.2386
320.000000	65.277	127.2634
325.000000	65.224	105.3669
330.000000	65.188	83.5840
335.000000	65.175	61.9410
340.000000	65.176	40.3035
345.000000	65.185	18.6299
350.000000	65.198	-2.9866
355.000000	65.217	-24.4912
360.000000	65.240	-45.9186
365.000000	65.270	-67.3408
370.000000	65.299	-88.7756
375.000000	65.321	-110.2046
382.000000	65.343	-140.1992
387.000000	65.363	-161.6274
395.000000	65.399	164.1008
400.000000	65.422	142.7874
406.000000	65.450	117.4331
412.000000	65.475	92.2144
418.000000	65.484	67.0254
425.000000	65.474	37.6145
431.000000	65.456	12.4006
437.000000	65.438	-12.7302
444.000000	65.419	-41.9534
450.000000	65.407	-66.7920
455.000000	65.392	-87.2244
462.000000	65.351	-115.6143
468.000000	65.297	-140.0208
475.000000	65.225	-168.5442
482.000000	65.155	163.1270
487.000000	65.109	143.0334
494.000000	65.049	115.0588
500.000000	64.997	91.2117
508.000000	64.925	59.5303
515.000000	64.855	31.8821
522.000000	64.783	4.3030
530.000000	64.701	-27.0310
538.000000	64.617	-58.0525
545.000000	64.539	-85.0332
552.000000	64.456	-111.9236
560.000000	64.358	-142.5225
570.000000	64.228	179.4387
580.000000	64.094	141.7627
590.000000	63.961	104.6206
600.000000	63.836	67.7046
608.000000	63.750	38.2009
615.000000	63.684	12.4602
622.000000	63.622	-13.2539
