* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -28.9 dBFS, measurement signal peak level -28.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08-Apr-2023 10:53:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ SKS
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.321	87.5756
20.600000	67.358	86.8142
20.900000	67.450	85.2051
21.200001	67.556	83.4459
21.400000	67.634	82.2884
21.799999	67.800	80.0929
22.000000	67.888	79.0839
22.400000	68.065	77.2541
22.700001	68.193	76.0332
23.000000	68.309	74.9158
23.299999	68.410	73.8677
23.600000	68.495	72.8571
24.000000	68.586	71.5202
24.299999	68.644	70.4965
24.700001	68.718	69.0844
25.000000	68.778	67.9914
25.400000	68.868	66.5095
25.799999	68.971	65.0398
26.200001	69.080	63.6246
26.500000	69.163	62.6138
26.900000	69.269	61.3334
27.200001	69.344	60.4117
27.600000	69.437	59.2119
28.000000	69.522	58.0230
28.500000	69.623	56.5380
29.000000	69.724	55.0616
29.500000	69.829	53.6030
30.000000	69.938	52.1574
30.400000	70.022	51.0021
30.700001	70.081	50.1343
31.100000	70.152	48.9788
31.500000	70.216	47.8332
32.000000	70.288	46.4292
32.500000	70.358	45.0668
33.000000	70.426	43.7454
33.500000	70.493	42.4543
34.000000	70.556	41.1758
34.500000	70.614	39.8912
35.000000	70.665	38.5872
35.500000	70.712	37.2590
36.000000	70.757	35.9137
36.500000	70.803	34.5675
37.000000	70.849	33.2408
37.500000	70.895	31.9458
38.200001	70.958	30.1789
38.700001	71.001	28.9309
39.500000	71.062	26.9365
40.000000	71.095	25.7000
40.599998	71.132	24.2383
41.200001	71.167	22.7982
41.799999	71.202	21.3710
42.500000	71.241	19.7193
43.099998	71.274	18.3167
43.700001	71.305	16.9216
44.400002	71.338	15.2982
45.000000	71.361	13.9169
45.500000	71.376	12.7806
46.200001	71.393	11.2158
46.799999	71.407	9.8957
47.500000	71.426	8.3801
48.200001	71.449	6.8937
48.700001	71.465	5.8451
49.400002	71.485	4.3809
50.000000	71.492	3.1219
50.799999	71.487	1.4389
51.500000	71.474	-0.0350
52.200001	71.459	-1.5090
53.000000	71.441	-3.1778
53.799999	71.421	-4.8047
54.500000	71.404	-6.1908
55.200001	71.387	-7.5550
56.000000	71.369	-9.1006
57.000000	71.344	-11.0081
58.000000	71.312	-12.8712
59.000000	71.273	-14.7026
60.000000	71.227	-16.5457
60.799999	71.185	-18.0372
61.500000	71.147	-19.3424
62.200001	71.108	-20.6386
63.000000	71.061	-22.1064
64.000000	70.996	-23.9184
65.000000	70.926	-25.6904
66.000000	70.852	-27.4059
67.000000	70.774	-29.0683
68.000000	70.690	-30.6975
69.000000	70.598	-32.3068
70.000000	70.504	-33.8979
71.000000	70.410	-35.4729
72.000000	70.313	-37.0291
73.000000	70.212	-38.5561
74.000000	70.108	-40.0424
75.000000	69.999	-41.4778
76.199997	69.860	-43.1244
77.500000	69.705	-44.8177
78.800003	69.552	-46.4218
80.000000	69.410	-47.8216
81.199997	69.266	-49.1439
82.500000	69.110	-50.5005
83.800003	68.952	-51.7852
85.000000	68.806	-52.8970
86.199997	68.660	-53.9416
87.500000	68.504	-55.0242
88.500000	68.385	-55.8331
90.000000	68.207	-56.9944
91.199997	68.064	-57.8642
92.500000	67.911	-58.7428
93.800003	67.758	-59.5659
95.000000	67.616	-60.2957
96.199997	67.475	-61.0048
97.500000	67.326	-61.7388
98.800003	67.181	-62.4232
100.000000	67.049	-63.0087
101.500000	66.889	-63.6846
103.000000	66.733	-64.3042
104.400002	66.593	-64.8467
106.000000	66.437	-65.4520
107.500000	66.297	-66.0146
