* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-Dec-2024 11:58:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Saga L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.992	74.0015
20.600000	77.052	73.1565
20.900000	77.125	72.1030
21.200001	77.203	70.9875
21.400000	77.255	70.2405
21.799999	77.358	68.7700
22.000000	77.409	68.0522
22.400000	77.512	66.6556
22.700001	77.588	65.6401
23.000000	77.661	64.6472
23.299999	77.731	63.6723
23.600000	77.796	62.7108
24.000000	77.875	61.4441
24.299999	77.930	60.5033
24.700001	77.999	59.2607
25.000000	78.049	58.3390
25.400000	78.114	57.1286
25.799999	78.177	55.9467
26.200001	78.236	54.7999
26.500000	78.278	53.9636
26.900000	78.330	52.8753
27.200001	78.367	52.0722
27.600000	78.416	51.0075
28.000000	78.464	49.9412
28.500000	78.523	48.6066
29.000000	78.580	47.2877
29.500000	78.634	46.0084
30.000000	78.685	44.7804
30.400000	78.722	43.8320
30.700001	78.747	43.1363
31.100000	78.777	42.2240
31.500000	78.805	41.3245
32.000000	78.837	40.2136
32.500000	78.869	39.1162
33.000000	78.900	38.0338
33.500000	78.928	36.9712
34.000000	78.953	35.9324
34.500000	78.974	34.9155
35.000000	78.993	33.9136
35.500000	79.010	32.9218
36.000000	79.026	31.9436
36.500000	79.043	30.9893
37.000000	79.059	30.0653
37.500000	79.075	29.1674
38.200001	79.090	27.9331
38.700001	79.095	27.0596
39.500000	79.095	25.6870
40.000000	79.093	24.8517
40.599998	79.092	23.8689
41.200001	79.093	22.8994
41.799999	79.095	21.9410
42.500000	79.095	20.8459
43.099998	79.091	19.9376
43.700001	79.087	19.0623
44.400002	79.081	18.0773
45.000000	79.075	17.2510
45.500000	79.068	16.5683
46.200001	79.054	15.6215
46.799999	79.040	14.8233
47.500000	79.025	13.9106
48.200001	79.012	13.0190
48.700001	79.003	12.3991
49.400002	78.992	11.5605
50.000000	78.980	10.8629
50.799999	78.956	9.9397
51.500000	78.930	9.1316
52.200001	78.902	8.3353
53.000000	78.870	7.4488
53.799999	78.837	6.5826
54.500000	78.809	5.8416
55.200001	78.780	5.1186
56.000000	78.746	4.3108
57.000000	78.701	3.3234
58.000000	78.654	2.3623
59.000000	78.607	1.4284
60.000000	78.559	0.5252
60.799999	78.521	-0.1759
61.500000	78.486	-0.7770
62.200001	78.452	-1.3683
63.000000	78.414	-2.0321
64.000000	78.366	-2.8413
65.000000	78.319	-3.6225
66.000000	78.271	-4.3742
67.000000	78.221	-5.0969
68.000000	78.168	-5.7891
69.000000	78.113	-6.4530
70.000000	78.056	-7.0926
71.000000	77.999	-7.7107
72.000000	77.944	-8.3119
73.000000	77.892	-8.8996
74.000000	77.841	-9.4750
75.000000	77.789	-10.0407
76.199997	77.723	-10.7015
77.500000	77.657	-11.4051
78.800003	77.596	-12.1038
80.000000	77.538	-12.7324
81.199997	77.477	-13.3555
82.500000	77.415	-14.0221
83.800003	77.351	-14.6591
85.000000	77.287	-15.2127
86.199997	77.221	-15.7514
87.500000	77.150	-16.3404
88.500000	77.095	-16.7878
90.000000	77.012	-17.4330
91.199997	76.947	-17.9348
92.500000	76.876	-18.4645
93.800003	76.805	-18.9769
95.000000	76.736	-19.4272
96.199997	76.665	-19.8555
97.500000	76.589	-20.3057
98.800003	76.516	-20.7452
100.000000	76.455	-21.1402
101.500000	76.380	-21.6079
103.000000	76.309	-22.0281
104.400002	76.248	-22.3871
106.000000	76.175	-22.7989
107.500000	76.095	-23.2294
109.000000	76.012	-23.6580
110.599998	75.928	-24.0500
112.000000	75.857	-24.3655
113.800003	75.769	-24.7980
115.000000	75.708	-25.1001
117.199997	75.587	-25.6540
118.000000	75.544	-25.8445
120.599998	75.409	-26.3854
122.000000	75.338	-26.6516
124.099998	75.233	-27.0570
125.000000	75.188	-27.2348
126.500000	75.112	-27.5293
128.000000	75.037	-27.8135
131.500000	74.866	-28.4275
132.000000	74.841	-28.5086
134.000000	74.745	-28.8130
136.000000	74.650	-29.0918
138.000000	74.553	-29.3579
140.000000	74.455	-29.6199
143.000000	74.308	-30.0025
145.000000	74.211	-30.2435
147.500000	74.088	-30.5197
150.000000	73.965	-30.7488
152.500000	73.843	-30.9300
155.000000	73.720	-31.0781
157.500000	73.594	-31.1936
160.000000	73.464	-31.2708
162.500000	73.333	-31.3017
165.000000	73.200	-31.2711
167.500000	73.062	-31.1549
170.000000	72.921	-30.9241
172.500000	72.780	-30.5342
175.000000	72.641	-29.9251
177.500000	72.516	-29.0311
180.000000	72.430	-27.8379
182.500000	72.407	-26.4820
185.000000	72.456	-25.2304
187.500000	72.563	-24.3365
190.000000	72.696	-24.0177
192.500000	72.816	-24.3856
195.000000	72.900	-25.2566
197.500000	72.938	-26.2795
200.000000	72.936	-27.2398
