* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07-Aug-2024 11:33:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Xtra (ANC off) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.928	103.6877
20.600000	74.087	102.1160
20.900000	74.282	100.1942
21.200001	74.483	98.2022
21.400000	74.611	96.8895
21.799999	74.844	94.3402
22.000000	74.946	93.1044
22.400000	75.120	90.6938
22.700001	75.223	88.9202
23.000000	75.306	87.1582
23.299999	75.370	85.3972
23.600000	75.422	83.6343
24.000000	75.478	81.2933
24.299999	75.516	79.5648
24.700001	75.570	77.3342
25.000000	75.615	75.7400
25.400000	75.681	73.7418
25.799999	75.753	71.8957
26.200001	75.824	70.1922
26.500000	75.875	68.9959
26.900000	75.936	67.4885
27.200001	75.977	66.4088
27.600000	76.027	65.0150
28.000000	76.074	63.6537
28.500000	76.133	61.9799
29.000000	76.193	60.3405
29.500000	76.254	58.7562
30.000000	76.317	57.2410
30.400000	76.369	56.0737
30.700001	76.408	55.2166
31.100000	76.459	54.0885
31.500000	76.510	52.9703
32.000000	76.571	51.5848
32.500000	76.632	50.2162
33.000000	76.695	48.8649
33.500000	76.759	47.5273
34.000000	76.823	46.2039
34.500000	76.884	44.9010
35.000000	76.943	43.6243
35.500000	76.999	42.3731
36.000000	77.052	41.1416
36.500000	77.104	39.9244
37.000000	77.153	38.7154
37.500000	77.199	37.5063
38.200001	77.261	35.8069
38.700001	77.302	34.6015
39.500000	77.368	32.7251
40.000000	77.412	31.5825
40.599998	77.464	30.2267
41.200001	77.511	28.8973
41.799999	77.555	27.6139
42.500000	77.609	26.1489
43.099998	77.657	24.8736
43.700001	77.697	23.5861
44.400002	77.731	22.1371
45.000000	77.758	20.9583
45.500000	77.784	19.9873
46.200001	77.826	18.5914
46.799999	77.863	17.3584
47.500000	77.908	15.9050
48.200001	77.949	14.4640
48.700001	77.972	13.4687
49.400002	77.994	12.1637
50.000000	78.009	11.1283
50.799999	78.031	9.7902
51.500000	78.050	8.5973
52.200001	78.067	7.3905
53.000000	78.085	6.0341
53.799999	78.102	4.7024
54.500000	78.114	3.5376
55.200001	78.121	2.3636
56.000000	78.124	1.0148
57.000000	78.126	-0.6482
58.000000	78.126	-2.2460
59.000000	78.128	-3.7825
60.000000	78.131	-5.2693
60.799999	78.137	-6.4329
61.500000	78.144	-7.4503
62.200001	78.151	-8.4755
63.000000	78.157	-9.6482
64.000000	78.163	-11.0866
65.000000	78.168	-12.4772
66.000000	78.171	-13.8347
67.000000	78.173	-15.1700
68.000000	78.175	-16.4687
69.000000	78.181	-17.7267
70.000000	78.190	-18.9616
71.000000	78.200	-20.1979
72.000000	78.211	-21.4495
73.000000	78.224	-22.7127
74.000000	78.241	-23.9835
75.000000	78.257	-25.2622
76.199997	78.274	-26.8056
77.500000	78.294	-28.4862
78.800003	78.322	-30.1844
80.000000	78.353	-31.8016
81.199997	78.380	-33.4958
82.500000	78.400	-35.4201
83.800003	78.409	-37.4258
85.000000	78.410	-39.3343
86.199997	78.403	-41.2844
87.500000	78.385	-43.4324
88.500000	78.358	-45.1090
90.000000	78.290	-47.6469
91.199997	78.210	-49.6592
92.500000	78.100	-51.7837
93.800003	77.973	-53.8223
95.000000	77.846	-55.6133
96.199997	77.714	-57.3122
97.500000	77.565	-59.0353
98.800003	77.409	-60.6227
100.000000	77.259	-61.9783
101.500000	77.068	-63.5689
103.000000	76.876	-65.0847
104.400002	76.701	-66.4435
106.000000	76.503	-67.9231
107.500000	76.319	-69.2413
109.000000	76.140	-70.5033
110.599998	75.959	-71.7911
112.000000	75.808	-72.8729
113.800003	75.617	-74.2007
115.000000	75.489	-75.0525
117.199997	75.255	-76.5760
118.000000	75.171	-77.1171
120.599998	74.900	-78.8152
122.000000	74.754	-79.6953
124.099998	74.541	-80.9506
125.000000	74.451	-81.4605
126.500000	74.300	-82.2766
128.000000	74.147	-83.0617
131.500000	73.794	-84.8218
132.000000	73.744	-85.0632
134.000000	73.546	-85.9893
136.000000	73.342	-86.8487
138.000000	73.137	-87.6634
140.000000	72.934	-88.4423
143.000000	72.633	-89.4862
145.000000	72.434	-90.1023
147.500000	72.187	-90.8556
150.000000	71.941	-91.5938
152.500000	71.693	-92.2477
155.000000	71.453	-92.7693
157.500000	71.221	-93.1904
160.000000	70.994	-93.5150
162.500000	70.770	-93.7419
165.000000	70.552	-93.8912
167.500000	70.343	-93.9578
170.000000	70.145	-93.9534
172.500000	69.953	-93.9199
175.000000	69.763	-93.8693
177.500000	69.577	-93.7767
180.000000	69.399	-93.6370
182.500000	69.233	-93.4682
185.000000	69.082	-93.2885
187.500000	68.946	-93.1058
190.000000	68.823	-92.9021
192.500000	68.714	-92.6629
195.000000	68.617	-92.3851
197.500000	68.531	-92.0818
200.000000	68.456	-91.7850
203.000000	68.382	-91.4687
206.000000	68.319	-91.1774
209.000000	68.264	-90.8970
212.000000	68.214	-90.6492
214.000000	68.186	-90.5109
218.000000	68.148	-90.2933
220.000000	68.137	-90.2025
224.000000	68.120	-90.0409
227.000000	68.109	-89.9495
230.000000	68.101	-89.8952
233.000000	68.099	-89.8836
236.000000	68.103	-89.9160
240.000000	68.113	-90.0171
243.000000	68.120	-90.1189
247.000000	68.127	-90.2808
250.000000	68.131	-90.4338
254.000000	68.134	-90.6773
258.000000	68.139	-90.9541
262.000000	68.149	-91.2628
265.000000	68.158	-91.5068
269.000000	68.173	-91.8448
272.000000	68.184	-92.1100
276.000000	68.198	-92.4661
280.000000	68.210	-92.8222
285.000000	68.223	-93.3116
290.000000	68.232	-93.8736
295.000000	68.238	-94.4733
300.000000	68.244	-95.0748
304.000000	68.254	-95.5569
307.000000	68.263	-95.9248
311.000000	68.276	-96.4204
315.000000	68.286	-96.9059
320.000000	68.300	-97.4978
325.000000	68.319	-98.1071
330.000000	68.346	-98.7401
335.000000	68.380	-99.4032
340.000000	68.418	-100.1233
345.000000	68.454	-100.9207
350.000000	68.480	-101.8002
355.000000	68.495	-102.7286
360.000000	68.505	-103.6691
365.000000	68.516	-104.6177
370.000000	68.525	-105.5680
375.000000	68.532	-106.4952
382.000000	68.536	-107.7072
387.000000	68.537	-108.5091
395.000000	68.537	-109.7487
400.000000	68.537	-110.5125
406.000000	68.538	-111.4249
412.000000	68.537	-112.3473
418.000000	68.535	-113.2587
425.000000	68.533	-114.2977
431.000000	68.527	-115.2006
437.000000	68.515	-116.1259
444.000000	68.497	-117.2053
450.000000	68.482	-118.1141
455.000000	68.470	-118.8471
462.000000	68.453	-119.7993
468.000000	68.442	-120.5581
475.000000	68.435	-121.4691
482.000000	68.431	-122.4703
487.000000	68.430	-123.2155
494.000000	68.429	-124.2473
500.000000	68.424	-125.1155
508.000000	68.414	-126.2598
515.000000	68.399	-127.2479
522.000000	68.382	-128.2273
530.000000	68.362	-129.3259
538.000000	68.338	-130.3884
545.000000	68.313	-131.2695
552.000000	68.286	-132.0792
560.000000	68.254	-132.8958
570.000000	68.217	-133.7565
580.000000	68.187	-134.4881
590.000000	68.167	-135.1174
600.000000	68.152	-135.6688
608.000000	68.137	-136.0466
615.000000	68.119	-136.3413
622.000000	68.094	-136.6316
630.000000	68.062	-136.9662
640.000000	68.024	-137.3791
650.000000	67.992	-137.7924
660.000000	67.965	-138.2174
670.000000	67.944	-138.6561
680.000000	67.932	-139.0925
690.000000	67.923	-139.5096
700.000000	67.907	-139.9096
710.000000	67.883	-140.2783
720.000000	67.862	-140.5696
730.000000	67.855	-140.7651
740.000000	67.855	-140.8949
750.000000	67.854	-141.0106
762.000000	67.853	-141.1385
775.000000	67.857	-141.2147
788.000000	67.864	-141.2120
800.000000	67.867	-141.1373
812.000000	67.868	-141.0209
825.000000	67.871	-140.9099
838.000000	67.871	-140.8443
850.000000	67.867	-140.7513
862.000000	67.875	-140.6297
875.000000	67.905	-140.6119
885.000000	67.935	-140.7295
900.000000	67.979	-141.0750
912.000000	68.012	-141.4328
925.000000	68.051	-141.8256
938.000000	68.101	-142.1785
950.000000	68.152	-142.4828
962.000000	68.207	-142.7825
975.000000	68.268	-143.0985
988.000000	68.332	-143.4122
1000.000000	68.391	-143.7153
1015.000000	68.463	-144.1096
1030.000000	68.536	-144.4897
1044.000000	68.607	-144.8219
1060.000000	68.697	-145.1918
1075.000000	68.790	-145.5417
1090.000000	68.885	-145.9316
1106.000000	68.984	-146.4532
1120.000000	69.067	-147.0048
1138.000000	69.170	-147.7455
1150.000000	69.242	-148.2091
1172.000000	69.385	-149.0355
1180.000000	69.439	-149.3542
1206.000000	69.606	-150.5917
1220.000000	69.681	-151.4341
1241.000000	69.775	-152.8928
1250.000000	69.811	-153.5485
1265.000000	69.874	-154.6139
1280.000000	69.939	-155.5888
1315.000000	70.092	-157.3676
1320.000000	70.114	-157.5700
1340.000000	70.200	-158.2880
1360.000000	70.283	-158.9195
1380.000000	70.359	-159.5336
1400.000000	70.429	-160.1327
1430.000000	70.535	-160.9877
1450.000000	70.605	-161.5721
1475.000000	70.694	-162.3174
1500.000000	70.795	-163.0135
1525.000000	70.905	-163.6131
1550.000000	71.026	-164.1563
1575.000000	71.149	-164.6630
1600.000000	71.280	-165.0321
1625.000000	71.436	-165.1464
1650.000000	71.621	-164.9987
1675.000000	71.826	-164.6100
1700.000000	72.058	-164.0264
1725.000000	72.322	-163.3285
1750.000000	72.612	-162.6189
1775.000000	72.921	-162.0188
1800.000000	73.234	-161.6033
1825.000000	73.538	-161.3792
1850.000000	73.826	-161.3218
1875.000000	74.092	-161.4219
1900.000000	74.332	-161.7085
1925.000000	74.545	-162.2425
1950.000000	74.730	-163.0340
1975.000000	74.891	-164.0095
2000.000000	75.043	-165.0300
2030.000000	75.222	-166.1301
2060.000000	75.397	-167.0353
2090.000000	75.566	-167.8267
2120.000000	75.724	-168.6178
2140.000000	75.830	-169.1537
2180.000000	76.055	-170.1664
2200.000000	76.173	-170.6438
2240.000000	76.400	-171.6736
2270.000000	76.563	-172.6247
2300.000000	76.720	-173.8311
2330.000000	76.872	-175.3258
2360.000000	77.016	-177.0434
