* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 16:03:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Xtra A
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.442	-128.8535
20.600000	102.494	-129.3205
20.900000	102.559	-129.8881
21.200001	102.628	-130.4741
21.400000	102.674	-130.8612
21.799999	102.766	-131.6230
22.000000	102.812	-131.9996
22.400000	102.906	-132.7510
22.700001	102.977	-133.3177
23.000000	103.047	-133.8910
23.299999	103.116	-134.4736
23.600000	103.182	-135.0655
24.000000	103.263	-135.8629
24.299999	103.319	-136.4578
24.700001	103.388	-137.2321
25.000000	103.438	-137.7923
25.400000	103.505	-138.5127
25.799999	103.574	-139.2134
26.200001	103.644	-139.9084
26.500000	103.697	-140.4308
26.900000	103.764	-141.1278
27.200001	103.812	-141.6474
27.600000	103.872	-142.3298
28.000000	103.929	-142.9961
28.500000	103.998	-143.8040
29.000000	104.062	-144.5850
29.500000	104.125	-145.3433
30.000000	104.186	-146.0881
30.400000	104.234	-146.6812
30.700001	104.269	-147.1264
31.100000	104.314	-147.7195
31.500000	104.356	-148.3082
32.000000	104.408	-149.0310
32.500000	104.457	-149.7355
33.000000	104.505	-150.4236
33.500000	104.550	-151.1012
34.000000	104.594	-151.7748
34.500000	104.638	-152.4491
35.000000	104.680	-153.1229
35.500000	104.722	-153.7904
36.000000	104.763	-154.4468
36.500000	104.806	-155.0933
37.000000	104.849	-155.7343
37.500000	104.889	-156.3691
38.200001	104.934	-157.2317
38.700001	104.961	-157.8210
39.500000	104.997	-158.7352
40.000000	105.018	-159.3064
40.599998	105.043	-159.9958
41.200001	105.072	-160.6788
41.799999	105.109	-161.3487
42.500000	105.157	-162.1196
43.099998	105.194	-162.7736
43.700001	105.220	-163.4143
44.400002	105.239	-164.1404
45.000000	105.252	-164.7551
45.500000	105.266	-165.2709
46.200001	105.290	-165.9937
46.799999	105.313	-166.5907
47.500000	105.336	-167.2307
48.200001	105.355	-167.8164
48.700001	105.371	-168.2335
49.400002	105.395	-168.8696
50.000000	105.416	-169.4774
50.799999	105.434	-170.3120
51.500000	105.442	-170.9855
52.200001	105.449	-171.5910
53.000000	105.456	-172.2544
53.799999	105.460	-172.9315
54.500000	105.463	-173.5316
55.200001	105.469	-174.1235
56.000000	105.480	-174.7846
57.000000	105.493	-175.5964
58.000000	105.500	-176.3979
59.000000	105.502	-177.1952
60.000000	105.507	-177.9903
60.799999	105.513	-178.6019
61.500000	105.519	-179.1064
62.200001	105.527	-179.5925
63.000000	105.535	179.8542
64.000000	105.540	179.1533
65.000000	105.541	178.4510
66.000000	105.539	177.7506
67.000000	105.536	177.0479
68.000000	105.530	176.3537
69.000000	105.523	175.6887
70.000000	105.516	175.0496
71.000000	105.507	174.4191
72.000000	105.498	173.7958
73.000000	105.494	173.1819
74.000000	105.493	172.5746
75.000000	105.490	171.9704
76.199997	105.480	171.2454
77.500000	105.464	170.4778
78.800003	105.452	169.7311
80.000000	105.444	169.0312
81.199997	105.432	168.3381
82.500000	105.411	167.6321
83.800003	105.388	166.9601
85.000000	105.371	166.3585
86.199997	105.356	165.7605
87.500000	105.335	165.1027
88.500000	105.318	164.5932
90.000000	105.292	163.8362
91.199997	105.272	163.2390
92.500000	105.252	162.5987
93.800003	105.232	161.9756
