* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 16:02:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Xtra A
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.221	-125.4009
20.600000	105.413	-126.6986
20.900000	105.654	-128.4235
21.200001	105.912	-130.4209
21.400000	106.082	-131.8782
21.799999	106.407	-135.0762
22.000000	106.556	-136.8114
22.400000	106.813	-140.5320
22.700001	106.962	-143.5137
23.000000	107.065	-146.6252
23.299999	107.119	-149.8289
23.600000	107.120	-153.0810
24.000000	107.035	-157.4041
24.299999	106.909	-160.5653
24.700001	106.665	-164.5624
25.000000	106.431	-167.3277
25.400000	106.066	-170.6194
25.799999	105.653	-173.3967
26.200001	105.211	-175.6303
26.500000	104.869	-176.9524
26.900000	104.410	-178.2701
27.200001	104.071	-178.9503
27.600000	103.637	-179.4937
28.000000	103.231	-179.6826
28.500000	102.775	-179.5228
29.000000	102.379	-179.0268
29.500000	102.040	-178.2730
30.000000	101.755	-177.3221
30.400000	101.564	-176.4662
30.700001	101.441	-175.7966
31.100000	101.300	-174.8980
31.500000	101.184	-174.0175
32.000000	101.067	-172.9598
32.500000	100.979	-171.9497
33.000000	100.918	-170.9868
33.500000	100.882	-170.0823
34.000000	100.868	-169.2540
34.500000	100.870	-168.5112
35.000000	100.881	-167.8468
35.500000	100.898	-167.2414
36.000000	100.921	-166.6785
36.500000	100.951	-166.1567
37.000000	100.988	-165.6889
37.500000	101.031	-165.2895
38.200001	101.092	-164.8470
38.700001	101.136	-164.5931
39.500000	101.206	-164.2420
40.000000	101.254	-164.0455
40.599998	101.315	-163.8436
41.200001	101.381	-163.6951
41.799999	101.450	-163.6090
42.500000	101.527	-163.5781
43.099998	101.587	-163.5883
43.700001	101.642	-163.6081
44.400002	101.705	-163.6334
45.000000	101.761	-163.6711
45.500000	101.809	-163.7257
46.200001	101.875	-163.8397
46.799999	101.930	-163.9646
47.500000	101.994	-164.1344
48.200001	102.058	-164.3246
48.700001	102.105	-164.4685
49.400002	102.172	-164.6787
50.000000	102.227	-164.8703
50.799999	102.289	-165.1465
51.500000	102.333	-165.4022
52.200001	102.370	-165.6589
53.000000	102.411	-165.9401
53.799999	102.455	-166.2128
54.500000	102.498	-166.4614
55.200001	102.541	-166.7241
56.000000	102.588	-167.0291
57.000000	102.640	-167.4081
58.000000	102.692	-167.7989
59.000000	102.744	-168.2084
60.000000	102.795	-168.6302
60.799999	102.832	-168.9720
61.500000	102.862	-169.2743
62.200001	102.891	-169.5809
63.000000	102.924	-169.9361
64.000000	102.967	-170.3792
65.000000	103.009	-170.8050
66.000000	103.048	-171.2097
67.000000	103.084	-171.6105
68.000000	103.116	-172.0302
69.000000	103.141	-172.4719
70.000000	103.162	-172.9132
71.000000	103.182	-173.3381
72.000000	103.205	-173.7509
73.000000	103.229	-174.1560
74.000000	103.254	-174.5569
75.000000	103.279	-174.9595
76.199997	103.307	-175.4417
77.500000	103.332	-175.9490
78.800003	103.350	-176.4457
80.000000	103.365	-176.9237
81.199997	103.383	-177.4189
82.500000	103.405	-177.9451
83.800003	103.428	-178.4544
85.000000	103.447	-178.9194
86.199997	103.461	-179.3800
87.500000	103.471	-179.8631
88.500000	103.476	179.7851
90.000000	103.487	179.2852
91.199997	103.498	178.8871
92.500000	103.507	178.4419
93.800003	103.514	177.9855
95.000000	103.517	177.5550
96.199997	103.517	177.1112
97.500000	103.516	176.6312
98.800003	103.515	176.1807
100.000000	103.515	175.7986
101.500000	103.518	175.3469
103.000000	103.517	174.8989
104.400002	103.511	174.4741
106.000000	103.505	173.9789
107.500000	103.502	173.5031
109.000000	103.501	173.0154
110.599998	103.501	172.4839
112.000000	103.501	172.0221
113.800003	103.494	171.4796
115.000000	103.485	171.1568
117.199997	103.468	170.6006
118.000000	103.463	170.4001
120.599998	103.450	169.7113
122.000000	103.443	169.3173
124.099998	103.433	168.7316
125.000000	103.427	168.4864
126.500000	103.416	168.0828
128.000000	103.402	167.6799
131.500000	103.372	166.7156
132.000000	103.368	166.5781
134.000000	103.352	166.0399
136.000000	103.335	165.5176
138.000000	103.315	165.0359
140.000000	103.290	164.6221
143.000000	103.248	164.0248
145.000000	103.224	163.5903
147.500000	103.195	163.0286
150.000000	103.167	162.4605
152.500000	103.139	161.9013
155.000000	103.108	161.3767
157.500000	103.074	160.8766
160.000000	103.042	160.3731
162.500000	103.012	159.8636
165.000000	102.982	159.3571
167.500000	102.950	158.8525
170.000000	102.915	158.3544
172.500000	102.881	157.8830
175.000000	102.853	157.4338
177.500000	102.823	156.9973
180.000000	102.784	156.5681
182.500000	102.733	156.1411
185.000000	102.672	155.7103
187.500000	102.602	155.2781
190.000000	102.528	154.8445
192.500000	102.459	154.4193
195.000000	102.399	154.0185
197.500000	102.351	153.6357
200.000000	102.313	153.2532
203.000000	102.281	152.7836
206.000000	102.263	152.3191
209.000000	102.251	151.8871
212.000000	102.235	151.4827
214.000000	102.220	151.2197
218.000000	102.176	150.7006
220.000000	102.150	150.4403
224.000000	102.089	149.9148
227.000000	102.035	149.5259
230.000000	101.979	149.1610
233.000000	101.922	148.8236
236.000000	101.865	148.4957
240.000000	101.792	148.0506
243.000000	101.738	147.7110
247.000000	101.663	147.2609
250.000000	101.606	146.9390
254.000000	101.533	146.5282
258.000000	101.466	146.1230
262.000000	101.401	145.7260
265.000000	101.351	145.4347
269.000000	101.282	145.0616
272.000000	101.230	144.7981
276.000000	101.160	144.4617
280.000000	101.090	144.1357
285.000000	101.004	143.7405
290.000000	100.916	143.3557
295.000000	100.826	142.9776
300.000000	100.734	142.5980
304.000000	100.658	142.3016
307.000000	100.601	142.0957
311.000000	100.523	141.8581
315.000000	100.446	141.6693
320.000000	100.352	141.4709
325.000000	100.262	141.2683
330.000000	100.178	141.0494
335.000000	100.104	140.8026
340.000000	100.035	140.5474
345.000000	99.963	140.3093
350.000000	99.883	140.0811
355.000000	99.791	139.8647
360.000000	99.696	139.6698
365.000000	99.607	139.4866
370.000000	99.523	139.3170
375.000000	99.442	139.1705
382.000000	99.329	139.0035
387.000000	99.245	138.9050
395.000000	99.109	138.8239
400.000000	99.028	138.8142
406.000000	98.939	138.7996
412.000000	98.853	138.7706
418.000000	98.765	138.7509
425.000000	98.658	138.7688
431.000000	98.566	138.8058
437.000000	98.477	138.8517
444.000000	98.384	138.9138
450.000000	98.316	138.9636
455.000000	98.264	138.9930
462.000000	98.191	139.0199
468.000000	98.126	139.0471
475.000000	98.052	139.1128
482.000000	97.976	139.2170
487.000000	97.920	139.2963
494.000000	97.837	139.3917
500.000000	97.768	139.4596
508.000000	97.684	139.5446
515.000000	97.614	139.6160
522.000000	97.542	139.6856
530.000000	97.457	139.7752
538.000000	97.373	139.8751
545.000000	97.304	139.9692
552.000000	97.236	140.0760
560.000000	97.159	140.2093
570.000000	97.059	140.3890
580.000000	96.955	140.5934
590.000000	96.853	140.8264
600.000000	96.756	141.0922
608.000000	96.681	141.3167
615.000000	96.616	141.5116
622.000000	96.553	141.7016
630.000000	96.482	141.9212
640.000000	96.399	142.2103
650.000000	96.321	142.5142
660.000000	96.246	142.8427
670.000000	96.170	143.1957
680.000000	96.093	143.5629
690.000000	96.016	143.9683
700.000000	95.940	144.4196
710.000000	95.868	144.8854
720.000000	95.801	145.3299
730.000000	95.737	145.7394
740.000000	95.677	146.1286
750.000000	95.615	146.5465
762.000000	95.538	147.1226
775.000000	95.458	147.8286
788.000000	95.393	148.5704
800.000000	95.346	149.2312
812.000000	95.309	149.8168
825.000000	95.265	150.3337
838.000000	95.200	150.8536
850.000000	95.127	151.5107
862.000000	95.068	152.3635
875.000000	95.034	153.3507
885.000000	95.023	154.0689
900.000000	95.019	155.0271
912.000000	95.020	155.7045
925.000000	95.024	156.3943
938.000000	95.034	157.0679
950.000000	95.049	157.6829
962.000000	95.067	158.2776
975.000000	95.085	158.8885
988.000000	95.104	159.4720
1000.000000	95.121	159.9972
1015.000000	95.145	160.6194
1030.000000	95.176	161.1741
1044.000000	95.209	161.6406
1060.000000	95.251	162.1247
1075.000000	95.290	162.5210
1090.000000	95.328	162.8890
1106.000000	95.366	163.2735
1120.000000	95.399	163.5940
1138.000000	95.443	163.9734
1150.000000	95.474	164.1963
1172.000000	95.529	164.5422
1180.000000	95.547	164.6558
1206.000000	95.600	165.0153
1220.000000	95.630	165.2071
1241.000000	95.683	165.4984
1250.000000	95.709	165.6264
1265.000000	95.759	165.8466
1280.000000	95.812	166.0793
1315.000000	95.915	166.6771
1320.000000	95.923	166.7677
1340.000000	95.924	167.1322
1360.000000	95.875	167.4993
1380.000000	95.785	167.8905
1400.000000	95.676	168.3232
1430.000000	95.528	169.0484
1450.000000	95.459	169.5816
1475.000000	95.410	170.3154
1500.000000	95.391	171.1199
1525.000000	95.388	172.0037
1550.000000	95.389	172.9733
1575.000000	95.397	174.0281
1600.000000	95.414	175.1956
1625.000000	95.439	176.4980
1650.000000	95.475	177.8955
1675.000000	95.530	179.3521
1700.000000	95.606	-179.1573
1725.000000	95.705	-177.6433
1750.000000	95.828	-176.1096
