* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 16:02:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Xtra A
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.245	-126.2578
20.600000	105.438	-127.5246
20.900000	105.681	-129.2180
21.200001	105.935	-131.1920
21.400000	106.102	-132.6394
21.799999	106.414	-135.8294
22.000000	106.556	-137.5658
22.400000	106.802	-141.3007
22.700001	106.947	-144.3081
23.000000	107.052	-147.4628
23.299999	107.112	-150.7284
23.600000	107.122	-154.0577
24.000000	107.050	-158.4923
24.299999	106.931	-161.7278
24.700001	106.691	-165.7882
25.000000	106.456	-168.5648
25.400000	106.086	-171.8245
25.799999	105.670	-174.5377
26.200001	105.228	-176.7120
26.500000	104.890	-178.0136
26.900000	104.437	-179.3484
27.200001	104.103	179.9295
27.600000	103.673	179.3127
28.000000	103.269	179.0570
28.500000	102.815	179.1652
29.000000	102.421	179.6348
29.500000	102.082	-179.6393
30.000000	101.794	-178.7284
30.400000	101.597	-177.9063
30.700001	101.468	-177.2585
31.100000	101.321	-176.3827
31.500000	101.201	-175.5205
32.000000	101.084	-174.4858
32.500000	100.999	-173.5022
33.000000	100.941	-172.5646
33.500000	100.905	-171.6736
34.000000	100.888	-170.8375
34.500000	100.887	-170.0661
35.000000	100.897	-169.3676
35.500000	100.916	-168.7455
36.000000	100.942	-168.1960
36.500000	100.974	-167.7097
37.000000	101.009	-167.2764
37.500000	101.049	-166.8915
38.200001	101.108	-166.4375
38.700001	101.152	-166.1772
39.500000	101.226	-165.8677
40.000000	101.275	-165.7327
40.599998	101.336	-165.6188
41.200001	101.399	-165.5458
41.799999	101.463	-165.5009
