* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 18:10:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Zenith +1 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.412	-159.1206
20.600000	70.415	-159.5057
20.900000	70.417	-159.9868
21.200001	70.420	-160.5011
21.400000	70.421	-160.8508
21.799999	70.425	-161.5559
22.000000	70.426	-161.9082
22.400000	70.431	-162.6046
22.700001	70.435	-163.1140
23.000000	70.439	-163.6085
23.299999	70.442	-164.0873
23.600000	70.445	-164.5514
24.000000	70.447	-165.1512
24.299999	70.446	-165.5901
24.700001	70.443	-166.1647
25.000000	70.440	-166.5893
25.400000	70.436	-167.1476
25.799999	70.432	-167.6964
26.200001	70.427	-168.2335
26.500000	70.422	-168.6274
26.900000	70.414	-169.1399
27.200001	70.408	-169.5151
27.600000	70.399	-170.0053
28.000000	70.389	-170.4865
28.500000	70.376	-171.0772
29.000000	70.361	-171.6541
29.500000	70.347	-172.2138
30.000000	70.332	-172.7553
30.400000	70.320	-173.1775
30.700001	70.311	-173.4891
31.100000	70.297	-173.8991
31.500000	70.283	-174.3031
32.000000	70.265	-174.7992
32.500000	70.249	-175.2848
33.000000	70.232	-175.7595
33.500000	70.216	-176.2222
34.000000	70.199	-176.6713
34.500000	70.181	-177.1055
35.000000	70.162	-177.5266
35.500000	70.141	-177.9403
36.000000	70.121	-178.3527
36.500000	70.100	-178.7652
37.000000	70.080	-179.1721
37.500000	70.059	-179.5647
38.200001	70.028	179.9178
38.700001	70.006	179.5651
39.500000	69.971	179.0120
40.000000	69.949	178.6706
40.599998	69.922	178.2688
41.200001	69.896	177.8764
41.799999	69.873	177.4917
42.500000	69.846	177.0529
43.099998	69.821	176.6877
43.700001	69.794	176.3322
44.400002	69.763	175.9263
45.000000	69.735	175.5850
45.500000	69.712	175.3063
46.200001	69.679	174.9265
46.799999	69.650	174.6100
47.500000	69.620	174.2488
48.200001	69.594	173.8948
48.700001	69.579	173.6472
49.400002	69.558	173.3101
50.000000	69.536	173.0305
50.799999	69.497	172.6699
51.500000	69.456	172.3632
52.200001	69.415	172.0621
53.000000	69.371	171.7238
53.799999	69.330	171.3932
54.500000	69.296	171.1114
55.200001	69.263	170.8358
56.000000	69.225	170.5284
57.000000	69.178	170.1558
58.000000	69.130	169.7958
59.000000	69.083	169.4468
60.000000	69.036	169.1080
60.799999	68.999	168.8445
61.500000	68.967	168.6200
62.200001	68.936	168.4014
63.000000	68.901	168.1584
64.000000	68.857	167.8640
65.000000	68.813	167.5795
66.000000	68.768	167.3056
67.000000	68.724	167.0435
68.000000	68.677	166.7925
69.000000	68.629	166.5500
70.000000	68.579	166.3153
71.000000	68.530	166.0903
72.000000	68.482	165.8772
73.000000	68.437	165.6789
74.000000	68.394	165.4984
75.000000	68.352	165.3332
76.199997	68.303	165.1423
77.500000	68.251	164.9400
78.800003	68.200	164.7522
80.000000	68.151	164.5933
81.199997	68.103	164.4469
82.500000	68.054	164.3030
83.800003	68.010	164.1655
85.000000	67.973	164.0327
86.199997	67.936	163.8963
87.500000	67.896	163.7583
88.500000	67.868	163.6611
90.000000	67.828	163.5137
91.199997	67.800	163.3802
92.500000	67.771	163.2071
93.800003	67.740	163.0038
95.000000	67.706	162.8024
96.199997	67.669	162.6006
97.500000	67.624	162.3890
98.800003	67.577	162.1887
100.000000	67.534	162.0157
101.500000	67.482	161.8161
103.000000	67.433	161.6347
104.400002	67.388	161.4802
106.000000	67.335	161.3157
107.500000	67.284	161.1699
109.000000	67.234	161.0336
110.599998	67.180	160.8986
112.000000	67.134	160.7873
113.800003	67.075	160.6537
115.000000	67.036	160.5712
117.199997	66.965	160.4331
118.000000	66.939	160.3865
120.599998	66.858	160.2452
122.000000	66.815	160.1746
124.099998	66.752	160.0764
125.000000	66.726	160.0372
126.500000	66.681	159.9753
128.000000	66.637	159.9172
131.500000	66.535	159.7998
132.000000	66.520	159.7854
134.000000	66.463	159.7327
136.000000	66.406	159.6862
138.000000	66.349	159.6471
140.000000	66.292	159.6171
143.000000	66.210	159.5898
145.000000	66.157	159.5800
147.500000	66.093	159.5668
150.000000	66.031	159.5501
152.500000	65.972	159.5367
155.000000	65.914	159.5325
157.500000	65.854	159.5392
160.000000	65.795	159.5539
162.500000	65.738	159.5745
165.000000	65.686	159.6030
167.500000	65.636	159.6388
170.000000	65.586	159.6793
172.500000	65.537	159.7240
175.000000	65.487	159.7723
177.500000	65.435	159.8248
180.000000	65.378	159.8835
182.500000	65.314	159.9487
185.000000	65.239	160.0190
187.500000	65.155	160.0923
190.000000	65.068	160.1682
192.500000	64.985	160.2470
195.000000	64.915	160.3294
197.500000	64.858	160.4151
200.000000	64.814	160.5040
203.000000	64.777	160.6154
206.000000	64.754	160.7313
209.000000	64.738	160.8517
212.000000	64.719	160.9760
214.000000	64.702	161.0609
218.000000	64.657	161.2357
220.000000	64.630	161.3254
224.000000	64.569	161.5088
227.000000	64.522	161.6497
230.000000	64.473	161.7939
233.000000	64.424	161.9413
236.000000	64.378	162.0911
240.000000	64.318	162.2949
243.000000	64.274	162.4517
247.000000	64.215	162.6627
250.000000	64.171	162.8212
254.000000	64.116	163.0334
258.000000	64.064	163.2485
262.000000	64.013	163.4679
265.000000	63.976	163.6356
269.000000	63.927	163.8629
272.000000	63.892	164.0353
276.000000	63.846	164.2667
280.000000	63.801	164.4988
285.000000	63.747	164.7910
290.000000	63.694	165.0875
295.000000	63.642	165.3858
300.000000	63.591	165.6848
304.000000	63.550	165.9244
307.000000	63.520	166.1048
311.000000	63.479	166.3477
315.000000	63.440	166.5931
320.000000	63.392	166.9017
325.000000	63.347	167.2130
330.000000	63.304	167.5259
335.000000	63.265	167.8383
340.000000	63.230	168.1501
345.000000	63.198	168.4635
350.000000	63.162	168.7791
355.000000	63.121	169.0953
360.000000	63.081	169.4113
365.000000	63.044	169.7281
370.000000	63.011	170.0464
375.000000	62.978	170.3654
382.000000	62.932	170.8124
387.000000	62.900	171.1326
395.000000	62.854	171.6443
400.000000	62.828	171.9640
406.000000	62.797	172.3480
412.000000	62.765	172.7327
418.000000	62.733	173.1185
425.000000	62.698	173.5681
431.000000	62.669	173.9526
