* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 18:13:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Zenith +3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.449	-169.0717
20.600000	71.451	-169.5192
20.900000	71.452	-170.0771
21.200001	71.453	-170.6707
21.400000	71.453	-171.0720
21.799999	71.454	-171.8741
22.000000	71.454	-172.2712
22.400000	71.456	-173.0505
22.700001	71.456	-173.6173
23.000000	71.456	-174.1673
23.299999	71.456	-174.7014
23.600000	71.454	-175.2219
24.000000	71.449	-175.8992
24.299999	71.442	-176.3974
24.700001	71.432	-177.0521
25.000000	71.423	-177.5378
25.400000	71.413	-178.1796
25.799999	71.401	-178.8136
26.200001	71.389	-179.4340
26.500000	71.378	-179.8860
26.900000	71.362	179.5324
27.200001	71.349	179.1106
27.600000	71.332	178.5609
28.000000	71.314	178.0182
28.500000	71.290	177.3470
29.000000	71.261	176.6935
29.500000	71.232	176.0663
30.000000	71.206	175.4561
30.400000	71.185	174.9685
30.700001	71.168	174.6009
31.100000	71.144	174.1130
31.500000	71.118	173.6371
32.000000	71.086	173.0679
32.500000	71.056	172.5200
33.000000	71.028	171.9778
33.500000	70.999	171.4395
34.000000	70.967	170.9193
34.500000	70.934	170.4285
35.000000	70.901	169.9595
35.500000	70.869	169.4952
36.000000	70.835	169.0284
36.500000	70.800	168.5671
37.000000	70.765	168.1214
37.500000	70.731	167.6914
38.200001	70.684	167.1008
38.700001	70.649	166.6827
39.500000	70.591	166.0343
40.000000	70.555	165.6460
40.599998	70.512	165.1905
41.200001	70.471	164.7403
41.799999	70.430	164.2996
42.500000	70.382	163.8078
43.099998	70.341	163.4051
43.700001	70.300	163.0090
44.400002	70.254	162.5421
45.000000	70.213	162.1381
45.500000	70.177	161.8063
46.200001	70.125	161.3648
46.799999	70.081	161.0136
47.500000	70.033	160.6274
48.200001	69.991	160.2492
48.700001	69.963	159.9774
49.400002	69.923	159.5954
50.000000	69.883	159.2734
50.799999	69.817	158.8658
51.500000	69.753	158.5375
52.200001	69.691	158.2345
53.000000	69.626	157.9059
53.799999	69.567	157.5779
54.500000	69.518	157.2818
55.200001	69.469	156.9774
56.000000	69.412	156.6270
57.000000	69.336	156.2014
58.000000	69.259	155.8063
59.000000	69.183	155.4476
60.000000	69.108	155.1153
60.799999	69.051	154.8589
61.500000	69.002	154.6385
62.200001	68.954	154.4227
63.000000	68.901	154.1847
64.000000	68.836	153.9029
65.000000	68.770	153.6360
66.000000	68.703	153.3780
67.000000	68.635	153.1247
68.000000	68.566	152.8757
69.000000	68.495	152.6337
70.000000	68.425	152.4025
71.000000	68.357	152.1841
72.000000	68.292	151.9780
73.000000	68.230	151.7831
74.000000	68.168	151.5987
75.000000	68.107	151.4248
76.199997	68.032	151.2305
77.500000	67.950	151.0428
78.800003	67.866	150.8868
80.000000	67.789	150.7726
81.199997	67.713	150.6831
82.500000	67.634	150.6029
83.800003	67.562	150.5289
85.000000	67.502	150.4674
86.199997	67.446	150.4185
87.500000	67.385	150.3766
88.500000	67.338	150.3408
90.000000	67.268	150.2578
91.199997	67.215	150.1599
92.500000	67.159	150.0334
93.800003	67.103	149.8978
95.000000	67.049	149.7667
96.199997	66.991	149.6320
97.500000	66.928	149.4940
98.800003	66.863	149.3773
100.000000	66.804	149.2906
101.500000	66.733	149.2046
103.000000	66.666	149.1415
104.400002	66.603	149.0997
106.000000	66.530	149.0645
107.500000	66.461	149.0410
109.000000	66.393	149.0232
110.599998	66.320	149.0058
112.000000	66.257	148.9880
113.800003	66.178	148.9611
115.000000	66.126	148.9431
117.199997	66.032	148.9120
118.000000	65.998	148.9016
120.599998	65.893	148.8814
122.000000	65.838	148.8832
124.099998	65.758	148.9030
125.000000	65.724	148.9174
126.500000	65.667	148.9493
128.000000	65.611	148.9896
131.500000	65.483	149.1059
132.000000	65.466	149.1247
134.000000	65.396	149.2031
136.000000	65.327	149.2820
138.000000	65.259	149.3585
140.000000	65.191	149.4358
143.000000	65.092	149.5605
145.000000	65.028	149.6527
147.500000	64.949	149.7769
150.000000	64.871	149.9087
152.500000	64.797	150.0490
155.000000	64.725	150.1961
157.500000	64.651	150.3471
160.000000	64.578	150.5016
162.500000	64.508	150.6603
165.000000	64.444	150.8235
167.500000	64.382	150.9916
170.000000	64.322	151.1628
172.500000	64.263	151.3338
175.000000	64.206	151.5066
177.500000	64.147	151.6828
180.000000	64.085	151.8639
182.500000	64.015	152.0496
185.000000	63.936	152.2355
187.500000	63.848	152.4206
190.000000	63.758	152.6074
192.500000	63.674	152.7966
195.000000	63.601	152.9871
197.500000	63.543	153.1794
200.000000	63.497	153.3759
203.000000	63.459	153.6193
206.000000	63.435	153.8688
209.000000	63.418	154.1177
212.000000	63.399	154.3638
214.000000	63.382	154.5267
218.000000	63.337	154.8513
220.000000	63.311	155.0142
224.000000	63.252	155.3419
227.000000	63.205	155.5892
230.000000	63.157	155.8352
233.000000	63.109	156.0832
236.000000	63.063	156.3357
240.000000	63.005	156.6729
243.000000	62.962	156.9252
247.000000	62.905	157.2581
250.000000	62.863	157.5015
254.000000	62.809	157.8231
258.000000	62.757	158.1551
262.000000	62.708	158.5010
265.000000	62.673	158.7639
269.000000	62.630	159.1086
272.000000	62.599	159.3585
276.000000	62.558	159.6783
280.000000	62.518	159.9884
285.000000	62.470	160.3771
290.000000	62.424	160.7810
295.000000	62.376	161.2000
300.000000	62.326	161.6207
304.000000	62.285	161.9512
307.000000	62.255	162.1944
311.000000	62.217	162.5138
315.000000	62.180	162.8323
320.000000	62.137	163.2374
325.000000	62.098	163.6488
330.000000	62.064	164.0548
335.000000	62.037	164.4429
340.000000	62.015	164.8137
345.000000	61.994	165.1776
350.000000	61.968	165.5493
