* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 17:41:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Delci AE Silver R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.677	-161.3850
20.600000	73.669	-161.8443
20.900000	73.658	-162.4220
21.200001	73.646	-163.0441
21.400000	73.638	-163.4689
21.799999	73.620	-164.3272
22.000000	73.612	-164.7557
22.400000	73.596	-165.5997
22.700001	73.584	-166.2139
23.000000	73.572	-166.8081
23.299999	73.562	-167.3826
23.600000	73.551	-167.9407
24.000000	73.536	-168.6666
24.299999	73.524	-169.2018
24.700001	73.505	-169.9062
25.000000	73.490	-170.4271
25.400000	73.470	-171.1090
25.799999	73.448	-171.7731
26.200001	73.426	-172.4179
26.500000	73.409	-172.8892
26.900000	73.386	-173.5031
27.200001	73.367	-173.9543
27.600000	73.343	-174.5459
28.000000	73.318	-175.1280
28.500000	73.287	-175.8432
29.000000	73.256	-176.5442
29.500000	73.225	-177.2288
30.000000	73.194	-177.8952
30.400000	73.169	-178.4151
30.700001	73.149	-178.7977
31.100000	73.123	-179.2987
31.500000	73.096	-179.7904
32.000000	73.062	179.6067
32.500000	73.030	179.0154
33.000000	72.999	178.4348
33.500000	72.967	177.8649
34.000000	72.936	177.3079
34.500000	72.904	176.7664
35.000000	72.870	176.2413
35.500000	72.836	175.7298
36.000000	72.802	175.2278
36.500000	72.767	174.7331
37.000000	72.733	174.2457
37.500000	72.698	173.7667
38.200001	72.649	173.1085
38.700001	72.613	172.6465
39.500000	72.554	171.9251
40.000000	72.517	171.4883
40.599998	72.474	170.9766
41.200001	72.432	170.4738
41.799999	72.392	169.9806
42.500000	72.346	169.4234
43.099998	72.306	168.9624
43.700001	72.265	168.5117
44.400002	72.217	167.9936
45.000000	72.174	167.5567
45.500000	72.138	167.1995
46.200001	72.088	166.7120
46.799999	72.046	166.3077
