* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 17:34:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Kefine Klean B R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.955	-152.1040
20.600000	72.959	-152.6281
20.900000	72.962	-153.2853
21.200001	72.963	-153.9884
21.400000	72.964	-154.4651
21.799999	72.963	-155.4193
22.000000	72.962	-155.8922
22.400000	72.962	-156.8213
22.700001	72.962	-157.4993
23.000000	72.963	-158.1597
23.299999	72.965	-158.8032
23.600000	72.967	-159.4319
24.000000	72.968	-160.2507
24.299999	72.967	-160.8519
24.700001	72.963	-161.6368
25.000000	72.958	-162.2125
25.400000	72.951	-162.9629
25.799999	72.942	-163.6946
26.200001	72.933	-164.4104
26.500000	72.924	-164.9383
26.900000	72.911	-165.6311
27.200001	72.900	-166.1417
27.600000	72.884	-166.8089
28.000000	72.867	-167.4588
28.500000	72.846	-168.2473
29.000000	72.825	-169.0158
29.500000	72.805	-169.7737
30.000000	72.785	-170.5254
30.400000	72.768	-171.1203
30.700001	72.754	-171.5603
31.100000	72.734	-172.1361
31.500000	72.714	-172.6984
32.000000	72.690	-173.3833
32.500000	72.667	-174.0502
33.000000	72.643	-174.6999
33.500000	72.618	-175.3318
34.000000	72.592	-175.9463
34.500000	72.565	-176.5457
35.000000	72.537	-177.1328
35.500000	72.509	-177.7092
36.000000	72.480	-178.2753
36.500000	72.452	-178.8314
37.000000	72.425	-179.3776
37.500000	72.396	-179.9138
38.200001	72.354	179.3537
38.700001	72.321	178.8444
39.500000	72.267	178.0541
40.000000	72.234	177.5745
40.599998	72.194	177.0114
41.200001	72.157	176.4601
41.799999	72.122	175.9188
42.500000	72.081	175.3010
43.099998	72.043	174.7888
43.700001	72.004	174.2974
44.400002	71.959	173.7458
45.000000	71.922	173.2797
45.500000	71.890	172.8904
46.200001	71.845	172.3476
46.799999	71.805	171.8926
47.500000	71.760	171.3785
48.200001	71.720	170.8801
48.700001	71.695	170.5332
49.400002	71.660	170.0615
50.000000	71.626	169.6696
50.799999	71.570	169.1592
51.500000	71.516	168.7205
52.200001	71.461	168.2902
53.000000	71.402	167.8130
53.799999	71.346	167.3523
54.500000	71.298	166.9605
55.200001	71.251	166.5768
56.000000	71.198	166.1477
57.000000	71.131	165.6277
58.000000	71.065	165.1278
59.000000	70.999	164.6450
60.000000	70.933	164.1762
60.799999	70.881	163.8116
61.500000	70.835	163.5010
62.200001	70.791	163.1993
63.000000	70.740	162.8655
64.000000	70.677	162.4613
65.000000	70.615	162.0683
66.000000	70.553	161.6860
67.000000	70.491	161.3141
68.000000	70.429	160.9546
