* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 17:32:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Kefine Klean
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.020	-150.9622
20.600000	73.025	-151.5054
20.900000	73.030	-152.1855
21.200001	73.033	-152.9097
21.400000	73.035	-153.3975
21.799999	73.037	-154.3653
22.000000	73.038	-154.8411
22.400000	73.041	-155.7714
22.700001	73.044	-156.4496
23.000000	73.047	-157.1119
23.299999	73.049	-157.7600
23.600000	73.051	-158.3957
24.000000	73.049	-159.2265
24.299999	73.045	-159.8386
24.700001	73.039	-160.6424
25.000000	73.034	-161.2368
25.400000	73.028	-162.0178
25.799999	73.020	-162.7828
26.200001	73.012	-163.5268
26.500000	73.004	-164.0689
26.900000	72.993	-164.7709
27.200001	72.984	-165.2845
27.600000	72.971	-165.9581
28.000000	72.957	-166.6244
28.500000	72.939	-167.4501
29.000000	72.920	-168.2639
29.500000	72.900	-169.0591
30.000000	72.880	-169.8314
30.400000	72.863	-170.4317
30.700001	72.849	-170.8715
31.100000	72.830	-171.4442
31.500000	72.810	-172.0027
32.000000	72.786	-172.6856
32.500000	72.763	-173.3571
33.000000	72.740	-174.0200
33.500000	72.716	-174.6722
34.000000	72.691	-175.3104
34.500000	72.666	-175.9339
35.000000	72.640	-176.5442
35.500000	72.612	-177.1419
36.000000	72.584	-177.7265
36.500000	72.556	-178.2972
37.000000	72.528	-178.8544
37.500000	72.500	-179.3989
38.200001	72.458	179.8594
38.700001	72.426	179.3433
39.500000	72.375	178.5360
40.000000	72.342	178.0406
40.599998	72.303	177.4564
41.200001	72.266	176.8847
41.799999	72.231	176.3258
42.500000	72.191	175.6899
43.099998	72.155	175.1596
43.700001	72.118	174.6420
44.400002	72.073	174.0499
45.000000	72.035	173.5508
45.500000	72.002	173.1426
46.200001	71.956	172.5869
46.799999	71.917	172.1257
47.500000	71.874	171.6054
48.200001	71.833	171.1050
48.700001	71.807	170.7586
49.400002	71.771	170.2834
50.000000	71.737	169.8810
50.799999	71.681	169.3516
51.500000	71.626	168.8977
52.200001	71.572	168.4513
53.000000	71.512	167.9496
53.799999	71.456	167.4620
54.500000	71.408	167.0505
55.200001	71.361	166.6508
56.000000	71.307	166.2039
57.000000	71.238	165.6603
58.000000	71.170	165.1383
59.000000	71.104	164.6394
60.000000	71.039	164.1583
60.799999	70.988	163.7817
61.500000	70.944	163.4567
62.200001	70.900	163.1352
63.000000	70.849	162.7724
64.000000	70.785	162.3306
65.000000	70.720	161.9079
66.000000	70.656	161.5040
67.000000	70.593	161.1163
68.000000	70.529	160.7481
69.000000	70.463	160.4001
70.000000	70.395	160.0618
71.000000	70.328	159.7210
72.000000	70.265	159.3798
73.000000	70.204	159.0510
74.000000	70.146	158.7425
75.000000	70.087	158.4532
76.199997	70.014	158.1232
77.500000	69.936	157.7748
78.800003	69.861	157.4345
80.000000	69.794	157.1359
81.199997	69.728	156.8591
82.500000	69.658	156.5878
83.800003	69.587	156.3494
85.000000	69.519	156.1487
86.199997	69.447	155.9429
87.500000	69.367	155.6916
88.500000	69.309	155.4745
90.000000	69.227	155.1368
91.199997	69.166	154.8914
92.500000	69.100	154.6656
93.800003	69.031	154.4635
95.000000	68.965	154.2797
96.199997	68.897	154.0965
97.500000	68.824	153.9076
98.800003	68.750	153.7331
100.000000	68.684	153.5799
101.500000	68.606	153.3967
103.000000	68.533	153.2337
104.400002	68.465	153.0964
106.000000	68.386	152.9414
107.500000	68.312	152.8046
109.000000	68.237	152.6806
110.599998	68.156	152.5538
112.000000	68.087	152.4515
113.800003	67.999	152.3346
115.000000	67.940	152.2636
117.199997	67.835	152.1514
118.000000	67.797	152.1151
120.599998	67.678	152.0087
122.000000	67.615	151.9585
124.099998	67.522	151.8861
125.000000	67.483	151.8556
126.500000	67.416	151.8060
128.000000	67.349	151.7601
131.500000	67.192	151.6844
132.000000	67.169	151.6782
134.000000	67.079	151.6641
136.000000	66.989	151.6641
138.000000	66.898	151.6752
140.000000	66.806	151.6988
143.000000	66.669	151.7651
145.000000	66.578	151.8333
147.500000	66.465	151.9466
150.000000	66.351	152.0920
152.500000	66.240	152.2774
155.000000	66.129	152.5193
157.500000	66.018	152.8344
160.000000	65.914	153.2301
162.500000	65.823	153.6915
165.000000	65.752	154.1751
167.500000	65.697	154.6178
170.000000	65.646	154.9739
172.500000	65.587	155.2626
175.000000	65.512	155.5642
177.500000	65.422	155.9752
180.000000	65.325	156.5670
182.500000	65.233	157.3679
185.000000	65.162	158.3511
187.500000	65.129	159.4218
190.000000	65.148	160.4161
192.500000	65.219	161.1446
195.000000	65.325	161.4780
197.500000	65.437	161.4047
200.000000	65.533	161.0156
203.000000	65.608	160.3298
206.000000	65.641	159.6049
209.000000	65.639	158.9709
212.000000	65.609	158.4766
214.000000	65.576	158.2246
218.000000	65.492	157.8713
220.000000	65.444	157.7525
224.000000	65.342	157.6006
227.000000	65.261	157.5507
230.000000	65.178	157.5505
233.000000	65.095	157.5943
236.000000	65.016	157.6761
240.000000	64.914	157.8372
243.000000	64.842	157.9930
247.000000	64.749	158.2374
250.000000	64.684	158.4380
254.000000	64.606	158.7099
258.000000	64.536	158.9695
262.000000	64.466	159.2067
265.000000	64.414	159.3739
269.000000	64.342	159.5972
272.000000	64.287	159.7743
276.000000	64.213	160.0312
280.000000	64.139	160.3152
285.000000	64.047	160.7071
290.000000	63.955	161.1417
295.000000	63.866	161.6275
300.000000	63.779	162.1725
304.000000	63.711	162.6570
307.000000	63.664	163.0516
311.000000	63.607	163.6199
315.000000	63.561	164.2278
320.000000	63.523	165.0057
325.000000	63.507	165.7451
330.000000	63.509	166.3923
335.000000	63.524	166.9220
340.000000	63.544	167.3444
345.000000	63.563	167.6790
350.000000	63.575	167.9323
355.000000	63.576	168.1078
360.000000	63.566	168.2249
365.000000	63.546	168.3188
370.000000	63.518	168.4246
375.000000	63.481	168.5632
382.000000	63.423	168.8236
387.000000	63.381	169.0497
395.000000	63.316	169.4573
400.000000	63.278	169.7341
406.000000	63.233	170.0855
412.000000	63.188	170.4565
418.000000	63.143	170.8454
425.000000	63.093	171.3168
431.000000	63.053	171.7305
437.000000	63.014	172.1494
444.000000	62.970	172.6448
450.000000	62.936	173.0763
