* Measurement data measured by REW V5.31.1
* Source: M:\Simgot Supermix 4\Kiwi Ears Quintet L.txt
* Format: Comma/Tab/Space delimited data
* Dated: 20-Jun-2024 14:03:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Kiwi Ears Quintet L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)
20.600000	69.202
20.900000	69.204
21.200001	69.205
21.400000	69.207
21.799999	69.209
22.000000	69.210
22.400000	69.213
22.700001	69.215
23.000000	69.216
23.299999	69.218
23.600000	69.219
24.000000	69.221
24.299999	69.222
24.700001	69.224
25.000000	69.224
25.400000	69.225
25.799999	69.226
26.200001	69.226
26.500000	69.226
26.900000	69.225
27.200001	69.224
27.600000	69.223
28.000000	69.221
28.500000	69.218
29.000000	69.214
29.500000	69.209
30.000000	69.203
30.400000	69.196
30.700001	69.190
31.100000	69.180
31.500000	69.169
32.000000	69.154
32.500000	69.138
33.000000	69.121
33.500000	69.103
34.000000	69.084
34.500000	69.065
35.000000	69.044
35.500000	69.023
36.000000	69.001
36.500000	68.978
37.000000	68.954
37.500000	68.930
38.200001	68.895
38.700001	68.869
39.500000	68.827
40.000000	68.800
40.599998	68.767
41.200001	68.733
41.799999	68.700
42.500000	68.659
43.099998	68.624
43.700001	68.589
44.400002	68.547
45.000000	68.511
45.500000	68.481
46.200001	68.438
46.799999	68.401
47.500000	68.357
48.200001	68.313
48.700001	68.282
49.400002	68.239
50.000000	68.202
50.799999	68.154
51.500000	68.112
52.200001	68.071
53.000000	68.023
53.799999	67.976
54.500000	67.934
55.200001	67.892
56.000000	67.844
57.000000	67.784
58.000000	67.723
59.000000	67.661
60.000000	67.598
60.799999	67.547
61.500000	67.501
62.200001	67.456
63.000000	67.403
64.000000	67.337
65.000000	67.271
66.000000	67.206
67.000000	67.140
68.000000	67.074
69.000000	67.008
70.000000	66.943
71.000000	66.877
72.000000	66.812
73.000000	66.747
74.000000	66.682
75.000000	66.618
76.199997	66.541
77.500000	66.459
78.800003	66.377
80.000000	66.304
81.199997	66.231
82.500000	66.154
83.800003	66.079
85.000000	66.010
86.199997	65.941
87.500000	65.868
88.500000	65.812
90.000000	65.730
91.199997	65.664
92.500000	65.594
93.800003	65.524
95.000000	65.460
96.199997	65.397
97.500000	65.330
98.800003	65.263
100.000000	65.201
101.500000	65.125
103.000000	65.048
104.400002	64.978
106.000000	64.898
107.500000	64.823
109.000000	64.750
110.599998	64.671
112.000000	64.604
113.800003	64.517
115.000000	64.460
117.199997	64.357
118.000000	64.320
120.599998	64.200
122.000000	64.136
124.099998	64.041
125.000000	64.001
126.500000	63.933
128.000000	63.866
131.500000	63.713
132.000000	63.691
134.000000	63.606
136.000000	63.523
138.000000	63.442
140.000000	63.363
143.000000	63.249
145.000000	63.176
147.500000	63.088
150.000000	63.004
152.500000	62.923
155.000000	62.844
157.500000	62.767
160.000000	62.691
162.500000	62.616
165.000000	62.544
167.500000	62.472
170.000000	62.402
172.500000	62.334
175.000000	62.267
177.500000	62.202
180.000000	62.139
182.500000	62.078
185.000000	62.018
187.500000	61.961
190.000000	61.905
192.500000	61.852
195.000000	61.802
197.500000	61.755
200.000000	61.712
203.000000	61.667
206.000000	61.627
209.000000	61.592
212.000000	61.560
214.000000	61.540
218.000000	61.503
220.000000	61.486
224.000000	61.455
227.000000	61.433
230.000000	61.413
233.000000	61.394
236.000000	61.376
240.000000	61.353
243.000000	61.335
247.000000	61.311
250.000000	61.291
254.000000	61.260
258.000000	61.227
262.000000	61.194
265.000000	61.169
269.000000	61.136
272.000000	61.113
276.000000	61.081
280.000000	61.050
285.000000	61.012
290.000000	60.974
295.000000	60.936
300.000000	60.898
304.000000	60.867
307.000000	60.844
311.000000	60.813
315.000000	60.781
320.000000	60.742
325.000000	60.704
330.000000	60.665
335.000000	60.627
340.000000	60.590
345.000000	60.553
350.000000	60.517
355.000000	60.482
360.000000	60.447
365.000000	60.413
370.000000	60.380
375.000000	60.347
382.000000	60.304
387.000000	60.275
395.000000	60.231
400.000000	60.207
406.000000	60.181
412.000000	60.159
418.000000	60.139
425.000000	60.119
431.000000	60.103
437.000000	60.088
444.000000	60.073
450.000000	60.061
455.000000	60.052
462.000000	60.041
468.000000	60.032
475.000000	60.023
482.000000	60.016
487.000000	60.010
494.000000	60.003
500.000000	59.996
508.000000	59.984
515.000000	59.973
522.000000	59.961
530.000000	59.948
538.000000	59.934
545.000000	59.923
552.000000	59.911
560.000000	59.898
570.000000	59.883
580.000000	59.867
590.000000	59.852
600.000000	59.838
608.000000	59.827
615.000000	59.817
622.000000	59.808
630.000000	59.798
640.000000	59.785
650.000000	59.774
660.000000	59.763
670.000000	59.753
680.000000	59.743
690.000000	59.735
700.000000	59.727
710.000000	59.720
720.000000	59.714
730.000000	59.709
740.000000	59.705
750.000000	59.702
762.000000	59.699
775.000000	59.699
788.000000	59.703
800.000000	59.710
812.000000	59.724
825.000000	59.745
838.000000	59.771
850.000000	59.800
862.000000	59.831
875.000000	59.870
885.000000	59.901
900.000000	59.953
912.000000	59.998
925.000000	60.050
938.000000	60.105
950.000000	60.159
962.000000	60.215
975.000000	60.279
988.000000	60.346
1000.000000	60.411
1015.000000	60.496
1030.000000	60.585
1044.000000	60.671
1060.000000	60.771
1075.000000	60.866
1090.000000	60.962
1106.000000	61.065
1120.000000	61.155
1138.000000	61.271
1150.000000	61.346
1172.000000	61.483
1180.000000	61.531
1206.000000	61.679
1220.000000	61.753
1241.000000	61.856
1250.000000	61.898
1265.000000	61.967
1280.000000	62.035
1315.000000	62.187
1320.000000	62.208
1340.000000	62.291
1360.000000	62.373
1380.000000	62.453
1400.000000	62.532
1430.000000	62.646
1450.000000	62.721
1475.000000	62.812
1500.000000	62.901
1525.000000	62.987
1550.000000	63.072
1575.000000	63.154
1600.000000	63.235
1625.000000	63.315
1650.000000	63.393
1675.000000	63.471
1700.000000	63.549
1725.000000	63.627
1750.000000	63.706
1775.000000	63.789
1800.000000	63.881
1825.000000	63.985
1850.000000	64.102
1875.000000	64.231
1900.000000	64.365
1925.000000	64.501
1950.000000	64.635
1975.000000	64.763
2000.000000	64.882
2030.000000	65.012
2060.000000	65.133
2090.000000	65.250
2120.000000	65.365
2140.000000	65.442
2180.000000	65.600
2200.000000	65.683
2240.000000	65.864
2270.000000	66.023
2300.000000	66.208
2330.000000	66.415
2360.000000	66.631
2400.000000	66.904
2430.000000	67.089
2470.000000	67.305
2500.000000	67.450
2540.000000	67.626
2580.000000	67.790
2620.000000	67.945
2650.000000	68.056
2690.000000	68.194
2720.000000	68.290
2760.000000	68.404
2800.000000	68.500
2850.000000	68.593
2900.000000	68.656
2950.000000	68.691
3000.000000	68.705
3040.000000	68.703
3070.000000	68.691
3110.000000	68.658
3150.000000	68.606
3200.000000	68.516
3250.000000	68.401
3300.000000	68.272
3350.000000	68.134
3400.000000	67.991
3450.000000	67.843
3500.000000	67.690
3550.000000	67.535
3600.000000	67.380
3650.000000	67.231
3700.000000	67.088
3750.000000	66.955
3820.000000	66.788
3870.000000	66.683
3950.000000	66.549
4000.000000	66.488
4060.000000	66.441
4120.000000	66.419
4180.000000	66.414
4250.000000	66.421
4310.000000	66.432
4370.000000	66.447
4440.000000	66.468
4500.000000	66.489
4550.000000	66.508
4620.000000	66.537
4680.000000	66.563
4750.000000	66.594
4820.000000	66.626
4870.000000	66.647
4940.000000	66.673
5000.000000	66.689
5080.000000	66.697
5150.000000	66.688
5220.000000	66.658
5300.000000	66.586
5380.000000	66.462
5450.000000	66.315
5520.000000	66.144
5600.000000	65.930
5700.000000	65.646
5800.000000	65.356
5900.000000	65.069
6000.000000	64.796
6080.000000	64.604
6150.000000	64.470
6220.000000	64.388
6300.000000	64.383
6400.000000	64.539
6500.000000	64.897
6600.000000	65.447
6700.000000	66.148
6800.000000	66.938
6900.000000	67.727
7000.000000	68.439
7100.000000	69.031
7200.000000	69.448
7300.000000	69.615
7400.000000	69.484
7500.000000	69.057
7620.000000	68.223
7750.000000	67.029
7880.000000	65.622
8000.000000	64.218
8120.000000	62.819
8250.000000	61.414
8380.000000	60.167
8500.000000	59.159
8620.000000	58.290
8750.000000	57.523
8850.000000	57.069
9000.000000	56.609
9120.000000	56.419
9250.000000	56.389
9380.000000	56.539
9500.000000	56.804
9620.000000	57.131
9750.000000	57.493
9880.000000	57.812
10000.000000	58.034
10150.000000	58.183
10300.000000	58.179
10440.000000	58.050
10600.000000	57.792
10750.000000	57.491
10900.000000	57.186
11060.000000	56.898
11200.000000	56.697
11380.000000	56.533
11500.000000	56.498
11720.000000	56.606
11800.000000	56.696
12060.000000	57.121
12200.000000	57.400
12410.000000	57.826
12500.000000	57.996
12650.000000	58.242
12800.000000	58.427
13150.000000	58.589
13200.000000	58.589
13400.000000	58.572
13600.000000	58.583
13800.000000	58.673
14000.000000	58.814
14300.000000	58.820
14500.000000	58.492
14750.000000	57.650
15000.000000	56.432
15250.000000	55.067
15500.000000	53.846
15750.000000	52.960
16000.000000	52.372
16250.000000	51.929
16500.000000	51.512
16750.000000	51.044
17000.000000	50.467
17250.000000	49.754
17500.000000	48.930
17750.000000	48.051
18000.000000	47.159
18250.000000	46.268
18500.000000	45.389
18750.000000	44.576
