* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Mar-2025 16:31:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ME ANC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.428	128.7671
20.600000	76.929	127.2173
20.900000	76.185	125.6585
21.200001	75.310	124.6062
21.400000	74.736	124.2390
21.799999	73.840	123.8832
22.000000	73.586	123.6010
22.400000	73.448	122.4145
22.700001	73.554	121.1338
23.000000	73.729	119.8834
23.299999	73.911	118.9218
23.600000	74.070	118.3149
24.000000	74.215	117.8778
24.299999	74.258	117.6426
24.700001	74.221	117.2958
25.000000	74.133	117.0092
25.400000	73.968	116.6420
25.799999	73.784	116.3083
26.200001	73.578	116.0191
26.500000	73.390	115.8983
26.900000	73.074	116.0370
27.200001	72.797	116.4497
27.600000	72.412	117.3240
28.000000	72.055	118.1964
28.500000	71.651	118.6941
29.000000	71.248	118.6324
29.500000	70.868	118.8511
30.000000	70.641	119.7206
30.400000	70.608	120.4133
30.700001	70.634	120.5967
31.100000	70.665	120.2581
31.500000	70.636	119.4070
32.000000	70.519	118.0746
32.500000	70.371	116.8263
33.000000	70.234	115.9299
33.500000	70.126	115.6872
34.000000	70.089	116.2112
34.500000	70.163	117.0519
35.000000	70.298	117.5416
35.500000	70.387	117.6000
36.000000	70.383	117.7957
36.500000	70.339	118.6088
37.000000	70.323	119.8452
37.500000	70.321	120.8928
38.200001	70.235	121.3974
38.700001	70.112	121.0209
39.500000	69.910	118.9682
40.000000	69.762	117.0820
40.599998	69.517	115.4556
41.200001	69.280	115.6063
41.799999	69.173	117.0658
42.500000	69.138	118.4162
43.099998	69.032	118.7788
43.700001	68.902	119.0267
44.400002	68.937	119.3168
45.000000	69.117	119.0461
45.500000	69.239	118.4942
46.200001	69.237	117.9880
46.799999	69.133	118.1210
47.500000	69.037	118.3043
48.200001	69.004	117.8304
48.700001	68.991	117.3004
49.400002	68.963	116.9741
50.000000	68.932	117.2871
50.799999	68.871	117.9862
51.500000	68.793	118.1961
52.200001	68.717	117.7662
53.000000	68.650	116.7180
53.799999	68.576	115.6409
54.500000	68.490	115.0872
55.200001	68.410	114.9806
56.000000	68.373	115.1328
57.000000	68.384	115.1967
58.000000	68.342	114.9944
59.000000	68.209	114.7429
60.000000	68.087	114.4776
60.799999	68.056	114.1643
61.500000	68.075	113.8293
62.200001	68.116	113.5251
63.000000	68.163	113.3404
64.000000	68.196	113.4651
65.000000	68.192	113.7447
66.000000	68.156	113.6794
67.000000	68.109	113.0033
68.000000	68.059	111.9312
69.000000	67.998	110.9563
70.000000	67.929	110.2788
71.000000	67.853	109.8401
72.000000	67.780	109.6315
73.000000	67.728	109.5891
74.000000	67.699	109.4976
75.000000	67.679	109.1851
76.199997	67.654	108.6203
77.500000	67.647	108.0001
78.800003	67.672	107.2771
80.000000	67.704	106.4965
81.199997	67.731	105.7190
82.500000	67.732	104.9308
83.800003	67.700	104.2532
85.000000	67.666	103.7421
86.199997	67.643	103.2870
87.500000	67.628	102.7629
88.500000	67.616	102.3442
90.000000	67.582	101.8072
91.199997	67.530	101.4803
92.500000	67.458	101.2228
93.800003	67.380	101.1537
95.000000	67.299	101.2547
96.199997	67.211	101.3029
97.500000	67.118	101.0659
98.800003	67.053	100.4630
100.000000	67.037	99.6882
101.500000	67.066	98.7402
103.000000	67.088	98.0197
