* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Mar-2025 16:32:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ME Country Style L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.771	-103.1381
20.600000	66.909	-99.3142
20.900000	67.797	-98.0669
21.200001	69.240	-101.9886
21.400000	70.243	-106.8316
21.799999	71.884	-118.1012
22.000000	72.428	-123.1930
22.400000	72.911	-130.2535
22.700001	72.834	-131.6928
23.000000	72.620	-129.2622
23.299999	72.584	-123.9306
23.600000	72.904	-118.6702
24.000000	73.615	-116.7865
24.299999	74.029	-120.0936
24.700001	74.179	-129.3834
25.000000	74.010	-138.4608
25.400000	73.595	-150.4463
25.799999	73.297	-159.0961
26.200001	73.454	-163.1597
26.500000	73.890	-164.3422
26.900000	74.618	-165.8288
27.200001	75.050	-167.7751
27.600000	75.281	-171.5358
28.000000	75.063	-175.9602
28.500000	74.274	178.9456
29.000000	73.217	175.6707
29.500000	72.291	174.7016
30.000000	71.757	175.2885
30.400000	71.628	176.0120
30.700001	71.669	176.3132
31.100000	71.849	176.0899
31.500000	72.106	175.0189
32.000000	72.420	172.6666
32.500000	72.614	169.7148
33.000000	72.597	166.7217
33.500000	72.307	164.0210
34.000000	71.737	161.7498
34.500000	70.954	159.9275
35.000000	70.125	158.4362
35.500000	69.467	157.0348
36.000000	69.111	155.6151
36.500000	69.014	154.4573
37.000000	69.045	154.0390
37.500000	69.110	154.5890
38.200001	69.214	156.4079
38.700001	69.289	157.6252
39.500000	69.333	158.4744
40.000000	69.280	158.4896
40.599998	69.163	158.3321
41.200001	69.039	157.9141
41.799999	68.923	156.9764
42.500000	68.779	155.3842
43.099998	68.672	154.1271
43.700001	68.611	153.2710
44.400002	68.558	152.7313
45.000000	68.452	152.6693
45.500000	68.312	152.9766
46.200001	68.125	153.7368
46.799999	68.055	154.0596
47.500000	68.085	153.4148
48.200001	68.175	151.9775
48.700001	68.264	150.9012
49.400002	68.424	149.5795
50.000000	68.560	148.5318
50.799999	68.662	147.2726
51.500000	68.681	146.6175
52.200001	68.693	146.5185
53.000000	68.714	146.8004
53.799999	68.692	147.0369
54.500000	68.608	146.8959
55.200001	68.487	146.3568
56.000000	68.392	145.4659
57.000000	68.430	144.5546
58.000000	68.554	144.4046
59.000000	68.596	144.5283
60.000000	68.498	144.2330
60.799999	68.435	143.7322
61.500000	68.460	143.1357
62.200001	68.513	142.5366
63.000000	68.540	142.1447
64.000000	68.527	141.9291
65.000000	68.495	141.3409
66.000000	68.477	140.6736
67.000000	68.518	140.2646
68.000000	68.562	139.7431
