* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Mar-2025 16:33:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ME Old Studio L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.410	174.0018
20.600000	72.869	166.5508
20.900000	73.016	158.4348
21.200001	72.626	151.4037
21.400000	72.033	147.9205
21.799999	70.107	145.9485
22.000000	68.901	148.7694
22.400000	66.781	163.0113
22.700001	66.131	174.0006
23.000000	66.138	177.7406
23.299999	66.212	174.4407
23.600000	66.026	166.9136
24.000000	65.328	155.4150
24.299999	64.635	149.3497
24.700001	64.018	148.3510
25.000000	64.163	152.1150
25.400000	65.034	157.3603
25.799999	65.917	158.7921
26.200001	66.276	156.9664
26.500000	66.134	154.7188
26.900000	65.498	152.0897
27.200001	64.836	151.2236
27.600000	64.008	152.1951
28.000000	63.555	155.1701
28.500000	63.638	159.5161
29.000000	64.140	162.4110
29.500000	64.722	162.9604
30.000000	65.184	161.2096
30.400000	65.386	158.7945
30.700001	65.422	156.9908
31.100000	65.325	155.4358
31.500000	65.116	155.6070
32.000000	64.812	158.5296
32.500000	64.539	163.2508
33.000000	64.248	167.8214
33.500000	63.863	171.1225
34.000000	63.446	172.9869
34.500000	63.190	173.5307
35.000000	63.212	173.0182
35.500000	63.423	172.0559
36.000000	63.636	171.3601
36.500000	63.738	171.2985
37.000000	63.730	171.7201
37.500000	63.684	172.1394
38.200001	63.691	171.9821
38.700001	63.775	171.4154
39.500000	63.930	170.8601
40.000000	63.978	171.2135
40.599998	64.010	172.1374
41.200001	64.089	172.7673
41.799999	64.243	172.4588
42.500000	64.459	171.3896
43.099998	64.606	170.9442
43.700001	64.681	171.5614
44.400002	64.669	173.4337
45.000000	64.593	175.3024
45.500000	64.502	176.5220
46.200001	64.356	177.3451
46.799999	64.252	177.4382
47.500000	64.259	177.2739
48.200001	64.473	176.7997
48.700001	64.715	176.1599
49.400002	65.061	175.0496
50.000000	65.291	174.2909
50.799999	65.465	173.9048
51.500000	65.505	174.0330
52.200001	65.483	174.3670
53.000000	65.463	174.7784
53.799999	65.500	175.1084
54.500000	65.571	175.4240
55.200001	65.663	175.8183
56.000000	65.793	176.1630
57.000000	65.978	176.1576
58.000000	66.177	175.8520
59.000000	66.351	175.6414
60.000000	66.487	175.7363
60.799999	66.597	175.8282
61.500000	66.700	175.7312
62.200001	66.803	175.4627
63.000000	66.915	175.0692
64.000000	67.046	174.6967
65.000000	67.180	174.4834
66.000000	67.305	174.2327
67.000000	67.417	173.9570
68.000000	67.551	173.6902
69.000000	67.701	173.3922
70.000000	67.838	173.0776
71.000000	67.950	172.6533
72.000000	68.050	171.9701
73.000000	68.162	170.9792
74.000000	68.293	169.7899
75.000000	68.429	168.6677
76.199997	68.581	167.6797
77.500000	68.720	166.9824
78.800003	68.838	166.4102
80.000000	68.940	165.7766
81.199997	69.048	164.9990
82.500000	69.204	164.0917
83.800003	69.405	163.1093
85.000000	69.597	162.0924
86.199997	69.781	160.8970
87.500000	69.972	159.3593
88.500000	70.113	158.0255
90.000000	70.306	155.8024
91.199997	70.440	153.9325
92.500000	70.568	152.0332
93.800003	70.682	150.4603
95.000000	70.780	149.3387
96.199997	70.871	148.4588
97.500000	70.952	147.6111
98.800003	71.010	146.7041
100.000000	71.040	145.7622
101.500000	71.048	144.4783
103.000000	71.025	143.1125
104.400002	70.990	141.7975
106.000000	70.965	140.2602
107.500000	70.964	138.7480
109.000000	70.984	137.1220
110.599998	71.019	135.2565
112.000000	71.060	133.5799
113.800003	71.124	131.4886
115.000000	71.165	130.1805
117.199997	71.221	127.9822
118.000000	71.233	127.2229
120.599998	71.229	124.7015
122.000000	71.205	123.2693
124.099998	71.163	121.1378
125.000000	71.148	120.2807
126.500000	71.128	118.9733
128.000000	71.109	117.8096
131.500000	71.019	115.3478
132.000000	71.001	114.9986
134.000000	70.918	113.5729
136.000000	70.838	112.0782
138.000000	70.769	110.5123
140.000000	70.711	108.9281
143.000000	70.648	106.6148
145.000000	70.619	105.0514
147.500000	70.614	102.9617
150.000000	70.637	100.8096
152.500000	70.664	98.7307
155.000000	70.668	96.6787
157.500000	70.646	94.5541
160.000000	70.607	92.3946
162.500000	70.564	90.3444
165.000000	70.516	88.4951
167.500000	70.461	86.8216
170.000000	70.396	85.2467
172.500000	70.319	83.7316
175.000000	70.230	82.2936
177.500000	70.131	80.9623
180.000000	70.024	79.6899
182.500000	69.911	78.3607
185.000000	69.787	76.9158
187.500000	69.647	75.3933
190.000000	69.491	73.8654
192.500000	69.323	72.3683
195.000000	69.164	70.9101
197.500000	69.027	69.5242
200.000000	68.916	68.2705
203.000000	68.804	67.0048
206.000000	68.704	65.9770
209.000000	68.616	65.1060
212.000000	68.549	64.2334
214.000000	68.521	63.5623
218.000000	68.507	61.9838
220.000000	68.521	61.1508
224.000000	68.578	59.5604
227.000000	68.616	58.4457
230.000000	68.629	57.3400
233.000000	68.615	56.1876
236.000000	68.590	54.9897
240.000000	68.579	53.4256
243.000000	68.599	52.3402
247.000000	68.660	50.9705
